cluster_name,variable,n,median,mean,vs_overall_median
"C2 moderate activity and persistence, transitional",wholesale_retail_share,1069,0.1157232704402515,0.11947546387724126,-0.004045849328868201
C3 moderate activity with destination characteristics,wholesale_retail_share,576,0.12385823323323315,0.1266700101547464,0.0040891134641134474
"C0 low activity, weak night-persistence",health_social_share,604,0.1327130852340936,0.137074579728749,0.0042600465600604875
"C1 relatively high activity, stronger night-persistence",health_social_share,1134,0.125,0.13014780123219513,-0.0034530386740330987
"C2 moderate activity and persistence, transitional",health_social_share,1069,0.1263467189030362,0.12881154638948525,-0.0021063197709969006
C3 moderate activity with destination characteristics,health_social_share,576,0.1324691925430155,0.13522511610223723,0.004016153868982408
"C0 low activity, weak night-persistence",manufacturing_share,604,0.0311224149710876,0.03157975380852385,0.002310890361243701
"C1 relatively high activity, stronger night-persistence",manufacturing_share,1134,0.0269254307504001,0.029039905954857826,-0.0018860938594437993
"C2 moderate activity and persistence, transitional",manufacturing_share,1069,0.0287009063444108,0.030080099435318402,-0.00011061826543309894
C3 moderate activity with destination characteristics,manufacturing_share,576,0.02998277445706035,0.0313746627333263,0.0011712498472164524
"C0 low activity, weak night-persistence",log1p_poi_count,604,3.610917912644224,3.661322636742412,-0.3209077200801018
"C1 relatively high activity, stronger night-persistence",log1p_poi_count,1134,4.442651256490317,4.45517290713684,0.5108256237659909
"C2 moderate activity and persistence, transitional",log1p_poi_count,1069,3.828641396489095,3.8600558880795175,-0.10318423623523065
C3 moderate activity with destination characteristics,log1p_poi_count,576,3.713572066704308,3.7607942023275536,-0.21825356602001778
"C0 low activity, weak night-persistence",shannon_group,604,1.679208243681743,1.6474716096168025,-0.06580057563229302
"C1 relatively high activity, stronger night-persistence",shannon_group,1134,1.7840370045699552,1.7679528109650242,0.03902818525591911
"C2 moderate activity and persistence, transitional",shannon_group,1069,1.731916999425649,1.71051878261694,-0.013091819888387146
C3 moderate activity with destination characteristics,shannon_group,576,1.7332678289326955,1.6916303176196352,-0.011740990381340577
"C0 low activity, weak night-persistence",population_density,604,6524.452027944299,8185.9132774084255,-1925.1934123858136
"C1 relatively high activity, stronger night-persistence",population_density,1134,10275.599439358919,11664.469775928881,1825.9539990288067
"C2 moderate activity and persistence, transitional",population_density,1069,8434.04962331755,10073.383235004205,-15.595817012561383
C3 moderate activity with destination characteristics,population_density,576,7411.46021049782,9098.65738424869,-1038.185229832292
