lsoa,self_employed_share,part_time_employee_share,unemployed_share
E01000235,0.1342685370741483,0.1229124916499666,0.03473613894455578
E01000236,0.1632068718682892,0.14531138153185397,0.030780243378668574
E01000237,0.1751207729468599,0.09842995169082126,0.05374396135265701
E01000238,0.17918313570487485,0.12911725955204217,0.04018445322793149
E01000239,0.1522633744855967,0.10640799529688419,0.037037037037037035
E01000240,0.1995827538247566,0.09388038942976357,0.027816411682892908
E01000241,0.19120725750174458,0.09979064898813678,0.022330774598743892
E01000242,0.16707818930041152,0.11934156378600823,0.027983539094650206
E01000243,0.1541115583668775,0.1242093156986774,0.0425531914893617
E01000244,0.15479651162790697,0.10319767441860465,0.04142441860465116
E01000245,0.15056312981624184,0.13692946058091288,0.06579727326615294
E01000246,0.1269968051118211,0.09824281150159744,0.03274760383386582
E01000247,0.13712618526622902,0.11962071480671042,0.037199124726477024
E01000248,0.15147164393395549,0.08973438621679827,0.024407753050969132
E01000249,0.15567484662576686,0.11579754601226994,0.03067484662576687
E01000250,0.12103083294983893,0.1063046479521399,0.05062126092959043
E01000251,0.12621885157096424,0.1056338028169014,0.04008667388949079
E01000252,0.1446629213483146,0.08918539325842696,0.05407303370786517
E01000253,0.16896120150187735,0.12077596996245307,0.014392991239048811
E01000254,0.1524390243902439,0.12271341463414634,0.026676829268292682
E01000255,0.13154069767441862,0.1002906976744186,0.025436046511627907
E01000256,0.17032967032967034,0.11813186813186813,0.032280219780219783
E01000257,0.12582781456953643,0.11920529801324503,0.047561709813365445
E01000258,0.14923469387755103,0.11989795918367346,0.029974489795918366
E01000259,0.13801337153772683,0.112225405921681,0.034861509073543455
E01000260,0.1742957746478873,0.11561032863849766,0.03697183098591549
E01000261,0.14108740536820372,0.08465244322092223,0.016517549896765314
E01000263,0.19864176570458403,0.09932088285229201,0.01867572156196944
E01000264,0.18724279835390947,0.12551440329218108,0.033607681755829906
E01000265,0.14361702127659576,0.1283244680851064,0.04521276595744681
E01000266,0.15397631133671744,0.09983079526226735,0.027918781725888325
E01000267,0.1656,0.1144,0.0152
E01000268,0.11743341404358354,0.10653753026634383,0.05084745762711865
E01000269,0.13771929824561405,0.12105263157894737,0.028070175438596492
E01000270,0.1543942992874109,0.0958036421219319,0.030878859857482184
