NLC,total_activity,log_total_activity,direction_balance,post_2300_share,midnight_share_common_window,night_tube_extension_share,post_0100_share,common_window_persistence,weekend_common_ratio,volume_band,cluster,Station,mode_label,tot_entry,tot_exit,easting,northing,lon,lat,coord_source,catchment_area_m2,station_in_lnwc_extent,lnwc_1_share,lnwc_2_share,lnwc_3_share,lnwc_4_share,lnwc_5_share,lnwc_6_share,lnwc_7_share,covered_area_m2,lnwc_coverage_ratio,analysis_eligible,dominant_lnwc,lnwc_entropy_normalized,exclusion_reason,imd_score,imd_covered_area_m2,total_catchment_area_m2,imd_coverage_ratio
527,17652.05632646356,9.778664210342903,-0.5566022359120963,0.170292878751756,0.0483217424095492,0.0704461110290519,0.0347113023636878,0.0753847556148769,0.7561632338523945,medium,4,Bounds Green,LU,3913.441153353837,13738.615173109723,529984.4864,191469.272600001,-0.124341977871115,51.60706378685743,underground_stations_csv,1837281.0780255897,True,0.0555555555555555,0.0555555555555555,0.1666666666666666,0.4444444444444444,0.2777777777777778,0.0,0.0,1837281.078025578,0.9999999999999936,True,4.0,0.6865719791325229,,22.973555555555556,1837281.080406473,1837281.0780255897,1.0000000012958732
528,18998.70603240849,9.852178786050384,-0.3160873117916718,0.1501208928900541,0.0479619389706149,0.0135152848333555,0.007814807208635,0.0802860169932815,0.8216225232848932,medium,4,Bow Road,LU,6496.728057552135,12501.977974856343,537089.8973,182735.951300001,-0.0252032121690731,51.526902665586434,underground_stations_csv,577113.1952672513,True,0.1538461538461538,0.6153846153846154,0.1538461538461538,0.0769230769230769,0.0,0.0,0.0,577113.1952672271,0.999999999999958,True,2.0,0.5509077431368701,,32.137,577113.1960062231,577113.1952672513,1.0000000012804624
529,6647.912770347753,8.802208627102644,-0.376181764789266,0.140204317880813,0.0365804772213832,0.0521097665895089,0.0239187867896613,0.0545438971717354,0.7344192556304447,low,4,Brent Cross,LU,2073.5446061166176,4574.3681642311385,523873.7006,187934.037,-0.2137847584215133,51.57666898367216,underground_stations_csv,1793474.547118137,True,0.0,0.0,0.0666666666666666,0.2666666666666666,0.5333333333333333,0.1333333333333333,0.0,1793474.5471181353,0.9999999999999992,True,5.0,0.5842595519556456,,25.582533333333334,1793474.549454196,1793474.5471181367,1.0000000013025327
530,15791.65384053436,9.667300164092156,-0.3897331899378427,0.1419666277308987,0.0449217757142807,0.0129589553906149,0.0072435916852967,0.0719256276079653,0.8624137336975358,medium,4,Bromley-by-Bow,LU,4818.561107434362,10973.092733099998,538049.5634,182523.513599999,-0.0114614594625467,51.52476012571751,underground_stations_csv,783554.2121903172,True,0.0,0.0833333333333333,0.5833333333333333,0.3333333333333333,0.0,0.0,0.0,783554.2121903561,1.0000000000000495,True,3.0,0.4561846168642759,,35.564416666666666,783554.2131890617,783554.2121903172,1.0000000012746335
532,11079.602180753254,9.312951307267886,-0.5737657118538597,0.1331604218270414,0.0400215580075503,0.0530685901595862,0.0242438113911074,0.0580050158154733,0.6955221696539434,medium,0,Burnt Oak,LU,2361.2531742278943,8718.349006525365,520325.5892,190759.991599999,-0.263993694832954,51.602834176714175,underground_stations_csv,1853481.6077304112,True,0.0,0.1,0.05,0.5,0.35,0.0,0.0,1853481.6077304245,1.000000000000007,True,4.0,0.5622337996246891,,27.44455,1853481.610157285,1853481.6077304112,1.0000000013093595
533,10490.78980857925,9.258348307291929,-0.1712988653406169,0.0803560281099513,0.028460959330188,0.0043643684951953,0.0024990950491574,0.0408577895778117,0.6490830363354395,medium,2,London City Airport,DLR,4346.864708921357,6143.925099657891,542325.0,180248.3333333333,0.04921,51.503256666666665,naptan_rse_tmu,956538.0429549342,True,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,736351.4942611562,0.7698088954062104,True,3.0,0.5645750340535796,,31.962,736351.0096767225,956538.0429549342,0.7698083888038466
534,17030.471174988088,9.74281815718265,-0.2542732856456445,0.1521823976641457,0.0392486695975309,0.0632732031593431,0.0297138147375323,0.0625644888144811,0.7897634269784524,medium,4,Caledonian Road,LU,6350.038656615217,10680.432518372874,530558.3633,184969.7784,-0.1184734764123798,51.54852353192346,underground_stations_csv,947829.0526123658,True,0.0,0.875,0.125,0.0,0.0,0.0,0.0,947829.0526123494,0.9999999999999828,True,2.0,0.1936215613240665,,26.983375,947829.0538364523,947829.0526123658,1.0000000012914634
535,87890.99312374103,11.383863988781831,0.2017742593917245,0.1855416303751487,0.0383046184667978,0.0944151391049392,0.0544350226949009,0.06158843753649,1.4045596788438537,high,3,Camden Town,LU,52812.566584243534,35078.42653949754,528910.2525,183893.5725,-0.1426229702612466,51.53923059833878,underground_stations_csv,581691.3732109546,True,0.3333333333333333,0.4166666666666666,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0,581691.3732109369,0.9999999999999696,True,2.0,0.6948981688030609,,26.93858333333333,581691.3739617163,581691.3732109546,1.000000001290653
536,13879.225486608,9.538220479361692,0.1531125058406525,0.0889506715161611,0.0227447852133994,0.0008173009856948,0.0005684430434257,0.0312200345392108,0.3488564116147304,medium,1,Cannon Street LU,LU,8002.154239995004,5877.071246613001,532611.4757,180900.064999999,-0.0904119205678546,51.511473069259,underground_stations_csv,244434.7825794189,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,201900.48643292257,0.8259891833001443,True,1.0,-0.0,,9.682,201900.30392446328,244434.7825794189,0.8259884366451169
537,8646.437054414157,9.06501826173472,-0.5658621081117423,0.1474115889760925,0.0434173531443122,0.0633608764288101,0.0301243160009107,0.0639794085781108,0.7305764873183377,medium,4,Canons Park,LU,1876.8729775739384,6769.564076840213,518186.8967,191252.07,-0.2946941062058866,51.60770907048488,underground_stations_csv,1966085.0343725423,True,0.0,0.0,0.0,0.2857142857142857,0.5714285714285714,0.1428571428571428,0.0,1966085.0343725423,1.0,True,5.0,0.4911325898456826,,18.219,1966085.036953611,1966085.0343725425,1.000000001312796
538,12189.223321612755,9.40838954237418,-0.3543130431711687,0.1491817297939343,0.0555655435491313,0.0092383263815757,0.0055119621981623,0.0881981318458158,0.7876915875732416,medium,4,Pontoon Dock,DLR,3935.21125631958,8254.012065293178,541229.0,180131.0,0.03338,51.50248,naptan_rse_tmu,1034929.6903462628,True,0.0,0.0,0.75,0.125,0.0,0.125,0.0,743002.6672238654,0.717925743318152,True,3.0,0.3780348954528651,,17.419999999999998,743002.1399815112,1034929.6903462627,0.7179252338706414
540,23358.99228246096,10.058780106568006,0.000548775495054,0.1573155015286391,0.0334515025629622,0.0358982695406826,0.0173031219388876,0.0560993262544855,0.8612796254755544,high,1,Chalk Farm,LU,11685.905562507362,11673.086719953588,528202.4569,184390.607000001,-0.1526421476691667,51.54385835909765,underground_stations_csv,1019027.9327281736,True,0.1176470588235294,0.5882352941176471,0.0588235294117647,0.0588235294117647,0.1176470588235294,0.0588235294117647,0.0,1019027.9327282018,1.0000000000000278,True,2.0,0.6761145015032022,,22.13776470588235,1019027.9340445354,1019027.9327281736,1.0000000012917818
541,23917.078064615067,10.082389856367188,0.505139810814746,0.1044106895235513,0.0221002733202519,0.0776603996207679,0.0291512974952647,0.0300877047971816,0.3303282857380648,high,1,Chancery Lane,LU,17999.273176708124,5917.804887906948,531123.9465,181615.465500001,-0.1115693026029435,51.51824890350831,underground_stations_csv,546686.6347354882,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,546686.6347355053,1.0000000000000313,True,1.0,-0.0,,24.90925,546686.6354400158,546686.6347354882,1.000000001288723
542,83089.29412287241,11.32768317646348,0.3536150790769299,0.1243621842881541,0.0286466588603782,0.0202597656114075,0.0105028576142014,0.0478069411483716,1.0347540303687888,high,1,Embankment,LU,56235.4607172891,26853.83340558329,530419.3254,180395.871400001,-0.1221695343079573,51.50745185655674,underground_stations_csv,341453.8019552259,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,211408.6888607576,0.6191428756985379,True,1.0,-0.0,,18.169800000000002,211408.1402777727,341453.8019552259,0.6191412690888538
