NLC,lsoa21cd,lnc_grp,piece_area_m2,covered_area_m2
520,E01004212,1,67386.42869010134,878428.8796823177
520,E01004259,2,166482.5820505115,878428.8796823177
520,E01004260,3,49776.86058151701,878428.8796823177
520,E01004266,2,84424.58324552441,878428.8796823177
520,E01004313,2,17720.12258287809,878428.8796823177
520,E01032785,3,12796.928442857596,878428.8796823177
520,E01032786,3,27614.274069642903,878428.8796823177
520,E01032787,2,87234.74318239574,878428.8796823177
520,E01035661,4,1280.140714413867,878428.8796823177
521,E01003934,1,34994.852301896855,344568.4163832788
521,E01003935,1,4908.739093675734,344568.4163832788
521,E01032739,1,79742.73540502328,344568.4163832788
521,E01032740,1,224922.08958268297,344568.4163832788
522,E01004391,5,435041.2140577319,1565022.7332747441
522,E01004393,4,123030.26153920808,1565022.7332747441
522,E01004395,7,83658.51052200707,1565022.7332747441
522,E01004396,4,54800.871957786905,1565022.7332747441
522,E01004401,4,599531.5808500156,1565022.7332747441
522,E01004404,4,41797.87513301631,1565022.7332747441
522,E01004458,4,41156.57949394317,1565022.7332747441
522,E01034485,4,143676.8691972529,1565022.7332747441
522,E01034486,2,42328.970523782205,1565022.7332747441
523,E01001712,4,3240.9596792174952,705340.1271205873
523,E01003611,3,53005.54865116142,705340.1271205873
523,E01033581,5,501051.47478622803,705340.1271205873
523,E01033582,5,79707.38168018204,705340.1271205873
523,E01033737,1,0.09370650354885451,705340.1271205873
523,E01034224,3,68334.66861729474,705340.1271205873
524,E01004713,1,59549.17515675595,569193.8607293689
524,E01004714,1,206751.55998099572,569193.8607293689
524,E01004717,1,2011.0790940577576,569193.8607293689
524,E01004761,1,111067.41912754417,569193.8607293689
524,E01004762,1,90372.57933206377,569193.8607293689
524,E01004765,1,13036.950155887327,569193.8607293689
524,E01035716,1,86405.0978820641,569193.8607293689
525,E01003929,1,92720.2740058518,833716.704059846
525,E01003935,1,245.41269088429416,833716.704059846
525,E01003936,1,71338.57960722892,833716.704059846
525,E01003937,2,42490.285012415734,833716.704059846
525,E01003938,1,53934.902766947635,833716.704059846
525,E01003939,1,134989.8901489122,833716.704059846
525,E01003940,2,46387.69571717567,833716.704059846
525,E01003941,3,19546.528605036103,833716.704059846
525,E01003942,2,120760.19293394987,833716.704059846
525,E01003943,3,10958.0117759726,833716.704059846
525,E01003981,1,50341.644354950055,833716.704059846
525,E01032583,2,1.615085356303124,833716.704059846
525,E01032646,1,11137.823986112162,833716.704059846
525,E01032803,1,25177.01425427139,833716.704059846
525,E01033867,1,105419.4748348452,833716.704059846
525,E01033868,1,48125.446531879126,833716.704059846
525,E01033873,1,141.9117480569394,833716.704059846
526,E01001248,5,339832.95610493753,1750049.593079072
526,E01001299,6,244643.61803709515,1750049.593079072
