replicate,alpha,ari_all,ari_below450,ari_at_least450,ari_base_vs_a_all,ari_base_vs_a_below450,ari_base_vs_a_at_least450
15,5.0,0.5861893021200945,0.6031900317740053,0.5318702637684978,0.33088020955172587,0.6892992113977247,0.12095960895899946
15,20.0,0.5261177609995604,0.5258218595214811,0.48583127123744757,0.31902650463932025,0.5920745631160423,0.1280439843412085
15,50.0,0.51507088010636,0.49898129040711386,0.46409594217398925,0.41034690808528296,0.5535670888939066,0.2809248276856602
15,100.0,0.5270243107274996,0.5159378028959937,0.4896022899363103,0.5871661588178942,0.5577316580035367,0.570757290742655
15,200.0,0.5246698648271519,0.5279265756702113,0.47871134992506775,0.5921673121905786,0.5707242852223089,0.5648674831471442
16,0.0,0.6143685892480346,0.6094538414258401,0.5608668671897367,0.31444176382496614,0.6549278131571199,0.12328904459345492
16,5.0,0.5759274996200289,0.5808831466811215,0.5171725093655516,0.3212498435431024,0.6589477010502675,0.12003406856938485
16,20.0,0.523879661458636,0.5104931346085164,0.4833337413827274,0.31617862352359605,0.5657858320015374,0.13288283440760487
16,50.0,0.5200947870195995,0.5149028574701616,0.46552993569173784,0.41027679209221746,0.550274179929917,0.28016098997375505
16,100.0,0.5087802130726755,0.5262054681090149,0.4630450776887299,0.5815795146904351,0.5878157025750894,0.5489616175441409
16,200.0,0.508743023860498,0.5064886724557852,0.4662083305351397,0.6009276507048572,0.5956863045008745,0.5652464903863003
17,0.0,0.6042852346355786,0.6316220125424605,0.5385129887371966,0.29929096855055914,0.6421745462678802,0.1094039746400177
17,5.0,0.5837303125352518,0.5830151119245995,0.534937173352405,0.3056054663826744,0.6356220179063624,0.10865827754404683
17,20.0,0.5545858222527768,0.5470651498412369,0.5129958998020153,0.31681242849386254,0.5504646141707656,0.13613858791076694
17,50.0,0.5349748008434411,0.5444678184216168,0.472572977962208,0.4133822797806637,0.528815488931418,0.2884911760912898
17,100.0,0.5105441895839763,0.5272066027165375,0.4550753668760776,0.5751373016806456,0.5461571372745305,0.5492376124856114
17,200.0,0.5043664063730877,0.5348163958659923,0.44041164666648364,0.5890213274521028,0.5962625751611366,0.5419531758020874
18,0.0,0.6140571742933859,0.6599466802172195,0.5433309262253274,0.310586767239022,0.6620943258778337,0.11715889445556428
18,5.0,0.5995773032908466,0.6517595863269136,0.5289310796237776,0.32702510167768056,0.6580005885755307,0.12377342080137477
18,20.0,0.5491517434496826,0.5820313907316694,0.49360738750830124,0.32006106059519496,0.5668135489409659,0.13586363651753638
18,50.0,0.5069365734537368,0.48515663043060087,0.45910712252882663,0.42573803174591035,0.5360973448377501,0.30208281138860715
18,100.0,0.5307020630677762,0.4990174018219073,0.5043025736148045,0.5801392412363198,0.5863436815921426,0.5438409251514532
18,200.0,0.5082866124503043,0.5191080839580382,0.4579956623843196,0.5750011082656487,0.5915719238245316,0.5279328904151854
19,0.0,0.6178746375235817,0.633756616850192,0.5626024327427251,0.3078890468030226,0.6592621303603889,0.11661120608469211
19,5.0,0.5853262893867837,0.5930523928563374,0.5286148028644369,0.328395578039735,0.6659909743152342,0.12289402452422397
19,20.0,0.5322564422522993,0.5199352136419279,0.4902242416330474,0.3217037814707811,0.5655932304220678,0.13755631599702556
19,50.0,0.5111395959348672,0.48692870696581236,0.46100879371515835,0.4134327066699493,0.5588370886909992,0.2801736382930803
19,100.0,0.5242086072014358,0.5140925336210643,0.487673249416763,0.5835758284135627,0.5612382396578812,0.5606954985612786
