NLC,total_activity,log_total_activity,direction_balance,midnight_share_common_window,night_tube_extension_share,common_window_persistence,weekend_common_ratio,volume_band,cluster,max_posterior,entropy,tot_entry,tot_exit
576,3507.6550763626706,8.162988073904419,-0.6192177117384422,0.04197275861236997,0.06386290528953685,0.06008958206057011,0.5745858607614912,low,4,1.0,4.2362658280897255e-38,667.8264632048237,2839.8286131578457
577,128521.38542819057,11.76385837381222,0.3175738292264905,0.023104992401904872,0.001801536535265554,0.03346445012183271,0.49402329804696765,high,3,1.0,5.401343626415656e-108,84668.20696805742,43853.17846013321
578,20671.954875792435,9.936581597262448,-0.45712634337139946,0.03776074498714158,0.04960365862582184,0.056907668733629825,0.7201578231756958,medium,0,1.0,1.9028841148283286e-34,5611.129866541431,15060.825009251002
579,29591.07881783633,10.295261996993345,-0.06329801465624724,0.03275113864929374,0.043635088376007276,0.049210279922849674,0.756020867030536,high,0,1.0,2.231578525766679e-22,13859.011138565373,15732.067679270953
580,96845.47117827347,11.480882232221656,-0.2651909391977963,0.040771008160653516,0.06344936118415706,0.06396120653686166,0.8949720311845001,high,2,0.999984588969772,0.0001861717085505,35581.464859727,61264.00631854646
581,24236.648852272156,10.095662440935747,-0.05359591869458284,0.03107754060051022,0.005516402596023904,0.044574266602359795,0.6883546442576913,medium,0,0.9999998580838212,2.379656053668445e-06,11468.831695478311,12767.817156793844
582,19578.815663798458,9.882254501525296,-0.5776497237152809,0.047398284277980575,0.07001578244719499,0.07203735483086696,0.7019494269170355,medium,0,1.0,1.1584117360444663e-14,4134.559102466431,15444.256561332026
583,49625.093088634116,10.812272044721896,-0.016312263332735506,0.032697596008134384,0.02935463907862812,0.05115044119358328,0.8942011955210665,high,2,1.0,4.875067115890883e-13,24407.7977511304,25217.295337503725
584,24631.534213062794,10.111823377135593,-0.38475947277976535,0.039092737627860356,0.054350268144007105,0.06071837005226814,0.821922607985474,medium,0,1.0,3.694025551153294e-36,7577.159047743998,17054.375165318783
585,7799.2386556992815,8.961909609094132,-0.29158487178474723,0.03818880452744832,0.011568772512502407,0.05941393170030503,0.8214665539718632,low,0,1.0,8.351332947500478e-14,2762.5493261292822,5036.689329570003
586,18238.613284356434,9.81135106188802,0.44041627580451664,0.019864537071183155,0.03327193490448088,0.028267716926571734,0.527346055252203,medium,3,1.0,1.5163596456117814e-128,13135.597711445736,5103.015572910696
587,1217.7457387074799,7.1055775258608,-0.7363075706758067,0.02485683196710489,0.0,0.033833794413735234,0.495849160453654,low,4,1.0,2.313027646570184e-101,160.55516606947992,1057.1905726379991
588,18214.269069542508,9.810015481199743,0.3293007233286227,0.0258817397803618,0.0030193941574711987,0.03773286427786283,0.6048851780619181,medium,3,1.0,6.402559193105069e-86,12106.120524522505,6108.148545019999
589,11619.010389307874,9.360483924493959,-0.5319925313777375,0.038379361825873884,0.016500970377574403,0.05694077428845215,0.681322318588495,low,0,0.9999998603084448,2.344560290407361e-06,2718.8918200978724,8900.11856921
590,115011.1533433336,11.652793083007897,0.4898953031025268,0.04694926145043665,0.07988757954608874,0.07366101729453096,0.6718517379180575,high,3,1.0,2.761639920438824e-44,85677.28858531867,29333.864758015003
591,12444.212302656591,9.429091273929515,-0.12666741759388472,0.03583635497996697,0.008887329669635756,0.050406749407084395,0.5671740459384086,medium,3,1.0,2.375918254847885e-16,5433.968033144517,7010.244269512077
592,11485.101310028245,9.34889300169078,-0.6815798784549428,0.048868984592317304,0.07168123711331534,0.071707929432373,0.596261640500224,low,4,1.0,1.0009307128924136e-16,1828.543677548245,9656.55763248
593,92566.10344801865,11.435689103175447,0.05371323244634761,0.03273023802795928,0.03758584135883446,0.0515089721324097,0.8234564928894451,high,3,0.9999999995188772,1.0802892124980285e-08,48769.06403958738,43797.03940843131
594,14561.789492165128,9.586224889400775,-0.08276612067804817,0.03133788438637603,0.034311885377618964,0.047871627118715,1.0015218428485226,medium,2,0.9997969095749296,0.0019297160068542,6678.2833328841325,7883.506159281002
595,11070.659694011674,9.312143941656384,-0.44565571499401857,0.038004434395592736,0.009164156608151747,0.057369097517248155,0.8598261070267011,low,0,1.0,1.0912368834451805e-33,3068.4784663107216,8002.181227700959
596,8859.163979423665,9.089320551263487,-0.20321504175416394,0.028610154605055553,0.004827654333611999,0.04274654575504163,0.6992230466590265,low,0,1.0,9.117726889409499e-37,3529.4243007190494,5329.739678704614
597,19515.837372697806,9.87903282699915,-0.47047633269089734,0.028137881089853684,0.008291761187969033,0.04136793287642899,0.7561757279934798,medium,0,0.991912818604396,0.0470141859443649,5167.048888099488,14348.78848459832
598,30485.09402853653,10.32502592513562,-0.4255576030092456,0.039080528936226086,0.014318099044730352,0.05795705044054262,0.7533626369609286,high,0,1.0,1.6421455252005441e-19,8755.96524312053,21729.128785416007
599,17876.17951147922,9.791280290841387,0.1335235713424043,0.018566425249392796,0.003811729486110806,0.025523071945554456,0.8157467889315084,medium,3,1.0,1.1879450124395912e-13,10131.535420904918,7744.6440905743
601,19019.4053799088,9.853267649221824,-0.40039622629346977,0.041941351117645485,0.06665957465554631,0.06362446254262487,0.753407475375622,medium,0,1.0,1.5742770453510132e-40,5702.0536197238025,13317.351760185007
602,13920.478140404655,9.541188116498299,-0.5314570514098943,0.04537082371949689,0.06603690921339721,0.06784138203359841,0.7906189198150559,medium,0,1.0,2.169397716862823e-23,3261.1709368446545,10659.307203560002
603,72600.24602223467,11.192737363506305,-0.036257954712113426,0.039275792817582006,0.06708476594445975,0.06431201862476768,1.0030248947914393,high,1,0.9999526061589108,0.0005192940599926,34983.95479493609,37616.29122729858
604,19137.807093082018,9.859473337729323,-0.44797278099626425,0.03811843125373804,0.04776078330014887,0.05851992765350207,0.7836242607885426,medium,0,1.0,1.9282367292329808e-35,5282.295213712017,13855.511879370011
605,34993.354519892004,10.462942028029742,0.207186965531145,0.020977739313516163,0.0031383673508178877,0.029603527660615525,0.907325402171699,high,3,0.999999999999318,1.7315762255653378e-11,21121.76072831201,13871.593791580006
