run,seed,K,reference_cluster,matched_candidate_cluster,jaccard,recall,precision
9,10051,7,2,2,0.5588235294117647,0.5671641791044776,0.9743589743589743
9,10051,7,3,4,0.5,0.7833333333333333,0.5802469135802469
9,10051,7,4,1,0.7391304347826086,0.8095238095238095,0.8947368421052632
9,10051,7,5,6,0.6323529411764706,0.671875,0.9148936170212766
9,10051,7,6,3,0.7857142857142857,1.0,0.7857142857142857
10,10052,5,0,2,0.9024390243902439,0.9098360655737705,0.9910714285714286
10,10052,5,1,1,0.9615384615384616,1.0,0.9615384615384616
10,10052,5,2,0,0.7857142857142857,0.9166666666666666,0.8461538461538461
10,10052,5,3,3,0.9310344827586207,0.9938650306748467,0.9364161849710982
10,10052,5,4,4,0.975609756097561,0.975609756097561,1.0
10,10052,7,0,0,0.7096774193548387,0.7333333333333333,0.9565217391304348
10,10052,7,1,5,0.8670886075949367,0.9072847682119205,0.9513888888888888
10,10052,7,2,4,0.9571428571428572,1.0,0.9571428571428572
10,10052,7,3,3,0.4782608695652174,0.55,0.7857142857142857
10,10052,7,4,2,0.2894736842105263,0.5238095238095238,0.39285714285714285
10,10052,7,5,1,0.8181818181818182,0.984375,0.8289473684210527
10,10052,7,6,6,0.5238095238095238,1.0,0.5238095238095238
11,10053,5,0,0,1.0,1.0,1.0
11,10053,5,1,1,1.0,1.0,1.0
11,10053,5,2,2,1.0,1.0,1.0
11,10053,5,3,4,1.0,1.0,1.0
11,10053,5,4,3,1.0,1.0,1.0
11,10053,7,0,3,1.0,1.0,1.0
11,10053,7,1,2,0.9933774834437086,0.9933774834437086,1.0
11,10053,7,2,6,1.0,1.0,1.0
11,10053,7,3,4,1.0,1.0,1.0
11,10053,7,4,5,0.9090909090909091,0.9523809523809523,0.9523809523809523
11,10053,7,5,0,1.0,1.0,1.0
11,10053,7,6,1,0.9166666666666666,1.0,0.9166666666666666
12,10054,5,0,0,1.0,1.0,1.0
12,10054,5,1,1,1.0,1.0,1.0
12,10054,5,2,2,1.0,1.0,1.0
12,10054,5,3,4,1.0,1.0,1.0
12,10054,5,4,3,1.0,1.0,1.0
12,10054,7,0,6,0.9333333333333333,0.9333333333333333,1.0
12,10054,7,1,3,0.8273809523809523,0.9205298013245033,0.8910256410256411
12,10054,7,2,2,0.746268656716418,0.746268656716418,1.0
12,10054,7,3,5,0.7777777777777778,0.8166666666666667,0.9423076923076923
12,10054,7,4,0,0.5666666666666667,0.8095238095238095,0.6538461538461539
12,10054,7,5,4,0.8076923076923077,0.984375,0.8181818181818182
12,10054,7,6,1,0.7333333333333333,1.0,0.7333333333333333
13,10055,5,0,0,0.9024390243902439,0.9098360655737705,0.9910714285714286
13,10055,5,1,1,0.9259259259259259,1.0,0.9259259259259259
13,10055,5,2,4,0.7857142857142857,0.9166666666666666,0.8461538461538461
13,10055,5,3,2,0.9467455621301775,0.9815950920245399,0.963855421686747
13,10055,5,4,3,0.8666666666666667,0.9512195121951219,0.9069767441860465
13,10055,7,0,6,0.6571428571428571,0.7666666666666667,0.8214285714285714
13,10055,7,1,3,0.8734177215189873,0.9139072847682119,0.9517241379310345
13,10055,7,2,2,0.9178082191780822,1.0,0.9178082191780822
13,10055,7,3,4,0.5,0.5833333333333334,0.7777777777777778
13,10055,7,4,5,0.3870967741935484,0.5714285714285714,0.5454545454545454
13,10055,7,5,0,0.7272727272727273,0.875,0.8115942028985508
13,10055,7,6,1,0.5,1.0,0.5
14,10056,5,0,0,1.0,1.0,1.0
14,10056,5,1,1,1.0,1.0,1.0
14,10056,5,2,2,1.0,1.0,1.0
14,10056,5,3,3,1.0,1.0,1.0
14,10056,5,4,4,1.0,1.0,1.0
14,10056,7,0,5,0.8235294117647058,0.9333333333333333,0.875
14,10056,7,1,0,0.8387096774193549,0.8609271523178808,0.9701492537313433
14,10056,7,2,3,0.5671641791044776,0.5671641791044776,1.0
14,10056,7,3,2,0.8461538461538461,0.9166666666666666,0.9166666666666666
14,10056,7,4,4,0.5862068965517241,0.8095238095238095,0.68
14,10056,7,5,1,0.5471698113207547,0.90625,0.58
14,10056,7,6,6,0.7333333333333333,1.0,0.7333333333333333
15,10057,5,0,0,0.92,0.9426229508196722,0.9745762711864406
15,10057,5,1,1,0.8571428571428571,0.96,0.8888888888888888
15,10057,5,2,2,1.0,1.0,1.0
15,10057,5,3,3,0.9176470588235294,0.9570552147239264,0.9570552147239264
15,10057,5,4,4,0.9302325581395349,0.975609756097561,0.9523809523809523
15,10057,7,0,3,0.8484848484848485,0.9333333333333333,0.9032258064516129
15,10057,7,1,2,0.85625,0.9072847682119205,0.9383561643835616
15,10057,7,2,0,0.6962025316455697,0.8208955223880597,0.8208955223880597
15,10057,7,3,4,0.7936507936507936,0.8333333333333334,0.9433962264150944
15,10057,7,4,6,0.6428571428571429,0.8571428571428571,0.72
15,10057,7,5,5,0.7368421052631579,0.875,0.8235294117647058
15,10057,7,6,1,0.7857142857142857,1.0,0.7857142857142857
16,10058,5,0,3,0.9024390243902439,0.9098360655737705,0.9910714285714286
16,10058,5,1,0,0.9615384615384616,1.0,0.9615384615384616
16,10058,5,2,2,0.7857142857142857,0.9166666666666666,0.8461538461538461
16,10058,5,3,4,0.9310344827586207,0.9938650306748467,0.9364161849710982
16,10058,5,4,1,0.975609756097561,0.975609756097561,1.0
