lsoa,hospitality_industry_share,shiftwork_industry_share
E01000195,0.04617117117117117,0.2939189189189189
E01000196,0.06352087114337568,0.20961887477313973
E01000197,0.055666003976143144,0.19383697813121273
E01000198,0.02672147995889003,0.1880781089414183
E01000199,0.024285714285714285,0.16428571428571428
E01000200,0.03078677309007982,0.15849486887115166
E01000201,0.034139402560455195,0.20341394025604553
E01000202,0.04833141542002301,0.1852704257767549
E01000203,0.05493133583021224,0.22347066167290885
E01000204,0.045454545454545456,0.175990675990676
E01000205,0.02403204272363151,0.12283044058744993
E01000206,0.06676342525399129,0.17126269956458634
E01000207,0.02865761689291101,0.1493212669683258
E01000208,0.038686987104337635,0.1488862837045721
E01000209,0.023112480739599383,0.16024653312788906
E01000210,0.04230769230769231,0.16025641025641024
E01000211,0.08826382153249272,0.2259941804073715
E01000212,0.05743740795287187,0.17525773195876287
E01000213,0.017973856209150325,0.14869281045751634
E01000214,0.052805280528052806,0.15181518151815182
E01000215,0.04767879548306148,0.1932245922208281
E01000216,0.04498269896193772,0.18569780853517875
E01000217,0.056890012642225034,0.24525916561314792
E01000218,0.05370843989769821,0.17519181585677748
E01000219,0.0869120654396728,0.2494887525562372
E01000220,0.06314432989690721,0.24742268041237112
E01000221,0.052525252525252523,0.3656565656565657
E01000222,0.06538895152198422,0.2547914317925592
E01000223,0.08943089430894309,0.2845528455284553
E01000224,0.06751054852320675,0.25316455696202533
E01000225,0.022922636103151862,0.166189111747851
E01000226,0.06997455470737914,0.2837150127226463
E01000227,0.04756756756756757,0.22054054054054054
E01000228,0.044096728307254626,0.23328591749644384
E01000229,0.04081632653061224,0.2614795918367347
E01000230,0.03618817852834741,0.19179734620024125
E01000231,0.049943246311010214,0.2531214528944381
E01000232,0.03222094361334868,0.20368239355581128
E01000233,0.032,0.235
E01000234,0.0392156862745098,0.18300653594771243
E01000235,0.05855855855855856,0.24436936936936937
E01000236,0.04420549581839905,0.1899641577060932
E01000237,0.09448082319925163,0.2273152478952292
E01000238,0.08250825082508251,0.22112211221122113
E01000239,0.06974459724950884,0.2573673870333988
