lsoa,deprived_1plus_share,deprived_2plus_share
E01004376,0.5716463414634146,0.21036585365853658
E01004377,0.47974068071312803,0.15721231766612642
E01004378,0.5162721893491125,0.1893491124260355
E01004379,0.4326923076923077,0.12637362637362637
E01004380,0.5201288244766505,0.22383252818035426
E01004381,0.45417789757412397,0.15363881401617252
E01004382,0.6230031948881789,0.24920127795527156
E01004383,0.4175257731958763,0.14432989690721648
E01004384,0.6179624664879356,0.2774798927613941
E01004385,0.5650842266462481,0.24961715160796324
E01004386,0.41358024691358025,0.1095679012345679
E01004387,0.3915547024952015,0.09021113243761997
E01004388,0.4992412746585736,0.16084977238239756
E01004389,0.596820809248555,0.26445086705202314
E01004390,0.665079365079365,0.2904761904761905
E01004391,0.4487704918032787,0.14856557377049182
E01004392,0.5294715447154471,0.21239837398373984
E01004393,0.6075619295958279,0.2320730117340287
E01004394,0.5911392405063292,0.27341772151898736
E01004395,0.45210084033613446,0.15630252100840336
E01004396,0.5401146131805158,0.2034383954154728
E01004397,0.5327433628318584,0.1929203539823009
E01004398,0.687218045112782,0.3323308270676692
E01004399,0.6956521739130435,0.32608695652173914
E01004400,0.5436447166921899,0.2082695252679939
E01004401,0.5101351351351351,0.18018018018018017
E01004402,0.5628834355828221,0.24079754601226994
E01004403,0.4955357142857143,0.19754464285714285
E01004404,0.6063348416289592,0.26153846153846155
E01004405,0.5751633986928104,0.22875816993464052
E01004406,0.5561569688768606,0.2165087956698241
E01004407,0.7481146304675717,0.38310708898944196
E01004408,0.5021097046413502,0.1828410689170183
E01004409,0.5406125166444741,0.21571238348868177
E01004410,0.6155717761557178,0.26763990267639903
E01004411,0.5039164490861618,0.18276762402088773
E01004412,0.440745672436751,0.16245006657789615
E01004413,0.6576704545454546,0.3096590909090909
E01004414,0.5543307086614173,0.2
E01004415,0.6032,0.3072
E01004416,0.4805013927576602,0.1615598885793872
E01004417,0.5593705293276109,0.23319027181688126
E01004418,0.5377503852080123,0.18335901386748846
E01004419,0.5102481121898598,0.15641855447680691
E01004420,0.6331521739130435,0.28125
E01004421,0.5949579831932773,0.23025210084033612
E01004422,0.48216106014271154,0.1712538226299694
E01004423,0.6624472573839663,0.30942334739803096
E01004424,0.6434426229508197,0.2718579234972678
E01004425,0.5011990407673861,0.17026378896882494
E01004426,0.5877483443708609,0.2152317880794702
E01004427,0.5707376058041113,0.19709794437726724
E01004428,0.7094499294781382,0.3554301833568406
E01004429,0.5836909871244635,0.22746781115879827
E01004430,0.5009293680297398,0.1496282527881041
E01004432,0.5519203413940256,0.19630156472261737
E01004434,0.6333333333333333,0.2786666666666667
E01004435,0.6568986568986569,0.28327228327228327
E01004436,0.5259515570934256,0.2041522491349481
E01004437,0.576,0.208
E01004438,0.47281921618204803,0.15170670037926676
E01004439,0.5422960725075529,0.16163141993957703
E01004440,0.5092936802973977,0.17100371747211895
E01004441,0.4745484400656814,0.13957307060755336
E01004442,0.4410339256865913,0.13731825525040386
E01004443,0.51213282247765,0.1966794380587484
E01004444,0.5243478260869565,0.22
E01004445,0.5802650957290133,0.19734904270986744
E01004446,0.534504391468005,0.1794228356336261
E01004447,0.5,0.14893617021276595
E01004448,0.4888304862023653,0.18134034165571616
