NLC,log_total_activity,log_entry_activity,log_exit_activity,zero_total,zero_entry,zero_exit
606,8.52412260091716,6.998845847840958,8.279037306813803,54,30,24
607,11.265867123310684,10.941695177846551,9.981720996630475,0,0,0
608,9.178791398042637,8.391089716218078,8.572214736713226,4,2,2
609,9.875903138868305,8.84503555828355,9.434843032657893,0,0,0
610,8.559992736077527,7.0787158252940445,8.302315217402365,43,21,22
611,9.46441787490342,7.909587525013801,9.227241762608829,1,1,0
612,9.628518496715424,8.036619425688688,9.40102438855075,2,1,1
613,9.474118060067884,7.863258603051256,9.251425558718038,2,2,0
614,9.44197666877349,9.126585097812024,8.134774991439981,2,1,1
615,7.892760546526131,6.50734019740068,7.605284904427844,49,25,24
616,10.089992470608573,9.025395421792956,9.667139111498306,4,2,2
617,8.951322454247766,7.669361329830312,8.62647419204583,62,34,28
618,8.900392558498918,8.33294533749223,8.06375689993185,74,37,37
619,10.495659699595246,9.702248029094108,9.893684314038712,0,0,0
620,8.747763209315442,7.685119507515296,8.32405936510882,60,30,30
621,9.24183986962103,8.219359956624706,8.796169912678499,56,29,27
622,10.0745838850175,8.987262072225844,9.663488937664697,2,1,1
623,9.360954539911953,8.251291834383764,8.961097496738974,61,32,29
624,9.551179299653164,8.117883654278438,9.278779291701438,0,0,0
625,12.655232937477495,12.016755005093314,11.904260821851231,0,0,0
626,10.897572265425282,10.629156204013999,9.451225962227051,2,1,1
627,9.794686118472551,9.110920792433207,9.092180778633683,40,20,20
628,9.219708876261214,8.388377177666383,8.648124390012102,66,34,32
629,9.493797523134962,8.629816014487467,8.946644492320262,4,2,2
630,8.892478626900017,8.186961279141114,8.211821922984694,37,19,18
631,12.087917129674764,11.746113372318504,10.84837934990814,0,0,0
632,10.525753079955217,9.24245241607814,10.201276628348662,2,1,1
633,10.253886858655333,8.968482678994903,9.930227192285455,2,1,1
634,12.4329879188219,11.832861897369394,11.637279648395586,0,0,0
635,12.363563911130619,11.752275658996801,11.58126398886498,2,1,1
636,9.20673517698799,7.66859834160304,8.96507048858426,2,2,0
637,9.389967404343096,8.357987569589074,8.94957339262554,65,33,32
638,10.243450657705385,8.96249672256912,9.91808526059123,0,0,0
639,9.476841385537378,9.18176195431343,8.112716083869383,62,31,31
640,10.510597334188773,10.0956565060943,9.430751520677234,4,2,2
641,10.464707219310238,9.52399677536927,9.969883071175236,64,32,32
642,10.773939894948404,9.80174162393105,10.29875536717571,0,0,0
643,8.605861111115868,7.013380605147489,8.378662637201986,60,33,27
645,11.17162217697229,10.852099414332457,9.875235803035608,56,28,28
646,7.693692615584003,6.323184577712202,7.40130320897703,56,28,28
647,10.495642314813862,9.044589279826178,10.228683033528153,7,7,0
648,9.540651414000472,8.98249326361676,8.691574735260284,4,2,2
649,9.15290032004931,7.859116268169888,8.832522588799518,0,0,0
650,9.440570106033475,7.682251533131587,9.251520019832032,2,2,0
653,10.0753242954655,8.926156000771794,9.694271582779312,0,0,0
654,7.561518218811989,6.2723878566633555,7.239948128302594,53,27,26
655,9.235925778893463,7.81502237977327,8.959647399978774,2,1,1
656,8.617213919979017,6.958817279550152,8.40616799384834,56,28,28
657,9.71173611172921,8.09176223434551,9.491284807670604,54,28,26
659,8.539899965001256,7.121688489057158,8.26289244261852,60,30,30
660,9.297613357248213,8.368873247504727,8.795153516976546,54,28,26
661,8.879983926840357,7.53567919838682,8.578092348789204,56,28,28
662,8.44314049272266,7.079759940224148,8.147991661361779,56,28,28
663,10.725065124355227,10.097569861966955,9.96169827242797,0,0,0
664,9.153463096938374,7.658878696202316,8.899556208049662,1,1,0
665,11.205350297470705,10.644222073601597,10.360097138498855,60,30,30
667,8.780166290247063,7.191744683893473,8.551892114428115,2,1,1
668,10.123476877026219,9.167323371602075,9.638435316828941,4,2,2
669,12.295616338663983,11.95738905000295,11.04724350260662,2,1,1
670,12.272034824120244,11.50013557391718,11.651896729764944,44,22,22
671,8.850174377905995,7.94485824973667,8.332205532817714,52,26,26
