lsoa,total_activity,log_total_activity,direction_balance,post_midnight_share,deep_night_share,post_midnight_persistence,weekend_ratio,activity_band
E01001523,480.92478,6.177788043780983,-0.2138252472663189,0.051411865281718275,0.03503782857685146,0.06981979100915628,0.8764163708005723,at_least_450
E01001524,380.18759,5.943291616160927,-0.2003249764149324,0.09315693339701067,0.04886782338161012,0.14232249154926413,0.8814940972084696,below_450
E01001526,61.62502,4.137164878766256,-0.4984897367984627,0.03004493953916769,0.0,0.04068799882914762,1.101102337491738,below_450
E01001527,432.95034,6.07293010359035,-0.19485708222333298,0.042190866509078155,0.01563504950706356,0.05723471407427423,0.7255603307252418,below_450
E01001528,1233.8970199999999,7.118742860970003,-0.23987099020629776,0.11267959784844932,0.07615915143388546,0.17047363893184533,0.7437897505388609,at_least_450
E01001529,881.01456,6.782208563807044,-0.21902067089560925,0.10417905011694699,0.07516509148271058,0.1502879644689822,0.7544950120194585,at_least_450
E01001530,160.35446,5.0836035598884886,0.35754839622172035,0.08911919256876297,0.05345432861674068,0.12512796786504943,0.7510580059712076,below_450
E01001532,546.3399900000001,6.305070163267872,-0.09884667238069102,0.0630306231107117,0.0340684378604612,0.09418882430233945,0.7566362812802592,at_least_450
E01001534,5661.44728,8.641611459372672,0.10161534525496803,0.08051446519872918,0.04703009086397427,0.12491646560561591,0.7239207451112964,at_least_450
E01001535,179.7406,5.197062854154036,-0.34213205029915333,0.03397284753695047,0.018249855625273308,0.048315967421161045,0.6311672607781805,below_450
E01001536,2599.57522,7.863487938001493,-0.050556159709815966,0.07921826551339413,0.04171780803480654,0.11898249097220644,0.6657011977474255,at_least_450
E01001537,219.77496,5.397143902174915,-0.12872794971729262,0.03624107132131887,0.032973911131641206,0.04484613574197966,0.8336954990112658,below_450
E01001538,295.24532,5.691187894856205,-0.24800880840380463,0.04352038501406221,0.03610333264554372,0.05620757045155417,0.7016010422695965,below_450
E01001539,70.7123,4.272662281010033,-0.022344344618970176,0.02822578250177126,0.019885083641742664,0.037578516470337046,0.8641768884968768,below_450
E01001540,331.03539,5.80524155962104,-0.015010328653984719,0.06486717326506994,0.046805086308143666,0.09735498906388358,0.8801265595013598,below_450
E01001542,284.82694,5.655386522774894,-0.17529718221176693,0.05134675814022368,0.02995341662554813,0.0825707062209731,0.7894182186434594,below_450
E01001544,110.30055999999999,4.712234289715382,-0.12622057403879,0.05930858374608434,0.04868950801337726,0.0881844459653119,0.6650424810568012,below_450
E01001547,2613.71816,7.8689115924878585,-0.15431811515592023,0.21012832156317882,0.12539734965150184,0.39189035950626533,0.8497992584557954,at_least_450
E01001549,1622.87557,7.392570898328074,-0.12847160549714856,0.13533117637601755,0.08859138843281746,0.2297133878986713,0.7909377731421718,at_least_450
E01001550,186.01775999999998,5.231203585606944,-0.3173655031648592,0.1222730023197785,0.0390027812398128,0.23298121969547356,0.8580748017509607,below_450
E01001551,467.61449,6.14978044749063,-0.0419882412112593,0.1027556267557064,0.05658165126576809,0.15942185596757233,0.7997377201661345,at_least_450
E01001552,309.72104,5.73889553216224,-0.1235155351409126,0.08870420943956535,0.06257643975365704,0.13765067902793635,0.7774865326511956,below_450
E01001553,1063.43172,6.970196339486256,-0.33720983985694913,0.09737426301333198,0.054052233837824586,0.15788371569023904,0.831871282700823,at_least_450
E01001554,1753.32697,7.469840569470275,-0.05696486263483414,0.20025853477859865,0.13680552122003803,0.37237713065190753,0.8863604613326745,at_least_450
E01001558,21181.11347,9.960912400296074,-0.0031898988736214664,0.14631745891874492,0.09256396991484508,0.25370433137689924,0.8605150797839576,at_least_450
E01001559,1073.41679,6.979533272413803,-0.05683623599738927,0.188294744299649,0.14384764747344786,0.38160655510955427,0.9611624627435945,at_least_450
E01001560,1446.8844299999998,7.2778587562244805,-0.29059318165446013,0.1166108270306012,0.07399356699138715,0.18426077300318244,0.7408560216580374,at_least_450
E01001563,1268.52154,7.146395368310754,-0.25610808311540384,0.13588273006385057,0.08398824666390765,0.21450859436042938,0.7597412943473543,at_least_450
E01001564,905.9488699999999,6.810086075869028,-0.029724138846820385,0.15633892230584712,0.11057044532767066,0.26827273376608873,0.7873100780099938,at_least_450
E01001569,1070.67823,6.9769811379920545,-0.2043075350472009,0.12475360594564437,0.0633495835625611,0.2135549165742113,0.7945424766316245,at_least_450
E01001571,688.97164,6.536650495297342,-0.15595974313253302,0.1800146374675161,0.12131754799079975,0.3183665397624021,0.8692268911490961,at_least_450
E01001572,1980.06197,7.59138832838999,-0.3110365328616457,0.189244354811784,0.12932821491440494,0.3196939484481073,0.8130381107728899,at_least_450
E01001573,1175.71291,7.070480160770283,-0.1866060737565602,0.21224052902506615,0.1457446444132352,0.3816492303449383,0.7998396406648968,at_least_450
E01001574,212.5904,5.364060162255811,-0.4349763677005172,0.06597362816006742,0.046835840188456296,0.10373042762464525,0.6566015661723487,below_450
E01001575,801.75666,6.688051629416055,-0.26533085487559277,0.14377423444165716,0.10162334042850359,0.23532191378907966,0.7628191578604236,at_least_450
E01001576,223.49500999999998,5.413853479763789,-0.18411941277794075,0.17206786853988376,0.13816133970955327,0.3101550189970031,0.6859459979770016,below_450
E01001577,2467.3938,7.811322934695256,-0.0801204898869406,0.1606886018761983,0.1058955202043549,0.2656913932900741,0.7714756586519663,at_least_450
E01001579,485.49813,6.187233057836555,-0.1682406686097844,0.1753948671233811,0.12810055519678315,0.298670487604091,0.779346503599734,at_least_450
E01001580,1561.2282599999999,7.353868452885833,-0.14259963498226713,0.10025500050838179,0.06901838940578747,0.15457854312592992,0.7013519628059792,at_least_450
E01001581,6574.20336,8.791060785845232,-0.17468006648337087,0.09588305920612714,0.05399771661459526,0.1546827903319405,0.8007289337251228,at_least_450
E01001582,528.07007,6.271120880553503,-0.3299045333131643,0.09435039558291952,0.056604135886739425,0.15206637914108515,0.7535282136982008,at_least_450
E01001583,735.84744,6.6023808694047466,-0.33710531085084705,0.10889876847298674,0.07295244514270513,0.17066031091133801,0.7257442059751827,at_least_450
E01001587,103.65153,4.650636068947581,-0.25360928102074315,0.052891838644349966,0.024208711632138957,0.08039482376714724,0.7063141495942469,below_450
E01001588,1696.7217699999999,7.437042495965802,-0.2855869940302588,0.1306021788121455,0.07537568165934477,0.21590042839069182,0.7822273239945479,at_least_450
E01001590,379.33758,5.941059226775803,-0.2608105951432494,0.06884799022548728,0.04194680632485713,0.1087203154095257,0.86879420852093,below_450
E01001591,1964.28944,7.583394811166043,-0.288859171385659,0.12861363750955154,0.06805434437401445,0.22315753952980907,0.746975729556141,at_least_450
E01001592,106.01705,4.672988167562106,-0.3532551603727891,0.027920226039113514,0.0014097732393044309,0.03761766401730807,0.9509399757814108,below_450
E01001593,678.5379800000001,6.52141312606892,-0.16896666565370438,0.1085299013033876,0.07518229119613908,0.17506336989485688,0.6896858728318201,at_least_450
E01001594,2006.15435,7.604473251668833,-0.2893692850702141,0.14016377154629203,0.07718628928028394,0.24978869819379218,0.8320038952074308,at_least_450
