lsoa,analysis_group,alightings,boardings,total_activity,direction_ratio,exact_direction_zero,near_zero_ratio_lt_0_01,eligible_two_direction_clustering,exclusion_reason,is_one_direction_exception,meets_core_min_total_50,eligible_core_clustering,analysis_status
E01000096,weekday,162.1649,153.89501,316.05991,0.9490032059958723,False,False,True,,False,True,True,eligible_core_clustering
E01000097,weekday,33.04479,39.35601,72.4008,0.8396377071761085,False,False,True,,False,True,True,eligible_core_clustering
E01000098,weekday,274.89303,145.32569,420.21872,0.5286626947216523,False,False,True,,False,True,True,eligible_core_clustering
E01000099,weekday,319.74482,176.45907,496.20389,0.5518746793145859,False,False,True,,False,True,True,eligible_core_clustering
E01000101,weekday,223.29122,117.44439,340.73561,0.5259695835778944,False,False,True,,False,True,True,eligible_core_clustering
E01000103,weekday,19.6849,13.76985,33.45475,0.6995133325543945,False,False,True,,False,False,False,below_min_total_50
E01000104,weekday,280.65105,159.34171,439.99276,0.5677573983778076,False,False,True,,False,True,True,eligible_core_clustering
E01000105,weekday,190.24636,198.38930000000002,388.63566000000003,0.9589547420148162,False,False,True,,False,True,True,eligible_core_clustering
E01000106,weekday,118.82171,66.15426,184.97597,0.5567522972022536,False,False,True,,False,True,True,eligible_core_clustering
E01000108,weekday,9.36275,19.746579999999998,29.10933,0.4741453963167293,False,False,True,,False,False,False,below_min_total_50
E01000110,weekday,113.88534,63.34851,177.23385,0.5562481527473159,False,False,True,,False,True,True,eligible_core_clustering
E01000111,weekday,231.92793,161.54687,393.4748,0.6965390929846181,False,False,True,,False,True,True,eligible_core_clustering
E01000112,weekday,405.15812,281.92633,687.0844500000001,0.6958427243171136,False,False,True,,False,True,True,eligible_core_clustering
E01000113,weekday,451.60711,745.45303,1197.06014,0.6058156474325418,False,False,True,,False,True,True,eligible_core_clustering
E01000114,weekday,501.41200000000003,355.33357,856.74557,0.708665867589926,False,False,True,,False,True,True,eligible_core_clustering
E01000115,weekday,7.325519999999999,8.14218,15.467699999999999,0.8997000803224688,False,False,True,,False,False,False,below_min_total_50
E01000116,weekday,3.6799599999999995,3.2492199999999998,6.929179999999999,0.8829498146718987,False,False,True,,False,False,False,below_min_total_50
E01000117,weekday,28.36698,10.729800000000001,39.09678,0.37824964095578734,False,False,True,,False,False,False,below_min_total_50
E01000118,weekday,345.84414,165.43322999999998,511.27736999999996,0.47834619953369745,False,False,True,,False,True,True,eligible_core_clustering
E01000120,weekday,75.06468,71.52888,146.59356,0.9528966219532276,False,False,True,,False,True,True,eligible_core_clustering
E01000121,weekday,48.148160000000004,20.50789,68.65605000000001,0.425932995154955,False,False,True,,False,True,True,eligible_core_clustering
E01000123,weekday,61.4297,21.04143,82.47112999999999,0.3425286140091845,False,False,True,,False,True,True,eligible_core_clustering
E01000124,weekday,77.55532,57.45921,135.01452999999998,0.7408803161407883,False,False,True,,False,True,True,eligible_core_clustering
E01000126,weekday,182.67139,96.92872,279.60011,0.530617958291115,False,False,True,,False,True,True,eligible_core_clustering
E01000127,weekday,105.14061000000001,52.90653,158.04714,0.5031978604651427,False,False,True,,False,True,True,eligible_core_clustering
E01000128,weekday,54.2036,17.866509999999998,72.07011,0.329618512423529,False,False,True,,False,True,True,eligible_core_clustering
