lsoa,alightings_old,boardings_old,alightings_hub_first,boardings_hub_first,boardings_delta,alightings_delta,total_old,total_hub_first,total_delta
E01000072,365.17728999999997,223.72885,365.17728999999997,223.72885,0.0,0.0,588.9061399999999,588.9061399999999,0.0
E01000073,90.08482,88.40006,90.08482,88.40006,0.0,0.0,178.48487999999998,178.48487999999998,0.0
E01000074,136.51215,112.02136999999999,136.51215,112.02136999999999,0.0,0.0,248.53351999999998,248.53351999999998,0.0
E01000075,1179.76752,1272.13834,1179.76752,1272.13834,0.0,0.0,2451.90586,2451.90586,0.0
E01000076,47.16991,36.953939999999996,0.0,0.0,-36.953939999999996,-47.16991,84.12385,0.0,-84.12385
E01000077,699.4763,884.62072,148.29543999999999,99.85114,-784.76958,-551.18086,1584.0970200000002,248.14657999999997,-1335.95044
E01000078,532.65064,411.58169,532.65064,411.58169,0.0,0.0,944.2323299999999,944.2323299999999,0.0
E01000079,157.09548,116.00551999999999,110.30241000000001,79.72142,-36.284099999999995,-46.79307,273.101,190.02383,-83.07717
E01000080,96.78161,89.86012,83.69937999999999,66.4762,-23.38391999999999,-13.08223000000001,186.64173,150.17558,-36.46615
E01000081,96.02599,243.41174,0.0,0.0,-243.41174,-96.02599,339.43773,0.0,-339.43773
E01000082,1321.09399,469.84999,1417.11998,713.26173,243.41173999999995,96.02598999999987,1790.94398,2130.3817099999997,339.43772999999965
E01000083,2055.89907,775.82867,2173.58176,1534.39265,758.56398,117.6826900000001,2831.72774,3707.97441,876.24667
E01000084,449.8755,365.84486,170.22849,322.1603,-43.684559999999976,-279.64701,815.72036,492.38879,-323.33157000000006
E01000085,322.12651,357.18583,232.60989,132.68105,-224.50478,-89.51661999999999,679.31234,365.29094,-314.02139999999997
E01000086,52.61714,149.18012,271.97321,188.21868,39.03856000000002,219.35607,201.79726,460.19189,258.39463
E01000087,2635.84037,1590.77057,2417.37957,1658.29205,67.52148000000011,-218.46079999999984,4226.61094,4075.67162,-150.9393199999995
E01000088,194.50522,148.52464,319.75256,249.60327999999998,101.07863999999998,125.24734000000001,343.02986,569.35584,226.32597999999996
E01000090,597.02689,323.67836,471.77955,222.59972,-101.07864000000001,-125.24734000000001,920.70525,694.3792699999999,-226.32598000000007
E01000091,1535.09329,408.49288,1474.4882400000001,408.11032,-0.3825600000000122,-60.60504999999989,1943.58617,1882.5985600000001,-60.987609999999904
E01000093,1103.22931,731.17796,1070.36651,714.73825,-16.43970999999999,-32.86279999999988,1834.40727,1785.1047600000002,-49.30250999999976
E01000094,1145.03003,853.02623,1138.8746,761.08545,-91.94078000000002,-6.155429999999797,1998.0562599999998,1899.9600500000001,-98.0962099999997
E01000095,1130.83612,1279.66351,1389.7712000000001,1521.45952,241.79601000000002,258.9350800000002,2410.4996300000003,2911.2307200000005,500.7310900000002
E01000096,362.3241,327.52171999999996,362.3241,327.52172,5.684341886080802e-14,0.0,689.84582,689.84582,0.0
E01000097,346.94032,202.56665,81.94037999999999,81.98679,-120.57986000000001,-264.99994,549.50697,163.92717,-385.57980000000003
E01000098,211.21984,132.42029,650.33407,420.83191,288.41161999999997,439.11423,343.64013,1071.16598,727.52585
E01000099,556.44359,420.79345,778.70053,477.28506,56.49160999999998,222.25694,977.23704,1255.98559,278.74855
E01000101,46.62994,305.23526,561.99294,314.98667,9.751410000000021,515.3629999999999,351.86519999999996,876.97961,525.11441
E01000102,280.39199,197.01235,0.0,0.0,-197.01235,-280.39199,477.40434000000005,0.0,-477.40434000000005
E01000103,41.77599,32.46996,41.77599,32.46996,0.0,0.0,74.24595,74.24595,0.0
E01000104,743.80635,412.03743,743.80635,412.03743,0.0,0.0,1155.84378,1155.84378,0.0
E01000105,1645.99717,1957.6112500000002,502.71847,478.36010000000005,-1479.25115,-1143.2787,3603.6084200000005,981.0785700000001,-2622.5298500000004
E01000106,270.76753,100.77207,299.18436,171.40977,70.63770000000001,28.416830000000004,371.5396,470.59413000000006,99.05453000000006
E01000108,25.231659999999998,59.65479,25.231659999999998,59.65479,0.0,0.0,84.88645,84.88645,0.0
E01000110,282.63772,167.32073,282.63772,167.32073,0.0,0.0,449.95844999999997,449.95844999999997,0.0
E01000111,580.46856,535.43765,525.53286,431.05231,-104.38533999999999,-54.9357,1115.90621,956.5851700000001,-159.32104000000004
E01000112,1122.53265,1244.59543,1010.2691,738.95955,-505.63588000000004,-112.26355000000012,2367.1280800000004,1749.22865,-617.8994300000004
E01000113,739.92529,1035.43139,1150.07006,1803.23209,767.8007,410.14477,1775.3566799999999,2953.30215,1177.9454700000001
E01000114,1636.90646,534.68609,1160.31707,851.32038,316.63428999999996,-476.58938999999987,2171.59255,2011.6374500000002,-159.95509999999967
E01000115,28.737859999999998,26.31582,15.277619999999999,23.95375,-2.3620699999999992,-13.460239999999999,55.05368,39.23137,-15.822310000000002
E01000116,10.42255,7.40416,10.42255,7.40416,0.0,0.0,17.82671,17.82671,0.0
E01000117,213.25933,96.48759,64.70195,29.27451,-67.21307999999999,-148.55738000000002,309.74692,93.97646,-215.77045999999999
E01000118,645.5728,344.98287,805.71839,440.05715999999995,95.07428999999996,160.14558999999997,990.55567,1245.7755499999998,255.21987999999988
E01000120,185.7432,199.07163,185.7432,199.07163,0.0,0.0,384.81483000000003,384.81483000000003,0.0
E01000121,107.34919,52.27016,107.34919,52.27016,0.0,0.0,159.61935,159.61935,0.0
E01000123,129.51245,43.91363,133.83854,49.6951,5.781469999999999,4.3260899999999936,173.42608,183.53364,10.107559999999978
E01000124,310.32446,183.86411999999999,200.17059,147.14295,-36.72116999999997,-110.15386999999998,494.18858,347.31354,-146.87504
E01000126,437.97027,251.72339,437.97027,251.72339,0.0,0.0,689.69366,689.69366,0.0
E01000127,257.51592,150.42646,257.51592,150.42646,0.0,0.0,407.94237999999996,407.94237999999996,0.0
E01000128,119.72915,56.12278,119.72915,56.12278,0.0,0.0,175.85193,175.85193,0.0
E01000129,3039.6371,3587.48146,4133.83823,4201.46189,613.9804299999996,1094.2011300000004,6627.11856,8335.30012,1708.18156
E01000130,708.47134,362.17578,708.4713399999999,362.17578,0.0,-1.1368683772161603e-13,1070.64712,1070.6471199999999,-2.2737367544323206e-13
E01000131,162.87974,149.99448,333.12499,340.22658,190.2321,170.24525000000003,312.87422000000004,673.35157,360.47735
E01000133,498.00260000000003,178.92696999999998,498.0026,178.92696999999998,0.0,-5.684341886080802e-14,676.92957,676.92957,0.0
E01000134,235.33863,152.72768,149.00955,49.28998,-103.43769999999999,-86.32908,388.06631,198.29953,-189.76677999999998
E01000135,183.21079,167.77637,258.76184,92.43802,-75.33834999999999,75.55105,350.98716,351.19986,0.2126999999999839
E01000136,292.87074,304.48402,335.73105,336.87541,32.39139,42.86030999999997,597.3547599999999,672.60646,75.25170000000003
E01000137,110.23362999999999,55.20688,0.0,0.0,-55.20688,-110.23362999999999,165.44051,0.0,-165.44051
E01000138,548.11512,217.39238,535.99131,270.35703,52.964650000000006,-12.123810000000049,765.5075,806.34834,40.84083999999996
E01000139,1995.09806,1208.20588,2141.31137,1136.94463,-71.26125000000002,146.21330999999986,3203.30394,3278.256,74.95206000000007
E01000140,1587.56207,792.93799,1722.3724,1065.64252,272.7045300000001,134.81033000000002,2380.50006,2788.01492,407.5148600000002
E01000141,5196.50583,4557.26193,7503.74518,5833.59168,1276.3297500000008,2307.23935,9753.767759999999,13337.33686,3583.5691000000006
E01000143,268.27553,179.02573,556.84295,335.44799,156.42226,288.56741999999997,447.30126,892.29094,444.98967999999996
E01000144,1029.36295,2882.81786,590.34167,822.36839,-2060.44947,-439.02127999999993,3912.18081,1412.7100599999999,-2499.47075
E01000145,253.47424999999998,192.87285,0.0,0.0,-192.87285,-253.47424999999998,446.34709999999995,0.0,-446.34709999999995
E01000146,6113.99026,7410.39631,5086.31927,7378.39759,-31.998720000000503,-1027.6709899999996,13524.386569999999,12464.71686,-1059.6697099999983
E01000147,31.197609999999997,17.88636,31.19761,17.88636,0.0,3.552713678800501e-15,49.083969999999994,49.08397,7.105427357601002e-15
E01000150,326.89519,189.51706000000001,699.8542199999999,473.78904,284.27198,372.9590299999999,516.4122500000001,1173.6432599999998,657.2310099999997
E01000151,746.69623,453.04894,770.63158,472.51175,19.46280999999999,23.93534999999997,1199.7451700000001,1243.1433299999999,43.398159999999734
E01000152,124.88265,66.65679,113.50785,50.05293,-16.603859999999997,-11.374799999999993,191.53944,163.56078000000002,-27.97865999999999
E01000153,12.56055,2.85895,0.0,0.0,-2.85895,-12.56055,15.4195,0.0,-15.4195
E01000154,797.10293,586.1168,797.10293,586.1168,0.0,0.0,1383.21973,1383.21973,0.0
E01000156,1635.68769,714.70106,1635.68769,714.70106,0.0,0.0,2350.38875,2350.38875,0.0
E01000158,285.24066,77.06372,0.0,0.0,-77.06372,-285.24066,362.30438,0.0,-362.30438
E01000159,33.86906,34.592839999999995,33.86906,34.592839999999995,0.0,0.0,68.46189999999999,68.46189999999999,0.0
E01000160,399.38993,349.39148,399.38993,349.39148,0.0,0.0,748.78141,748.78141,0.0
E01000161,876.6688,580.96672,715.31917,417.14216,-163.82456000000002,-161.34963000000005,1457.63552,1132.46133,-325.17418999999995
E01000162,1465.48747,946.68376,1626.8371,1110.50832,163.8245599999999,161.34962999999993,2412.17123,2737.3454199999996,325.1741899999997
E01000164,1920.42252,1116.24658,1920.42252,1116.24658,0.0,0.0,3036.6691,3036.6691,0.0
E01000166,3.1482099999999993,26.151,3.1482099999999993,26.151,0.0,0.0,29.29921,29.29921,0.0
E01000167,65.92544,33.73466,65.92544,33.73466,0.0,0.0,99.6601,99.6601,0.0
E01000168,7.7169,0.05513,7.7169,0.05513,0.0,0.0,7.77203,7.77203,0.0
E01000169,27.04073,1.1018299999999999,27.04073,1.1018299999999999,0.0,0.0,28.14256,28.14256,0.0
E01000170,253.71196,66.61775,299.07001,180.54151000000002,113.92376000000002,45.35805000000002,320.32971,479.61152000000004,159.28181000000006
E01000171,1039.9406,923.33321,1039.9406,923.33321,0.0,0.0,1963.27381,1963.27381,0.0
E01000172,106.04642,65.36012,86.8807,51.20062,-14.159499999999994,-19.165719999999993,171.40654,138.08132,-33.32522
E01000173,36.26285,59.08672,55.42857,73.24622,14.159499999999994,19.16572,95.34957,128.67479,33.32522
E01000174,543.12005,424.71573,497.762,310.79197,-113.92376000000002,-45.35804999999999,967.83578,808.5539699999999,-159.28181000000006
E01000175,74.70697,33.63293,91.93681,46.245,12.612069999999996,17.229839999999996,108.3399,138.18180999999998,29.841909999999984
E01000176,200.73827,96.33295,200.73827,96.33295,0.0,0.0,297.07122,297.07122,0.0
E01000178,224.9299,235.46994,224.9299,235.46994,0.0,0.0,460.39984000000004,460.39984000000004,0.0
E01000180,43.54368,37.605129999999996,43.543679999999995,37.605129999999996,0.0,-7.105427357601002e-15,81.14881,81.14881,0.0
E01000181,209.89971,212.40227,209.89971,212.40227,0.0,0.0,422.30197999999996,422.30197999999996,0.0
E01000182,1143.6944799999999,1351.59,823.65728,962.83687,-388.75312999999994,-320.03719999999987,2495.28448,1786.49415,-708.7903299999998
E01000183,163.06537,176.12883,314.10072,228.92618,52.797349999999994,151.03535000000002,339.1942,543.0269000000001,203.83270000000005
E01000184,694.80056,244.21895999999998,314.72522,145.57908,-98.63987999999998,-380.07534000000004,939.01952,460.3043,-478.71522000000004
E01000185,47.47794,94.60419,387.05012,157.61443,63.010239999999996,339.57218,142.08213,544.66455,402.58241999999996
E01000186,255.57738,143.55047,420.01367999999997,245.01636,101.46589,164.43629999999996,399.12784999999997,665.03004,265.90219
E01000187,222.6323,68.84893,95.71615,1.7586399999999998,-67.09029,-126.91614999999999,291.48123,97.47479,-194.00644
E01000188,684.87782,89.74984,684.87782,89.74984,0.0,0.0,774.6276600000001,774.6276600000001,0.0
E01000189,62.61323,148.44911,26.00263,82.61164,-65.83747,-36.610600000000005,211.06234,108.61426999999999,-102.44807000000002
E01000190,22.94178,62.696509999999996,0.0,0.0,-62.696509999999996,-22.94178,85.63829,0.0,-85.63829
E01000191,259.70963,206.86608999999999,259.70963,206.86608999999999,0.0,0.0,466.57572,466.57572,0.0
E01000192,159.92337999999998,148.19019,159.92337999999998,148.19019,0.0,0.0,308.11357,308.11357,0.0
E01000193,6695.56226,5772.65423,6900.59382,7142.09897,1369.44474,205.03156000000035,12468.216489999999,14042.692790000001,1574.476300000002
E01000194,1761.99,3681.12521,1866.62293,1253.56817,-2427.55704,104.63292999999999,5443.11521,3120.1911,-2322.92411
E01000195,0.0,120.58844,0.0,120.58844,0.0,0.0,120.58844,120.58844,0.0
E01000196,1704.41836,1494.85104,1705.05902,1495.55698,0.7059400000000551,0.6406600000000253,3199.2694,3200.616,1.346599999999853
E01000197,213.64636,161.51583,213.0057,160.80989,-0.7059399999999982,-0.6406599999999969,375.16219,373.81559,-1.3466000000000236
E01000198,211.74074,131.55182,211.74074,131.55182,0.0,0.0,343.29256,343.29256,0.0
E01000199,43.51864,32.43853,43.51864,32.43853,0.0,0.0,75.95716999999999,75.95716999999999,0.0
E01000200,231.76608,143.0165,231.76608,143.01649999999998,-2.842170943040401e-14,0.0,374.78258,374.78257999999994,-5.684341886080802e-14
E01000201,298.02486,122.53643999999998,335.90839,214.32201,91.78557000000002,37.88353000000001,420.56129999999996,550.2304,129.66910000000007
E01000202,223.22784,171.1415,223.22784,171.1415,0.0,0.0,394.36933999999997,394.36933999999997,0.0
E01000203,926.93231,772.7897,913.58681,875.49175,102.70204999999999,-13.345500000000015,1699.72201,1789.07856,89.35654999999997
E01000204,28.815129999999996,69.04759,20.76909,15.78731,-53.26028,-8.046039999999998,97.86272,36.5564,-61.30632
E01000205,207.35231,83.42331,207.35231,83.42331,0.0,0.0,290.77562,290.77562,0.0
E01000206,159.20809,200.34896,110.56174,163.18433,-37.16463000000002,-48.64635,359.55705,273.74607,-85.81098000000003
E01000207,39.24005,29.13371,39.24005,29.13371,0.0,0.0,68.37376,68.37376,0.0
E01000208,1463.87923,2719.30156,1783.91643,3108.05469,388.75313000000006,320.0372,4183.18079,4891.97112,708.7903299999998
E01000209,41.92801,22.966169999999998,41.92800999999999,22.966169999999998,0.0,-7.105427357601002e-15,64.89418,64.89417999999999,-1.4210854715202004e-14
E01000210,726.23388,519.54824,671.28169,534.93277,15.38453000000004,-54.95218999999997,1245.7821199999998,1206.2144600000001,-39.567659999999705
E01000211,2699.92488,1868.43419,2579.30369,1605.76469,-262.66949999999997,-120.62118999999984,4568.35907,4185.068380000001,-383.2906899999998
E01000212,99.11564,134.383,15.315639999999998,20.44153,-113.94147000000001,-83.8,233.49864000000002,35.75717,-197.74147000000002
E01000213,57.678839999999994,50.27668,63.464879999999994,55.04992,4.773240000000001,5.78604,107.95551999999999,118.5148,10.559280000000001
E01000214,5150.35253,2774.30622,6700.8448,4980.69588,2206.3896600000003,1550.4922699999997,7924.6587500000005,11681.54068,3756.8819299999996
E01000215,424.27117,317.24164,529.88917,433.44732,116.20567999999997,105.61800000000005,741.51281,963.33649,221.82368000000008
E01000218,745.13575,697.45025,984.95996,844.73965,147.2894,239.82421,1442.586,1829.6996100000001,387.1136100000001
E01000219,382.4228,281.80913,432.5031,340.9413,59.13217000000003,50.08030000000002,664.2319299999999,773.4444000000001,109.21247000000017
E01000221,982.57866,952.06948,1068.26585,1029.17055,77.10107000000005,85.68718999999999,1934.64814,2097.4364,162.78826000000004
E01000222,1065.2299,544.29149,819.6466,366.84238,-177.44910999999996,-245.5833,1609.5213899999999,1186.48898,-423.0324099999998
E01000223,1838.12277,1269.25136,2799.03429,2298.7488,1029.4974399999999,960.9115200000001,3107.37413,5097.78309,1990.4089599999998
E01000224,163.44897,305.87696,81.00950999999999,76.49489,-229.38207,-82.43946000000001,469.32592999999997,157.50439999999998,-311.82153
E01000225,13.5999,22.4028,0.0,0.0,-22.4028,-13.5999,36.0027,0.0,-36.0027
E01000226,287.63574,56.025909999999996,373.96482,159.46361,103.43769999999999,86.32907999999998,343.66165,533.4284299999999,189.76677999999993
E01000227,72.36737,100.52902999999999,184.74594,152.56658,52.037549999999996,112.37857,172.89639999999997,337.31251999999995,164.41611999999998
E01000228,118.60493,89.3551,111.82211,79.38885,-9.966249999999988,-6.782820000000001,207.96003,191.21096,-16.74906999999999
E01000229,347.29879999999997,171.84809,347.29879999999997,171.84809,0.0,0.0,519.14689,519.14689,0.0
E01000230,151.8183,154.79792,16.17077,75.00716,-79.79076,-135.64753,306.61622,91.17793,-215.43829
E01000231,308.99262,158.43833,647.93598,239.25789,80.81956,338.94336,467.43095,887.19387,419.76291999999995
E01000232,262.94018,184.66419,270.45926,189.92021,5.256020000000007,7.519079999999974,447.60437,460.37946999999997,12.775099999999952
E01000233,585.60043,394.86747,571.34924,388.24508,-6.622390000000053,-14.251189999999951,980.4679,959.5943199999999,-20.87358000000006
E01000234,170.22629,90.4339,170.22629,90.4339,0.0,0.0,260.66019,260.66019,0.0
E01000235,679.68863,361.29046999999997,679.68863,361.29047,5.684341886080802e-14,0.0,1040.9791,1040.9791,0.0
E01000236,403.45752,349.06550999999996,583.25626,531.4823,182.41679000000005,179.79874,752.52303,1114.73856,362.21553000000006
E01000237,1073.97524,778.99416,4790.78037,4723.33672,3944.34256,3716.8051300000006,1852.9694,9514.11709,7661.14769
E01000238,57.33007,34.57452,57.33007,34.57452,0.0,0.0,91.90459,91.90459,0.0
E01000239,1316.34817,569.36793,1067.84958,553.78457,-15.58335999999997,-248.49858999999992,1885.7161,1621.63415,-264.08195
E01000240,492.62218,239.17408,492.62218,239.17408,0.0,0.0,731.7962600000001,731.7962600000001,0.0
E01000242,224.33344,153.93285,224.33344,153.93285,0.0,0.0,378.26629,378.26629,0.0
E01000243,1273.94768,957.79632,1643.82305,1174.6318999999999,216.83557999999982,369.87537,2231.744,2818.45495,586.7109499999997
E01000244,1114.36665,1074.8572199999999,939.55645,762.91141,-311.9458099999998,-174.8101999999999,2189.22387,1702.4678600000002,-486.7560099999996
E01000245,589.82539,450.30526,0.0,0.0,-450.30526,-589.82539,1040.13065,0.0,-1040.13065
E01000246,260.19559,407.69847,53.538219999999995,40.73034,-366.96813,-206.65737,667.89406,94.26856,-573.6255
E01000247,58.55674,27.85579,58.55674,27.85579,0.0,0.0,86.41253,86.41253,0.0
E01000248,833.41148,1130.93977,1070.43675,1157.0709200000001,26.13115000000016,237.0252700000001,1964.35125,2227.50767,263.15642
E01000249,20.316779999999998,26.40573,0.0,0.0,-26.40573,-20.316779999999998,46.72251,0.0,-46.72251
E01000250,2489.00586,2863.18087,3204.27477,3676.65503,813.4741599999998,715.2689099999998,5352.18673,6880.9298,1528.7430699999995
E01000251,976.55324,728.41384,976.55324,728.41384,0.0,0.0,1704.96708,1704.96708,0.0
E01000252,52.35695,40.08119,52.35695,40.08119,0.0,0.0,92.43814,92.43814,0.0
E01000253,87.87631999999999,95.11399,87.87631999999999,95.11399,0.0,0.0,182.99031,182.99031,0.0
E01000255,311.52693999999997,251.41109,223.22672,204.72815,-46.68294,-88.30021999999997,562.93803,427.95487,-134.98316
E01000256,355.02475,181.55159,403.38344,206.57972,25.028130000000004,48.358690000000024,536.57634,609.96316,73.38682000000006
E01000257,1058.12303,1069.7456300000001,1071.6245,1108.86367,39.11803999999984,13.501469999999927,2127.86866,2180.4881699999996,52.619509999999536
E01000258,190.02421,114.17688,190.02420999999998,114.17688,0.0,-2.842170943040401e-14,304.20109,304.20108999999997,-5.684341886080802e-14
E01000259,134.28466,91.45687,267.15686,195.52756,104.07069,132.8722,225.74153,462.68442,236.94288999999998
E01000260,611.7823000000001,272.9425,563.42361,247.91437000000002,-25.028129999999976,-48.358690000000024,884.7248000000001,811.33798,-73.38682000000006
E01000261,169.2518,212.86747,169.2518,212.86747,0.0,0.0,382.11927000000003,382.11927000000003,0.0
E01000263,333.75259,234.69831,333.75259,234.69831,0.0,0.0,568.4509,568.4509,0.0
E01000264,2595.71195,2546.99383,2249.24951,2460.91825,-86.07557999999972,-346.4624399999998,5142.70578,4710.16776,-432.53801999999996
E01000265,550.22456,297.571,835.46522,374.63472,77.06371999999999,285.24066000000005,847.79556,1210.09994,362.30438000000004
E01000266,52.35847,50.4556,52.35847,50.4556,0.0,0.0,102.81406999999999,102.81406999999999,0.0
E01000267,37.50905,34.75692,37.509049999999995,34.75692,0.0,-7.105427357601002e-15,72.26597000000001,72.26597,-1.4210854715202004e-14
E01000268,1374.30245,1033.43953,1374.30245,1033.43953,0.0,0.0,2407.74198,2407.74198,0.0
E01000269,248.32341,76.93381,301.60684,183.49319,106.55938,53.28342999999998,325.25721999999996,485.10002999999995,159.84281
E01000270,77.93836,30.63264,77.93836,30.63264,0.0,0.0,108.571,108.571,0.0
E01000271,326.99387,236.79864999999998,273.71044,130.23927,-106.55937999999998,-53.28343000000001,563.79252,403.94971,-159.84281
E01000272,9.21422,9.37276,9.21422,9.37276,0.0,0.0,18.586979999999997,18.586979999999997,0.0
E01000273,1339.90778,1593.27143,1147.71676,1211.32417,-381.9472599999999,-192.19101999999998,2933.1792100000002,2359.04093,-574.1382800000001
E01000274,677.74694,326.06219,648.92889,285.58891,-40.47327999999999,-28.81804999999997,1003.80913,934.5178000000001,-69.2913299999999
E01000275,13.174639999999998,13.105179999999999,16.180009999999996,13.9342,0.8290200000000016,3.0053699999999974,26.279819999999997,30.114209999999996,3.834389999999999
E01000276,18.96063,19.58757,15.955259999999999,18.75855,-0.8290199999999999,-3.005369999999999,38.548199999999994,34.713809999999995,-3.834389999999999
E01000277,19.701439999999998,41.75666,19.701439999999998,41.75666,0.0,0.0,61.458099999999995,61.458099999999995,0.0
E01000278,227.00041,170.98881,227.00041,170.98881,0.0,0.0,397.98922,397.98922,0.0
E01000279,73.67859,75.76579,80.31836999999999,80.36425,4.598460000000003,6.639779999999988,149.44438,160.68262,11.23823999999999
