K,replicate,ARI,min_matched_cluster_jaccard
5,8,0.890328070816334,0.7692307692307693
5,9,0.6571389711225568,0.007361963190184049
5,10,0.599951724890922,0.012687427912341407
5,11,0.6175207478179917,0.012121212121212121
5,12,0.8065534377953384,0.006896551724137931
5,13,0.7809240383610886,0.4551148225469729
5,14,0.5711793240293395,0.0
5,15,0.6887756457596174,0.0
5,16,0.8910175395184543,0.6299559471365639
5,17,0.6584818669471362,0.008403361344537815
5,18,0.8944154632381552,0.8364485981308412
5,19,0.698968850606734,0.006557377049180328
5,20,0.8065069401005703,0.29174311926605506
6,1,0.6769303950661606,0.003179650238473768
6,2,0.6271647217352995,0.0
6,3,0.8114966108349168,0.06841046277665996
6,4,0.5537262424045605,0.0
6,5,0.7255475289944525,0.012903225806451613
6,6,0.6918842024933245,0.0
6,7,0.8422028146015039,0.0
6,8,0.8312780275304475,0.10638297872340426
6,9,0.7298077649421818,0.012219959266802444
6,10,0.6860807645956072,0.0
6,11,0.667741810442804,0.008724100327153763
6,12,0.7179865725082738,0.0
6,13,0.6990022672903842,0.015408320493066256
6,14,0.7917638535369983,0.05765407554671968
6,15,0.6884313818669106,0.0
6,16,0.7239821592438878,0.01598173515981735
6,17,0.7449951486294355,0.002012072434607646
6,18,0.7886215658527042,0.0
6,19,0.6901230856415858,0.04753199268738574
6,20,0.8501567022641455,0.0
7,1,0.6068876631871912,0.06077348066298342
7,2,0.6031342925221292,0.08777969018932874
7,3,0.6991950090063515,0.005221932114882507
7,4,0.5975634202470289,0.0
7,5,0.7332866744609695,0.15384615384615385
7,6,0.7196832028765073,0.0
7,7,0.6400678453279445,0.02654867256637168
7,8,0.5785207853412536,0.0
7,9,0.6007089975032651,0.0024390243902439024
7,10,0.5901260836696242,0.0
7,11,0.6105564627127511,0.0
7,12,0.6696208324777918,0.07272727272727272
7,13,0.5998014464396685,0.0
7,14,0.6325585061596047,0.17042606516290726
7,15,0.6246531626699942,0.0
7,16,0.6134059084612716,0.0
7,17,0.6543481997360573,0.002242152466367713
7,18,0.6646864797335452,0.1527777777777778
7,19,0.57881128055904,0.0
7,20,0.666012059869666,0.0
8,1,0.6184650753551206,0.0
8,2,0.6234356095843417,0.01859504132231405
8,3,0.6319492347166998,0.0
8,4,0.6306865475803592,0.0
8,5,0.7278258247008801,0.24260355029585798
8,6,0.5817589408398692,0.012345679012345678
8,7,0.6946241946956498,0.11026615969581749
8,8,0.6716536768489584,0.0
8,9,0.6620734933703335,0.028708133971291867
8,10,0.7166002259350231,0.13442622950819672
8,11,0.5703205268007308,0.11984282907662082
8,12,0.6019739584941727,0.08333333333333333
8,13,0.5720544657496583,0.0
8,14,0.6460402972610576,0.07258064516129033
8,15,0.6321135288574178,0.0
8,16,0.6173952072725677,0.0
8,17,0.5857851776329563,0.0
8,18,0.6648867207784726,0.1540041067761807
8,19,0.6687096976700083,0.08661417322834646
8,20,0.653060811378739,0.0
