alpha,cluster_aligned_to_alpha5,direction,day_type,hour_bin,mean_share
0.0,2,boardings,Weekday,1620,0.0053377252612069204
0.0,2,boardings,Weekday,1680,0.013262692710806396
0.0,2,boardings,Weekday,1740,0.042325937657024096
0.0,2,boardings,Saturday,1080,0.09087737560930584
0.0,2,boardings,Saturday,1140,0.07227857061408671
0.0,2,boardings,Saturday,1200,0.05111337389738822
0.0,2,boardings,Saturday,1260,0.03655456616330992
0.0,2,boardings,Saturday,1320,0.02922285095443865
0.0,2,boardings,Saturday,1380,0.021689260559787225
0.0,2,boardings,Saturday,1440,0.006284016867496172
0.0,2,boardings,Saturday,1500,0.0032698354920176085
0.0,2,boardings,Saturday,1560,0.003201428635927194
0.0,2,boardings,Saturday,1620,0.005772032167089845
0.0,2,boardings,Saturday,1680,0.011367113721883813
0.0,2,boardings,Saturday,1740,0.017046712255849375
0.0,2,boardings,Sunday,1080,0.05664469653441013
0.0,2,boardings,Sunday,1140,0.05015265438946203
0.0,2,boardings,Sunday,1200,0.036592959756779855
0.0,2,boardings,Sunday,1260,0.025808845570554132
0.0,2,boardings,Sunday,1320,0.01958175490986302
0.0,2,boardings,Sunday,1380,0.01196098225524322
0.0,2,boardings,Sunday,1440,0.007046396679877576
0.0,2,boardings,Sunday,1500,0.004081016639128893
0.0,2,boardings,Sunday,1560,0.0033839697056025205
0.0,2,boardings,Sunday,1620,0.0053377252612069204
0.0,2,boardings,Sunday,1680,0.013262692710806396
0.0,2,boardings,Sunday,1740,0.042325937657024096
0.0,2,alightings,Weekday,1080,0.1096048705936356
0.0,2,alightings,Weekday,1140,0.0788268617349946
0.0,2,alightings,Weekday,1200,0.053494523361344866
0.0,2,alightings,Weekday,1260,0.040669132734091375
0.0,2,alightings,Weekday,1320,0.033025686081306856
0.0,2,alightings,Weekday,1380,0.025328665801483262
0.0,2,alightings,Weekday,1440,0.013168838546141867
0.0,2,alightings,Weekday,1500,0.006211835141964506
0.0,2,alightings,Weekday,1560,0.00377929311326922
0.0,2,alightings,Weekday,1620,0.0038707796041457
0.0,2,alightings,Weekday,1680,0.005257396380871433
0.0,2,alightings,Weekday,1740,0.015555367759427488
0.0,2,alightings,Saturday,1080,0.08344657455367739
0.0,2,alightings,Saturday,1140,0.06752524201842651
0.0,2,alightings,Saturday,1200,0.0534836611618427
0.0,2,alightings,Saturday,1260,0.04124602343994433
0.0,2,alightings,Saturday,1320,0.036228040939662885
0.0,2,alightings,Saturday,1380,0.03050216736450962
0.0,2,alightings,Saturday,1440,0.011200599556675846
0.0,2,alightings,Saturday,1500,0.004794394353792787
0.0,2,alightings,Saturday,1560,0.002941999260716951
0.0,2,alightings,Saturday,1620,0.003518762886085061
0.0,2,alightings,Saturday,1680,0.005018812454813761
0.0,2,alightings,Saturday,1740,0.008748456989101764
0.0,2,alightings,Sunday,1080,0.056078469496789456
0.0,2,alightings,Sunday,1140,0.0471756146964682
0.0,2,alightings,Sunday,1200,0.03863486371612165
0.0,2,alightings,Sunday,1260,0.029404693560241515
0.0,2,alightings,Sunday,1320,0.024380468525005732
