alpha,cluster_aligned_to_alpha5,metric,mean,median,p10,p90
100.0,1,post_midnight_share,0.07695883025062959,0.07665960077296827,0.03322770094807729,0.11891462909540375
100.0,1,deep_night_share,0.04445633376158022,0.043091702209442743,0.011965452801274432,0.0759984727075978
100.0,1,post_midnight_persistence,0.12044936265781035,0.11592545958989814,0.047291367809072345,0.19563333411143258
100.0,1,weekend_ratio,0.7714206029879183,0.7667187640148799,0.6346795727495174,0.9062574118574508
100.0,2,total_activity,4118.404490265486,1301.08358,291.489542,9332.902745999998
100.0,2,direction_balance,-0.004003934190063833,-0.005172805042453057,-0.30097716264355573,0.2637400280307972
100.0,2,post_midnight_share,0.162038878671959,0.14890816402662424,0.08675931776278892,0.2585149499183366
100.0,2,deep_night_share,0.09804824674324833,0.08234068061987444,0.041904871353369816,0.16834922477857373
100.0,2,post_midnight_persistence,0.3102004325144785,0.2652539291530579,0.14103557480852313,0.5358687873237632
100.0,2,weekend_ratio,0.8749865984878278,0.843238832758162,0.6676079452695712,1.1087582355692605
200.0,0,total_activity,1762.935321068182,1028.717445,278.24058600000006,3801.656927000001
200.0,0,direction_balance,-0.17791070305545378,-0.19811120874534874,-0.37950093827109393,0.020385227575307776
200.0,0,post_midnight_share,0.1508370770954947,0.1448233245548498,0.10656512877215368,0.20378041525670218
200.0,0,deep_night_share,0.10012279448504274,0.09294425270394963,0.06208387488389863,0.14172925113099222
200.0,0,post_midnight_persistence,0.26196692264066895,0.2447774987512991,0.16963131827131459,0.37705422849051434
200.0,0,weekend_ratio,0.796413525411571,0.7918848722464297,0.6962064440679038,0.8968802110452643
200.0,1,total_activity,1575.0864554863156,546.3399900000001,114.46226399999999,3610.3278519999935
200.0,1,direction_balance,-0.1305180020435605,-0.1400350833065011,-0.39805107696647946,0.16151377311390527
200.0,1,post_midnight_share,0.07957063541055248,0.07843760972475326,0.03440522366004761,0.12299419631990999
200.0,1,deep_night_share,0.04556441583697482,0.04428983346926768,0.012636013052110253,0.07815619291708151
200.0,1,post_midnight_persistence,0.12526693048022533,0.12021103368742486,0.04859168116302896,0.20355069330874553
200.0,1,weekend_ratio,0.7739570888765465,0.7697134424647192,0.6425663418463557,0.9060362838704552
200.0,2,total_activity,4829.664509378698,1841.6545999999998,440.806661,10724.638334000007
200.0,2,direction_balance,0.007362551581065929,0.007441976401090934,-0.2563439200254959,0.26379430743351795
200.0,2,post_midnight_share,0.1630289633216648,0.154686816398945,0.08905858001684827,0.2546402429139573
200.0,2,deep_night_share,0.09704754049266164,0.0839176662266351,0.04315633483061192,0.16146247715309114
200.0,2,post_midnight_persistence,0.3131765706735601,0.2782047214601211,0.14169687515696736,0.5193084590992472
200.0,2,weekend_ratio,0.8749069885503127,0.8483788067393008,0.6776728593972923,1.068045939780946
