lsoa,alpha,cluster_raw,cluster_aligned_to_alpha5,max_posterior,normalized_entropy,total_activity,activity_band,min_direction_reliability
E01000253,0.0,2,1,1.0,1.030307710158735e-15,182.99031,below_450,1.0
E01000255,0.0,2,1,0.9999999762821407,4.0067305931952135e-07,427.95487,below_450,1.0
E01000256,0.0,2,1,0.8695196782362572,0.3525346108474149,609.96316,at_least_450,1.0
E01000257,0.0,0,0,0.9999846187022308,0.00016916088874436487,2180.48817,at_least_450,1.0
E01000258,0.0,2,1,0.9999285601193932,0.0007057670447333104,304.20109,below_450,1.0
E01000259,0.0,2,1,0.9992059508864142,0.0058819170839085125,462.68442,at_least_450,1.0
E01000260,0.0,0,0,0.999999987792819,2.1357574991154972e-07,811.33798,at_least_450,1.0
E01000261,0.0,2,1,0.9999999999167812,1.83335372089384e-09,382.11927,below_450,1.0
E01000263,0.0,0,0,0.9998715508792043,0.0011645073873080443,568.4509,at_least_450,1.0
E01000264,0.0,0,0,0.9999999998325961,3.5824108454119332e-09,4710.16776,at_least_450,1.0
E01000265,0.0,0,0,0.9999998083373113,2.8729072757483005e-06,1210.09994,at_least_450,1.0
E01000266,0.0,2,1,1.0,2.1615262990033318e-16,102.81407,below_450,1.0
E01000267,0.0,2,1,1.0,3.533465135521458e-17,72.26597,below_450,1.0
E01000268,0.0,0,0,0.9999999998843236,2.5140715624539745e-09,2407.74198,at_least_450,1.0
E01000269,0.0,1,2,0.9986049423522184,0.009617893858648285,485.10003,at_least_450,1.0
E01000270,0.0,2,1,1.0,1.0471543417991712e-18,108.571,below_450,1.0
E01000271,0.0,0,0,0.9998923220900853,0.0009937561958450402,403.94971,below_450,1.0
E01000273,0.0,0,0,0.9999999961391381,7.159491076478759e-08,2359.04093,at_least_450,1.0
E01000274,0.0,0,0,0.9412388678462762,0.2034794653112041,934.5178,at_least_450,1.0
E01000277,0.0,2,1,1.0,1.6006304526380961e-41,61.458099999999995,below_450,1.0
E01000278,0.0,2,1,0.9999991116007971,1.207636342056322e-05,397.98922,below_450,1.0
E01000279,0.0,2,1,1.0,4.215061060768689e-13,160.68262,below_450,1.0
E01000280,0.0,2,1,1.0,1.0088748736017266e-16,76.13776999999999,below_450,1.0
E01000281,0.0,0,0,0.9999999999454303,1.2232297552396607e-09,2604.5760999999998,at_least_450,1.0
E01000282,0.0,0,0,0.9983846186777028,0.010921096016995339,947.41409,at_least_450,1.0
E01000283,0.0,2,1,1.0,1.1525942754583101e-14,69.39162,below_450,1.0
E01000284,0.0,0,0,0.9999999852104224,2.587566889370901e-07,542.02842,at_least_450,1.0
E01000285,0.0,2,1,0.9999999999997726,5.888188495447318e-12,344.48546,below_450,1.0
E01000286,0.0,2,1,0.9999999999773763,5.272484542135467e-10,511.51278,at_least_450,1.0
E01000287,0.0,2,1,1.0,2.3310864094443452e-36,110.87782,below_450,1.0
E01000288,0.0,2,1,0.9925502882092463,0.03998042085952344,487.3798,at_least_450,1.0
E01000289,0.0,2,1,1.0,8.060384842518493e-13,154.84743,below_450,1.0
E01000290,0.0,2,1,0.9999999999997726,5.550507259503936e-12,231.90961,below_450,1.0
E01000292,0.0,2,1,0.9999999998821636,2.5687332611351426e-09,244.6229,below_450,1.0
E01000296,0.0,0,0,0.9999999999998863,2.706441713906498e-12,4750.04233,at_least_450,1.0
E01000297,0.0,2,1,0.9999915179337132,9.787978988116173e-05,303.71393,below_450,1.0
E01000298,0.0,0,0,1.0,4.701929757081802e-13,2027.21249,at_least_450,1.0
E01000299,0.0,0,0,1.0,4.940204141207551e-13,3345.95874,at_least_450,1.0
E01000301,0.0,1,2,0.9927775399749905,0.03896468802568612,176.18777,below_450,1.0
E01000302,0.0,0,0,0.9999999999976126,6.044345443875895e-11,1521.06896,at_least_450,1.0
E01000305,0.0,0,0,0.9999999999997158,7.740873296174455e-12,1820.61016,at_least_450,1.0
E01000307,0.0,0,0,0.9956298798664359,0.02558069522105762,11963.23501,at_least_450,1.0
E01000309,0.0,0,0,0.996364638115374,0.021890109331219067,819.42841,at_least_450,1.0
E01000313,0.0,0,0,0.9999999999999432,1.4816359824268428e-12,7118.86543,at_least_450,1.0
E01000314,0.0,0,0,0.9999999886795194,1.988396667408568e-07,1634.6740399999999,at_least_450,1.0
E01000315,0.0,2,1,1.0,1.4484689771600017e-16,161.96948,below_450,1.0
E01000316,0.0,0,0,0.9999999999996589,9.750606249734809e-12,2927.76438,at_least_450,1.0
E01000318,0.0,2,1,0.9999975769293681,3.072468974748798e-05,319.18626,below_450,1.0
E01000321,0.0,0,0,0.9999999999951115,1.2060140169812028e-10,1227.82166,at_least_450,1.0
E01000323,0.0,0,0,1.0,5.515079829057103e-13,11392.4263,at_least_450,1.0
E01000324,0.0,0,0,0.9999999887540412,1.975977868382943e-07,417.02226,below_450,1.0
E01000325,0.0,2,1,0.9999999974554612,4.81510499713116e-08,137.29124,below_450,1.0
E01000326,0.0,2,1,0.9999999999961915,9.438901315244101e-11,328.52466,below_450,1.0
E01000327,0.0,2,1,0.9774567858268025,0.09810403036157384,173.14755,below_450,1.0
E01000329,0.0,2,1,0.999999999999261,1.951943561720032e-11,203.62667,below_450,1.0
E01000330,0.0,0,0,0.9999896826884267,0.00011808949913017976,516.1111999999999,at_least_450,1.0
E01000331,0.0,1,2,0.9999934542896587,7.707894262819515e-05,290.33471,below_450,1.0
E01000332,0.0,0,0,0.9999999746052598,4.273728878301491e-07,853.48136,at_least_450,1.0
E01000333,0.0,0,0,0.9976356762790216,0.015163870566967276,935.18222,at_least_450,1.0
E01000334,0.0,2,1,1.0,4.7228928426213004e-17,131.25746999999998,below_450,1.0
E01000335,0.0,1,2,1.0,1.0495906010024013e-20,2830.24788,at_least_450,1.0
E01000336,0.0,1,2,0.9999999987536512,2.439457021723805e-08,669.22311,at_least_450,1.0
E01000338,0.0,2,1,0.9999983487641647,2.1771361078805743e-05,219.70367,below_450,1.0
E01000340,0.0,0,0,0.9999999992327844,1.535539607302517e-08,472.38566,at_least_450,1.0
E01000343,0.0,1,2,1.0,1.5310476994126965e-23,256.37856999999997,below_450,1.0
E01000344,0.0,2,1,0.9999999999891429,2.6326786648357703e-10,356.40596,below_450,1.0
E01000345,0.0,2,1,1.0,7.0581251792458e-20,134.84382,below_450,1.0
