K,replicate,base_cluster,matched_jaccard
6,11,5,0.7685185185185185
6,12,0,0.30708661417322836
6,12,1,0.3153846153846154
6,12,2,0.4233576642335766
6,12,3,0.703030303030303
6,12,4,0.8374528697109342
6,12,5,0.8061224489795918
6,13,0,0.8311688311688312
6,13,1,0.926829268292683
6,13,2,0.4722222222222222
6,13,3,0.3680297397769517
6,13,4,0.869837296620776
6,13,5,0.8367346938775511
6,14,0,0.7604166666666666
6,14,1,0.6904761904761905
6,14,2,0.4
6,14,3,0.3174061433447099
6,14,4,0.8463756177924218
6,14,5,0.8409090909090909
6,15,0,0.5876288659793815
6,15,1,0.3448275862068966
6,15,2,0.3622448979591837
6,15,3,0.3828996282527881
6,15,4,0.8351328903654485
6,15,5,0.7592592592592593
6,16,0,0.8375
6,16,1,0.4235294117647059
6,16,2,0.5
6,16,3,0.07661290322580645
6,16,4,0.8556366585563666
6,16,5,0.6769911504424779
6,17,0,0.8831168831168831
6,17,1,0.9523809523809523
6,17,2,0.5561224489795918
6,17,3,0.007874015748031496
6,17,4,0.9128329297820823
6,17,5,0.8219895287958116
6,18,0,0.6847826086956522
6,18,1,0.6290322580645161
6,18,2,0.6178343949044586
6,18,3,0.00546448087431694
6,18,4,0.8875906526994359
6,18,5,0.8088235294117647
6,19,0,0.16853932584269662
6,19,1,0.24561403508771928
6,19,2,0.23582089552238805
6,19,3,0.44573643410852715
6,19,4,0.781825624232501
6,19,5,0.7920792079207921
6,20,0,0.0
6,20,1,0.3838383838383838
6,20,2,0.10991957104557641
6,20,3,0.06486486486486487
6,20,4,0.6759002770083102
6,20,5,0.6571428571428571
7,1,0,0.01818181818181818
7,1,1,0.3253012048192771
7,1,2,0.44
7,1,3,0.8477157360406091
7,1,4,0.5486725663716814
7,1,5,0.7694676638803344
7,1,6,0.3148148148148148
7,2,0,0.0
7,2,1,0.1875
7,2,2,0.35294117647058826
7,2,3,0.610236220472441
7,2,4,0.8732394366197183
7,2,5,0.8007679180887372
7,2,6,0.8923076923076924
7,3,0,0.7727272727272727
7,3,1,0.6148648648648649
7,3,2,0.7772020725388601
7,3,3,0.8279569892473119
7,3,4,0.07320644216691069
7,3,5,0.6819956616052061
7,3,6,0.6779661016949152
7,4,0,0.7936507936507936
7,4,1,0.7619047619047619
7,4,2,0.8418367346938775
7,4,3,0.6086956521739131
7,4,4,0.8840579710144928
7,4,5,0.9110320284697508
7,4,6,0.6292134831460674
7,5,0,0.8382352941176471
7,5,1,0.376984126984127
7,5,2,0.4
7,5,3,0.751269035532995
7,5,4,0.008988764044943821
7,5,5,0.7815743944636678
7,5,6,0.9344262295081968
7,6,0,0.08256880733944955
7,6,1,0.24705882352941178
7,6,2,0.8324022346368715
7,6,3,0.5588235294117647
7,6,4,0.00510204081632653
7,6,5,0.6040675032453483
7,6,6,0.23809523809523808
7,7,0,0.015015015015015015
7,7,1,0.4666666666666667
7,7,2,0.3352601156069364
7,7,3,0.5672131147540984
7,7,4,0.8571428571428571
7,7,5,0.7941824592331423
7,7,6,0.7532467532467533
7,8,0,0.8
7,8,1,0.4189723320158103
7,8,2,0.656
7,8,3,0.596078431372549
7,8,4,0.01015228426395939
7,8,5,0.7905668541756815
7,8,6,0.7796610169491526
7,9,0,0.41509433962264153
7,9,1,0.2037735849056604
7,9,2,0.3563218390804598
7,9,3,0.6268656716417911
7,9,4,0.002702702702702703
7,9,5,0.7792656587473002
7,9,6,0.95
7,10,0,0.953125
7,10,1,0.24620060790273557
7,10,2,0.655367231638418
7,10,3,0.11812297734627832
7,10,4,0.6282051282051282
7,10,5,0.6693582660433489
7,10,6,0.27941176470588236
7,11,0,0.02099737532808399
7,11,1,0.4011627906976744
7,11,2,0.5402298850574713
7,11,3,0.4457831325301205
7,11,4,0.7710843373493976
7,11,5,0.791895314478683
7,11,6,0.5806451612903226
7,12,0,0.0
7,12,1,0.4268774703557312
7,12,2,0.8153846153846154
7,12,3,0.025396825396825397
7,12,4,0.8260869565217391
7,12,5,0.7769230769230769
7,12,6,0.390625
7,13,0,0.5353535353535354
7,13,1,0.28773584905660377
