K,replicate,ARI,mean_matched_cluster_jaccard,min_matched_cluster_jaccard,converged
4,10,0.5298465355762165,0.5024417928880172,0.0,True
4,11,0.8066645146294497,0.8047016203396327,0.5743243243243243,True
4,12,0.7657875697742099,0.6886438898801444,0.38461538461538464,True
4,13,0.6749823186850915,0.6508268576017736,0.005263157894736842,True
4,14,0.33084811796368085,0.4585737009798638,0.0024509803921568627,True
4,15,0.4471114591239216,0.534503905044212,0.004366812227074236,True
4,16,0.4649533915482144,0.5134254615941474,0.003236245954692557,True
4,17,0.359047337269184,0.5374506799951559,0.06635071090047394,True
4,18,0.47311797029065134,0.5149208128845921,0.0,True
4,19,0.4269441692803877,0.5473457510309879,0.011494252873563218,True
4,20,0.5651108073304238,0.5823219421701384,0.004807692307692308,True
5,1,0.26568088260494543,0.3485123769685616,0.009900990099009901,True
5,2,0.8245729461474574,0.7708478475595604,0.5194805194805194,True
5,3,0.33050862993973873,0.4550792539219878,0.13714285714285715,True
5,4,0.5142478935996804,0.48964484265785,0.039735099337748346,True
5,5,0.5857450604174483,0.6037419967562221,0.31417624521072796,True
5,6,0.5139357792380697,0.5894491649633059,0.09523809523809523,True
5,7,0.406837813722643,0.4280177921467906,0.0,True
5,8,0.46491132627845405,0.494318032643904,0.1782477341389728,True
5,9,0.2876847616825879,0.4393274824943318,0.01195219123505976,True
5,10,0.5682972806141169,0.6500764715596655,0.11455108359133127,True
5,11,0.20621324028236368,0.3922013837886448,0.1626984126984127,True
5,12,0.37548651156564056,0.4323807349850757,0.014035087719298246,True
5,13,0.5313734958810608,0.6323485257790551,0.10344827586206896,True
5,14,0.6615411328558571,0.718555160298966,0.1708185053380783,True
5,15,0.5270208433678226,0.48632240072084265,0.04357298474945534,True
5,16,0.3404859189680214,0.4584289482171725,0.07364975450081833,True
5,17,0.45756886920122286,0.5029529503999515,0.027522935779816515,True
5,18,0.524879753468223,0.5820455637852829,0.008695652173913044,True
5,19,0.7839332176021613,0.7309623629093824,0.6153846153846154,True
5,20,0.5835427290410876,0.5451437919860008,0.004651162790697674,True
6,1,0.6202876866476286,0.5990030155872433,0.028089887640449437,True
6,2,0.38213037008375256,0.4585478510788201,0.015151515151515152,True
6,3,0.6982550067134521,0.7545191568685757,0.37454545454545457,True
6,4,0.3007108340479693,0.3608216045359633,0.023310023310023312,True
6,5,0.34578892057550203,0.4568944807071372,0.06304728546409807,True
6,6,0.5400583551079104,0.4876978651110888,0.02158273381294964,True
6,7,0.34141056642031853,0.4685706770086752,0.05331179321486268,True
6,8,0.7167246784844439,0.7498782921167565,0.5384615384615384,True
6,9,0.5964893109172933,0.5979424259128031,0.36462093862815886,True
