covariance,K,BIC,AIC,converged,fit_seconds,min_cluster_n,min_cluster_share,max_cluster_n,max_cluster_share,sizes_desc
tied,3,-1674005.9330032743,-1690977.9403529288,True,2.6705981000013708,254,0.0883785664578984,1380,0.4801670146137787,"[1380, 1240, 254]"
tied,4,-1676519.8831676778,-1693927.223102197,True,6.453951600000437,41,0.014265831593597773,2488,0.8656924147529576,"[2488, 198, 147, 41]"
tied,5,-1676424.8850026324,-1694267.557522016,True,7.056579899999633,41,0.014265831593597773,2347,0.8166318719554627,"[2347, 182, 164, 140, 41]"
tied,6,-1677491.8205355597,-1695769.825639808,True,8.316951800001334,41,0.014265831593597773,2332,0.8114126652748782,"[2332, 168, 134, 122, 77, 41]"
tied,7,-1677756.388094295,-1696469.7257834082,True,9.250094799999715,59,0.020528879610299235,2203,0.7665274878218511,"[2203, 182, 173, 127, 67, 63, 59]"
tied,8,-1678490.604923892,-1697639.2751978699,True,10.986107200000333,1,0.0003479471120389701,2068,0.7195546276965901,"[2068, 316, 177, 122, 80, 69, 41, 1]"
tied,9,-1679250.8219470468,-1698834.8248058893,True,12.336230400000204,1,0.0003479471120389701,2032,0.7070285316631872,"[2032, 287, 168, 145, 73, 65, 63, 40, 1]"
tied,10,-1678981.5692889958,-1699000.9047327028,True,13.239722399999664,10,0.003479471120389701,1996,0.6945024356297843,"[1996, 273, 136, 126, 118, 72, 62, 61, 20, 10]"
tied,11,-1679352.427135646,-1699807.0951642178,True,15.5319228999997,1,0.0003479471120389701,1926,0.6701461377870563,"[1926, 275, 164, 127, 118, 102, 64, 58, 26, 13, 1]"
tied,12,-1680375.5103588996,-1701265.510972336,True,16.5084951000008,1,0.0003479471120389701,2120,0.7376478775226165,"[2120, 260, 108, 89, 63, 61, 59, 47, 40, 25, 1, 1]"
full,2,-1677864.9374184979,-1710073.585238415,True,3.2028767000010703,1322,0.45998608211551845,1552,0.5400139178844816,"[1552, 1322]"
full,3,-1667665.7764727888,-1715981.7299326977,True,3.0504098999990674,302,0.10508002783576896,1939,0.674669450243563,"[1939, 633, 302]"
full,4,-1667459.1579040727,-1731882.4170039734,True,5.613887400000749,224,0.0779401530967293,1191,0.4144050104384134,"[1191, 1060, 399, 224]"
full,5,-1650211.151249407,-1730741.7159892998,True,6.128450599999269,159,0.055323590814196244,1119,0.3893528183716075,"[1119, 818, 587, 191, 159]"
full,6,-1634328.5643250097,-1730966.4347048942,True,8.12230290000116,134,0.04662491301322199,827,0.28775226165622825,"[827, 803, 722, 216, 172, 134]"
full,7,-1616577.0876602223,-1729322.2636800988,True,14.164052500000253,119,0.04140570633263744,891,0.31002087682672236,"[891, 771, 548, 212, 185, 148, 119]"
full,8,-1599171.7304070184,-1728024.2120668867,True,16.56551380000019,76,0.026443980514961725,933,0.3246346555323591,"[933, 707, 465, 188, 188, 161, 156, 76]"
full,9,-1581722.6698737303,-1726682.4571735903,True,21.16683279999961,84,0.029227557411273485,869,0.302366040361865,"[869, 780, 434, 165, 155, 144, 131, 112, 84]"
full,10,-1562967.6265437074,-1724034.7194835595,True,21.592359700000088,74,0.025748086290883786,797,0.2773138482950592,"[797, 757, 431, 180, 147, 142, 138, 129, 79, 74]"
full,11,-1544577.0379851733,-1721751.436565017,True,26.812760900000285,57,0.019832985386221295,810,0.2818371607515658,"[810, 698, 442, 179, 158, 134, 129, 101, 93, 73, 57]"
full,12,-1525807.735541825,-1719089.4397616605,True,23.211179799998717,57,0.019832985386221295,762,0.2651356993736952,"[762, 677, 521, 144, 140, 127, 109, 94, 93, 77, 73, 57]"
