K,cluster,metric,value
3,0,log_total_activity,7.150270227371236
3,0,log_total_activity,8.013975523620742
3,0,log_total_activity,5.826353319330048
3,0,log_total_activity,7.028658198291799
3,0,log_total_activity,6.361770019380914
3,0,log_total_activity,6.638340053812709
3,0,log_total_activity,6.101076355700427
3,0,log_total_activity,7.512210498434455
3,0,log_total_activity,7.63517341881171
3,0,log_total_activity,7.461320921643058
3,0,log_total_activity,6.692643722165176
3,0,log_total_activity,6.427575132184951
3,0,log_total_activity,6.013358026264884
3,0,log_total_activity,7.048210676513855
3,0,log_total_activity,8.989153235633543
3,0,log_total_activity,6.150772626087884
3,0,log_total_activity,7.10608390302584
3,0,log_total_activity,7.30124350977829
3,0,log_total_activity,7.10691675341568
3,0,log_total_activity,7.781153962752759
3,0,log_total_activity,7.539942243295135
3,0,log_total_activity,6.684723246449477
3,0,log_total_activity,6.039938947143453
3,0,log_total_activity,7.105706725180351
3,0,log_total_activity,8.510076062633031
3,0,log_total_activity,6.935664274438642
3,0,log_total_activity,6.590158428136819
3,0,log_total_activity,5.751202017413418
3,0,log_total_activity,7.713115281433581
3,0,log_total_activity,5.562469570160855
3,0,log_total_activity,8.842089613215018
3,0,log_total_activity,7.78462506773833
3,0,log_total_activity,7.463441200813492
3,0,log_total_activity,8.234294155320303
3,0,log_total_activity,6.933799212273625
3,0,log_total_activity,7.593337497233899
3,0,log_total_activity,6.47196858793919
3,0,log_total_activity,8.06314645114433
3,0,log_total_activity,6.454086813499751
3,0,log_total_activity,6.517494359184201
3,0,log_total_activity,6.748971881336467
3,0,log_total_activity,8.46005558700683
3,0,log_total_activity,6.422763843603125
3,0,log_total_activity,9.157628543523703
3,0,log_total_activity,7.310608499078569
3,0,log_total_activity,6.746267782080714
3,0,log_total_activity,5.937939263685082
3,0,log_total_activity,5.72988846194556
3,0,log_total_activity,6.4156328875494175
3,0,log_total_activity,6.679753332254672
3,0,log_total_activity,6.018333910806946
3,0,log_total_activity,6.153884690476568
3,0,log_total_activity,6.787313161098129
3,0,log_total_activity,6.802856134653966
3,0,log_total_activity,5.995348370293242
3,0,log_total_activity,6.66766559969015
3,0,log_total_activity,7.074582736428834
3,0,log_total_activity,5.575315872395006
3,0,log_total_activity,6.3804898253732985
3,0,log_total_activity,10.154209469427936
3,0,log_total_activity,7.0649837375854
3,0,log_total_activity,6.467772341407103
3,0,log_total_activity,5.74476503228551
3,0,log_total_activity,5.742966552523034
3,0,log_total_activity,7.472623062441206
3,0,log_total_activity,6.190910822819574
3,0,log_total_activity,7.302661268630224
3,0,log_total_activity,7.317263934256792
3,0,log_total_activity,8.594811647889022
3,0,log_total_activity,6.974662252495736
3,0,log_total_activity,8.902903464686144
3,0,log_total_activity,7.051400679658044
3,0,log_total_activity,7.431779790924534
3,0,log_total_activity,8.523324365297578
3,0,log_total_activity,5.718890077948042
3,0,log_total_activity,5.865046877564461
3,0,log_total_activity,9.586701857159644
3,0,log_total_activity,5.7543925690491085
3,0,log_total_activity,5.749221697353856
3,0,log_total_activity,7.067026045906882
3,0,log_total_activity,5.543397384550022
3,0,log_total_activity,6.959947449759233
3,0,log_total_activity,6.905582971229214
3,0,log_total_activity,6.319808319233485
3,0,log_total_activity,6.488688475796667
3,0,log_total_activity,8.655717629267997
3,0,log_total_activity,5.768474390278237
3,0,log_total_activity,7.668022224526511
3,0,log_total_activity,7.039399649800384
3,0,log_total_activity,6.871108057955517
3,0,log_total_activity,6.155696532237755
3,0,log_total_activity,7.472900397668415
3,0,log_total_activity,7.400225691839273
3,0,log_total_activity,6.876311256829706
3,0,log_total_activity,7.119853615876859
3,0,log_total_activity,6.009161552274251
3,0,log_total_activity,6.15037926799217
3,0,log_total_activity,5.632834944067231
3,0,log_total_activity,7.125129008844127
3,0,log_total_activity,9.087480562910836
3,0,log_total_activity,7.444463714087957
3,0,log_total_activity,7.164684794225355
3,0,log_total_activity,8.639921440656337
3,0,log_total_activity,7.743091345809342
3,0,log_total_activity,5.57084743750973
3,0,log_total_activity,6.876336714554465
3,0,log_total_activity,8.668360273309903
3,0,log_total_activity,8.736563352439415
3,0,log_total_activity,5.759949048637428
3,0,log_total_activity,7.044188749003519
3,0,log_total_activity,6.581200505347217
3,0,log_total_activity,8.592367991877651
3,0,log_total_activity,7.716335505022122
3,0,log_total_activity,7.33956598721525
3,0,log_total_activity,6.634071662689762
3,0,log_total_activity,9.198011810613377
3,0,log_total_activity,9.66877672688869
3,0,log_total_activity,8.818958626126431
3,0,log_total_activity,6.634578520615707
3,0,log_total_activity,6.192297006758329
3,0,log_total_activity,5.815915624166425
3,0,log_total_activity,6.8170727679822365
3,0,log_total_activity,5.827481310741889
3,0,log_total_activity,8.368888384462402
3,0,log_total_activity,6.206040420463815
3,0,log_total_activity,7.804213757361261
3,0,log_total_activity,6.230980417560442
3,0,log_total_activity,7.117610700866019
3,0,log_total_activity,5.67012675483036
3,0,log_total_activity,5.803727895114935
3,0,log_total_activity,6.5005465566618135
3,0,log_total_activity,7.1004926688273535
3,0,log_total_activity,6.143024724479226
3,0,log_total_activity,5.808873243935744
3,0,log_total_activity,7.111203879762816
3,0,log_total_activity,7.625797349234037
3,0,log_total_activity,7.541839093019589
3,0,log_total_activity,10.099964900830953
3,0,log_total_activity,7.524237153272088
3,0,log_total_activity,8.468230520068298
3,0,log_total_activity,6.127461563208192
3,0,log_total_activity,6.937472146400626
3,0,log_total_activity,8.235913733083013
3,0,log_total_activity,5.728691063921931
3,0,log_total_activity,5.511963802691334
3,0,log_total_activity,8.03557293527285
3,0,log_total_activity,6.778177955854061
3,0,log_total_activity,7.734174544799355
3,0,log_total_activity,6.508096064011124
3,0,log_total_activity,5.636477570607449
3,0,log_total_activity,6.309558104280758
3,0,log_total_activity,6.58121266210853
3,0,log_total_activity,6.064796580799303
3,0,log_total_activity,8.012127238853115
3,0,log_total_activity,6.355758745665455
3,0,log_total_activity,5.6592790243859445
3,0,log_total_activity,6.9256228686333055
3,0,log_total_activity,5.629342329390381
3,0,log_total_activity,7.731971392174073
3,0,log_total_activity,6.502312645621414
