alpha,K,replicate,ari_below450,ari_at_least450,ari_all
200.0,3,10,0.5716416069796151,0.46235750002046516,0.5275991754856589
5.0,3,11,0.5867311767641281,0.5527888878117203,0.5977043899545126
20.0,3,11,0.5251420341217051,0.5210308751377158,0.551452802388539
50.0,2,11,0.47076606754265204,0.5042652689349286,0.5006611513745531
50.0,3,11,0.5445933731639901,0.5107764729146687,0.559625484821917
100.0,2,11,0.44337027665795736,0.5049931340580321,0.49389788829606956
100.0,3,11,0.550241163525775,0.5327428471997362,0.5603592797589277
200.0,2,11,0.47210833804101215,0.4553963710333986,0.4849378403848424
200.0,3,11,0.5458761177438918,0.5133450881163726,0.5497974156601337
5.0,3,12,0.5963345549510427,0.5300877901544698,0.5837453384975781
20.0,3,12,0.5481186676165494,0.5094469872399983,0.5500380642901366
50.0,2,12,0.531393839520827,0.5439139521139651,0.5471356323514982
50.0,3,12,0.5244135206940533,0.4649465590790798,0.5230977680694376
100.0,2,12,0.5492405905851895,0.5089612200986076,0.5316682265352858
100.0,3,12,0.5579095408934829,0.4779544218071364,0.5298191669278425
200.0,2,12,0.4691150055739155,0.44499942802582343,0.4809566171052832
200.0,3,12,0.5566070055208426,0.46350652261078124,0.5239676558581859
5.0,3,13,0.5557511092073609,0.5458337311386784,0.5844154570267118
20.0,3,13,0.4889432038440916,0.49094498309477574,0.5204109110920645
50.0,2,13,0.46471244855370425,0.496916849914399,0.4966756300653467
50.0,3,13,0.5244720996114209,0.4544558015437322,0.5200842244106526
100.0,2,13,0.4730472115805521,0.46285502074854845,0.4781140935203662
100.0,3,13,0.5332310858807398,0.48732140922095846,0.5285778632532575
200.0,2,13,0.4420514618790807,0.4224590269232482,0.4583918964341259
200.0,3,13,0.5037378369109011,0.4608725606010965,0.5066905015463857
5.0,3,14,0.585155605285806,0.5381580780673155,0.5883078518435683
20.0,3,14,0.5528579265859132,0.5238202027231422,0.5649464529318282
50.0,2,14,0.4879452701024317,0.48679517001990447,0.49385651036175177
50.0,3,14,0.5362027580956095,0.470690137866608,0.5293023277293782
100.0,2,14,0.4463314510649687,0.4876220615954564,0.4857170199805907
100.0,3,14,0.5435790840633569,0.4959049818879458,0.537465703010479
200.0,2,14,0.4280008522984436,0.4267680111462161,0.45743766416668546
200.0,3,14,0.5550647614931152,0.4515611042710532,0.5151548009730033
5.0,3,15,0.6171276995626185,0.5519923207883928,0.6031923498647075
20.0,3,15,0.5067167696004214,0.5422210541542453,0.5580808285902115
50.0,2,15,0.5248785628138803,0.4832978029777413,0.5017171923153348
50.0,3,15,0.5185887398232455,0.49557255322017685,0.5407473249506098
100.0,2,15,0.45464450046643656,0.49574057220979606,0.49159035914774457
100.0,3,15,0.5192369391343922,0.4915097416639895,0.5269921477320197
200.0,2,15,0.4559056534065432,0.4463231059125132,0.4726543268703501
200.0,3,15,0.4837965616112924,0.45550794210993084,0.492837620141321
5.0,3,16,0.596594102636648,0.549005488090188,0.5937491042775674
20.0,3,16,0.5569962628893601,0.49225492776704843,0.54041020125849
50.0,2,16,0.4204813890930573,0.4991734601869532,0.4816539990421064
50.0,3,16,0.518668049242429,0.47053316401134154,0.5211837658031289
100.0,2,16,0.4476026459461494,0.5371503433770131,0.5181088708235628
100.0,3,16,0.5130411763616618,0.4994109453792162,0.5293905799028997
200.0,2,16,0.44357274648164674,0.441107904559016,0.4689868649922039
200.0,3,16,0.5274139881306698,0.458447534060861,0.5089116979321782
5.0,3,17,0.5508270268197836,0.49826489442266153,0.5506691156802411
20.0,3,17,0.5210343222903657,0.4726576546051047,0.5184293639846103
50.0,2,17,0.4736044294669913,0.49217297601764465,0.49228674930001337
50.0,3,17,0.5169649929838913,0.46480229699594894,0.520576879352788
100.0,2,17,0.44444269191255104,0.4906264018975564,0.4852741351393561
100.0,3,17,0.503301615101597,0.47637905273569453,0.5096486166880562
200.0,2,17,0.4612899086324522,0.4485129648253918,0.4793739012750258
200.0,3,17,0.4720680586704443,0.48129048057064844,0.5091200799191101
5.0,3,18,0.6069868859610752,0.5561731662861558,0.6062094181539471
20.0,3,18,0.5554018193294458,0.49425987116989384,0.5413403188727718
50.0,2,18,0.48238875935690956,0.5063168246481521,0.5059079436080368
50.0,3,18,0.5155498885846871,0.47178643663159986,0.5262262948714113
100.0,2,18,0.4423304586846269,0.49740011922290933,0.49211304113334914
100.0,3,18,0.501671987257193,0.48528160919725244,0.5191051096505026
200.0,2,18,0.4531540348618879,0.4549120384343026,0.48611733220513426
200.0,3,18,0.5299729866148469,0.4645470416241245,0.5136918374949959
5.0,3,19,0.6225822980218874,0.5441530479409225,0.5998786802248248
20.0,3,19,0.502694840273048,0.5092275811470612,0.5370241894043551
50.0,2,19,0.5097505472041763,0.4920880920480353,0.5047509851413623
50.0,3,19,0.5241437415695155,0.4662052036218222,0.5239569281738874
100.0,2,19,0.47179399066334077,0.5213672987594815,0.5154791952786024
100.0,3,19,0.531732179000545,0.46089060583054664,0.5101491321129953
200.0,2,19,0.4378885317080533,0.44404666276070404,0.4664079996028405
200.0,3,19,0.5282152043783109,0.4663943130572987,0.5126005186766887
