unit,reference_cluster,seed_assignment_stability,bootstrap_assignment_stability
E01000347,3,1.0,0.7
E01000349,1,1.0,1.0
E01000350,2,0.8333333333333334,0.9
E01000352,0,1.0,1.0
E01000353,2,1.0,0.9
E01000354,2,0.8333333333333334,0.9
E01000356,0,0.6666666666666666,0.2
E01000357,2,1.0,1.0
E01000358,2,1.0,0.9
E01000359,2,1.0,0.9
E01000360,3,1.0,0.7
E01000361,2,1.0,1.0
E01000362,0,0.6666666666666666,0.6
E01000363,2,1.0,1.0
E01000364,1,1.0,1.0
E01000365,1,0.8333333333333334,1.0
E01000367,0,0.8333333333333334,0.9
E01000369,0,0.8333333333333334,0.9
E01000370,0,1.0,0.9
E01000372,2,1.0,1.0
E01000374,2,1.0,0.9
E01000375,0,0.8333333333333334,0.7
E01000376,2,1.0,1.0
E01000377,2,1.0,1.0
E01000379,2,1.0,1.0
E01000380,1,1.0,1.0
E01000381,2,1.0,1.0
E01000382,2,1.0,0.9
E01000383,2,1.0,1.0
E01000384,0,1.0,1.0
E01000385,2,1.0,0.9
E01000386,0,0.8333333333333334,0.8
E01000387,2,1.0,0.9
E01000389,0,0.8333333333333334,0.9
E01000390,2,1.0,1.0
E01000391,2,1.0,0.9
E01000392,0,1.0,0.7
E01000394,0,1.0,1.0
E01000396,2,1.0,1.0
E01000398,0,0.5,0.2
E01000399,0,0.8333333333333334,0.8
E01000400,0,0.8333333333333334,0.5
E01000401,2,1.0,1.0
E01000402,0,1.0,0.6
E01000403,0,0.8333333333333334,0.7
E01000404,0,1.0,1.0
E01000405,1,1.0,1.0
E01000406,0,0.8333333333333334,0.8
E01000407,2,1.0,0.9
E01000408,1,1.0,1.0
E01000409,0,1.0,0.7
E01000410,1,1.0,0.9
E01000411,0,1.0,0.8
E01000412,2,1.0,1.0
E01000413,1,1.0,1.0
E01000414,3,1.0,0.8
E01000415,2,1.0,1.0
E01000416,0,0.6666666666666666,0.6
E01000417,2,0.8333333333333334,0.9
E01000418,1,1.0,1.0
E01000419,2,1.0,1.0
E01000420,0,1.0,0.8
E01000421,0,1.0,1.0
E01000422,0,0.8333333333333334,0.9
E01000423,0,1.0,1.0
E01000424,2,1.0,1.0
E01000425,2,1.0,1.0
E01000426,0,1.0,0.8
E01000427,0,1.0,0.9
E01000428,0,1.0,0.9
E01000429,1,1.0,1.0
E01000430,1,0.3333333333333333,0.5
E01000431,2,1.0,1.0
E01000433,0,1.0,1.0
E01000434,0,0.8333333333333334,0.9
E01000435,0,0.8333333333333334,0.9
E01000436,0,1.0,0.8
E01000437,2,1.0,1.0
E01000439,0,1.0,0.9
E01000440,2,1.0,1.0
E01000442,0,1.0,1.0
E01000443,0,1.0,0.7
E01000444,2,1.0,1.0
E01000445,2,1.0,0.9
E01000447,0,0.6666666666666666,0.5
E01000448,0,0.8333333333333334,0.7
E01000449,3,0.8333333333333334,0.6
E01000450,2,1.0,1.0
E01000451,0,0.8333333333333334,0.8
E01000452,0,0.8333333333333334,0.7
E01000454,0,1.0,1.0
E01000455,2,0.6666666666666666,0.6
E01000456,2,1.0,1.0
E01000457,0,0.6666666666666666,0.5
E01000459,0,1.0,0.9
E01000460,0,1.0,0.8
E01000461,2,0.8333333333333334,0.9
E01000462,0,0.6666666666666666,0.3
E01000463,2,1.0,1.0
E01000464,2,1.0,1.0
E01000465,0,1.0,0.9
E01000466,0,1.0,0.8
E01000467,0,1.0,1.0
E01000469,0,1.0,0.9
E01000470,0,0.8333333333333334,0.9
E01000472,0,0.6666666666666666,0.7
E01000473,3,0.8333333333333334,0.6
E01000474,0,1.0,1.0
E01000475,0,1.0,0.8
E01000476,2,0.8333333333333334,0.9
E01000477,2,1.0,1.0
E01000478,2,1.0,1.0
E01000479,3,0.8333333333333334,0.3
E01000480,2,1.0,0.9
E01000481,0,0.8333333333333334,0.7
E01000483,0,0.8333333333333334,0.8
E01000485,2,0.8333333333333334,0.9
E01000486,2,1.0,1.0
E01000487,2,0.8333333333333334,0.9
E01000488,0,1.0,1.0
E01000489,0,1.0,0.6
E01000490,3,1.0,0.8
E01000491,2,1.0,0.9
E01000493,0,0.8333333333333334,0.9
E01000494,3,0.3333333333333333,0.2
E01000495,3,1.0,0.8
E01000497,0,1.0,0.8
E01000498,2,0.8333333333333334,0.9
E01000499,0,0.6666666666666666,0.7
E01000501,2,1.0,1.0
E01000502,2,1.0,1.0
E01000503,2,1.0,1.0
E01000506,3,1.0,0.8
E01000507,0,1.0,1.0
E01000508,0,0.8333333333333334,0.7
E01000510,0,1.0,0.8
E01000511,1,1.0,1.0
E01000512,0,1.0,0.9
E01000513,3,1.0,0.7
E01000515,0,1.0,0.8
E01000516,3,1.0,0.8
E01000518,3,1.0,0.7
E01000519,0,0.8333333333333334,0.9
E01000520,0,0.8333333333333334,0.3
E01000521,3,1.0,0.7
E01000523,3,1.0,0.7
E01000524,3,1.0,0.8
E01000525,0,1.0,0.9
E01000526,0,0.8333333333333334,0.9
E01000528,0,0.8333333333333334,0.9
E01000530,2,0.8333333333333334,0.9
E01000531,3,1.0,0.7
E01000532,3,0.6666666666666666,0.5
E01000533,3,1.0,0.7
E01000535,1,0.6666666666666666,0.8
E01000536,2,1.0,1.0
E01000541,0,1.0,0.8
E01000543,3,1.0,0.8
E01000544,3,1.0,0.7
E01000545,3,1.0,0.7
E01000546,1,1.0,1.0
E01000547,3,1.0,0.7
E01000548,3,1.0,0.7
E01000549,2,1.0,1.0
E01000550,3,1.0,0.8
E01000551,0,1.0,0.9
E01000552,0,0.8333333333333334,0.9
E01000553,0,1.0,1.0
E01000554,0,1.0,0.9
E01000555,0,1.0,0.5
E01000556,3,1.0,0.8
E01000557,0,1.0,0.9
E01000558,3,1.0,0.8
E01000559,3,1.0,0.7
E01000561,0,0.8333333333333334,0.9
E01000562,2,1.0,1.0
E01000563,3,0.6666666666666666,0.3
E01000564,0,1.0,0.8
E01000565,0,0.8333333333333334,0.9
E01000567,2,1.0,1.0
E01000568,0,0.6666666666666666,0.2
E01000571,0,1.0,0.5
E01000572,2,1.0,1.0
E01000573,2,1.0,1.0
E01000574,2,0.8333333333333334,0.9
E01000575,0,0.8333333333333334,0.4
E01000576,0,0.8333333333333334,0.1
E01000577,0,1.0,0.7
E01000578,3,1.0,0.8
E01000580,3,0.8333333333333334,0.6
E01000581,0,1.0,0.9
E01000583,3,1.0,0.8
E01000584,2,1.0,1.0
E01000586,3,1.0,0.8
E01000587,2,1.0,1.0
E01000589,0,1.0,0.5
E01000590,2,0.8333333333333334,0.9
E01000591,0,0.8333333333333334,0.7
E01000592,3,0.8333333333333334,0.6
E01000594,3,1.0,0.8
E01000595,3,0.8333333333333334,0.6
E01000596,2,1.0,1.0
E01000599,0,0.8333333333333334,0.9
E01000601,2,0.8333333333333334,0.9
E01000602,0,1.0,0.7
E01000603,1,1.0,1.0
E01000604,2,0.8333333333333334,0.9
E01000605,3,0.5,0.3
E01000606,2,1.0,1.0
E01000608,3,1.0,0.7
E01000609,2,1.0,1.0
E01000611,2,1.0,0.8
E01000612,3,1.0,0.8
E01000615,2,1.0,1.0
E01000616,0,0.5,0.5
E01000620,0,0.8333333333333334,0.9
E01000621,1,1.0,1.0
E01000622,2,1.0,1.0
E01000623,0,0.8333333333333334,0.9
E01000625,3,1.0,0.7
E01000626,0,1.0,0.9
E01000627,0,1.0,1.0
E01000628,3,1.0,0.8
E01000631,0,0.8333333333333334,0.7
E01000633,3,1.0,0.8
E01000634,3,0.16666666666666666,0.1
E01000636,1,1.0,1.0
E01000638,3,1.0,0.7
E01000640,3,1.0,0.7
E01000642,3,1.0,0.8
E01000643,0,1.0,0.9
E01000644,3,1.0,0.6
E01000645,2,1.0,1.0
E01000646,2,0.8333333333333334,0.9
E01000648,2,1.0,0.9
E01000649,2,0.8333333333333334,0.9
E01000650,2,1.0,1.0
E01000651,2,1.0,0.9
E01000652,2,1.0,1.0
E01000653,2,1.0,1.0
E01000654,2,1.0,0.9
E01000655,2,1.0,0.9
E01000656,2,1.0,1.0
E01000657,2,1.0,0.9
E01000658,2,1.0,1.0
E01000659,2,1.0,0.9
E01000661,0,1.0,0.9
E01000662,0,1.0,0.9
E01000663,0,0.8333333333333334,0.3
E01000664,2,1.0,1.0
E01000665,0,1.0,0.9
E01000666,2,1.0,1.0
E01000667,0,0.3333333333333333,0.2
E01000668,0,1.0,0.9
E01000670,3,1.0,0.8
E01000671,0,1.0,1.0
E01000672,0,0.8333333333333334,0.9
E01000673,2,1.0,1.0
E01000674,0,1.0,1.0
E01000676,0,1.0,0.8
E01000677,2,0.8333333333333334,0.9
E01000678,0,1.0,0.9
E01000679,2,1.0,1.0
E01000680,2,1.0,1.0
E01000681,2,1.0,0.9
E01000682,2,1.0,1.0
E01000683,2,0.8333333333333334,0.9
E01000684,2,1.0,1.0
E01000685,2,1.0,1.0
E01000686,0,1.0,0.5
E01000687,2,1.0,1.0
E01000688,2,1.0,1.0
E01000689,2,1.0,1.0
