logical_hub_code,logical_hub_source,logical_hub_name,n_stops,n_lsoa,has_unmatched_stop,hub_boardings,hub_alightings,cross_lsoa,both_directions_positive,hub_total_activity
490G00010168,stop_area,The Nelson Health Centre,2,1,False,235.8875,366.9687,False,True,602.8562
490G00010807,stop_area,Park Road Hanworth,2,2,False,232.54465,370.26306,True,True,602.80771
490G00011328,stop_area,Queensbury Morrisons,3,1,False,278.38653,323.9459,False,True,602.3324299999999
910GMALDENM,parent_stop_area,Malden Manor,4,2,False,188.58699000000001,413.63227,True,True,602.2192600000001
490G00003570,stop_area,Newington Green /Balls Pond Rd,1,1,False,216.60876,385.08949,False,True,601.69825
490G00015051,stop_area,Copenhagen Street / York Way,1,1,False,369.18486,232.32409,False,True,601.50895
490G00003577,stop_area,Wakeman Road,1,1,False,192.96436,408.39681,False,True,601.36117
490G00019163,stop_area,Cambridge Roundabout South,2,1,False,235.92789,364.96056,False,True,600.8884499999999
490G00015300,stop_area,Cambridge Roundabout North,2,2,False,264.99998,335.79914999999994,True,True,600.7991299999999
490G00001314,stop_area,Westbury Street,1,1,False,184.98225,415.77193,False,True,600.75418
490G00004592,stop_area,Burges Road,2,1,False,266.14425,333.87784,False,True,600.0220899999999
490G00005845,stop_area,Crown Walk,3,1,False,327.45304999999996,272.49099,False,True,599.94404
490G00015261,stop_area,Tudor Gardens Kingsbury,2,1,False,272.44334,327.40519,False,True,599.84853
490G00014596,stop_area,White Hart Lane (SW14),2,1,False,286.83151999999995,312.91709000000003,False,True,599.74861
490G00002364,stop_area,Camden Market,1,1,False,598.9844,0.0,False,False,598.9844
490G000722,stop_area,Reeves Corner,1,1,False,203.62354,395.14597,False,True,598.76951
490G00012032,stop_area,Shaftesbury Way,2,1,False,248.87309,349.86342,False,True,598.73651
490G00014689,stop_area,The Oaks (NW10),2,1,False,165.46713999999997,432.82707,False,True,598.29421
490G00007428,stop_area,Great West Road /Lampton Road,1,1,False,399.81249,197.98953,False,True,597.8020200000001
490G00011751,stop_area,Portland Rise Estate,1,1,False,487.66729,110.09007,False,True,597.75736
490G00015312,stop_area,Bugsbys Way / Gallions Road,1,1,False,324.47739,273.21448,False,True,597.69187
910GNEWSGAT,parent_stop_area,New Southgate Station,2,1,False,227.65500000000003,369.32854,False,True,596.98354
490G00013956,stop_area,Upton Gardens,1,1,False,241.73883,354.87597,False,True,596.6148000000001
490G00004514,stop_area,Brownlow Street,2,1,False,403.44065,192.79766,False,True,596.23831
490G00011691,stop_area,Cranleigh Gardens (SM1),2,1,False,202.34985,393.74399999999997,False,True,596.09385
490G00008329,stop_area,Homerton Terrace,1,1,False,116.63296,478.81124,False,True,595.4442
490G00006005,stop_area,Deanscroft Avenue,2,1,False,206.80521,388.59835999999996,False,True,595.40357
490G00005631,stop_area,Cottage Green,1,1,False,382.21547,213.12639000000001,False,True,595.34186
490G00006891,stop_area,Fonthill Road,1,1,False,197.13719,397.85307,False,True,594.99026
490G00007763,stop_area,Jessamine Road,1,1,False,352.42071,242.5514,False,True,594.9721099999999
490G000621,stop_area,King Edward Street,1,1,False,467.06921,127.86694999999999,False,True,594.93616
490G00020255,stop_area,Lancaster Place / Somerset House,1,1,False,462.07375,132.68304,False,True,594.75679
490G00012336,stop_area,South Street (TW7),2,1,False,233.05025,361.63399000000004,False,True,594.68424
490G00011887,stop_area,Sandall Road,2,1,False,271.25158,323.24775,False,True,594.49933
490G00003905,stop_area,Bensham Lane,1,1,False,177.65185,416.77417,False,True,594.42602
490G00002264,parent_stop_area,Chauntler Close / Cundy Park,2,1,False,207.41241000000002,386.59241,False,True,594.00482
490G00011949,stop_area,Scotch Common,2,1,False,234.86928,358.13217,False,True,593.00145
490G00015374,stop_area,Martindale Road Hounslow,1,1,False,338.6503,254.14521,False,True,592.79551
490G00019883,stop_area,Harrow View Road,1,1,False,105.87439,486.5612,False,True,592.43559
490G00013988,stop_area,Valentines Park,2,2,False,258.60773,333.53258,True,True,592.14031
490G00010645,stop_area,Osbaldeston Road,1,1,False,135.95716,456.11288,False,True,592.0700400000001
490G000764,stop_area,Station Road / Chingford Station,1,1,False,574.06235,17.90533,False,True,591.9676800000001
490G00018872,stop_area,Rowan Drive,2,2,False,208.84557999999998,383.00485000000003,True,True,591.85043
490G00019717,stop_area,Paul Street,1,1,False,249.49104,341.77573,False,True,591.26677
490G00007029,stop_area,Friern Barnet Road,2,1,False,275.69073000000003,314.73917,False,True,590.4299000000001
490G00008701,stop_area,Well Hall Road /Kidbrooke Lane,2,1,False,242.16146,348.03499000000005,False,True,590.19645
490G00007423,stop_area,Great West Road,2,1,False,331.27108,258.7403,False,True,590.0113799999999
910GHAMWICK,parent_stop_area,Hampton Wick,2,1,False,331.37693,258.62910999999997,False,True,590.00604
490G00008380,stop_area,Hortensia Road,2,2,False,243.34086000000002,346.65718,True,True,589.99804
490G00011631,stop_area,Woodford / Roding Lane South,1,1,False,204.86866,384.97583,False,True,589.84449
940GZZLUMSH,parent_stop_area,Mansion House,1,1,False,416.12197,173.41029,False,True,589.53226
490G00007732,stop_area,Cross Street (TW12),2,1,False,272.6906,316.17105000000004,False,True,588.86165
490G00011021,stop_area,Pinner Park Avenue,2,1,False,44.83747,543.9104,False,True,588.74787
490G00014166,stop_area,Walthamstow Market,1,1,False,313.70273000000003,274.52696,False,True,588.22969
490G00009443,stop_area,Ludgate Hill / Old Bailey,1,1,False,329.84578,258.13175,False,True,587.97753
490G00013456,stop_area,Winifred Road,2,1,False,221.01513,366.56303,False,True,587.57816
490G00007586,stop_area,Grove Tavern,2,1,False,270.53458,316.38452,False,True,586.9191000000001
490G00007880,stop_area,Harvey Road / Hornsey,2,1,False,258.07385999999997,328.72080000000005,False,True,586.79466
490G00012013,stop_area,Seymour Gardens,2,2,False,193.41715,393.0821,True,True,586.4992500000001
490G00008943,stop_area,Langdon Park Road,2,2,False,213.87840999999997,372.20709,True,True,586.0854999999999
490G00008115,stop_area,Harlech Gardens,2,2,False,189.75609,396.28661,True,True,586.0427
490G00007427,stop_area,Great West Road Lampton,1,1,False,189.69021,396.33464,False,True,586.02485
490G00006548,stop_area,Eltham High Street / Foots Cray Road,2,2,False,297.69857,287.97863,True,True,585.6772000000001
490G00004528,stop_area,Brunel University Cowley,2,2,False,288.51829,296.92236,True,True,585.44065
490G00003502,stop_area,West Green Baptist Church,2,2,False,243.54405000000003,341.79767000000004,True,True,585.3417200000001
490G00002276,stop_area,Church Manorway / War Memorial,2,1,False,217.99158999999997,367.30852000000004,False,True,585.30011
490G00007655,stop_area,Hainault Road,2,2,False,195.30984999999998,389.81401,True,True,585.1238599999999
940GZZCRMDN,parent_stop_area,Morden Road Tram Stop,2,1,False,260.10158,324.59807,False,True,584.69965
490G000886,stop_area,Herne Hill,2,1,False,310.37382,273.7555,False,True,584.12932
490G00011788,stop_area,Rumbold Road,2,2,False,201.29041,382.63375,True,True,583.92416
490G00000373,parent_stop_area,Parliament Square / Westminster Abbey,1,1,False,493.53703,89.80684,False,True,583.34387
490G00003023,stop_area,Fiveways Corner,2,1,False,186.96569,395.84054000000003,False,True,582.80623
490G00004503,stop_area,Browells Lane,2,1,False,219.3143,362.796,False,True,582.1103
