,imd_education,imd_health,deprived_1plus_share,private_rented_share,social_rented_share,no_car_household_share,age_20_34_share,accom_food_share,transport_storage_share,admin_support_share,wholesale_retail_share,health_social_share,manufacturing_share,asian_share,black_share,dependent_children_share,unemployed_share,log1p_poi_count,shannon_group,population_density
wholesale_retail_share,0.7291193485829177,0.2816930501999448,0.6861435128536415,-0.12354060791605903,0.19186996053154012,-0.1738898832951134,-0.15783034643357838,0.3911873894089258,0.7331364891830243,0.5357271507601823,1.0,0.25776968729620736,0.18452239516158547,0.47279235195601277,0.3092944155391828,0.5621688889559817,0.3548465026148824,-0.10846558065623771,-0.08948231177827581,-0.03638095302732143
health_social_share,0.3616050395162652,0.3675249682601249,0.3999889531774201,-0.3721709376693086,0.3824960403313715,-0.06262674812276083,-0.18684740951347775,0.11958828217288563,0.34052293049943666,0.34373786868825135,0.25776968729620736,1.0,-0.20063217440198278,-0.020943665740828548,0.5499221119292534,0.31628532253498054,0.2992796400215381,-0.20556077332870243,-0.03736793979974259,-0.049880804176666356
manufacturing_share,0.03788331299880194,-0.20115364442141737,-0.020827877102508288,-0.02980039336764901,-0.2554364826155409,-0.3269267960418205,-0.22696911967339337,-0.13975006176360738,0.18026980706702736,-0.03418608894725471,0.18452239516158547,-0.20063217440198278,1.0,0.1336900780593998,-0.23514236035047975,0.17305933305716706,-0.14083599657522272,0.019715303977857836,-0.04359384576778132,-0.2067033164717873
asian_share,0.2918113928053159,-0.016318855884042825,0.27800924718997694,0.22034925043598938,-0.10445633046284317,-0.06158823209066339,0.07416091701599947,0.3050364326907772,0.4234419094689342,0.21782855919886496,0.47279235195601277,-0.020943665740828548,0.1336900780593998,1.0,-0.08219968738170731,0.3338204992425176,0.12470533125339607,0.047713854278722316,-0.05749513063589919,0.01582363159916669
black_share,0.5694009350629623,0.7082300432931178,0.6051581422373696,-0.08243930070979828,0.6961329631242347,0.406956795664652,0.25414696807447623,0.4501011309440917,0.37298889790988377,0.5512534308059942,0.3092944155391828,0.5499221119292534,-0.23514236035047975,-0.08219968738170731,1.0,0.17345809725807307,0.6647838061064294,-0.15628456443497865,0.013330694864436018,0.286489439203642
dependent_children_share,0.4800925138951226,0.029184952247834125,0.41154350438552545,-0.3267666656439218,-0.009798856578314022,-0.4960370513766672,-0.49947700923379473,0.11312099857206152,0.634743619692813,0.44128108644630104,0.5621688889559817,0.31628532253498054,0.17305933305716706,0.3338204992425176,0.17345809725807307,1.0,0.1620855149657641,-0.25394892987290013,-0.12699627009035327,-0.17223879217141697
unemployed_share,0.5873665076074698,0.6387813583313262,0.6790336013304514,0.11773168324180117,0.6407746537008507,0.46824000325066456,0.33939334190607,0.6036416981586342,0.39638225232271934,0.5343523425134102,0.3548465026148824,0.2992796400215381,-0.14083599657522272,0.12470533125339607,0.6647838061064294,0.1620855149657641,1.0,-0.05476395311178954,0.04765102178866188,0.36163268293225986
log1p_poi_count,-0.10484618563308848,-0.05965559347039131,-0.11384783056687148,0.3851374898626239,-0.09016570806633048,0.21801986868124745,0.2425665128561964,0.09375479924556045,-0.17330832117390133,-0.10622358169603513,-0.10846558065623771,-0.20556077332870243,0.019715303977857836,0.047713854278722316,-0.15628456443497865,-0.25394892987290013,-0.05476395311178954,1.0,0.41590089977745864,-0.2164125376269248
shannon_group,-0.023591876953583096,0.06126278164043068,0.0050745668652398684,0.08097014300329848,0.109284750072416,0.15210732539416164,0.11973418544862137,0.08655487358072869,-0.0850024447708027,-0.04240557586291916,-0.08948231177827581,-0.03736793979974259,-0.04359384576778132,-0.05749513063589919,0.013330694864436018,-0.12699627009035327,0.04765102178866188,0.41590089977745864,1.0,-0.135999146313908
population_density,0.138785133813425,0.3552338216928186,0.20868871103474038,0.3535502929264117,0.3726912633160808,0.6332678864345368,0.5460383886620801,0.3465292950242146,-0.07976507086618047,0.12321152906312016,-0.03638095302732143,-0.049880804176666356,-0.2067033164717873,0.01582363159916669,0.286489439203642,-0.17223879217141697,0.36163268293225986,-0.2164125376269248,-0.135999146313908,1.0
