cluster_name,variable,n,median,mean,vs_overall_median
"C3 late-night, extended-duration persistent",health_social_share,31,0.1193329063666657,0.11944209508978303,-0.0007154448907835953
C4 inner-middle ring mixed,health_social_share,167,0.1229853548150716,0.1220594985271155,0.002937003557622303
C0 outer arrival-oriented,manufacturing_share,75,0.0325616671057128,0.034460998528245336,0.005068839230989403
C1 central departure-oriented,manufacturing_share,26,0.023988338020700647,0.02424101611775397,-0.0035044898540227513
"C2 central interchange, direction-balanced",manufacturing_share,90,0.026092626288126648,0.027336752242011784,-0.0014002015865967506
"C3 late-night, extended-duration persistent",manufacturing_share,31,0.0231346560743523,0.024860360608504783,-0.0043581718003711
C4 inner-middle ring mixed,manufacturing_share,167,0.0279560518844573,0.030165510748443907,0.00046322400973390285
C0 outer arrival-oriented,log1p_poi_count,75,4.035504062199167,4.060159525630869,-0.15996127142272432
C1 central departure-oriented,log1p_poi_count,26,6.9435072570188545,6.610033136176496,2.748041923396963
"C2 central interchange, direction-balanced",log1p_poi_count,90,4.615881551995794,4.874795526767121,0.4204162183739024
"C3 late-night, extended-duration persistent",log1p_poi_count,31,4.267176792994939,4.395074387735067,0.07171145937304768
C4 inner-middle ring mixed,log1p_poi_count,167,4.137829674161839,4.168428487001,-0.057635659460052224
C0 outer arrival-oriented,shannon_group,75,1.6567635146896411,1.6475965091274192,-0.026442211412573302
C1 central departure-oriented,shannon_group,26,1.7026420187087452,1.6907941111539921,0.01943629260653079
"C2 central interchange, direction-balanced",shannon_group,90,1.7016728418238216,1.7033944245945716,0.018467115721607197
"C3 late-night, extended-duration persistent",shannon_group,31,1.7366759233195628,1.7339191955313762,0.05347019721734836
C4 inner-middle ring mixed,shannon_group,167,1.673501605402821,1.6701813884815857,-0.009704120699393526
C0 outer arrival-oriented,population_density,75,7388.695179254332,7737.8060771380115,-4638.1640467144125
C1 central departure-oriented,population_density,26,7116.343872739655,9196.973370983254,-4910.51535322909
"C2 central interchange, direction-balanced",population_density,90,15146.70688387188,15853.611952367257,3119.8476579031358
"C3 late-night, extended-duration persistent",population_density,31,17091.53539688724,15790.782945247514,5064.676170918496
C4 inner-middle ring mixed,population_density,167,12870.862056922098,13664.882683168287,844.0028309533536
