,imd_education,imd_health,deprived_1plus_share,private_rented_share,social_rented_share,no_car_household_share,age_20_34_share,accom_food_share,transport_storage_share,admin_support_share,wholesale_retail_share,health_social_share,manufacturing_share,asian_share,black_share,dependent_children_share,unemployed_share,log1p_poi_count,shannon_group,population_density
wholesale_retail_share,0.7299745234174786,0.10596827220577626,0.741832540345737,-0.2787811278805387,-0.011882888041866647,-0.4611090192647161,-0.4550094805831012,0.4295628657149456,0.8324588011022388,0.6606289659997606,1.0,0.387325802822219,0.4416061928257438,0.4691947813880079,0.27863495912269387,0.7510052924506588,0.43174765034231416,-0.2853478296701316,-0.2353098869404025,-0.14168563768617914
health_social_share,0.37767458757272,0.25756362163371005,0.4710627651092525,-0.5819887472481234,0.24095420269835274,-0.2844189200677065,-0.3072887244767841,0.07031695787954594,0.42627620921009957,0.46460483775777534,0.387325802822219,1.0,0.017356979374711663,-0.02542806346374291,0.5241350713484975,0.44954130123627783,0.3337721793761795,-0.37777089517893814,-0.03773783766868782,-0.07340709181456995
manufacturing_share,0.011383631015420293,-0.43296103450785467,0.05796681908038446,-0.20373295029100222,-0.4836875054660388,-0.6088939917709232,-0.609224451403373,-0.21749686919567837,0.3320990873320614,0.14205197695793256,0.4416061928257438,0.017356979374711663,1.0,0.04995424326680854,-0.18667992854243654,0.42410304469318727,-0.17979898839803324,-0.1291060494392625,-0.16649477737193466,-0.39930042857821424
asian_share,0.3320118345728458,-0.054752941162080355,0.2548434964790046,0.15554985649163586,-0.18300410026809838,-0.12784628999433062,-0.0425940245314802,0.3040715847730888,0.4818696716951845,0.175417187448079,0.4691947813880079,-0.02542806346374291,0.04995424326680854,1.0,-0.23775663370700484,0.3696927948587739,0.06135805657933712,0.08367790639700717,-0.1731710404830378,-0.14722863423541405
black_share,0.5794410889959797,0.6790861863592542,0.5855025055608344,-0.2192464093349036,0.6871613476800246,0.18702058125423396,0.20228369826935783,0.4338111373254461,0.33406859412360823,0.6516021787910967,0.27863495912269387,0.5241350713484975,-0.18667992854243654,-0.23775663370700484,1.0,0.18619657271977247,0.7602610162214704,-0.28975318000118655,0.05441718112836981,0.3670411671972844
dependent_children_share,0.5048693359351508,-0.10959476597607196,0.499886551026861,-0.5045184901440057,-0.2463018998472873,-0.7695187786081513,-0.7195239668855392,0.06937185556243475,0.7796162468714891,0.6303004777088567,0.7510052924506588,0.44954130123627783,0.42410304469318727,0.3696927948587739,0.18619657271977247,1.0,0.24712774313603134,-0.5028874722424594,-0.2949078025779929,-0.35416058054887284
unemployed_share,0.7150534861452608,0.7497028207716202,0.7569244136278209,-0.0843603710199338,0.6946534648621111,0.23283704589067025,0.20871532747611812,0.7120332767345614,0.4705431219241109,0.6432516004663538,0.43174765034231416,0.3337721793761795,-0.17979898839803324,0.06135805657933712,0.7602610162214704,0.24712774313603134,1.0,-0.19966575847964932,0.060166689465187474,0.43088511196791873
log1p_poi_count,-0.22019218963878107,-0.03697786994141737,-0.25808336018794625,0.4718320917220209,-0.0034818566361670793,0.4145708957497618,0.33993772329559985,0.06943959069456757,-0.31489167729857326,-0.3423633722423157,-0.2853478296701316,-0.37777089517893814,-0.1291060494392625,0.08367790639700717,-0.28975318000118655,-0.5028874722424594,-0.19966575847964932,1.0,0.25867914613128173,-0.06024410099292112
shannon_group,-0.06251252474624838,0.21037720713295383,-0.060950129543845426,0.03659335871953722,0.29009381506369963,0.2934828100851958,0.1971657531289186,0.10323938100283184,-0.2119991299187469,-0.14774909286690346,-0.2353098869404025,-0.03773783766868782,-0.16649477737193466,-0.1731710404830378,0.05441718112836981,-0.2949078025779929,0.060166689465187474,0.25867914613128173,1.0,0.0684587595144751
population_density,0.17688091364239703,0.5343850280788757,0.19646161520758512,0.27149898813301315,0.618730313341375,0.6360298037485661,0.6075939664309279,0.36221331709507837,-0.19391864577194126,-0.02960049856389705,-0.14168563768617914,-0.07340709181456995,-0.39930042857821424,-0.14722863423541405,0.3670411671972844,-0.35416058054887284,0.43088511196791873,-0.06024410099292112,0.0684587595144751,1.0
