MSOA11CD,rail_entry_total,rail_exit_total,bus_alighting_total,bus_boarding_total,origin_total,destination_total
E02000118,0.0,0.0,214.87867,135.73254,135.73254,214.87867
E02000119,892.17569058,1297.109020438,1708.56513,1512.2141299999998,2404.3898205799997,3005.6741504379997
E02000120,713.0461515156417,1244.9866697556834,900.45366,1199.40766,1912.4538115156417,2145.4403297556833
E02000121,655.50116705,1752.016760646,2721.47658,2278.92236,2934.4235270500003,4473.493340646
E02000122,0.0,0.0,762.12319,688.80949,688.80949,762.12319
E02000123,0.0,0.0,4032.20041,3186.41459,3186.41459,4032.20041
E02000124,3152.8771796373967,7335.372206448303,2832.83281,2299.94513,5452.822309637397,10168.205016448303
E02000125,0.0,0.0,323.24516,141.41326999999998,141.41326999999998,323.24516
E02000126,727.56238126,1833.98085934,1225.28781,966.76441,1694.32679126,3059.26866934
E02000127,0.0,0.0,661.3364,316.01853,316.01853,661.3364
E02000128,0.0,0.0,670.22014,343.08862,343.08862,670.22014
E02000130,0.0,0.0,1238.11856,1184.46684,1184.46684,1238.11856
E02000131,927.9140589089071,4995.539631931114,3193.78952,1744.49467,2672.408728908907,8189.329151931113
E02000132,0.0,0.0,957.8654399999999,1015.24712,1015.24712,957.8654399999999
E02000133,0.0,0.0,433.39969,553.8959,553.8959,433.39969
E02000134,0.0,0.0,1706.00703,1671.0618299999999,1671.0618299999999,1706.00703
E02000135,389.994179518,911.7331587378258,1393.09981,1002.13429,1392.128469518,2304.8329687378255
E02000136,0.0,0.0,320.5449,256.14965,256.14965,320.5449
E02000137,0.0,0.0,264.95493999999997,197.63322,197.63322,264.95493999999997
E02000138,0.0,0.0,329.92298999999997,293.15671,293.15671,329.92298999999997
E02000139,0.0,0.0,736.14749,882.69737,882.69737,736.14749
E02000140,0.0,0.0,725.20545,580.2174,580.2174,725.20545
E02000141,0.0,0.0,542.42722,359.97285,359.97285,542.42722
E02000142,0.0,0.0,278.15691,186.81076,186.81076,278.15691
E02000144,0.0,0.0,3282.78982,5126.82549,5126.82549,3282.78982
E02000145,0.0,0.0,142.49739,91.93683999999999,91.93683999999999,142.49739
E02000146,0.0,0.0,891.16146,426.02,426.02,891.16146
E02000147,0.0,0.0,255.05739,101.54996,101.54996,255.05739
E02000148,0.0,0.0,273.96225,479.07043999999996,479.07043999999996,273.96225
E02000149,0.0,0.0,402.70743999999996,252.33652999999998,252.33652999999998,402.70743999999996
E02000150,0.0,0.0,439.93797,415.65355,415.65355,439.93797
E02000151,0.0,0.0,116.67518999999999,60.34576,60.34576,116.67518999999999
E02000152,0.0,0.0,498.02276,261.40851,261.40851,498.02276
E02000153,0.0,0.0,355.09608,263.20335,263.20335,355.09608
E02000154,0.0,0.0,2009.28658,2292.51161,2292.51161,2009.28658
E02000155,0.0,0.0,351.79558,228.67064,228.67064,351.79558
E02000156,0.0,0.0,412.35071999999997,348.29224999999997,348.29224999999997,412.35071999999997
E02000157,0.0,0.0,358.96832,437.36588,437.36588,358.96832
E02000158,0.0,0.0,272.40096,77.58846,77.58846,272.40096
E02000159,0.0,0.0,741.8996999999999,671.5848199999999,671.5848199999999,741.8996999999999
E02000160,0.0,0.0,467.56498999999997,390.53434,390.53434,467.56498999999997
E02000161,0.0,0.0,198.92824,138.16633,138.16633,198.92824
E02000162,0.0,0.0,338.67987,197.42084,197.42084,338.67987
E02000163,0.0,0.0,284.57358999999997,177.22931,177.22931,284.57358999999997
E02000165,0.0,0.0,222.13053,120.56786,120.56786,222.13053
E02000166,0.0,0.0,1003.3214399999999,512.19458,512.19458,1003.3214399999999
E02000167,2510.087821992,2602.57343219,246.96077,368.67564999999996,2878.763471992,2849.53420219
E02000168,4822.395688909478,6882.246719907438,645.78439,529.94119,5352.336878909478,7528.031109907438
E02000169,0.0,0.0,323.17427000000004,280.6411,280.6411,323.17427000000004
