MSOA11CD,od_origin_total,od_destination_total
E02000260,5467,4699
E02000261,1496,1835
E02000262,2723,2569
E02000263,2056,1906
E02000264,1018,1303
E02000265,2079,2242
E02000266,2444,2923
E02000267,1735,2028
E02000268,1017,1132
E02000269,1652,1614
E02000270,1801,2271
E02000271,384,630
E02000272,611,952
E02000274,4307,4152
E02000275,1994,2291
E02000276,754,860
E02000277,504,844
E02000278,712,614
E02000279,680,1187
E02000280,677,818
E02000281,1463,1526
E02000282,1019,1427
E02000283,768,1086
E02000284,2152,1832
E02000285,335,449
E02000286,1017,913
E02000287,348,425
E02000288,3779,3217
E02000289,174,484
E02000290,1595,1190
E02000291,2579,2308
E02000292,1327,1351
E02000293,367,632
E02000294,808,1098
E02000295,734,753
E02000296,3529,3219
E02000297,500,587
E02000298,478,452
E02000299,739,931
E02000300,300,461
E02000301,594,1065
E02000302,304,532
E02000303,628,750
E02000304,322,444
E02000305,1292,1585
E02000306,3426,2708
E02000307,356,895
E02000308,1648,1017
E02000309,3086,2562
E02000311,856,1141
E02000312,1038,1175
E02000313,873,1266
E02000314,3831,4958
E02000315,1997,2074
E02000316,12405,8879
E02000317,988,1294
E02000318,2578,2700
E02000319,2141,2325
E02000320,830,814
E02000321,889,1156
E02000323,3870,3235
E02000324,1355,2231
E02000326,928,1083
E02000327,1968,2296
E02000328,702,924
E02000329,1232,1613
E02000331,1222,1954
E02000332,667,1404
E02000333,986,1432
E02000334,781,897
E02000335,642,589
E02000337,1080,1709
E02000339,2424,1899
E02000340,3159,2711
E02000341,1051,1435
E02000342,375,671
E02000343,814,908
E02000344,1008,1007
E02000345,1121,895
E02000346,1157,962
E02000347,259,385
E02000348,524,707
E02000350,699,796
E02000351,578,808
E02000352,588,506
E02000353,1227,1113
E02000354,543,696
E02000355,797,869
E02000356,337,419
E02000357,871,1377
E02000358,1085,1479
E02000359,650,867
E02000360,1360,1987
E02000361,4430,3250
E02000362,1308,1279
E02000363,1811,1754
E02000364,1207,892
E02000365,3141,2978
E02000366,1069,1218
E02000367,2155,2309
E02000368,1017,1550
E02000369,1014,1126
E02000370,1076,1141
E02000371,7236,6292
E02000372,3119,3067
E02000373,854,942
E02000374,577,789
E02000375,10833,8835
E02000376,1541,1726
E02000377,907,1267
E02000378,924,826
E02000379,411,604
E02000380,354,228
E02000381,596,719
E02000382,846,1117
E02000383,1246,1549
E02000384,7846,6011
E02000385,501,761
E02000386,497,748
E02000387,753,768
E02000388,1053,955
E02000389,515,585
E02000390,240,540
E02000391,1449,1034
E02000392,1189,962
E02000393,128,258
E02000394,1257,1265
E02000395,1503,1203
E02000396,755,726
E02000397,412,694
E02000398,615,745
E02000400,1200,964
E02000401,790,1050
E02000402,658,1296
E02000403,1266,865
E02000404,523,826
E02000405,825,901
E02000406,460,732
E02000407,1553,1737
E02000408,1983,2174
E02000409,793,1132
