lsoa,bus_cluster,n_stopareas,bus_activity,dist_min_m,dist_mean_m,dist_wmean_m,nearest_rail_nlc,nearest_rail_cluster,dist_centre_wmean_m,log_total_activity,direction_balance,post_midnight_share,deep_night_share,post_midnight_persistence,weekend_ratio,within_800m,within_1200m,bus_cluster_name,nearest_rail_cluster_name
E01000027,3,7,1813.1982900000003,1917.0357325829898,2624.2362669690724,2267.6372532746122,6874,0,20448.88375887969,7.457346525825166,-0.2980568119209212,0.0359816528905182,0.0106170981934055,0.0541360240609803,0.7576929490519448,False,False,C3 moderate activity with destination characteristics,C0 outer arrival-oriented
E01000029,3,4,1086.15141,1503.2208753207228,1533.1786453471668,1528.2436230846122,6874,0,19869.615537167087,6.85962181863554,-0.49471618678606,0.0393959667863223,0.0,0.0577558151433611,0.6914639979993557,False,False,C3 moderate activity with destination characteristics,C0 outer arrival-oriented
E01000030,3,2,586.7421300000001,1770.4982349609954,1779.526619154335,1776.7576275903757,6874,0,20366.783271353488,6.291761935786748,-0.5379909172276406,0.0391878288743183,0.0032095098809484,0.0611379762166283,0.7216727946991724,False,False,C3 moderate activity with destination characteristics,C0 outer arrival-oriented
E01000031,0,4,326.12028999999995,1074.3188539721343,1247.1049798575152,1293.1850261284671,6874,0,20189.079825696102,5.746406588383761,-0.2481483666458194,0.0361614666647995,0.0149010616968005,0.0516967245336706,0.6175486886809399,False,True,"C0 low activity, weak night-persistence",C0 outer arrival-oriented
E01000032,2,1,1031.2933,550.1136246267674,550.1136246267674,550.1136246267674,6874,0,19588.196956330616,6.89827173196844,0.026194193855281,0.0544724931032063,0.0194388870995437,0.0728668792820918,0.733962510911693,True,True,"C2 moderate activity and persistence, transitional",C0 outer arrival-oriented
E01000034,3,3,935.89282,997.4877308509938,1466.5546402319585,1510.4135305833265,555,0,21629.536501313818,6.7342526964671,-0.3332762028373009,0.0327113492723447,0.0,0.0453155992561092,0.548505074701501,False,True,C3 moderate activity with destination characteristics,C0 outer arrival-oriented
E01000035,3,7,1559.36796,196.29598569477864,623.4046941226273,653.1165478309049,555,0,20691.752836362168,7.292316107197673,-0.1438733534606877,0.0189683086302126,0.0,0.0264265919854269,0.7532766233625422,True,True,C3 moderate activity with destination characteristics,C0 outer arrival-oriented
E01000036,0,2,1377.68542,9.029152798574064,153.29794106082628,10.992584137296673,555,0,20793.651224281442,7.123734265989887,0.0841664016964117,0.0076583110248941,0.0,0.010723377963028,0.6318354777557814,True,True,"C0 low activity, weak night-persistence",C0 outer arrival-oriented
E01000038,3,1,119.95133,1437.1681356055735,1437.1681356055735,1437.1681356055735,6886,4,21925.005131128248,4.713966741693308,-0.2756422433707669,0.0348623064423217,0.0,0.0462643444857651,0.7281280413226412,False,False,C3 moderate activity with destination characteristics,C4 inner–middle ring mixed
E01000040,0,2,917.44285,330.39884328673725,441.43333286955266,498.41548490739234,738,0,15838.822940047936,6.765364563909708,-0.3291889954629457,0.0181138059228334,0.0,0.0266286705175081,0.8478604367928626,True,True,"C0 low activity, weak night-persistence",C0 outer arrival-oriented
E01000041,0,2,457.29978000000006,672.1716149908548,747.6250306093259,727.8511013780046,518,0,17286.585239862845,6.066297074565245,-0.4277077184401299,0.0294994813308157,0.0015086444321501,0.0446431449271792,0.9605646505839828,True,True,"C0 low activity, weak night-persistence",C0 outer arrival-oriented
E01000042,0,2,501.4594,38.755379558218394,146.3353321693167,88.85893277688037,738,0,16305.40401130466,6.172331504818791,-0.2231090672154409,0.0205480508874826,0.0,0.0302414052580249,0.8004675787895221,True,True,"C0 low activity, weak night-persistence",C0 outer arrival-oriented
E01000043,0,1,232.72266,391.47517296166694,391.47517296166694,391.47517296166694,738,0,16349.106550512171,5.429728713462937,-0.0880361637036953,0.0275078718604153,0.0,0.0383825207390799,0.7429147453141804,True,True,"C0 low activity, weak night-persistence",C0 outer arrival-oriented
E01000045,0,5,1363.51447,624.0715194957351,733.0863562939957,717.8733373570107,738,0,16740.12980176241,7.138091834503042,-0.1302121684244621,0.0219115511554722,0.0010315386196191,0.0310874791021349,0.7486915983138335,True,True,"C0 low activity, weak night-persistence",C0 outer arrival-oriented
E01000049,0,3,172.56325,975.3785525569511,1160.450374383339,1233.7491566927565,514,4,15119.051787785802,5.060548573367488,0.1680987744275659,0.0034488791238585,0.0,0.0043988574172187,0.8701356974603907,False,True,"C0 low activity, weak night-persistence",C4 inner–middle ring mixed
E01000050,1,3,2528.45067,617.784975527951,705.8560439657109,705.6156466425518,514,4,15072.892074692207,7.77261423530172,-0.1321366241666343,0.0333925576286551,0.0095907852238991,0.049742322270256,0.7539593043443422,True,True,"C1 relatively high activity, stronger night-persistence",C4 inner–middle ring mixed
E01000052,2,1,1066.69421,1011.4570562540472,1011.4570562540472,1011.4570562540472,738,0,15456.75402534439,6.884033847392792,-0.4404062882143589,0.0524325413818932,0.0071200400845584,0.0816428581028066,0.7216379313432261,False,True,"C2 moderate activity and persistence, transitional",C0 outer arrival-oriented
E01000057,0,2,383.26941,183.86389966341494,201.7237213806619,198.29282184021037,518,0,18046.4892616498,5.893008060366919,-0.071874129048597,0.0139843795492622,0.0020940316998301,0.0189296089441538,0.9095700502727632,True,True,"C0 low activity, weak night-persistence",C0 outer arrival-oriented
E01000058,0,2,332.64932999999996,464.55714309377555,563.0199030022364,589.8251491380956,556,0,18702.508720679783,5.735068037615157,-0.2653848264322739,0.026850036606983,0.0,0.038661927632753,0.7831585241736206,True,True,"C0 low activity, weak night-persistence",C0 outer arrival-oriented
E01000060,1,5,4320.63502,1570.4677647121573,1661.7378088538273,1583.473055476854,6874,0,19995.624372287843,8.293714836561577,-0.1955293978265555,0.0728610378097066,0.0359789561046348,0.1068097883612066,0.7690276838976724,False,False,"C1 relatively high activity, stronger night-persistence",C0 outer arrival-oriented
E01000061,1,3,1594.3102000000001,1689.2024745423505,1870.83676167484,1896.8615738372257,6874,0,20503.198758987022,7.272482652908933,-0.136269259963861,0.077796178048475,0.0395294256424548,0.1136319488331882,0.7637843315301762,False,False,"C1 relatively high activity, stronger night-persistence",C0 outer arrival-oriented
E01000062,3,3,262.85855000000004,1093.942855331749,1257.4516926644462,1099.1660814566715,556,0,19917.95768749259,5.461145360780386,-0.5403620435227934,0.0485896789584363,0.0,0.0692723598246944,0.6030061168081152,False,True,C3 moderate activity with destination characteristics,C0 outer arrival-oriented
E01000063,2,2,300.84599000000003,1497.2723332551827,1505.6111552057155,1500.1642386663966,556,0,19629.739914410762,5.4618669946934215,0.3716521879128884,0.2379107223959263,0.1256292190614384,0.4304042669862319,1.0326643555924528,False,False,"C2 moderate activity and persistence, transitional",C0 outer arrival-oriented
E01000064,3,3,846.65155,1151.9834951937332,1293.0669565250028,1183.8353766617504,555,0,20272.588289687974,6.66674758479618,-0.195887627826455,0.0241455159308654,0.0,0.0342180185857809,0.746924899758011,False,True,C3 moderate activity with destination characteristics,C0 outer arrival-oriented
E01000065,0,1,387.33546,1359.697801105599,1359.697801105599,1359.697801105599,556,0,19761.969663978336,5.843502677029823,-0.4613795461205353,0.02154639612821,0.0102396146815448,0.0287353068685666,0.5048438421906138,False,False,"C0 low activity, weak night-persistence",C0 outer arrival-oriented
E01000067,1,1,932.78253,1002.707715958568,1002.707715958568,1002.707715958568,738,0,16097.507695292461,6.802062252493156,-0.1846882876335293,0.0674942769328154,0.0238689119211745,0.1020228756559431,0.8877094938424015,False,True,"C1 relatively high activity, stronger night-persistence",C0 outer arrival-oriented
E01000068,2,1,356.51837,661.7035502308381,661.7035502308381,661.7035502308381,514,4,15488.603100344459,5.829482914416893,-0.0334388782117532,0.0754073770206401,0.0259849020025282,0.115084122447165,0.9594092327307427,True,True,"C2 moderate activity and persistence, transitional",C4 inner–middle ring mixed
E01000070,1,7,2044.3672499999998,553.148393511006,980.2199705339407,1000.8588997026147,738,0,15884.271315949733,7.551127369992852,-0.1225439928658634,0.0902761677537923,0.0263587614821109,0.1389334976005647,0.8100238120300656,True,True,"C1 relatively high activity, stronger night-persistence",C0 outer arrival-oriented
E01000071,0,2,172.35817,238.05825598843035,295.51502661228983,292.0599132319624,738,0,16160.40805595152,5.096588806188513,-0.1628827055455892,0.0188430190562979,0.0,0.0265550601776195,0.9748366964774952,True,True,"C0 low activity, weak night-persistence",C0 outer arrival-oriented
E01000072,0,2,588.90614,862.8438715340948,947.0204307811839,941.2860585965212,738,0,17161.782966200135,6.304139979604011,-0.3205332931743904,0.0124750495162331,0.0,0.0175194326388573,0.7492460435510239,False,True,"C0 low activity, weak night-persistence",C0 outer arrival-oriented
E01000073,0,2,178.48487999999998,1197.6484034972154,1263.4546037013465,1285.0218633929962,518,0,17339.262927599008,5.07893062458026,-0.1077667967275142,0.0392883632821648,0.0,0.0543839669330744,0.7548924793830166,False,True,"C0 low activity, weak night-persistence",C0 outer arrival-oriented
E01000074,0,1,248.53352,690.8067958550002,690.8067958550002,690.8067958550002,518,0,18027.328698395668,5.449807051924986,-0.16741588288905,0.0286845042877563,0.0,0.0400754578052684,0.6491645253522828,True,True,"C0 low activity, weak night-persistence",C0 outer arrival-oriented
E01000075,0,3,2451.90586,41.57864354977551,323.120181419582,115.08449303439264,518,0,18073.176492005103,7.747583021671697,0.0526564686855282,0.0366530725262725,0.0122129636349184,0.0530967177603121,0.7878759683194821,True,True,"C0 low activity, weak night-persistence",C0 outer arrival-oriented
E01000077,0,1,248.14658,904.7074946077679,904.7074946077679,904.7074946077679,518,0,18262.11926365612,5.4125271814035,-0.3241417711473957,0.0177328630890333,0.0024225186075146,0.0249127079906437,0.7220835864312575,False,True,"C0 low activity, weak night-persistence",C0 outer arrival-oriented
E01000078,0,2,944.23233,1186.7308619899788,1188.2650577387537,1187.3643214236142,518,0,18539.165943182288,6.8042440856065936,-0.1443871536253181,0.0175117426724468,0.0009605337241967,0.0241053904335426,0.7659662700206499,False,True,"C0 low activity, weak night-persistence",C0 outer arrival-oriented
E01000079,0,1,190.02383,883.4480975877663,883.4480975877663,883.4480975877663,556,0,18924.55106468843,5.211902629715083,-0.1877432235591713,0.0164405546397431,0.0,0.0219471424980856,0.5912138512449843,False,True,"C0 low activity, weak night-persistence",C0 outer arrival-oriented
E01000080,0,1,150.17558,1038.4715399082825,1038.4715399082825,1038.4715399082825,518,0,18722.587454729648,4.945008607788324,-0.1444913052836532,0.0100947100085852,0.0,0.0134761209545817,0.662757850479569,False,True,"C0 low activity, weak night-persistence",C0 outer arrival-oriented
E01000082,1,4,2130.38171,1442.171541159871,1445.9789062425382,1446.5085819410933,556,0,19265.826161205307,7.545151602863903,-0.4541533078520642,0.1228766146866465,0.0594598666626805,0.1980078715828188,0.7714363261849524,False,False,"C1 relatively high activity, stronger night-persistence",C0 outer arrival-oriented
E01000083,1,3,3707.97441,1264.40665009303,1336.6994786159248,1288.0280822628024,518,0,18495.935454749993,8.13475101983801,-0.2372318239940583,0.0730801154157898,0.0287367381036301,0.1091350486928271,0.7884288715442083,False,False,"C1 relatively high activity, stronger night-persistence",C0 outer arrival-oriented
E01000084,3,2,492.38879000000003,222.58382315742213,307.5008333505082,247.55524564439366,556,0,19410.096410535127,6.099662077132161,0.242660534810854,0.0559103695953784,0.0380218099943664,0.0825308832672693,0.6888954560326134,True,True,C3 moderate activity with destination characteristics,C0 outer arrival-oriented
E01000085,0,2,365.29094000000003,287.0716268309558,340.37163988727957,297.53188469554425,556,0,19509.093193464945,5.836073740307706,-0.3304478997324857,0.0152038961056457,0.0,0.0207145822582521,0.8106473019335867,True,True,"C0 low activity, weak night-persistence",C0 outer arrival-oriented
E01000086,3,1,460.19189,673.8651250297554,673.8651250297554,673.8651250297554,556,0,19389.982284674734,6.08653076533792,-0.2238653700915077,0.04265585023327,0.0088697539651322,0.0640387329981551,0.7623697039556984,True,True,C3 moderate activity with destination characteristics,C0 outer arrival-oriented
E01000087,3,7,4075.67162,966.7694793131208,1365.947176769428,1231.629598960935,556,0,19507.05413264002,8.2251318399043,-0.2106882662306961,0.0356915298286125,0.0071707609724972,0.0517569882013116,0.6878523311003045,False,True,C3 moderate activity with destination characteristics,C0 outer arrival-oriented
E01000088,0,2,569.35584,1151.9718937245464,1257.8642116081364,1254.9037840234835,556,0,19861.46705355256,6.207752975666437,-0.2683740335849314,0.0680748956948099,0.0377440029560266,0.1040799650870635,0.7554513816233132,False,True,"C0 low activity, weak night-persistence",C0 outer arrival-oriented
E01000090,0,2,694.37927,1744.9996017567728,1844.3795777289179,1932.94677252761,555,0,20279.724346077575,6.427114669113228,-0.4537523555723028,0.0403542432177723,0.0098065537875166,0.0612562671083326,0.629520173698726,False,False,"C0 low activity, weak night-persistence",C0 outer arrival-oriented
E01000091,1,2,1882.59856,887.770522150854,989.8803388920682,977.1051316228825,1335,0,16695.099062205554,7.482981620016182,-0.6324047851387558,0.0850949608974573,0.0306912429047679,0.1354307030169431,0.7753077767284212,False,True,"C1 relatively high activity, stronger night-persistence",C0 outer arrival-oriented
E01000093,2,2,1785.10476,1153.0937161596564,1153.8964482431236,1153.8488856733302,738,0,16105.405444475393,7.415143555834324,-0.2700175310956656,0.0645812437969803,0.0290815386526751,0.0998934332557029,0.7880194932852026,False,True,"C2 moderate activity and persistence, transitional",C0 outer arrival-oriented
E01000094,1,8,1899.9600500000001,277.9757183640327,577.216731735443,575.0424903529001,1335,0,16958.771563950162,7.45317606142285,-0.260639077266587,0.1403928700086923,0.0536675192817318,0.2334726023994021,0.7602322461883209,True,True,"C1 relatively high activity, stronger night-persistence",C0 outer arrival-oriented
E01000095,0,10,2911.23072,891.346453406306,1261.1353231990386,1182.855664001788,556,0,18742.04660167948,7.870102437959716,0.0827203871194353,0.0252035079614954,0.0006602788605133,0.036068151050093,0.7092504265269968,False,True,"C0 low activity, weak night-persistence",C0 outer arrival-oriented
E01000096,0,4,689.84582,860.5724812273827,985.0311942371637,946.8806740528156,738,0,17054.981570672615,6.469886455501905,-0.0885512655567777,0.0101917032877369,0.0,0.0136008495943978,0.5983936100299507,False,True,"C0 low activity, weak night-persistence",C0 outer arrival-oriented
E01000097,0,3,163.92717,263.0019011338131,352.24554194796286,373.0956878986729,6874,0,18966.85871334337,5.041782672070659,-0.0340849362677821,0.0250159955765897,0.0140675217890745,0.0342769956629053,0.6397649533998951,True,True,"C0 low activity, weak night-persistence",C0 outer arrival-oriented
E01000098,2,3,1071.16598,756.8335351978003,979.2091145235303,911.5919246981607,6874,0,18590.515313606124,6.92025788466264,-0.2622596375343473,0.0329914035858459,0.00682060990286,0.0471012400292541,0.779276504269368,True,True,"C2 moderate activity and persistence, transitional",C0 outer arrival-oriented
E01000099,1,4,1255.98559,615.3015520864546,718.177394012348,756.6385440721868,6874,0,19051.64722370735,7.0652685987931445,-0.3126094656502647,0.0879846367509611,0.0321681663934741,0.1327187395659071,0.768687325826129,True,True,"C1 relatively high activity, stronger night-persistence",C0 outer arrival-oriented
E01000101,1,1,876.97961,1402.3187939979982,1402.3187939979982,1402.3187939979982,6874,0,19933.034415261514,6.710849950065884,-0.3270086310044037,0.0828850430635885,0.0362800526335051,0.1258856580239215,0.7963415808258332,False,False,"C1 relatively high activity, stronger night-persistence",C0 outer arrival-oriented
E01000104,0,4,1155.8437800000002,350.38903693032717,603.5920601472782,575.1089270057405,555,0,20690.76761399486,6.999193727845389,-0.3379301542938601,0.0101048885775522,0.0,0.0145205334381462,0.8328819368679033,True,True,"C0 low activity, weak night-persistence",C0 outer arrival-oriented
E01000105,0,2,981.07857,162.98527090314573,331.7635917825759,173.6764438349334,556,0,19535.596943754856,6.854893080824235,-0.0044176281659127,0.0171200597827543,0.0,0.0241440355899716,0.7740437028489823,True,True,"C0 low activity, weak night-persistence",C0 outer arrival-oriented
E01000106,0,3,470.59412999999995,707.8111845197998,724.8478890089409,727.9482509262905,556,0,20204.138571041192,6.092398316667124,-0.344355769501928,0.0158532857616748,0.0,0.022261224903152,0.7952776611701544,True,True,"C0 low activity, weak night-persistence",C0 outer arrival-oriented
E01000110,2,2,449.95845,1215.5628326006024,1259.4109122564005,1269.623037138685,6874,0,20357.251480717787,6.0312924316646255,-0.3512006401114926,0.1056952410611891,0.0218911541710533,0.1651776109150178,0.777838656155007,False,False,"C2 moderate activity and persistence, transitional",C0 outer arrival-oriented
E01000111,0,3,956.5851700000001,956.7329826027741,1084.332213867798,1039.7338398490026,6874,0,20052.999994137157,6.795245501478592,-0.1577379191518026,0.0066629015129377,0.0,0.0090791860039081,0.7346425848074449,False,True,"C0 low activity, weak night-persistence",C0 outer arrival-oriented
E01000112,1,2,1749.22865,811.9470426080755,886.8607222150206,907.0713349063982,6874,0,19984.714115020943,7.4030810665152,-0.1912008002669312,0.0783549643440663,0.0268601704412274,0.1232763965310391,0.7746328404110596,False,True,"C1 relatively high activity, stronger night-persistence",C0 outer arrival-oriented
E01000113,2,3,2953.30215,24.166091947189145,202.45347959762032,142.61890050565736,6874,0,19177.882798472412,7.911503097502614,0.2846638180412246,0.0254734229738678,0.0059296637125779,0.0359155318804198,0.7517086387863227,True,True,"C2 moderate activity and persistence, transitional",C0 outer arrival-oriented
E01000114,1,2,2011.63745,1278.7759772532481,1419.5870016995707,1508.0672257495899,6874,0,20118.903079782987,7.472186698841337,-0.2076755991962162,0.0832636053210983,0.036190636412004,0.1242277429768141,0.6794770705381709,False,False,"C1 relatively high activity, stronger night-persistence",C0 outer arrival-oriented
E01000118,3,5,1245.77555,1473.3543735907783,1584.7247919069919,1546.0140676168976,706,4,13864.134888230376,7.115656981221901,-0.3090020776085759,0.0286047675371312,0.0,0.0401685190754659,0.721697451434063,False,False,C3 moderate activity with destination characteristics,C4 inner–middle ring mixed
E01000120,3,2,384.81483000000003,1014.9610162412151,1033.6488471741382,1031.7143752443528,706,4,13930.870947513333,5.955357539338859,0.0346359572472817,0.0218424274345144,0.0,0.0319831043712526,0.8125229716776099,False,True,C3 moderate activity with destination characteristics,C4 inner–middle ring mixed
E01000121,0,1,159.61935,1538.8477806485134,1538.8477806485134,1538.8477806485134,509,4,13322.699200987763,5.042627573159304,-0.3952648888461995,0.0352061066142488,0.0,0.0505491187385818,0.6695476858638169,False,False,"C0 low activity, weak night-persistence",C4 inner–middle ring mixed
E01000123,0,3,183.53364,670.3904074536975,979.7114950867722,1179.0918745793406,509,4,12944.057861805144,5.21012594812876,-0.4685310200380941,0.0216928534780255,0.0,0.0301147598104281,0.6136908476916234,True,True,"C0 low activity, weak night-persistence",C4 inner–middle ring mixed
E01000124,3,3,347.31354000000005,726.5085042894697,810.3129180042512,820.7717008348137,509,4,12441.398078328393,5.785109526437404,-0.1926462207608414,0.0311461446860725,0.0006677194658441,0.047124856552738,0.8055270685721707,True,True,C3 moderate activity with destination characteristics,C4 inner–middle ring mixed
E01000126,2,2,689.6936599999999,633.4847443599954,652.0262384884905,642.9131305218621,551,4,13528.555336391351,6.47599513170864,-0.345153350401597,0.0734663066616894,0.0342857282989826,0.1158830088610025,0.7415527835583218,True,True,"C2 moderate activity and persistence, transitional",C4 inner–middle ring mixed
E01000127,2,3,407.94238,313.5140813863612,363.43468155660383,335.4559152025859,532,0,14269.073735394823,5.9448277627511255,-0.3430030338237736,0.0865539785321251,0.0520397422510384,0.1261699321704161,0.8026513941183674,True,True,"C2 moderate activity and persistence, transitional",C0 outer arrival-oriented
E01000128,2,1,175.85192999999998,602.5973116660782,602.5973116660782,602.5973116660782,532,0,13796.076688682184,5.110828260942701,-0.4423476631512752,0.0251437387941322,0.0042199502535167,0.0357103000743095,0.7382620744497652,True,True,"C2 moderate activity and persistence, transitional",C0 outer arrival-oriented
E01000129,1,5,8335.30012,26.292615449131855,270.16883106599033,194.49887694286963,532,0,14207.307103556346,8.96955351639887,0.0092294358372535,0.0573694955186053,0.0132115055610334,0.0870941181630449,0.8083470063078008,True,True,"C1 relatively high activity, stronger night-persistence",C0 outer arrival-oriented
E01000130,2,2,1070.64712,572.3851395937354,576.3750672135005,578.2532947400879,532,0,14092.164874517766,6.931291047076115,-0.3678029452288396,0.0690667770079067,0.0192558982225249,0.1006589878274812,0.636657967159332,True,True,"C2 moderate activity and persistence, transitional",C0 outer arrival-oriented
E01000131,2,1,673.35157,799.8361027270716,799.8361027270716,799.8361027270716,532,0,13524.929907396932,6.457566543624013,0.019721423061228,0.0623081111556492,0.0271737117071083,0.0960270780689616,0.8869749378342155,True,True,"C2 moderate activity and persistence, transitional",C0 outer arrival-oriented
E01000133,3,1,676.92957,969.505271789878,969.505271789878,969.505271789878,532,0,14121.508418012576,6.484044374088042,-0.5214404362458462,0.0489340253431273,0.0026471929647676,0.0750156709122959,0.825187795378561,False,True,C3 moderate activity with destination characteristics,C0 outer arrival-oriented
E01000134,0,1,198.29953,656.5607506000525,656.5607506000525,656.5607506000525,532,0,14764.994954282916,5.261223518013851,-0.5494784660359527,0.0347620979532659,0.0,0.051598542990295,0.7136783053729047,True,True,"C0 low activity, weak night-persistence",C0 outer arrival-oriented
E01000135,2,2,351.19986000000006,896.3876591126142,925.4206631638723,908.4487558428069,529,4,8810.846030864597,5.8563193959324185,-0.4768610926253124,0.0859571081764196,0.0163690775145734,0.1385437331258281,0.8051170713351817,False,True,"C2 moderate activity and persistence, transitional",C4 inner–middle ring mixed
E01000136,2,4,672.60646,500.5991848379774,684.8345392563915,631.6122044589465,584,4,8022.933426032578,6.482014751729339,-0.0174147428589703,0.0440006952166966,0.015155610539631,0.0620390845175456,0.865353026046386,True,True,"C2 moderate activity and persistence, transitional",C4 inner–middle ring mixed
E01000138,2,2,806.34834,1060.6638115163569,1134.5471000516545,1113.9424227211568,584,4,8476.50804142393,6.644624280649346,-0.3813056672831005,0.0935413836568438,0.0279894565325571,0.1445605694065668,0.7425371246314066,False,True,"C2 moderate activity and persistence, transitional",C4 inner–middle ring mixed
E01000139,1,8,3278.2560000000003,1252.6311729557206,1387.7173712486947,1376.0848605454125,584,4,7816.9760758558305,8.062295234060823,-0.3371416967598152,0.065807014758361,0.0129803830890275,0.1016208473920412,0.751003350452349,False,False,"C1 relatively high activity, stronger night-persistence",C4 inner–middle ring mixed
E01000140,1,3,2788.0149199999996,792.8635990259885,971.9237267219686,982.7324027931091,584,4,7905.576754275882,7.9016969732013,-0.2598325417735024,0.0540627039405691,0.0117583435160955,0.0815290709671306,0.7226714827782156,True,True,"C1 relatively high activity, stronger night-persistence",C4 inner–middle ring mixed
E01000141,1,6,13337.33686,936.9809397254822,1169.4669097099934,1046.043308817234,765,4,8195.452650000001,9.46633532615278,-0.1382811025319387,0.0603259107615854,0.011421852892674,0.0978877102950862,0.8670336019358772,False,True,"C1 relatively high activity, stronger night-persistence",C4 inner–middle ring mixed
E01000143,0,2,892.2909400000001,1127.0192561102142,1257.474702934393,1360.469135342926,765,4,8118.990367883602,6.760713070665783,-0.2715621831500598,0.02926433093296,0.0,0.045111651623365,0.8012908058062491,False,True,"C0 low activity, weak night-persistence",C4 inner–middle ring mixed
E01000144,2,4,1412.7100599999999,384.43478934720935,428.6106452338819,472.9215043072456,584,4,8959.462967037214,7.23865625347486,0.1589861235078872,0.0682646877789274,0.015299809249699,0.1086706150647791,0.9329429421863806,True,True,"C2 moderate activity and persistence, transitional",C4 inner–middle ring mixed
E01000146,1,4,12464.71686,171.61816471587585,314.80258457340517,182.42724991613167,584,4,8544.463694506136,9.401627667811102,0.191994358418245,0.0638063414870307,0.0127096032897174,0.100126032028167,0.8356525375009808,True,True,"C1 relatively high activity, stronger night-persistence",C4 inner–middle ring mixed
E01000150,1,1,1173.64326,1252.572441474171,1252.572441474171,1252.572441474171,551,4,11947.572682348495,7.017886088673881,-0.2339696623015407,0.181030354284079,0.0661121630777029,0.3243786623511626,0.7722744157005811,False,False,"C1 relatively high activity, stronger night-persistence",C4 inner–middle ring mixed
E01000151,1,3,1243.14333,743.2366767973155,902.2031049336547,763.2278912013129,551,4,13304.086998903607,7.068795928362077,-0.2946648705507673,0.0669777783821175,0.0225546749689316,0.0995877762816515,0.7510975391425817,True,True,"C1 relatively high activity, stronger night-persistence",C4 inner–middle ring mixed
E01000152,0,3,163.56078,1186.4657167132402,1284.3383195950103,1225.7371065350712,551,4,13602.924272771816,5.028535983135037,-0.3914809957571481,0.0012320274672716,0.0,0.0015967532882473,0.8729468369945723,False,True,"C0 low activity, weak night-persistence",C4 inner–middle ring mixed
E01000154,1,1,1383.21973,395.3962533176086,395.3962533176086,395.39625331760857,551,4,12933.18340548838,7.202685328771144,-0.1653821534757122,0.0571810929663017,0.0236096161045767,0.0819281141729453,0.6035051031027117,True,True,"C1 relatively high activity, stronger night-persistence",C4 inner–middle ring mixed
