stoparea_unit_code,lsoa,unit_easting,unit_northing,activity,dist_m,nearest_rail_nlc,nearest_rail_cluster,dist_centre_m
AREA::490G00000402,E01001246,520731.0,182046.0,10.29792,131.98063611171364,653,4,9450.82186902282
AREA::490G00000433,E01004420,537560.0,187900.0,417.52513999999996,688.839966900876,7402,0,10638.422674438161
AREA::490G00000442,E01000223,523000.0,186802.0,211.08734,1429.9861914750622,529,4,9523.99060268331
AREA::490G00000454,E01000791,546909.0,166447.0,9.31842,12620.420722869028,5131,4,21884.28616610558
AREA::490G00000456,E01034597,515831.0,188230.0,366.08743,521.2882501664386,598,4,16227.507818516064
AREA::490G00000490,E01000958,529498.0,183620.0,89.91145,378.8444901643445,648,3,3283.0499539300345
AREA::490G00000498,E01002693,521060.0,178540.0,984.45142,315.4585743011425,734,4,9160.89280583503
AREA::490G00000499,E01004427,536530.0,187290.0,202.7851,1461.138254923195,6973,0,9483.26404778439
AREA::490G000005,E01000275,525380.0,192500.0,3.9050499999999997,349.73063335598437,771,0,12981.905753778989
AREA::490G00000501,E01001390,530003.0,192172.0,225.89548,702.9712313418894,527,4,11791.040751350154
AREA::490G00000503,E01000138,524389.0,186868.0,515.61196,1060.6638115163569,584,4,8599.255432884873
AREA::490G000006,E01003601,541003.0,182362.0,1353.4498,1368.9417764436726,676,4,11146.448851540117
AREA::490G00000658,E01000735,546580.0,170352.0,2.2108299999999996,8741.762630550476,5131,4,19348.15125535254
AREA::490G00000659,E01000735,546592.0,170090.0,11.22631,9001.750231050743,5131,4,19495.436517298094
AREA::490G000007,E01003744,540078.0,193655.0,24.52104,1322.2045983886155,6914,0,16645.750568838885
AREA::490G00000788,E01000728,547685.0,168857.0,70.06296,10208.121303920489,5131,4,21079.8571389846
AREA::490G00000825,E01003241,538250.0,171475.0,99.94589,2889.457657685224,5437,0,12116.909341907283
AREA::490G00000882,E01003428,524860.0,169580.0,0.05542,967.3236311254715,711,4,11976.304814090196
AREA::490G00000883,E01002927,520520.0,168240.0,0.36379,4928.808977159468,767,0,15424.658083730737
AREA::490G00000887,E01000301,525523.0,191860.0,0.4790899999999999,234.19894817542067,756,0,12333.554313335633
AREA::490G00000896,E01001019,530750.0,158360.0,0.5135699999999999,7871.213125211387,5411,0,22032.637086830982
AREA::490G00000912,E01000303,525355.0,191470.0,0.3420899999999998,247.32923023064077,756,0,12035.736869838922
AREA::490G00000940,E01000296,525174.0,191290.0,86.81253,502.02694322763534,756,0,11942.607797294526
AREA::490G00000942,E01000296,525065.0,191030.0,2.4680999999999997,419.73217223139926,578,4,11751.2621449783
AREA::490G00000990,E01000296,525090.0,191110.0,13.47093,480.01433458380006,578,4,11813.322013726705
AREA::490G00001028,E01000182,527237.0,189453.0,82.63903,269.77993028809215,565,4,9493.386803454287
AREA::490G00001030,E01000315,527098.0,191502.0,33.1241,1556.8702221208123,756,0,11502.031863979511
AREA::490G000012,E01003517,540635.0,181514.0,373.59553999999997,628.3885033250806,887,4,10661.373738876244
AREA::490G00001203,E01000251,526257.0,196106.0,1330.6732,1229.1067959613847,602,4,16172.240228242963
AREA::490G00001232,E01000790,545535.0,165896.0,1150.67483,11579.209860780657,5378,0,21215.471382931843
AREA::490G00001251,E01034224,541999.0,180158.0,383.59326,338.2840686628733,533,2,11967.077922366847
AREA::490G00001287,E01003115,529815.0,170511.0,385.77607,2557.2428573571465,727,4,9872.429336288003
AREA::490G000013,E01002385,557348.0,184900.0,3.744029999999999,2306.328970220799,736,0,27685.30218364972
AREA::490G00001314,E01003034,529263.0,176182.0,600.75418,150.2664300500947,5372,2,4269.196879976374
AREA::490G00001377,E01004031,535370.0,179192.0,70.46229,288.33332949288683,788,4,5466.865372404922
AREA::490G000014,E01002369,550904.0,183308.0,26.568499999999997,1827.1141994423,555,0,21074.25512325406
AREA::490G000015,E01034391,537248.0,173546.0,27.73302,1486.0124494767867,5418,0,9937.757342579864
AREA::490G00001550,E01034149,532600.0,165460.0,1347.28519,773.4636788498863,5411,0,15140.032925987975
AREA::490G000016,E01034391,537064.0,173790.0,17.60054,1229.2863783512773,5418,0,9636.502529445006
AREA::490G000017,E01003225,536997.0,174070.0,8.15582,1114.0771966071293,5418,0,9397.45125020609
AREA::490G000018,E01003274,537321.0,174694.0,14.80247,1412.2322755127784,5404,4,9243.502474711628
AREA::490G000019,E01003276,537105.0,174581.0,29.35624,1297.940291384777,5418,0,9145.438261778383
AREA::490G00001971,E01032744,512970.0,182900.0,430.73755,1642.0273088007737,657,4,17248.92625643695
AREA::490G00001985,E01000280,525870.0,193940.0,13.89622,255.14167236830463,730,0,14183.983114767163
AREA::490G000020,E01003276,537025.0,174550.0,40.75996,1212.1650052694972,5418,0,9103.551065381025
AREA::490G00002043,E01000379,551670.0,173970.0,7.367819999999999,6674.997270078477,5131,4,22565.846250473303
AREA::490G00002092,E01004217,537966.0,178608.0,107.95416,169.92056967889437,857,4,8127.7397227027395
AREA::490G000021,E01003275,537206.0,174605.0,25.52339,1401.1174112114945,5418,0,9208.678515400568
AREA::490G00002136,E01003797,521970.0,177640.0,63.73465,1154.164117930743,713,4,8517.110836428043
AREA::490G00002139,E01000290,520760.0,194890.0,16.07438,3187.8895350648727,568,4,17219.702581635956
AREA::490G000022,E01003659,541638.0,191128.0,36.78613,920.8347660137085,769,4,15816.157086979125
AREA::490G00002217,E01000169,527300.0,196380.0,4.72635,840.57866397968,550,4,16230.91978293282
AREA::490G00002218,E01000228,520980.0,194020.0,5.10899,2523.4765570094196,568,4,16370.621154983704
AREA::490G00002219,E01035721,528360.0,178150.0,72.00596999999999,572.0956748076635,702,2,2789.200064534633
AREA::490G00002220,E01035492,525320.0,175080.0,30.82892,961.512002666784,567,4,7093.828092081172
AREA::490G00002224,E01001570,532050.0,194190.0,30.83112,2039.8020124512084,6913,0,13955.383799810023
AREA::490G00002225,E01001570,532360.0,193870.0,4.7718,1989.7459636848116,6941,0,13688.0749924889
AREA::490G00002226,E01001404,532350.0,193430.0,16.21592,1862.733743721845,6972,0,13252.933901593262
AREA::490G00002227,E01001499,532276.0,192872.0,262.2102,1702.45851638153,6972,0,12690.612475369342
AREA::490G00002228,E01001523,530861.0,194903.0,18.69165,1345.9699728779858,706,4,14545.528969411873
AREA::490G00002229,E01001567,531240.0,194655.0,8.024189999999999,1612.0394617034458,706,4,14324.856439071213
AREA::490G00002230,E01002984,521375.0,168060.0,1635.37074,4314.725027777288,767,0,15059.393148463852
AREA::490G00002231,E01000347,546650.0,174040.0,28.17915,5068.424004450382,5131,4,17784.817598165013
AREA::490G00002233,E01003866,516500.0,174450.0,60.74422,1730.2032394719556,686,0,14776.532644703899
AREA::490G00002234,E01003869,516162.0,174345.0,20.741329999999998,2081.930994840905,686,0,15128.307241724038
AREA::490G00002235,E01003867,515740.0,174128.0,49.98991,2551.8408451838463,612,4,15601.87312472448
AREA::490G00002238,E01000403,551200.0,177800.0,1.04321,4049.567288269439,5131,4,21322.783988025578
AREA::490G00002239,E01000403,551240.0,177630.0,12.314889999999998,4143.147984591173,5131,4,21383.695587994138
AREA::490G00002240,E01000372,550900.0,177450.0,7.06178,3896.673182201528,5131,4,21070.84993539653
AREA::490G00002241,E01000372,550810.0,177380.0,6.44493,3844.951914162506,5131,4,20991.621590529874
AREA::490G00002242,E01000407,550502.0,177550.0,25.32816,3493.6791336481683,5131,4,20662.855199608788
AREA::490G00002243,E01000372,550630.0,177330.0,29.23078,3706.939693182046,5131,4,20820.75447720375
AREA::490G00002244,E01000372,551050.0,177540.0,6.13585,3998.6900216056474,5131,4,21207.157683197434
AREA::490G00002245,E01000407,550300.0,177660.0,51.33636,3264.000902096786,5131,4,20447.8506694469
AREA::490G00002246,E01000407,550080.0,177750.0,22.14846,3026.6893721614906,5131,4,20217.919700107625
AREA::490G00002247,E01000437,549800.0,177710.0,12.24202,2795.9915156443767,5131,4,19945.651079872023
AREA::490G00002248,E01000402,549900.0,177770.0,40.00259,2856.3861589233106,5131,4,20036.847980658036
AREA::490G00002250,E01000437,549700.0,177730.0,17.11901,2698.9347075383926,5131,4,19843.874546065847
AREA::490G00002252,E01004727,527570.0,182320.0,320.8467,379.3785479792569,641,4,3135.445263435482
AREA::490G00002253,E01000288,524930.0,195780.0,12.48404,412.66357735778234,602,4,16222.823952690851
AREA::490G00002254,E01000288,525110.0,195880.0,20.090169999999997,310.76392338547635,602,4,16262.373043316895
AREA::490G00002255,E01000288,524960.0,195780.0,9.901629999999999,406.4267044347903,602,4,16213.410406203871
AREA::490G00002256,E01000280,525860.0,193820.0,17.349259999999997,310.5103492299367,730,0,14072.27760527769
AREA::490G00002257,E01000283,525598.0,193195.0,26.22401,618.7106783526478,771,0,13560.11401132011
AREA::490G00002258,E01000283,525500.0,193090.0,15.90752,547.3533629270831,771,0,13493.547976718355
AREA::490G00002259,E01000283,525410.0,193020.0,27.260089999999998,530.7104143575677,771,0,13458.294728530804
AREA::490G00002260,E01000275,525360.0,192820.0,7.496169999999999,426.90580214794164,771,0,13288.152505145326
AREA::490G00002261,E01000275,525360.0,192620.0,18.712989999999998,359.8597558877305,771,0,13101.12197485391
AREA::490G00002265,E01000929,525690.0,183800.0,306.99404,312.6787488781417,1415,2,5528.100668403208
AREA::490G00002266,E01001647,541225.0,176020.0,95.5148,3131.162741077325,940,3,12010.695317091346
AREA::490G00002267,E01004247,537880.0,181010.0,786.0033099999999,103.00485425454472,850,3,7871.172530188879
AREA::490G00002268,E01034484,543610.0,186340.0,6672.33349,162.60688792299052,6881,4,14826.242173929306
AREA::490G00002273,E01000418,547445.0,179020.0,244.94567,101.71965832070441,5131,4,17464.11297489798
AREA::490G00002275,E01000408,550500.0,179720.0,65.43424,3217.163640365323,5131,4,20476.67153128164
AREA::490G00002276,E01000408,550545.0,179452.0,585.30011,3217.674971500692,5131,4,20532.027712819792
AREA::490G00002277,E01000405,550655.0,179139.0,35.81979,3304.6190736939666,5131,4,20658.368885272623
AREA::490G00002278,E01000406,550510.0,178250.0,45.99623,3260.7875156504697,5131,4,20586.59119427012
AREA::490G00002279,E01001062,535300.0,165800.0,106.29925999999999,2747.467217477072,5376,0,15502.784169303268
AREA::490G00002280,E01001933,522050.0,178642.0,180.1914,240.65197592967078,713,4,8171.19189592314
AREA::490G00002296,E01003767,546030.0,187300.0,217.74317,337.17947743004765,6878,0,17428.269478063507
AREA::490G00002298,E01034230,540830.0,179820.0,581.31287,475.20942751591116,559,3,10810.565988883283
AREA::490G00002299,E01001269,515090.0,184660.0,179.96303,801.6324427163138,589,4,15544.54814396353
AREA::490G000023,E01004735,530878.0,181037.0,308.00404,247.6731175495071,724,1,1068.9583715000317
AREA::490G00002302,E01002921,518490.0,167332.0,384.43571,7145.247587517725,767,0,17422.40904697166
AREA::490G00002303,E01032739,533170.0,181400.0,6553.14552,183.46712140043263,634,2,3297.4015527381557
AREA::490G00002304,E01001450,532880.0,196540.0,159.31395,72.80968342191855,6959,0,16407.71151014059
AREA::490G00002312,E01035657,537420.0,184335.0,107.63318,447.35919572531424,6978,3,8377.77488358335
AREA::490G00002313,E01001501,530860.0,192100.0,2195.47463,1079.046392373555,527,4,11748.073757003742
