unit,k6,k7,Station,mode_label,lon,lat,best_matched_k7_for_k6,follows_best_match
596,3,1,Harlesden,"LO,LU",-0.2585901442236528,51.5366984829526,1,True
597,3,1,Harrow & Wealdstone,"LO,LU",-0.3348864548890388,51.59204382510434,1,True
598,3,1,Harrow-on-the-Hill,LU,-0.3367522322346986,51.57941460314498,1,True
599,0,6,Wood Lane,LU,-0.223589832503072,51.51014064093162,2,False
601,3,1,Hendon Central,LU,-0.2263467398232382,51.58317142482077,1,True
602,3,1,High Barnet,LU,-0.1941662468819022,51.65052191222786,1,True
603,5,2,Highbury & Islington,"LO,LU",-0.1037367147978817,51.5474243924603,0,False
604,3,1,Highgate,LU,-0.1464678822653945,51.57784395375154,1,True
605,0,2,High Street Kensington,LU,-0.1922060959253196,51.50044509893274,2,True
606,2,1,Hillingdon,LU,-0.4493839489109262,51.55394931648672,3,False
607,5,0,Holborn,LU,-0.1204164211277831,51.5175781351181,0,True
608,3,1,Holland Park,LU,-0.2056604531683881,51.5071535735316,1,True
609,3,1,Holloway Road,LU,-0.1132635134211874,51.55275576448648,1,True
610,2,3,Hornchurch,LU,0.219106840074,51.55404895710733,3,True
611,3,1,Hounslow Central,LU,-0.3662939172379908,51.47131979963469,1,True
612,3,1,Hounslow East,LU,-0.3563344605692854,51.47326292270873,1,True
613,1,5,Hounslow West,LU,-0.3857939831542604,51.47361867347103,5,True
614,5,2,Hyde Park Corner,LU,-0.1541496692283758,51.5027515504957,0,False
615,2,3,Ickenham,LU,-0.4420401367813711,51.56196897211082,3,True
616,3,1,Kennington,LU,-0.1059654128623501,51.48834003191997,1,True
617,3,1,Kensal Green,"LO,LU",-0.2244787816465951,51.53057177755812,1,True
618,0,6,Kensington (Olympia),"LO,LU",-0.2101299631004321,51.49773548808454,2,False
619,4,4,Kentish Town,LU,-0.1407479399821426,51.55029387744979,4,True
620,0,2,Kenton,"LO,LU",-0.3167281554174249,51.58161162102015,2,True
621,2,3,Kew Gardens,"LO,LU",-0.285040916474055,51.47699774458654,3,True
622,3,1,Kilburn,LU,-0.2047148916011985,51.546953022454446,1,True
623,3,1,Kilburn Park,LU,-0.1940203229099902,51.534947545387965,1,True
624,2,1,Kingsbury,LU,-0.2786447440288867,51.584641087244194,3,False
625,0,2,King's Cross St. Pancras,LU,-0.1247761302179285,51.52978514307589,2,True
626,5,6,Knightsbridge,LU,-0.1614661160661897,51.50124118729131,0,False
627,3,1,Ladbroke Grove,LU,-0.2109018577576743,51.51732053919889,1,True
628,0,2,Lambeth North,LU,-0.1122327661467621,51.498842228801465,2,True
629,1,5,Lancaster Gate,LU,-0.175445101856735,51.51168719578341,5,True
630,0,6,Latimer Road,LU,-0.2178539357732128,51.513458663999614,2,False
631,5,4,Leicester Square,LU,-0.128332134429999,51.51140465728606,0,False
632,3,1,Leyton,LU,-0.005487155382425,51.55660356521063,1,True
633,3,1,Leytonstone,LU,0.0081832198740443,51.568320494028455,1,True
634,5,0,Liverpool Street LU,"EZL,LO,LU",-0.0832133092355498,51.51735237101746,0,True
635,0,2,London Bridge LU,LU,-0.0896485172357084,51.50506500549169,2,True
636,3,1,Loughton,LU,0.055338101699993,51.64131224348847,1,True
637,3,1,Maida Vale,LU,-0.1858293287116454,51.529729085515065,1,True
638,3,1,Manor House,LU,-0.0960648306959596,51.57075126410129,1,True
639,5,0,Mansion House,LU,-0.094105792133622,51.51181640319618,0,True
640,0,2,Marble Arch,LU,-0.1573589906802929,51.51359976087709,2,True
641,0,1,Marylebone LU,LU,-0.1642402663188004,51.52215890700219,2,False
642,3,1,Mile End,LU,-0.0337680632945871,51.52523491887216,1,True
643,2,3,Mill Hill East,LU,-0.2100614199314407,51.608233232687525,3,True
645,5,0,Moorgate,LU,-0.0893115351555198,51.51836305552553,0,True
646,2,3,Moor Park,LU,-0.4322869639728746,51.62986629669337,3,True
647,3,1,Morden,LU,-0.1947548535043926,51.40253820130652,1,True
648,1,5,Mornington Crescent,LU,-0.1387497986411517,51.534704942339104,5,True
649,3,1,Neasden,LU,-0.2511708953836603,51.55442640049901,1,True
650,3,1,Newbury Park,LU,0.089920829906462,51.57570573751538,1,True
653,3,1,North Acton,LU,-0.2597600781194744,51.5236117661968,1,True
654,3,1,North Ealing,LU,-0.2888251159580139,51.51748228438488,1,True
655,3,1,Northfields,LU,-0.312994928337679,51.49965470504596,1,True
656,3,1,North Harrow,LU,-0.3626047009909967,51.58494710527484,1,True
6562,3,1,Woolwich EL,EZL,0.07041,51.49186,1,True
657,3,1,Northolt,LU,-0.3686504240723905,51.54825926059,1,True
659,3,1,North Wembley,"LO,LU",-0.3038826458342014,51.562393713680144,1,True
660,2,6,Northwick Park,LU,-0.3180663388463142,51.57847500401296,3,False
661,3,1,Northwood,LU,-0.4239354593141582,51.611014101617926,1,True
662,3,1,Northwood Hills,LU,-0.4087463545441836,51.60019223372048,1,True
663,0,2,Notting Hill Gate,LU,-0.1960899733626558,51.509156012573975,2,True
664,3,1,Oakwood,LU,-0.1312689387217082,51.64733362819432,1,True
665,5,0,Old Street,LU,-0.0876372025918255,51.52508527631206,0,True
667,3,1,Osterley,LU,-0.3522207467968353,51.4812434687809,1,True
668,3,1,Oval,LU,-0.1124062491167189,51.48183745351276,1,True
669,5,0,Oxford Circus,LU,-0.1416304596960839,51.515319726422334,0,True
670,0,2,Paddington TfL,"EZL,LU",-0.1759896922641174,51.51656148278404,2,True
671,0,2,Park Royal,LU,-0.2839675301559994,51.52647996490144,2,True
672,3,1,Parsons Green,LU,-0.2017635248636348,51.47498535708651,1,True
673,3,1,Perivale,LU,-0.323425169229821,51.5367509216631,1,True
674,5,4,Piccadilly Circus,LU,-0.1336873864316472,51.51006061519836,0,False
675,2,3,Pinner,LU,-0.3811619189424988,51.59282556787736,3,True
676,3,1,Plaistow,LU,0.0169887206450607,51.53123134107084,1,True
677,3,1,Preston Road,LU,-0.295129262413792,51.5720140756016,1,True
678,3,1,Putney Bridge,LU,-0.2087270375114135,51.46825546825846,1,True
679,2,6,Queensbury,LU,-0.2862217775472735,51.59419745209295,3,False
680,3,1,Queen's Park,"LO,LU",-0.2057416029735368,51.53397821009533,1,True
681,1,2,Queensway,LU,-0.1871382982400704,51.51025217607452,5,False
6814,2,3,Cheshunt,LO,,,3,True
682,3,1,Ravenscourt Park,LU,-0.2357753569718746,51.49416773582848,1,True
683,2,1,Rayners Lane,LU,-0.3714462140203309,51.57519536192319,3,False
684,3,1,Redbridge,LU,0.0454102741389324,51.576249813818855,1,True
685,0,0,Regent's Park,LU,-0.1463131245528823,51.52327838474291,2,False
686,2,3,Richmond,"LO,LU",-0.3016691259076597,51.463118722979786,3,True
6867,0,2,Hackney Downs,LO,-0.060755,51.548425,2,True
687,2,3,Rickmansworth,LU,-0.4737058106627786,51.64028836634988,3,True
6872,2,3,Brentwood,EZL,,,3,True
6874,2,1,Chadwell Heath,EZL,0.1297,51.56807,3,False
6876,3,1,Forest Gate,EZL,0.024635,51.549605,1,True
6877,2,3,Gidea Park,EZL,0.2055199999999999,51.58182,3,True
6878,2,6,Goodmayes,EZL,0.11034,51.56568,3,False
6879,2,3,Harold Wood,EZL,0.233175,51.59326,3,True
688,2,3,Roding Valley,LU,0.0437096502446484,51.61707861416649,3,True
6881,3,1,Ilford,EZL,0.0687433333333333,51.558816666666665,1,True
6883,3,1,Manor Park,EZL,0.04638,51.55262,1,True
6886,3,1,Romford,"EZL,LO",0.1831499999999999,51.574815,1,True
6888,2,3,Shenfield,EZL,,,3,True
6893,3,1,Seven Kings,EZL,0.097205,51.56387,1,True
690,0,2,Royal Oak,LU,-0.1877862733299185,51.51904813011949,2,True
691,3,1,Ruislip,LU,-0.4217906669062553,51.57129177940531,1,True
