lsoa,retained_for_fit,min_direction_activity,exclusion_reason,cluster,LSOA21CD,COA,ACS,OPS,WIC,WAL,GRQ,URB,DIS,DRN,CRN,DUN,LOU,DIU,REU,MEU,HDU,OUT,n_lsoa11_sources,signature_dominant_code,signature_dominant_type,distance_centre_km,signature_dominant_collapsed
E01033488,True,1309.20594,retained,2,E01033488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,LOU,Local urbanity,4.826790464102247,LOU
E01033489,True,74.72239,retained,0,E01033489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39543457963295403,0.0,0.604565420367046,0.0,0.0,1,MEU,Metropolitan urbanity,2.574415020218031,MEU
E01033490,True,1456.05871,retained,1,E01033490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8656942460072219,0.0,0.1343057539927781,0.0,0.0,1,DIU,Concentrated urbanity,2.5287050466279806,OTHER_RARE
E01033491,True,1847.959,retained,1,E01033491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,LOU,Local urbanity,5.2840348429403345,LOU
E01033569,True,335.08871,retained,2,E01033569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008401490442926663,0.9915985095570733,0.0,0.0,0.0,0.0,0.0,0.0,1,DUN,Dense urban neighbourhoods,15.88699532374447,DUN
E01033570,True,68.91078,retained,3,E01033570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98017368861474,0.0,0.019826311385260153,0.0,0.0,0.0,0.0,0.0,0.0,1,DRN,Dense residential neighbourhoods,11.020592007216239,DRN
E01033571,True,134.51006,retained,2,E01033571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,DRN,Dense residential neighbourhoods,11.380997523092805,DRN
E01033579,True,1094.97999,retained,2,E01033579,0.0,0.0,0.0,0.0,0.00884929196601356,0.0,0.0,0.0,0.0,0.0,0.006652989914620749,0.9844977181193657,0.0,0.0,0.0,0.0,0.0,1,LOU,Local urbanity,8.272481354895556,LOU
E01033581,True,225.24643,retained,2,E01033581,0.0,0.0,0.0,0.0,0.1576862118049567,0.0,0.0,0.0,0.072374468123999,0.0,0.7699393200710444,0.0,0.0,0.0,0.0,0.0,0.0,1,DUN,Dense urban neighbourhoods,12.83555532840017,DUN
E01033582,True,104.19187,retained,2,E01033582,0.0,0.0,0.0,0.0,0.17117015543153533,0.0,0.0,0.0,0.0,0.0,0.8288298445684646,0.0,0.0,0.0,0.0,0.0,0.0,1,DUN,Dense urban neighbourhoods,13.65397362110386,DUN
E01033584,True,165.80983,retained,2,E01033584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,DUN,Dense urban neighbourhoods,10.037578878298111,DUN
E01033587,True,38.88143,retained,2,E01033587,0.0,0.0,0.0,0.0,0.03538248691144485,0.0,0.0,0.0,0.0,0.0,0.8984803438050671,0.06613716928348796,0.0,0.0,0.0,0.0,0.0,1,DUN,Dense urban neighbourhoods,14.215331952137902,DUN
E01033589,True,3016.01577,retained,1,E01033589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,DUN,Dense urban neighbourhoods,15.436915598611737,DUN
E01033591,True,590.50274,retained,1,E01033591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5980770280841143,0.4019229719158857,0.0,0.0,0.0,0.0,0.0,0.0,1,CRN,Connected residential neighbourhoods,16.031146048996725,CRN
E01033593,True,976.09516,retained,1,E01033593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,REU,Regional urbanity,3.577770114526924,REU
E01033594,True,3309.33667,retained,1,E01033594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8907771989167032,0.10922280108329685,0.0,0.0,1,REU,Regional urbanity,3.4096507342491686,REU
E01033598,True,1135.43526,retained,1,E01033598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44949737873976525,0.0,0.5505026212602347,0.0,0.0,0.0,1,REU,Regional urbanity,3.8115154068564117,REU
E01033601,True,401.71594,retained,1,E01033601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02080389208754271,0.0,0.9791961079124574,0.0,0.0,0.0,1,REU,Regional urbanity,3.4381234130078466,REU
E01033604,True,2975.1248,retained,1,E01033604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,REU,Regional urbanity,3.4605765155792727,REU
E01033699,True,5574.4516300000005,retained,1,E01033699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,LOU,Local urbanity,5.762735769492878,LOU
E01033700,True,3278.49666,retained,1,E01033700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,LOU,Local urbanity,5.548762295154145,LOU
E01033702,True,140.3951,retained,0,E01033702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5030098868727559,0.49699011312724395,0.0,0.0,0.0,0.0,0.0,1,DUN,Dense urban neighbourhoods,8.287303308216721,DUN
E01033703,True,444.46167,retained,2,E01033703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,LOU,Local urbanity,7.146417113086959,LOU
