unit,Station,mode_label,is_lu,easting,northing,lon,lat,matched_name,coord_source
1455,Watford High Street,LO,False,,,,,,
1524,Upper Holloway,LO,False,529751.5,186655.5,-0.12948,51.56386,Upper Holloway Station,naptan_rse_tmu
3000,Acton Main Line,EZL,False,520341.5,181216.5,-0.26702499999999996,51.51706,Acton Main Line Station,naptan_rse_tmu
3147,Maidenhead,EZL,False,,,,,,
3149,Reading,EZL,False,,,,,,
3151,Taplow,EZL,False,,,,,,
3155,Twyford,EZL,False,,,,,,
3170,Iver,EZL,False,,,,,,
3171,Langley,EZL,False,,,,,,
3172,Slough,EZL,False,,,,,,
3174,West Drayton,EZL,False,506117.0,180097.0,-0.472285,51.509845,West Drayton Station,naptan_rse_tmu
3176,Burnham,EZL,False,,,,,,
3186,Hayes & Harlington,EZL,False,509734.5,179436.0,-0.42038,51.503215,Hayes & Harlington Station,naptan_rse_tmu
3187,Southall,EZL,False,512618.0,179793.0,-0.37874,51.50586,Southall Station,naptan_rse_tmu
3188,West Ealing,EZL,False,516679.0,180744.0,-0.31994,51.51358,West Ealing Station,naptan_rse_tmu
3191,Hanwell,EZL,False,515403.0,180515.5,-0.338395,51.51179,Hanwell Station,naptan_rse_tmu
500,Acton Town,LU,True,519477.6064,179592.1471,-0.28002176408560275,51.50264555083834,Acton Town,underground_stations_csv
501,Barbican,LU,True,532004.2025,181856.329700001,-0.09879996291215272,51.520208600153815,Barbican,underground_stations_csv
502,Aldgate,LU,True,533613.1509,181262.295499999,-0.07584896688802757,51.51449244157986,Aldgate,underground_stations_csv
503,Aldgate East,LU,True,533936.1921,181374.788000001,-0.07115364166807008,51.51542691621208,Aldgate East,underground_stations_csv
504,Stratford International DLR,DLR,False,538214.2,184786.0,-0.008202000000000001,51.54505,Stratford International Station,naptan_rse_tmu
505,Alperton,LU,True,517996.164,183795.164000001,-0.299949349972513,51.540730963558445,Alperton,underground_stations_csv
506,Amersham,LU,True,496371.5781,198181.3279,-0.6077052134228341,51.674145407023566,Amersham,underground_stations_csv
507,Angel,LU,True,531560.5615,183099.9257,-0.10472643840232035,51.53148758749647,Angel,underground_stations_csv
508,Archway,LU,True,529363.5176,186721.2423,-0.13505202452388373,51.56453819250787,Archway,underground_stations_csv
509,Arnos Grove,LU,True,529355.1742,192497.914799999,-0.1330451742909319,51.61645247794506,Arnos Grove,underground_stations_csv
510,Arsenal,LU,True,531305.0253,186112.096899999,-0.10728530327692844,51.55861585603557,Arsenal,underground_stations_csv
511,Baker Street,LU,True,527954.6729,182063.567500001,-0.1570581597729946,51.5230020037108,Baker Street,underground_stations_csv
512,Balham LU,LU,True,528480.3274,173244.480799999,-0.15269122947563088,51.44362737290878,Balham,underground_stations_csv
513,Bank and Monument,"DLR,LU",True,532710.1551,181119.8978,-0.08890808727118107,51.513425435909184,Bank,underground_stations_csv
5131,Abbey Wood,EZL,False,547351.3333333334,179059.66666666666,0.12107666666666667,51.49129,Abbey Wood Station,naptan_rse_tmu
514,Barking,"LO,LU",True,544358.8052,184382.179,0.08018208014455507,51.539885097485445,Barking,underground_stations_csv
515,Barkingside,LU,True,544798.7557,189493.9487,0.08862520423436726,51.58570377518845,Barkingside,underground_stations_csv
5150,New Cross,LO,False,536756.0,177119.0,-0.03219,51.47651,New Cross Station,naptan_rse_tmu
516,Barons Court,LU,True,524045.7583,178327.6646,-0.21468405012348488,51.49029837209941,Barons Court,underground_stations_csv
517,Bayswater,LU,True,525842.957,180822.646199999,-0.1879225224209527,51.51232394663448,Bayswater,underground_stations_csv
518,Becontree,LU,True,547627.5438,184527.341,0.1273417848283317,51.54034470776378,Becontree,underground_stations_csv
519,Belsize Park,LU,True,527353.7983,185088.897399999,-0.16462098681641185,51.55032570077621,Belsize Park,underground_stations_csv
520,Bethnal Green LU,"LO,LU",True,535043.5417,182718.410700001,-0.05469030192583057,51.527237667207054,Bethnal Green,underground_stations_csv
521,Blackfriars LU,LU,True,531693.8776,180893.0855,-0.10362963813725404,51.51162476747557,Blackfriars,underground_stations_csv
522,Blackhorse Road,"LO,LU",True,535760.6278,189370.2981,-0.041793873795219,51.586840594392974,Blackhorse Road,underground_stations_csv
523,King George V,DLR,False,543247.0,180125.0,0.06243,51.501915,King George V.,naptan_rse_tmu
524,Bond Street,"EZL,LU",True,528490.674,181117.635,-0.1496811425789451,51.51437958002913,Bond Street,underground_stations_csv
525,Borough,LU,True,532439.9633,179751.461100001,-0.0933129512735988,51.5011913652754,Borough,underground_stations_csv
526,Boston Manor,LU,True,516333.5188,178693.009,-0.3255952087308763,51.495219674970095,Boston Manor,underground_stations_csv
527,Bounds Green,LU,True,529984.4864,191469.272600001,-0.12434197787111509,51.60706378685743,Bounds Green,underground_stations_csv
528,Bow Road,LU,True,537089.8973,182735.951300001,-0.02520321216907312,51.526902665586434,Bow Road,underground_stations_csv
529,Brent Cross,LU,True,523873.7006,187934.037,-0.21378475842151334,51.576668983672164,Brent Cross,underground_stations_csv
530,Bromley-by-Bow,LU,True,538049.5634,182523.513599999,-0.0114614594625467,51.524760125717506,Bromley-by-Bow,underground_stations_csv
5301,Clapham High Street,LO,False,529858.0,175666.0,-0.13199,51.46508,Clapham High Street,naptan_rse_tmu
531,Buckhurst Hill,LU,True,541777.5666,193891.179,0.04682407515656278,51.625982897027,Buckhurst Hill,underground_stations_csv
532,Burnt Oak,LU,True,520325.5892,190759.991599999,-0.26399369483295404,51.602834176714175,Burnt Oak,underground_stations_csv
533,London City Airport,DLR,False,542325.0,180248.33333333334,0.04921,51.503256666666665,London City Airport,naptan_rse_tmu
534,Caledonian Road,LU,True,530558.3633,184969.7784,-0.11847347641237985,51.54852353192346,Caledonian Road,underground_stations_csv
5345,New Cross Gate,LO,False,536189.0,176946.0,-0.04041,51.47509,New Cross Gate Station,naptan_rse_tmu
535,Camden Town,LU,True,528910.2525,183893.5725,-0.14262297026124665,51.53923059833878,Camden Town,underground_stations_csv
5356,Crystal Palace,LO,False,534088.0,170540.0,-0.07307,51.41803,Crystal Palace Station,naptan_rse_tmu
536,Cannon Street LU,LU,True,532611.4757,180900.064999999,-0.09041192056785469,51.511473069259,Cannon Street,underground_stations_csv
5362,Forest Hill,LO,False,535400.25,172965.25,-0.0532875,51.439505,Forest Hill Station,naptan_rse_tmu
537,Canons Park,LU,True,518186.8967,191252.07,-0.29469410620588665,51.60770907048488,Canons Park,underground_stations_csv
5372,Wandsworth Road,LO,False,529397.0,176250.0,-0.13841,51.47043,Wandsworth Road Station,naptan_rse_tmu
5376,Norwood Junction,LO,False,534090.6666666666,168267.0,-0.07389333333333332,51.397596666666665,Norwood Junction Station,naptan_rse_tmu
5378,Penge West,LO,False,534920.0,170522.0,-0.06112,51.41767,Penge West Station,naptan_rse_tmu
538,Pontoon Dock,DLR,False,541229.0,180131.0,0.03338,51.50248,Pontoon Dock Station DLR,naptan_rse_tmu
539,Chalfont & Latimer,LU,True,499633.5338,197564.355,-0.5607234520464773,51.668031426229064,Chalfont & Latimer,underground_stations_csv
5397,Anerley,LO,False,534606.5,169900.0,-0.065865,51.412155,Anerley Station,naptan_rse_tmu
540,Chalk Farm,LU,True,528202.4569,184390.607000001,-0.15264214766916676,51.54385835909765,Chalk Farm,underground_stations_csv
5404,Brockley,LO,False,536397.0,175762.0,-0.03788,51.4644,Brockley Station,naptan_rse_tmu
541,Chancery Lane,LU,True,531123.9465,181615.465500001,-0.11156930260294359,51.51824890350831,Chancery Lane,underground_stations_csv
5411,West Croydon NR,"LO,TRM",False,532169.0,166102.25,-0.10230500000000001,51.378595000000004,West Croydon Station,naptan_rse_tmu
5418,Honor Oak Park,LO,False,535885.0,174138.0,-0.04587,51.44993,Honor Oak Park Station,naptan_rse_tmu
542,Embankment,LU,True,530419.3254,180395.871400001,-0.12216953430795731,51.50745185655674,Embankment,underground_stations_csv
5421,Denmark Hill,LO,False,532776.0,176086.0,-0.08985,51.46817,Denmark Hill Station,naptan_rse_tmu
5423,Peckham Rye,LO,False,534191.0,176339.0,-0.0694,51.47011,Peckham Rye Station,naptan_rse_tmu
5424,Queens Road Peckham,LO,False,535014.0,176773.0,-0.05739,51.47382,Queens Road Peckham Station,naptan_rse_tmu
543,Chesham,LU,True,496079.3711,201633.0847,-0.6109804023947352,51.70522161796168,Chesham,underground_stations_csv
5437,Sydenham,LO,False,535363.6666666666,171609.33333333334,-0.054329999999999996,51.42733333333333,Sydenham Station,naptan_rse_tmu
544,Chigwell,LU,True,543795.2009,193021.039000001,0.0755949749891976,51.61765286220907,Chigwell,underground_stations_csv
545,Chiswick Park,LU,True,520293.2801,178723.680199999,-0.26857152550054486,51.49466748590177,Chiswick Park,underground_stations_csv
546,Chorleywood,LU,True,502580.7743,196094.9067,-0.5185530310182181,51.65429398451199,Chorleywood,underground_stations_csv
547,Clapham Common,LU,True,529504.8104,175338.249199999,-0.13719253566731915,51.46221051259463,Clapham Common,underground_stations_csv
548,Clapham North,LU,True,530038.9661,175743.4515,-0.12935895070321768,51.46572960060881,Clapham North,underground_stations_csv
549,Clapham South,LU,True,528834.0334,174322.7074,-0.14721241263243376,51.45323695245536,Clapham South,underground_stations_csv
550,Cockfosters,LU,True,528140.5216,196370.205600001,-0.14916314678277617,51.65152862765704,Cockfosters,underground_stations_csv
551,Colindale,LU,True,521318.6301,189961.520300001,-0.24993805686952955,51.59544539419721,Colindale,underground_stations_csv
552,Colliers Wood,LU,True,526787.9528,170368.2575,-0.17805799608697154,51.41815971696416,Colliers Wood,underground_stations_csv
553,Covent Garden,LU,True,530250.6062,181025.0034,-0.12436702786860558,51.513144508444505,Covent Garden,underground_stations_csv
554,Croxley,LU,True,507909.4599,195402.8332,-0.44176805492340054,51.6470771785801,Croxley,underground_stations_csv
555,Dagenham East,LU,True,550293.9749,185030.270500001,0.16597604681459355,51.54416043622838,Dagenham East,underground_stations_csv
556,Dagenham Heathway,LU,True,549022.5413,184709.7413,0.14751917346847765,51.54161732780605,Dagenham Heathway,underground_stations_csv
557,Debden,LU,True,544272.9229,196121.782099999,0.08376689656236329,51.6453918793904,Debden,underground_stations_csv
558,Dollis Hill,LU,True,522189.8506,185144.020099999,-0.23904076572437893,51.55196194099086,Dollis Hill,underground_stations_csv
559,West Silvertown,DLR,False,540490.0,180152.0,0.02275,51.50285,West Silvertown DLR Station,naptan_rse_tmu
5595,Clapham Junction,LO,False,527223.0,175527.66666666666,-0.16994999999999996,51.46443333333334,Clapham Junction Station,naptan_rse_tmu
560,Ealing Broadway,"EZL,LU",True,517989.3481,180932.526699999,-0.301005548648285,51.51500454109758,Ealing Broadway,underground_stations_csv
561,Ealing Common,LU,True,518895.9685,180345.996200001,-0.28814377331699453,51.50954325566993,Ealing Common,underground_stations_csv
562,Earl's Court,LU,True,525534.3012,178551.8071,-0.19317540262977842,51.49198454803539,Earl's Court,underground_stations_csv
563,East Acton,LU,True,521720.9991,181197.768999999,-0.2471625219934364,51.51659745054098,East Acton,underground_stations_csv
564,Eastcote,LU,True,511153.3473,187621.8123,-0.39736801686353984,51.576511969832765,Eastcote,underground_stations_csv
565,East Finchley,LU,True,527221.696,189183.6545,-0.1650441219039346,51.58715402026014,East Finchley,underground_stations_csv
566,East Ham,LU,True,542463.3563,184275.4352,0.052826568311649,51.53940709913807,East Ham,underground_stations_csv
567,East Putney,LU,True,524381.7165,174869.93,-0.2110636822805433,51.459149587092405,East Putney,underground_stations_csv
568,Edgware,LU,True,519550.4974,191940.4673,-0.27477777123740055,51.61360827412279,Edgware,underground_stations_csv
569,Edgware Road (DIS),LU,True,527220.0675,181696.8814,-0.16777316638890663,51.51987245129845,Edgware Road (Circle Line),underground_stations_csv
570,Elephant & Castle LU,LU,True,531908.9646,179141.8869,-0.10118627610280032,51.49583746787788,Elephant & Castle,underground_stations_csv
571,Elm Park,LU,True,552542.0054,185716.105799999,0.1986662037147443,51.549719886941844,Elm Park,underground_stations_csv
572,Epping,LU,True,546209.4306,201538.4,0.11399961918418978,51.69356092525262,Epping,underground_stations_csv
573,Woolwich Arsenal,DLR,False,543720.0,178850.66666666666,0.06872333333333334,51.49034666666666,Woolwich Arsenal Station,naptan_rse_tmu
574,Euston LU,"LO,LU",True,529498.32,182668.2502,-0.13459860915117344,51.52808458451346,Euston,underground_stations_csv
575,Euston Square,LU,True,529416.5999,182393.381999999,-0.13587687351584915,51.525633154752434,Euston Square,underground_stations_csv
576,Fairlop,LU,True,544935.5979,190594.5734,0.09105309597165903,51.595558107334746,Fairlop,underground_stations_csv
577,Farringdon,"EZL,LU",True,531559.9989,181873.9267,-0.10519198867818359,51.52047027577585,Farringdon,underground_stations_csv
578,Finchley Central,LU,True,525278.0259,190668.344000001,-0.19255484880487297,51.60093175153773,Finchley Central,underground_stations_csv
579,Finchley Road,LU,True,526220.4473,184716.2096,-0.18109153879636952,51.54723083836693,Finchley Road,underground_stations_csv
580,Finsbury Park LU,LU,True,531329.8862,186775.332800001,-0.10667934765407905,51.56457021452156,Finsbury Park,underground_stations_csv
581,Fulham Broadway,LU,True,525454.6092,177301.7324,-0.19476643999333534,51.48076777565934,Fulham Broadway,underground_stations_csv
582,Gants Hill,LU,True,543273.6779,188430.207599999,0.06619413225561141,51.57653500920319,Gants Hill,underground_stations_csv
583,Gloucester Road,LU,True,526182.7589,178846.489499999,-0.18373468987431105,51.49448863919927,Gloucester Road,underground_stations_csv
584,Golders Green,LU,True,525255.0926,187480.2837,-0.19402225224523736,51.57228620318889,Golders Green,underground_stations_csv
585,Goldhawk Road,LU,True,523183.913,179607.8456,-0.22664486415404567,51.50199179519617,Goldhawk Road,underground_stations_csv
586,Goodge Street,LU,True,529537.2731,181836.5931,-0.13434290236565843,51.520601842773736,Goodge Street,underground_stations_csv
587,Grange Hill,LU,True,544967.3103,192558.691299999,0.09232184221334147,51.61319815416051,Grange Hill,underground_stations_csv
588,Great Portland Street,LU,True,528837.973,182179.857899999,-0.1442909711973862,51.52384645620309,Great Portland Street,underground_stations_csv
589,Greenford,LU,True,514763.0955,183928.051899999,-0.3465040750206399,51.54259127112355,Greenford,underground_stations_csv
590,Green Park,LU,True,529007.2306,180294.834799999,-0.14254189011089013,51.50686769929983,Green Park,underground_stations_csv
591,Gunnersbury,"LO,LU",True,519845.2545,178387.583799999,-0.2751361823945699,51.491741910939425,Gunnersbury,underground_stations_csv
592,Hainault,LU,True,545079.8923,191498.1822,0.09350819615879127,51.6036401975141,Hainault,underground_stations_csv
593,Hammersmith (DIS),LU,True,523460.9489,178502.7234,-0.22304188389888033,51.49199951963806,Hammersmith (Dist&Picc Line),underground_stations_csv
594,Hampstead,LU,True,526372.6132,185761.4121,-0.17852309354375814,51.5565898798849,Hampstead,underground_stations_csv
595,Hanger Lane,LU,True,518527.3157,182634.1785,-0.2926845249496959,51.53018552933825,Hanger Lane,underground_stations_csv
596,Harlesden,"LO,LU",True,520874.9265,183414.186899999,-0.2585901442236528,51.5366984829526,Harlesden,underground_stations_csv
597,Harrow & Wealdstone,"LO,LU",True,515443.4908,189445.8062,-0.3348864548890388,51.59204382510434,Harrow & Wealdstone,underground_stations_csv
598,Harrow-on-the-Hill,LU,True,515346.2006,188038.3989,-0.3367522322346986,51.57941460314498,Harrow-on-the-Hill,underground_stations_csv
599,Wood Lane,LU,True,523373.9519,180519.177100001,-0.223589832503072,51.510140640931624,Wood Lane,underground_stations_csv
601,Hendon Central,LU,True,522985.7318,188635.9596,-0.2263467398232382,51.58317142482077,Hendon Central,underground_stations_csv
602,High Barnet,LU,True,525030.1427,196180.328199999,-0.19416624688190223,51.65052191222786,High Barnet,underground_stations_csv
603,Highbury & Islington,"LO,LU",True,531583.269,184873.934800001,-0.10373671479788171,51.5474243924603,Highbury & Islington,underground_stations_csv
604,Highgate,LU,True,528534.7964,188180.791099999,-0.14646788226539453,51.57784395375154,Highgate,underground_stations_csv
605,High Street Kensington,LU,True,525578.3546,179494.316500001,-0.19220609592531968,51.500445098932744,High Street Kensington,underground_stations_csv
606,Hillingdon,LU,True,507602.2269,185034.942299999,-0.44938394891092626,51.55394931648672,Hillingdon,underground_stations_csv
607,Holborn,LU,True,530512.0615,181525.070900001,-0.12041642112778311,51.5175781351181,Holborn,underground_stations_csv
608,Holland Park,LU,True,524626.2477,180217.3517,-0.20566045316838816,51.5071535735316,Holland Park,underground_stations_csv
609,Holloway Road,LU,True,530907.4434,185449.7238,-0.11326351342118741,51.55275576448648,Holloway Road,underground_stations_csv
610,Hornchurch,LU,True,553944.498,186240.2941,0.21910684007400003,51.55404895710733,Hornchurch,underground_stations_csv
611,Hounslow Central,LU,True,513567.6962,175971.364700001,-0.3662939172379908,51.47131979963469,Hounslow Central,underground_stations_csv
612,Hounslow East,LU,True,514254.5504,176202.929199999,-0.35633446056928547,51.47326292270873,Hounslow East,underground_stations_csv
613,Hounslow West,LU,True,512207.7403,176196.9816,-0.38579398315426044,51.47361867347103,Hounslow West,underground_stations_csv
614,Hyde Park Corner,LU,True,528213.2383,179816.724099999,-0.15414966922837586,51.5027515504957,Hyde Park Corner,underground_stations_csv
615,Ickenham,LU,True,508092.3561,185937.6131,-0.44204013678137116,51.56196897211082,Ickenham,underground_stations_csv
616,Kennington,LU,True,531598.8041,178299.556299999,-0.10596541286235016,51.48834003191997,Kennington,underground_stations_csv
617,Kensal Green,"LO,LU",True,523257.1398,182789.7245,-0.2244787816465951,51.530571777558116,Kensal Green,underground_stations_csv
618,Kensington (Olympia),"LO,LU",True,524341.6907,179162.423900001,-0.21012996310043217,51.49773548808454,Kensington (Olympia),underground_stations_csv
619,Kentish Town,LU,True,529009.0105,185127.159,-0.1407479399821426,51.55029387744979,Kentish Town,underground_stations_csv
620,Kenton,"LO,LU",True,516727.9918,188314.4716,-0.31672815541742494,51.58161162102015,Kenton,underground_stations_csv
621,Kew Gardens,"LO,LU",True,519196.0695,176731.8028,-0.28504091647405505,51.47699774458654,Kew Gardens,underground_stations_csv
622,Kilburn,LU,True,524583.2751,184644.8518,-0.20471489160119855,51.546953022454446,Kilburn,underground_stations_csv
623,Kilburn Park,LU,True,525357.7486,183328.0363,-0.1940203229099902,51.534947545387965,Kilburn Park,underground_stations_csv
624,Kingsbury,LU,True,519358.6236,188712.7984,-0.2786447440288867,51.584641087244194,Kingsbury,underground_stations_csv
625,King's Cross St. Pancras,LU,True,530174.7976,182874.774700001,-0.12477613021792856,51.529785143075884,King's Cross St. Pancras,underground_stations_csv
626,Knightsbridge,LU,True,527709.677,179635.9859,-0.16146611606618974,51.50124118729131,Knightsbridge,underground_stations_csv
627,Ladbroke Grove,LU,True,524234.8749,181339.0615,-0.21090185775767434,51.51732053919889,Ladbroke Grove,underground_stations_csv
628,Lambeth North,LU,True,531133.5815,179456.1932,-0.1122327661467621,51.498842228801465,Lambeth North,underground_stations_csv
629,Lancaster Gate,LU,True,526710.5082,180773.3476,-0.17544510185673504,51.51168719578341,Lancaster Gate,underground_stations_csv
630,Latimer Road,LU,True,523762.9916,180897.8333,-0.21785393577321283,51.513458663999614,Latimer Road,underground_stations_csv
631,Leicester Square,LU,True,529980.4296,180824.482000001,-0.128332134429999,51.51140465728606,Leicester Square,underground_stations_csv
632,Leyton,LU,True,538367.4374,186075.853599999,-0.00548715538242508,51.55660356521063,Leyton,underground_stations_csv
633,Leytonstone,LU,True,539279.2763,187404.735400001,0.008183219874044318,51.568320494028455,Leytonstone,underground_stations_csv
634,Liverpool Street LU,"EZL,LO,LU",True,533093.853,181566.9186,-0.08321330923554981,51.51735237101746,Liverpool Street,underground_stations_csv
635,London Bridge LU,LU,True,532683.0478,180188.852299999,-0.08964851723570844,51.50506500549169,London Bridge,underground_stations_csv
636,Loughton,LU,True,542318.8891,195612.3879,0.05533810169999307,51.64131224348847,Loughton,underground_stations_csv
637,Maida Vale,LU,True,525940.2151,182761.773700001,-0.18582932871164548,51.529729085515065,Maida Vale,underground_stations_csv
638,Manor House,LU,True,532047.6613,187481.789999999,-0.09606483069595965,51.57075126410129,Manor House,underground_stations_csv
639,Mansion House,LU,True,532354.1684,180931.563200001,-0.094105792133622,51.51181640319618,Mansion House,underground_stations_csv
640,Marble Arch,LU,True,527960.1312,181017.4747,-0.1573589906802929,51.51359976087709,Marble Arch,underground_stations_csv
641,Marylebone LU,LU,True,527458.7894,181957.287599999,-0.16424026631880048,51.52215890700219,Marylebone,underground_stations_csv
642,Mile End,LU,True,536500.7831,182534.4935,-0.033768063294587126,51.52523491887216,Mile End,underground_stations_csv
643,Mill Hill East,LU,True,524045.7492,191450.480699999,-0.21006141993144073,51.608233232687525,Mill Hill East,underground_stations_csv
645,Moorgate,LU,True,532667.8252,181668.244999999,-0.08931153515551986,51.51836305552553,Moorgate,underground_stations_csv
646,Moor Park,LU,True,508606.4789,193502.849199999,-0.43228696397287464,51.62986629669337,Moor Park,underground_stations_csv
647,Morden,LU,True,525669.7872,168602.371300001,-0.19475485350439264,51.40253820130652,Morden,underground_stations_csv
648,Mornington Crescent,LU,True,529191.6489,183397.127499999,-0.13874979864115178,51.534704942339104,Mornington Crescent,underground_stations_csv
649,Neasden,LU,True,521342.3348,185397.9068,-0.2511708953836603,51.554426400499004,Neasden,underground_stations_csv
650,Newbury Park,LU,True,544920.2921,188384.718599999,0.08992082990646201,51.57570573751538,Newbury Park,underground_stations_csv
653,North Acton,LU,True,520828.4021,181956.9398,-0.2597600781194744,51.523611766196794,North Acton,underground_stations_csv
654,North Ealing,LU,True,518828.0459,181227.755999999,-0.2888251159580139,51.517482284384876,North Ealing,underground_stations_csv
655,Northfields,LU,True,517196.8059,179206.2903,-0.31299492833767906,51.49965470504596,Northfields,underground_stations_csv
656,North Harrow,LU,True,513541.1687,188613.229499999,-0.3626047009909967,51.58494710527484,North Harrow,underground_stations_csv
6562,Woolwich EL,EZL,False,543832.0,179022.0,0.07041,51.49186,Woolwich Station,naptan_rse_tmu
657,Northolt,LU,True,513213.3316,184523.897600001,-0.36865042407239057,51.548259260589994,Northolt,underground_stations_csv
659,North Wembley,"LO,LU",True,517667.5472,186197.873500001,-0.3038826458342014,51.562393713680144,North Wembley,underground_stations_csv
660,Northwick Park,LU,True,516643.3006,187963.523499999,-0.31806633884631424,51.57847500401296,Northwick Park,underground_stations_csv
661,Northwood,LU,True,509229.7103,191418.7435,-0.4239354593141582,51.611014101617926,Northwood,underground_stations_csv
662,Northwood Hills,LU,True,510307.602,190238.042400001,-0.4087463545441836,51.60019223372048,Northwood Hills,underground_stations_csv
663,Notting Hill Gate,LU,True,525284.9146,180456.3574,-0.19608997336265582,51.509156012573975,Notting Hill Gate,underground_stations_csv
664,Oakwood,LU,True,529390.306,195935.214400001,-0.13126893872170828,51.64733362819432,Oakwood,underground_stations_csv
665,Old Street,LU,True,532764.4507,182418.811100001,-0.08763720259182553,51.52508527631206,Old Street,underground_stations_csv
667,Osterley,LU,True,514520.2731,177096.8334,-0.3522207467968353,51.4812434687809,Osterley,underground_stations_csv
668,Oval,LU,True,531170.2991,177564.9022,-0.1124062491167189,51.48183745351276,Oval,underground_stations_csv
669,Oxford Circus,LU,True,529046.6139,181236.3369,-0.14163045969608393,51.515319726422334,Oxford Circus,underground_stations_csv
670,Paddington TfL,"EZL,LU",True,526659.2098,181314.446900001,-0.17598969226411743,51.51656148278404,Paddington,underground_stations_csv
671,Park Royal,LU,True,519141.6075,182236.241800001,-0.28396753015599946,51.526479964901434,Park Royal,underground_stations_csv
672,Parsons Green,LU,True,524984.5495,176646.7489,-0.20176352486363486,51.47498535708651,Parsons Green,underground_stations_csv
673,Perivale,LU,True,516378.3501,183314.9891,-0.32342516922982106,51.5367509216631,Perivale,underground_stations_csv
674,Piccadilly Circus,LU,True,529612.6446,180665.529899999,-0.1336873864316472,51.51006061519836,Piccadilly Circus,underground_stations_csv
675,Pinner,LU,True,512236.1384,189460.7521,-0.38116191894249885,51.592825567877355,Pinner,underground_stations_csv
676,Plaistow,LU,True,540003.2462,183297.1438,0.01698872064506072,51.53123134107084,Plaistow,underground_stations_csv
677,Preston Road,LU,True,518249.3308,187281.8291,-0.295129262413792,51.572014075601594,Preston Road,underground_stations_csv
678,Putney Bridge,LU,True,524519.2741,175886.505999999,-0.2087270375114135,51.46825546825846,Putney Bridge,underground_stations_csv
679,Queensbury,LU,True,518808.7824,189763.2019,-0.2862217775472735,51.59419745209295,Queensbury,underground_stations_csv
680,Queen's Park,"LO,LU",True,524547.4749,183200.2402,-0.2057416029735368,51.533978210095334,Queen's Park,underground_stations_csv
681,Queensway,LU,True,525903.0798,180593.604,-0.18713829824007047,51.51025217607452,Queensway,underground_stations_csv
6814,Cheshunt,LO,False,,,,,,
