NLC,Station,mode_label,total_entry,total_exit,total_activity
545,Chiswick Park,LU,14440.091243291601,14929.822848532342,29369.914091823943
546,Chorleywood,LU,9454.6813992523,9074.649650030813,18529.331049283115
547,Clapham Common,LU,55253.09315532974,60669.865170920006,115922.95832624975
548,Clapham North,LU,36643.63561841383,37961.00030778904,74604.63592620287
549,Clapham South,LU,45439.06205230961,44973.870022358,90412.93207466761
550,Cockfosters,LU,10345.904105520003,10397.346059626667,20743.25016514667
551,Colindale,LU,45621.71292004918,43555.1596390346,89176.87255908379
552,Colliers Wood,LU,39422.80124906038,37683.24945536034,77106.05070442072
553,Covent Garden,LU,88754.52477928376,107024.24236805424,195778.76714733802
554,Croxley,LU,5746.029962205822,5764.99699589,11511.026958095823
555,Dagenham East,LU,19211.189763798753,17787.73821859653,36998.92798239528
556,Dagenham Heathway,LU,34064.95328118409,33494.69417595653,67559.64745714061
557,Debden,LU,13133.6747402703,13217.55098811728,26351.22572838758
558,Dollis Hill,LU,23263.008889330114,20918.91911489083,44181.92800422094
559,West Silvertown,DLR,18023.53663909931,14849.672876066406,32873.20951516572
5595,Clapham Junction,LO,176398.42584127214,175649.11226541077,352047.53810668294
560,Ealing Broadway,"EZL,LU",115098.14446629176,125420.37482117637,240518.51928746814
561,Ealing Common,LU,13621.321546885592,13204.299655773117,26825.62120265871
562,Earl's Court,LU,118158.17214771468,119611.39661932833,237769.568767043
563,East Acton,LU,25203.24247240175,25255.48768556169,50458.73015796344
564,Eastcote,LU,15082.967018232861,14623.740451805,29706.70747003786
565,East Finchley,LU,37459.15048331527,36581.294895180625,74040.4453784959
566,East Ham,LU,80302.0092724,75782.3967824444,156084.40605484438
567,East Putney,LU,43212.518999501146,41835.206567407506,85047.72556690866
568,Edgware,LU,27966.92181873574,27503.1381571212,55470.059975856944
569,Edgware Road (DIS),LU,42192.72990046982,40809.70623965412,83002.43614012394
570,Elephant & Castle LU,LU,109834.00681460867,99462.33427199413,209296.3410866028
571,Elm Park,LU,17892.155269928895,17347.39448324972,35239.54975317862
572,Epping,LU,23596.6999682023,23671.155836150003,47267.85580435231
573,Woolwich Arsenal,DLR,54896.972664823086,54578.11686623821,109475.0895310613
574,Euston LU,"LO,LU",341332.41137745517,342748.5750443745,684080.9864218297
575,Euston Square,LU,78345.78546594254,84958.65286978583,163304.43833572837
576,Fairlop,LU,6615.621524040818,6527.808597502396,13143.430121543213
577,Farringdon,"EZL,LU",259776.47888833313,250408.09292430076,510184.5718126339
578,Finchley Central,LU,35726.30763708878,34868.53287786661,70594.84051495539
579,Finchley Road,LU,54735.66704051703,51321.64868084605,106057.31572136308
580,Finsbury Park LU,LU,151468.32091062097,148750.39612413215,300218.7170347531
581,Fulham Broadway,LU,48842.05849357657,47120.67443126784,95962.73292484441
582,Gants Hill,LU,34157.53365227244,32818.9303397367,66976.46399200914
583,Gloucester Road,LU,86802.31245638501,82682.84831632813,169485.16077271313
584,Golders Green,LU,43443.857957780674,43174.267341599436,86618.1252993801
585,Goldhawk Road,LU,13250.294464783281,13025.600299065001,26275.894763848282
586,Goodge Street,LU,34080.79727412262,36541.95327364298,70622.75054776561
587,Grange Hill,LU,2389.12226146208,2392.1382448076697,4781.260506269749
588,Great Portland Street,LU,38048.60630338761,38622.167039632805,76670.77334302041
589,Greenford,LU,22571.12152815993,22237.445216530003,44808.56674468993
590,Green Park,LU,196209.49166741685,227952.69465115812,424162.18631857494
591,Gunnersbury,"LO,LU",26511.880968739402,25134.94524667063,51646.82621541004
592,Hainault,LU,20914.354500687947,20098.596642390938,41012.951143078884
593,Hammersmith (DIS),LU,157547.345840116,155220.67498544048,312768.0208255565
594,Hampstead,LU,27670.11927725673,31085.25289481558,58755.37217207231
595,Hanger Lane,LU,20332.891074282594,19567.263392557732,39900.15446684032
596,Harlesden,"LO,LU",19553.450062617052,18838.901520260115,38392.35158287716
597,Harrow & Wealdstone,"LO,LU",36521.63647847032,35621.221534236334,72142.85801270665
598,Harrow-on-the-Hill,LU,59004.57614773933,60731.94445719,119736.52060492933
599,Wood Lane,LU,35118.3328594051,37247.42836083367,72365.76122023877
601,Hendon Central,LU,37752.115630788605,34950.47169484824,72702.58732563685
602,High Barnet,LU,25319.593782692857,24910.664598369,50230.25838106185
603,Highbury & Islington,"LO,LU",105577.0696820848,110613.39905050848,216190.4687325933
604,Highgate,LU,32341.740690133625,31596.11888584835,63937.85957598197
605,High Street Kensington,LU,74270.59862481075,71361.6608577086,145632.25948251935
606,Hillingdon,LU,10141.9085638866,9375.053225445,19516.961789331603
607,Holborn,LU,133712.44459752823,141823.34991882218,275535.7945163504
608,Holland Park,LU,20697.547577076402,20794.678005374157,41492.225582450556
609,Holloway Road,LU,36524.37019261073,36088.0929777491,72612.46317035983
610,Hornchurch,LU,10889.02781121771,10935.914379485957,21824.942190703667
611,Hounslow Central,LU,22591.044289883186,22577.951262651783,45168.995552534965
612,Hounslow East,LU,23784.705871384955,25196.40313798256,48981.109009367516
613,Hounslow West,LU,20747.08321526757,21052.541009835903,41799.62422510347
614,Hyde Park Corner,LU,26067.20969446372,26270.631504699697,52337.84119916342
615,Ickenham,LU,5658.8656550331325,5887.872796923002,11546.738451956135
616,Kennington,LU,35082.16732524884,34718.082224369755,69800.2495496186
617,Kensal Green,"LO,LU",13778.459954445447,13511.688282377903,27290.14823682335
618,Kensington (Olympia),"LO,LU",17485.4026667556,17338.603581705585,34824.006248461184
619,Kentish Town,LU,50502.40552856233,46716.31168046593,97218.71720902825
620,Kenton,"LO,LU",13546.291314447897,13165.70830063257,26711.999615080465
621,Kew Gardens,"LO,LU",22325.06668378778,21525.28011859718,43850.34680238496
622,Kilburn,LU,39610.31139038561,38446.693945060506,78057.00533544611
623,Kilburn Park,LU,19659.74246804,19129.210529579603,38788.952997619606
624,Kingsbury,LU,27748.215170595635,26752.99871016494,54501.21388076057
625,King's Cross St. Pancras,LU,552603.3867802372,551432.5020128662,1104035.8887931034
626,Knightsbridge,LU,108801.49986997475,99772.1896770267,208573.68954700144
627,Ladbroke Grove,LU,46356.73404973192,43411.92275009668,89768.6567998286
628,Lambeth North,LU,20309.390223723196,18581.757982875602,38891.148206598795
629,Lancaster Gate,LU,23033.487465616305,22637.398405239892,45670.8858708562
630,Latimer Road,LU,14782.63242305123,14085.041041823013,28867.673464874242
631,Leicester Square,LU,214273.47643325364,197353.38133186483,411626.8577651185
632,Leyton,LU,63043.27513690316,62350.42002895264,125393.69516585581
633,Leytonstone,LU,49708.27607658749,49346.012334790095,99054.28841137758
634,Liverpool Street LU,"EZL,LO,LU",675360.5901438526,686080.7440150913,1361441.334158944
635,London Bridge LU,LU,419509.38257677056,396462.4635362563,815971.8461130268
636,Loughton,LU,18668.55489724971,19128.096560593895,37796.6514578436
637,Maida Vale,LU,20293.884431724244,19650.025402733765,39943.90983445801
638,Manor House,LU,42623.74059933986,42017.59706462931,84641.33766396917
639,Mansion House,LU,27239.014790272002,29334.051881842635,56573.06667211464
640,Marble Arch,LU,66063.8463718812,65741.13853065675,131804.98490253795
641,Marylebone LU,LU,58805.35005365547,68096.65511198554,126902.00516564102
642,Mile End,LU,79932.52789862256,78394.22869408643,158326.756592709
643,Mill Hill East,LU,11059.106239309916,10690.943841782777,21750.050081092693
645,Moorgate,LU,132396.59590757472,148329.39858399282,280725.99449156754
646,Moor Park,LU,5471.373140717774,5384.917861158789,10856.291001876561
647,Morden,LU,61435.29787060618,59491.333528877905,120926.63139948409
648,Mornington Crescent,LU,22340.53781439825,17484.675889822145,39825.2137042204
649,Neasden,LU,18949.64555448076,17597.607212207266,36547.25276668803
650,Newbury Park,LU,23590.231429718177,21747.400993563388,45337.63242328157
653,North Acton,LU,42480.17076708942,42330.78089235521,84810.95165944463
654,North Ealing,LU,4381.909044579811,4213.440925959877,8595.349970539688
