NLC,total_activity,log_total_activity,direction_balance,post_2300_share,midnight_share_common_window,night_tube_extension_share,post_0100_share,common_window_persistence,weekend_common_ratio,volume_band,cluster,Station,mode_label,tot_entry,tot_exit
582,19639.256602102665,9.885336647103284,-0.5782607296668676,0.15924960901931703,0.047398284277980575,0.07001578244719499,0.034180646635138236,0.07203735483086696,0.7019494269170355,medium,4,Gants Hill,LU,4141.322874627963,15497.9337274747
583,49643.892184906006,10.812650787744237,-0.016602735710091444,0.13335078165766384,0.032697596008134384,0.02935463907862812,0.014237336791914617,0.05115044119358328,0.8942011955210665,high,4,Gloucester Road,LU,24409.833881669863,25234.058303236143
584,24661.055774892106,10.113021138000057,-0.3852793128205126,0.1443072614780489,0.039092737627860356,0.054350268144007105,0.025247996949020603,0.06071837005226814,0.821922607985474,high,4,Golders Green,LU,7579.830576256669,17081.225198635417
585,7819.4356290452815,8.964495539026816,-0.29106571765162104,0.13121568652014787,0.03818880452744832,0.011568772512502407,0.007709084269377227,0.05941393170030503,0.8214665539718632,low,4,Goldhawk Road,LU,2771.7329930232822,5047.7026360220025
586,18240.722646889844,9.811466702529017,0.4403751395323127,0.09220121472635871,0.019864537071183155,0.03327193490448088,0.014663475016734068,0.028267716926571734,0.527346055252203,medium,1,Goodge Street,LU,13136.741713842086,5103.98093304776
587,1217.7457387074799,7.1055775258608,-0.7363075706758067,0.0883611652881516,0.02485683196710489,0.0,0.0,0.033833794413735234,0.495849160453654,low,0,Grange Hill,LU,160.55516606947992,1057.1905726379991
588,18227.24711317161,9.810727709082071,0.3290745703775075,0.10086120882637867,0.0258817397803618,0.0030193941574711987,0.0019897586978920266,0.03773286427786283,0.6048851780619181,medium,2,Great Portland Street,LU,12112.685313051605,6114.561800119999
589,11637.972736643227,9.362114464525213,-0.532714274338898,0.11906085393811351,0.038379361825873884,0.016500970377574403,0.008596072914861282,0.05694077428845215,0.681322318588495,medium,4,Greenford,LU,2719.1292677332253,8918.843468910001
590,115055.53815306825,11.653178922645585,0.48989558298063074,0.17106512708570018,0.04694926145043665,0.07988757954608874,0.03607119682356262,0.07366101729453096,0.6718517379180575,high,1,Green Park,LU,85710.36904585798,29345.169107210342
591,12454.386623135777,9.429908468815125,-0.127296284301571,0.11131231645313457,0.03583635497996697,0.008887329669635756,0.004365773223734466,0.050406749407084395,0.5671740459384086,medium,2,Gunnersbury,"LO,LU",5434.494741377703,7019.891881758076
592,11540.465514010884,9.353701526280705,-0.6825177369186985,0.15344039591072384,0.048868984592317304,0.07168123711331534,0.035731573138189886,0.071707929432373,0.596261640500224,medium,0,Hainault,LU,1831.9465541999448,9708.518959810935
593,92622.92482985466,11.436302754756168,0.05354201231216302,0.14144157048832437,0.03273023802795928,0.03758584135883446,0.018197036330972485,0.0515089721324097,0.8234564928894451,high,2,Hammersmith (DIS),LU,48791.07130574165,43831.85352411304
594,14566.802204192682,9.586569043898512,-0.082915971253725,0.13223347855950623,0.03133788438637603,0.034311885377618964,0.01688780477165233,0.047871627118715,1.0015218428485226,medium,4,Hampstead,LU,6679.490825685576,7887.311378507111
595,11087.567171938335,9.313669871991813,-0.4464806250987648,0.1206678605858947,0.038004434395592736,0.009164156608151747,0.0055575672768183055,0.057369097517248155,0.8598261070267011,medium,4,Hanger Lane,LU,3068.591625093384,8018.975546844959
596,8866.723494646465,9.090173390124525,-0.20385727848214985,0.11000938132731941,0.028610154605055553,0.004827654333611999,0.002893801581269012,0.04274654575504163,0.6992230466590265,medium,4,Harlesden,"LO,LU",3529.588686987049,5337.134807659414
597,19549.947789565445,9.880779044523058,-0.47118967266941314,0.10666114657150162,0.028137881089853684,0.008291761187969033,0.005459029546495998,0.04136793287642899,0.7561757279934798,medium,4,Harrow & Wealdstone,"LO,LU",5169.107144947989,14380.840644617463
598,30529.93007509533,10.326495549565431,-0.4261420004888121,0.1213784334122186,0.039080528936226086,0.014318099044730352,0.007791420588049194,0.05795705044054262,0.7533626369609286,high,4,Harrow-on-the-Hill,LU,8759.922299055332,21770.00777604001
