NLC,total_activity,log_total_activity,direction_balance,post_2300_share,midnight_share_common_window,night_tube_extension_share,post_0100_share,common_window_persistence,weekend_common_ratio,volume_band,cluster,Station,mode_label,tot_entry,tot_exit
532,11079.602180753254,9.312951307267886,-0.5737657118538597,0.1331604218270414,0.04002155800755033,0.05306859015958623,0.02424381139110749,0.05800501581547334,0.6955221696539434,medium,0,Burnt Oak,LU,2361.2531742278943,8718.349006525365
533,10490.78980857925,9.258348307291929,-0.17129886534061695,0.08035602810995132,0.028460959330188027,0.004364368495195359,0.002499095049157413,0.040857789577811734,0.6490830363354395,medium,2,London City Airport,DLR,4346.864708921357,6143.925099657891
534,17030.471174988088,9.74281815718265,-0.2542732856456445,0.1521823976641457,0.03924866959753093,0.06327320315934315,0.02971381473753232,0.0625644888144811,0.7897634269784524,medium,4,Caledonian Road,LU,6350.038656615217,10680.432518372874
535,87890.99312374103,11.383863988781831,0.20177425939172455,0.18554163037514876,0.03830461846679786,0.09441513910493925,0.05443502269490095,0.061588437536490015,1.4045596788438535,high,3,Camden Town,LU,52812.566584243534,35078.42653949754
536,13879.225486608,9.538220479361692,0.1531125058406525,0.08895067151616115,0.022744785213399468,0.0008173009856948614,0.0005684430434257725,0.03122003453921088,0.34885641161473047,medium,1,Cannon Street LU,LU,8002.154239995004,5877.071246613001
537,8646.437054414157,9.06501826173472,-0.5658621081117423,0.14741158897609252,0.04341735314431229,0.06336087642881012,0.030124316000910707,0.06397940857811088,0.7305764873183377,medium,4,Canons Park,LU,1876.8729775739384,6769.564076840213
538,12189.223321612757,9.40838954237418,-0.3543130431711687,0.14918172979393435,0.05556554354913139,0.009238326381575767,0.005511962198162346,0.08819813184581582,0.7876915875732416,medium,4,Pontoon Dock,DLR,3935.21125631958,8254.012065293178
539,5219.506636796215,8.560349733024484,-0.5458300166034612,0.1397009458007177,0.04806169900160566,0.016497452074903645,0.009498821198488099,0.07543932476838508,0.6804428592251364,low,0,Chalfont & Latimer,LU,1185.2716212859305,4034.235015510285
540,23358.992282460957,10.058780106568006,0.0005487754950540781,0.15731550152863918,0.033451502562962206,0.03589826954068268,0.01730312193888764,0.05609932625448557,0.8612796254755544,high,1,Chalk Farm,LU,11685.905562507362,11673.086719953588
541,23917.078064615067,10.082389856367188,0.505139810814746,0.10441068952355136,0.022100273320251915,0.07766039962076793,0.029151297495264735,0.03008770479718167,0.3303282857380648,high,1,Chancery Lane,LU,17999.273176708124,5917.804887906948
542,83089.29412287241,11.327683176463479,0.35361507907692996,0.12436218428815411,0.028646658860378295,0.020259765611407517,0.01050285761420145,0.047806941148371696,1.0347540303687888,high,1,Embankment,LU,56235.4607172891,26853.83340558329
543,3657.855235202673,8.204905600203372,-0.6939619936207453,0.14562553990006624,0.056520067938778354,0.03980896195653003,0.0257053067563485,0.08120329104139447,0.5999583441927969,low,0,Chesham,LU,559.7213619026732,3098.133873299999
544,944.065389648131,6.8512541204946995,-0.6582638054837555,0.08068806023541719,0.019678932462287392,0.0,0.0,0.026889411895241726,0.4795101757530508,low,0,Chigwell,LU,161.310656816424,782.7547328317072
545,7480.91863119764,8.920244539574648,-0.2902979300311902,0.11356295422900924,0.038614149869738615,0.015262023416935843,0.008257075741478959,0.05523034253714904,0.6198649762509517,low,0,Chiswick Park,LU,2654.6117189146003,4826.306912283037
546,3946.174511664658,8.280755288433777,-0.4850669117944354,0.11903760000665405,0.046932682375813675,0.01465233307768358,0.0072064944852538015,0.06620467078399267,0.6690312755917066,low,0,Chorleywood,LU,1016.007913944784,2930.166597719873
547,43497.49987600918,10.680481730873149,-0.2677471419930114,0.237717845650072,0.06362576798698483,0.13930699872198998,0.07783104690889159,0.10669117393325797,0.9647151135461993,high,3,Clapham Common,LU,15925.584300183176,27571.91557582601
548,28327.99488441655,10.251641113353541,-0.29262989145803936,0.22221980913798264,0.05922041960857543,0.09977047034538708,0.0552715094884419,0.0989037307785986,0.9866656351025234,high,3,Clapham North,LU,10019.188408082928,18308.80647633361
549,28790.350817705537,10.267830302189639,-0.4363828158378699,0.16991973282024117,0.04705682129335714,0.07939244271258042,0.0380339528833433,0.07296791216925291,0.7020369732780788,high,4,Clapham South,LU,8113.368229457536,20676.982588247996
550,5979.617022566761,8.696279022653112,-0.502384303648473,0.18490759751903768,0.05531525495716146,0.0799284552590307,0.04182667420319202,0.08534289974003367,0.9279199050895466,low,4,Cockfosters,LU,1487.7756443000023,4491.841378266759
551,25842.76708621138,10.159824732341027,-0.5543773333754619,0.15370085421079782,0.04359341722252239,0.06351197853834496,0.03081223370341941,0.06816974538714114,0.7626187555072801,high,4,Colindale,LU,5758.061390957181,20084.705695254197
552,23349.774336628718,10.058385424715445,-0.4850842716736645,0.17321297136041902,0.048508024269824944,0.08053823807443972,0.03944155501751565,0.07516667492344396,0.7712453822005632,high,4,Colliers Wood,LU,6011.583029400372,17338.19130722834
553,61910.546917216605,11.033461982749603,0.3573507027321151,0.09595127849928015,0.02119585310432245,0.019295901334688875,0.010268688022198828,0.03367861712379901,1.0410102719553331,high,1,Covent Garden,LU,42017.16218230674,19893.384734909847
554,2828.0761694950916,7.94770549546901,-0.6875841155509173,0.14215693561008455,0.0621758891135498,0.013144381071384796,0.007531224418311224,0.08875792759619275,0.5515287277482959,low,0,Croxley,LU,441.7679588910916,2386.3082106039988
555,9097.909468714752,9.115909846720948,-0.5183317836025285,0.11461894130598163,0.03837375439872534,0.01798087489288167,0.010576562253520407,0.055614978153278205,0.7031752326055508,medium,0,Dagenham East,LU,2191.0869133707506,6906.8225553440025
556,16823.39519929409,9.730585207316707,-0.5327266368385597,0.11073842661202304,0.039902580420400686,0.016486861088975745,0.010450185988125662,0.058127452083288525,0.6556007198103458,medium,0,Dagenham Heathway,LU,3930.5622272840906,12892.832972010005
557,5783.655659693501,8.662964114899172,-0.4936524059417819,0.13146425207322832,0.04614073831631793,0.02106138010574435,0.013109034321558816,0.0662204824509776,0.5991131476612006,low,0,Debden,LU,1464.2700640735002,4319.385595619999
558,12178.695248356938,9.407525520290516,-0.4447627713722031,0.1597325591277431,0.044358628105476465,0.06932330214618855,0.033867440731310164,0.06936622776984645,0.8291478407238001,medium,4,Dollis Hill,LU,3381.032499000112,8797.66274935683
