NLC,lsoa21cd,lnc_grp,piece_area_m2,covered_area_m2,area_share
503,E01004309,1,86597.74209721948,525377.6255496411,0.16482952049323077
503,E01004310,1,53359.07815460159,525377.6255496411,0.10156328621489778
503,E01004319,2,45937.768334869346,525377.6255496411,0.08743761839269427
503,E01004321,1,18370.85942136297,525377.6255496411,0.034966961910765974
503,E01032767,2,62003.285146904665,525377.6255496411,0.11801660773436609
503,E01035686,1,11430.391003040797,525377.6255496411,0.021756524159327335
503,E01035687,2,89320.38094167343,525377.6255496411,0.17001177171987097
503,E01035688,2,9690.100835874342,525377.6255496411,0.0184440683512868
503,E01035689,1,53005.46529263105,525377.6255496411,0.1008902220325383
504,E01001846,4,3253.4587454320304,1034454.6119466705,0.003145095693768106
504,E01001849,2,3151.0175364872266,1034454.6119466705,0.0030460664973570362
504,E01034213,4,227754.72187028726,1034454.6119466705,0.22016888826247388
504,E01034214,3,15801.198661998684,1034454.6119466705,0.015274907646516721
504,E01034215,2,24614.284424066023,1034454.6119466705,0.023794455686891917
504,E01034216,2,58880.420463600625,1034454.6119466705,0.056919288467183235
504,E01034217,1,373134.2989416714,1034454.6119466705,0.3607063032369251
504,E01034218,4,141461.19306157122,1034454.6119466705,0.1367495407027718
504,E01034219,1,69642.84645255607,1034454.6119466705,0.06732324999885678
504,E01034220,1,86323.81917295938,1034454.6119466705,0.0834486290418411
504,E01034222,4,30434.245310932427,1034454.6119466705,0.029420570955414147
504,E01035657,3,3.107305108089614,1034454.6119466705,3.003810000172154e-06
505,E01000471,4,78166.08542488539,1805377.1462870128,0.04329626393335257
505,E01000472,4,368006.14122637146,1805377.1462870128,0.20383892749679633
505,E01000473,2,202879.10977541193,1805377.1462870128,0.11237491855519416
505,E01000474,5,27514.541794754732,1805377.1462870128,0.015240329064396256
505,E01000475,4,289016.84336863365,1805377.1462870128,0.16008668546792754
505,E01000476,5,136663.281147395,1805377.1462870128,0.07569791244364668
505,E01000477,6,11538.248287197204,1805377.1462870128,0.006391045943462326
505,E01000478,4,152151.45921724578,1805377.1462870128,0.08427682799140587
505,E01000631,4,84477.61516213289,1805377.1462870128,0.04679222584370907
