NLC,Station,Fare Zone,easting,northing,lon,lat
618,Kensington (Olympia),2,524341.6907,179162.423900001,-0.21012996310043217,51.49773548808454
619,Kentish Town,2,529009.0105,185127.159,-0.1407479399821426,51.55029387744979
620,Kenton,4,516727.9918,188314.4716,-0.31672815541742494,51.58161162102015
621,Kew Gardens,3/4,519196.0695,176731.8028,-0.28504091647405505,51.47699774458654
622,Kilburn,2,524583.2751,184644.8518,-0.20471489160119855,51.546953022454446
623,Kilburn Park,2,525357.7486,183328.0363,-0.1940203229099902,51.534947545387965
624,Kingsbury,4,519358.6236,188712.7984,-0.2786447440288867,51.584641087244194
625,King's Cross St. Pancras,1,530174.7976,182874.774700001,-0.12477613021792856,51.529785143075884
626,Knightsbridge,1,527709.677,179635.9859,-0.16146611606618974,51.50124118729131
627,Ladbroke Grove,2,524234.8749,181339.0615,-0.21090185775767434,51.51732053919889
628,Lambeth North,1,531133.5815,179456.1932,-0.1122327661467621,51.498842228801465
629,Lancaster Gate,1,526710.5082,180773.3476,-0.17544510185673504,51.51168719578341
630,Latimer Road,2,523762.9916,180897.8333,-0.21785393577321283,51.513458663999614
631,Leicester Square,1,529980.4296,180824.482000001,-0.128332134429999,51.51140465728606
632,Leyton,3,538367.4374,186075.853599999,-0.00548715538242508,51.55660356521063
633,Leytonstone,3/4,539279.2763,187404.735400001,0.008183219874044318,51.568320494028455
634,Liverpool Street LU,1,533093.853,181566.9186,-0.08321330923554981,51.51735237101746
635,London Bridge LU,1,532683.0478,180188.852299999,-0.08964851723570844,51.50506500549169
636,Loughton,6,542318.8891,195612.3879,0.05533810169999307,51.64131224348847
637,Maida Vale,2,525940.2151,182761.773700001,-0.18582932871164548,51.529729085515065
638,Manor House,2/3,532047.6613,187481.789999999,-0.09606483069595965,51.57075126410129
639,Mansion House,1,532354.1684,180931.563200001,-0.094105792133622,51.51181640319618
640,Marble Arch,1,527960.1312,181017.4747,-0.1573589906802929,51.51359976087709
