lsoa,boardings_Weekday,boardings_Saturday,boardings_Sunday,alightings_Weekday,alightings_Saturday,alightings_Sunday
E01004310,1961.5227399999999,1942.4571,1748.37082,1719.67718,1924.4152700000002,1753.34871
E01004313,225.94919000000007,237.14964,186.42949000000004,273.35883,230.63925999999998,196.07586000000003
E01004319,23.041240000000002,25.197750000000003,15.001389999999999,20.307460000000003,26.2563,18.559890000000003
E01004321,454.36551999999995,477.13329000000004,430.56612,431.53058999999996,525.22151,442.27056999999996
E01004322,76.19201000000001,78.03225,61.27595,210.3528,238.55712999999997,186.38962999999998
E01004326,445.67084,530.58917,430.43676000000005,492.18751000000003,611.4897,501.29104000000007
E01004328,62.33231,54.59636999999999,42.85268,105.20823999999999,80.60459999999999,46.385590000000015
E01004329,26.873350000000002,23.86957,17.60313,48.380120000000005,35.54305,33.0891
E01004330,103.96476000000001,106.34317999999999,96.91938999999999,165.80301,124.54059999999998,110.16741
E01004331,60.44056999999999,44.527930000000005,53.00565999999999,113.42541000000001,98.14287999999999,74.74674
E01004332,139.30707,123.84087000000001,105.10598,66.23824999999998,54.67440999999999,46.39302
E01004335,308.18847000000005,278.66665,229.40587999999997,546.39308,455.42379000000005,361.18974
E01004336,2522.59182,2117.37086,1600.60394,1953.51739,1911.1503499999997,1400.40588
E01004337,61.08475,43.83919000000001,55.28215,93.11661,75.41052000000002,65.85471999999999
E01004340,22.75525,9.08606,6.956819999999999,32.15166,27.1205,13.871269999999999
E01004341,459.51834999999994,425.6126600000001,366.29152,633.5183499999999,550.07955,415.97902000000005
E01004342,157.28611999999998,147.67163999999997,95.70612999999999,199.78522,151.28159,115.70508
E01004343,80.72845999999998,68.76083,53.816739999999996,172.18175,157.27648000000002,87.90414999999999
E01004344,552.98404,498.70016999999996,355.79211999999995,646.5650499999999,568.74405,418.06857999999994
E01004345,62.99132,51.088049999999996,51.005610000000004,141.34365,108.34029000000001,72.23136
E01004347,35.052429999999994,26.111730000000005,17.34,279.21871000000004,213.68400999999994,150.60994
