threshold,stage,k,cluster,n_units,pct_of_core
110.0,scan,9,7,187,6.933629959213941
110.0,scan,9,8,44,1.6314423433444567
110.0,scan,10,0,117,4.338153503893214
110.0,scan,10,1,142,5.265109380793474
110.0,scan,10,2,195,7.230255839822025
110.0,scan,10,3,288,10.67853170189099
110.0,scan,10,4,101,3.744901742677049
110.0,scan,10,5,413,15.313311086392288
110.0,scan,10,6,236,8.75046347793845
110.0,scan,10,7,756,28.031145717463847
110.0,scan,10,8,41,1.5202076381164256
110.0,scan,10,9,408,15.127919911012237
125.0,scan,2,0,443,17.15724244771495
125.0,scan,2,1,2139,82.84275755228505
125.0,scan,3,0,1149,44.500387296669246
125.0,scan,3,1,258,9.992254066615027
125.0,scan,3,2,1175,45.50735863671572
125.0,scan,4,0,421,16.305189775367932
125.0,scan,4,1,910,35.243996901626645
125.0,scan,4,2,153,5.925639039504261
125.0,scan,4,3,1098,42.52517428350116
125.0,scan,5,0,211,8.171959721146399
125.0,scan,5,1,846,32.76529821843532
125.0,scan,5,2,821,31.797056545313712
125.0,scan,5,3,167,6.467854376452363
125.0,scan,5,4,537,20.797831138652207
125.0,scan,6,0,129,4.996127033307514
125.0,scan,6,1,642,24.864446165762974
125.0,scan,6,2,157,6.0805577072037185
125.0,scan,6,3,847,32.804027885360185
125.0,scan,6,4,517,20.02323780015492
125.0,scan,6,5,290,11.23160340821069
125.0,scan,7,0,195,7.552285050348567
125.0,scan,7,1,211,8.171959721146399
125.0,scan,7,2,126,4.8799380325329205
125.0,scan,7,3,237,9.178931061192873
125.0,scan,7,4,841,32.571649883811
125.0,scan,7,5,209,8.09450038729667
125.0,scan,7,6,763,29.550735863671573
125.0,scan,8,0,360,13.9426800929512
125.0,scan,8,1,228,8.830364058869094
125.0,scan,8,2,193,7.474825716498838
125.0,scan,8,3,106,4.105344694035631
125.0,scan,8,4,132,5.112316034082107
125.0,scan,8,5,227,8.79163439194423
125.0,scan,8,6,724,28.04027885360186
125.0,scan,8,7,612,23.702556158017043
125.0,scan,9,0,840,32.53292021688613
125.0,scan,9,1,229,8.869093725793958
125.0,scan,9,2,204,7.900852052672347
125.0,scan,9,3,69,2.672347017815647
125.0,scan,9,4,199,7.707203718048024
125.0,scan,9,5,149,5.770720371804803
125.0,scan,9,6,104,4.027885360185903
125.0,scan,9,7,131,5.073586367157242
125.0,scan,9,8,657,25.44539116963594
125.0,scan,10,0,327,12.664601084430673
125.0,scan,10,1,98,3.7955073586367156
125.0,scan,10,2,534,20.681642137877613
125.0,scan,10,3,113,4.376452362509682
125.0,scan,10,4,755,29.240898528272655
125.0,scan,10,5,120,4.647560030983733
125.0,scan,10,6,131,5.073586367157242
125.0,scan,10,7,219,8.481797056545314
125.0,scan,10,8,64,2.4786986831913245
125.0,scan,10,9,221,8.559256390395042
150.0,scan,2,0,404,16.646065100947673
150.0,scan,2,1,2023,83.35393489905233
150.0,scan,3,0,1491,61.43386897404203
150.0,scan,3,1,257,10.589204779563246
150.0,scan,3,2,679,27.976926246394726
150.0,scan,4,0,849,34.9814585908529
150.0,scan,4,1,191,7.8697981046559535
150.0,scan,4,2,910,37.49484960857025
150.0,scan,4,3,477,19.65389369592089
150.0,scan,5,0,207,8.529048207663783
150.0,scan,5,1,150,6.180469715698393
150.0,scan,5,2,744,30.65512978986403
150.0,scan,5,3,729,30.03708281829419
150.0,scan,5,4,597,24.598269468479604
