threshold,k,n_core,pct_core,n_excluded_from_fit,pct_excluded_from_fit,n_init,seed,converged,n_iter,fit_seconds,lower_bound,bic_within_threshold,aic_within_threshold,min_cluster_size,max_cluster_size,min_cluster_pct,activity_eta2,activity_kw_h,activity_kw_p,activity_kw_epsilon2,direction_balance_eta2,weekend_ratio_eta2,post_midnight_share_eta2,deep_night_share_eta2,post_midnight_persistence_eta2,timing_mean_eta2,activity_to_timing_ratio,gate_activity_below_timing
70.0,4,3028,84.27497912607849,565,15.725020873921514,5,42,True,19,1.6515025000007881,303.76638160943145,-1753017.9618577224,-1818005.1110677854,179,1317,5.911492734478204,0.4990315177371346,1692.7822333019503,0.0,0.5587904210654597,0.05415530418850635,0.06996799525053189,0.3705042327816917,0.2589889619956159,0.3447886194447165,0.3247606047406747,1.5366134637408295,False
70.0,5,3028,84.27497912607849,565,15.725020873921514,5,42,True,15,1.8003689999986818,304.6218642236822,-1736555.95763857,-1817791.3980655523,144,1049,4.755614266842801,0.5399472361128286,1729.8020095961729,0.0,0.5708905092941359,0.11103350768598892,0.06992071367022,0.3757741212472382,0.311007005440172,0.3303170616583756,0.3390327294485953,1.5926109464151197,False
90.0,2,2848,79.26523796270526,745,20.73476203729474,5,42,True,25,1.0431305000001885,300.3861995263643,-1668041.230439098,-1700200.7950830427,1246,1602,43.75,0.4408522038070389,1471.9440216593903,0.0,0.5168461073996452,0.044252431871973134,0.010517633114713137,0.04080197206223271,0.004846973657781005,0.03598474451946227,0.02721123007982533,16.201112647747998,False
90.0,3,2848,79.26523796270526,745,20.73476203729474,5,42,True,9,1.2322675000013987,301.7673103127807,-1654390.1760371013,-1702632.5001891544,315,1950,11.060393258426966,0.04085066611454648,103.29891162819877,3.7061786220177297e-23,0.03560594433328603,0.08251880639709573,0.08841976823527137,0.35696766882666336,0.31602597310957065,0.3343556730120076,0.33578310498274716,0.12165789614890071,True
90.0,4,2848,79.26523796270526,745,20.73476203729474,5,42,True,23,1.4925168000008853,305.51495433669845,-1654296.9005332885,-1718621.9841934503,177,1173,6.214887640449438,0.4947832802175906,1556.6243727825113,0.0,0.5462814250290124,0.06716803383617666,0.06394518122774435,0.3874535338255303,0.2850232359076316,0.3559011539812099,0.342792641238124,1.4433894450898814,False
90.0,5,2848,79.26523796270526,745,20.73476203729474,5,42,True,42,2.413626199999271,306.2695734395176,-1637102.0973202295,-1717509.9404884998,168,1085,5.898876404494382,0.4981936093665908,1537.8708244291429,0.0,0.5395254394756043,0.13754205150942975,0.12685236008220638,0.3773430567927459,0.28684807954963437,0.34231181029811003,0.3355009822134967,1.4849244436773787,False
100.0,2,2761,76.84386306707486,832,23.156136932925133,5,42,True,28,1.094850100000258,301.43572485649844,-1621737.9736679844,-1653729.9773606192,1064,1697,38.53676204273814,0.4118348476459196,1371.0312869817917,4.14418336382848e-300,0.49656806342217896,0.023029226390144614,0.0017447866806224643,0.011307269920318828,5.529633016163276e-06,0.008697131140066311,0.006669976897800435,61.74456882777672,False
100.0,3,2761,76.84386306707486,832,23.156136932925133,5,42,True,11,0.8259742999998707,302.8418654848752,-1608092.1014768716,-1656083.0686899298,289,1961,10.467222021006881,0.0784768430377855,236.86770145387163,3.67140384777661e-52,0.08515870248508761,0.07598727424618268,0.09242551089220671,0.2791749772135775,0.2533293296951784,0.26977419244922485,0.2674261664526602,0.2934523725885196,True
100.0,4,2761,76.84386306707486,832,23.156136932925133,5,42,True,14,1.4532387999988714,306.2822072309752,-1605696.6786458541,-1669686.6093793355,225,1146,8.149221296631655,0.4822377610584933,1470.7055653597017,0.0,0.5323560266085244,0.08095055770276673,0.09739599833819809,0.36579142882619814,0.28086842156685066,0.32620829466512563,0.32428938168605814,1.4870599788103567,False
100.0,5,2761,76.84386306707486,832,23.156136932925133,5,42,True,16,1.4908663999995042,307.0547867757676,-1588551.7446272739,-1668540.6388811786,166,997,6.012314378848243,0.490574568349439,1461.6853240091568,0.0,0.5289133976811164,0.09202693954530229,0.11721780692976858,0.3948275053582317,0.30798469501595643,0.36075628231240303,0.35452282756219705,1.3837601706010687,False
110.0,2,2697,75.06262176454217,896,24.937378235457835,5,42,True,35,1.2689848999998503,302.02799516271546,-1586475.4304429158,-1618340.7650831935,1004,1693,37.226548016314425,0.39283174756489614,1288.997541453722,2.7811090841202713e-282,0.4779211656600082,0.019457419842199154,0.0017676575940711913,0.007622434607982382,0.00013885955668939618,0.005641602059450633,0.00446763207470747,87.92840166692056,False
110.0,3,2697,75.06262176454217,896,24.937378235457835,5,42,True,10,0.6576969999987341,303.47572471228347,-1572919.5547486003,-1620720.5066566784,283,1839,10.493140526510938,0.05921162556009228,161.13567580881318,1.0228985883009639e-35,0.05907040675902493,0.08881015518749287,0.10059388673670729,0.30236147983316797,0.28695010658931347,0.2868303422154491,0.29204730954597685,0.20274669077466925,True
110.0,4,2697,75.06262176454217,896,24.937378235457835,5,42,True,16,1.7275260999995226,306.8079550664481,-1569578.2563633071,-1633314.8255391857,216,1084,8.008898776418242,0.4735899493005485,1391.7458407230934,1.8208003286952137e-301,0.5156872783969897,0.08604709962716313,0.09358973169354674,0.36582514757216755,0.2958259870491288,0.32371110557663585,0.32845408006597737,1.4418756777368005,False
110.0,5,2697,75.06262176454217,896,24.937378235457835,5,42,True,24,1.679538300000786,307.79935555991557,-1553591.1659547486,-1633263.3523984277,123,1023,4.560622914349277,0.4892778698554578,1410.0861547218647,4.492759769726548e-304,0.5223202654984639,0.13929319406016685,0.106024468504476,0.3932917231881564,0.26878742370105074,0.39789664614706416,0.3533252643454237,1.3847803121633606,False
125.0,2,2582,71.86195379905372,1011,28.138046200946285,5,42,True,48,1.3752125999999407,303.44080352900755,-1524535.7530479424,-1556165.7350531095,443,2139,17.15724244771495,0.023124654577629165,87.19080884649247,9.854066811311353e-21,0.03340729025057848,0.024815398134119197,0.027394133911120503,0.06609846625748608,0.048848954527969106,0.07703763224557215,0.06399501767700912,0.3613508585049886,True
125.0,3,2582,71.86195379905372,1011,28.138046200946285,5,42,True,58,1.4474769000007655,306.50880369967706,-1519161.6859946714,-1566609.5871622076,258,1175,9.992254066615027,0.4638598631601013,1358.7771833896313,8.81624313991673e-296,0.5260865387319238,0.07410433742219064,0.08000043611013279,0.13663167488035144,0.0657407527924253,0.15115146564163046,0.11784129777146907,3.9363098670185206,False
125.0,4,2582,71.86195379905372,1011,28.138046200946285,5,42,True,32,2.379930699999022,307.9221483790511,-1505239.3174520293,-1568505.1377819348,153,1098,5.925639039504261,0.4646887196227009,1350.4383657329727,1.6731446533279524e-292,0.5226681015255906,0.052003384329660216,0.09875140511177437,0.4190749647547057,0.3096228268926085,0.4022198332338058,0.37697254162703997,1.2326858545640267,False
125.0,5,2582,71.86195379905372,1011,28.138046200946285,5,42,True,26,1.84228450000046,308.8233582814629,-1488669.5576130345,-1567753.297105309,167,846,6.467854376452363,0.4888907513050881,1334.4067115576363,1.1539126390611148e-287,0.516261820550111,0.12450070769513334,0.11215876544115161,0.40538019588125124,0.340444485604157,0.37376132222390585,0.3731953345697714,1.3100130307595972,False
150.0,2,2427,67.54801001948233,1166,32.45198998051767,5,42,True,47,1.5097132999999303,304.66615608324605,-1436752.7787314341,-1468048.3936535635,404,2023,16.646065100947673,0.0005621340606051574,5.854945291623153,0.015533340877413536,0.0020020392955147023,0.05202762263693984,0.0403387213304256,0.07189996666419865,0.038264297164069414,0.08986099795799542,0.06667508726208783,0.008430946005297438,True
150.0,3,2427,67.54801001948233,1166,32.45198998051767,5,42,True,11,0.7274553999995987,306.6812116506951,-1425503.33604622,-1472449.655635017,257,1491,10.589204779563246,0.0854179415471154,213.64976386660055,4.041506172297093e-47,0.08731425902087482,0.14206026935635016,0.09435239841548858,0.26578741372615655,0.2548782200085374,0.2634863880083315,0.2613840072476752,0.3267910016628423,True
150.0,4,2427,67.54801001948233,1166,32.45198998051767,5,42,True,36,1.706009700001232,309.45654414270996,-1417909.5592380092,-1480506.5834934737,191,910,7.8697981046559535,0.45398415385597046,1175.6410426735038,1.4133105656817128e-254,0.4839624608640131,0.10587431459022333,0.08907607849089162,0.384960554553899,0.3108154603687897,0.35121594710130744,0.34899732067466543,1.300824181052019,False
150.0,5,2427,67.54801001948233,1166,32.45198998051767,5,42,True,25,1.859728700001142,310.11171308586256,-1400024.0739589315,-1478271.8028810634,150,744,6.180469715698393,0.4874748202434824,1226.559580226629,2.781874401629617e-264,0.5047727416294917,0.15804985577904415,0.10955144851750954,0.4126813132020659,0.342903003430451,0.3900595687739489,0.3818812951354886,1.2765087645115742,False
