threshold,stage,k,n_core,pct_core,n_excluded_from_fit,pct_excluded_from_fit,n_init,seed,converged,n_iter,fit_seconds,lower_bound,bic_within_threshold,aic_within_threshold,min_cluster_size,max_cluster_size,min_cluster_pct,activity_eta2,activity_kw_h,activity_kw_p,activity_kw_epsilon2,direction_balance_eta2,weekend_ratio_eta2,post_midnight_share_eta2,deep_night_share_eta2,post_midnight_persistence_eta2,timing_mean_eta2,activity_to_timing_ratio,gate_activity_below_timing
100.0,scan,6,2761,76.84386306707486,832,23.156136932925133,5,42,True,23,2.1241119999995135,307.92669499948687,-1571988.5252283756,-1667976.3830027038,105,1008,3.802969938428106,0.49746266715897947,1461.0493324677864,0.0,0.5285115544347682,0.11185964423090264,0.13293767703879933,0.4785179672829561,0.4378598815776798,0.4444751262513736,0.45361765837066986,1.0966563095135993,False
100.0,scan,7,2761,76.84386306707486,832,23.156136932925133,5,42,True,31,3.225795199999993,308.7482438997225,-1555127.4700616528,-1667114.2913564043,94,895,3.404563563926114,0.4988924201755704,1448.9846403915817,5.98714293082176e-310,0.523959564412339,0.13024629654560135,0.15383773830765538,0.46441120375928874,0.37787154647868404,0.4629933084258405,0.43509201955460447,1.1466365682511879,False
100.0,scan,8,2761,76.84386306707486,832,23.156136932925133,5,42,True,27,3.4548172000013437,309.343158349935,-1537025.6693504811,-1665011.454165656,79,952,2.86128214415067,0.49096749388849764,1414.526483456515,2.7758055336411747e-301,0.5112700630063621,0.11889548764749998,0.1563448001023215,0.4973717485954849,0.4423160076412468,0.4827937710900654,0.4741605091089323,1.0354457709081466,False
100.0,scan,9,2761,76.84386306707486,832,23.156136932925133,5,42,True,49,5.107780899999852,310.18265610527,-1520258.3153716407,-1664243.063707239,69,800,2.499094530967041,0.5230039634708465,1471.274660171066,0.0,0.5317131759342536,0.16084444652022492,0.1960447130057435,0.4922047066656966,0.4317824460600467,0.4952367323053267,0.47307462834368996,1.1055421959574692,False
100.0,scan,10,2761,76.84386306707486,832,23.156136932925133,5,42,True,44,5.193103899999187,310.09109275272914,-1498330.2204602938,-1658313.9323163154,63,792,2.2817819630568636,0.5236952083607034,1481.7458575936798,0.0,0.5353492757519738,0.19773069726692016,0.16065888790412264,0.4509539021252272,0.39328656030557213,0.43839422313834936,0.4275448951897162,1.2248893958336748,False
110.0,scan,2,2697,75.06262176454217,896,24.937378235457835,5,42,True,35,1.0725946000002295,302.02799516271546,-1586475.4304429158,-1618340.7650831935,1004,1693,37.226548016314425,0.39283174756489614,1288.997541453722,2.7811090841202713e-282,0.4779211656600082,0.019457419842199154,0.0017676575940711913,0.007622434607982382,0.00013885955668939618,0.005641602059450633,0.00446763207470747,87.92840166692056,False
110.0,scan,3,2697,75.06262176454217,896,24.937378235457835,5,42,True,10,0.5038761000014347,303.47572471228347,-1572919.5547486003,-1620720.5066566784,283,1839,10.493140526510938,0.05921162556009228,161.13567580881318,1.0228985883009639e-35,0.05907040675902493,0.08881015518749287,0.10059388673670729,0.30236147983316797,0.28695010658931347,0.2868303422154491,0.29204730954597685,0.20274669077466925,True
110.0,scan,4,2697,75.06262176454217,896,24.937378235457835,5,42,True,16,1.4029949000014312,306.8079550664481,-1569578.2563633071,-1633314.8255391857,216,1084,8.008898776418242,0.4735899493005485,1391.7458407230934,1.8208003286952137e-301,0.5156872783969897,0.08604709962716313,0.09358973169354674,0.36582514757216755,0.2958259870491288,0.32371110557663585,0.32845408006597737,1.4418756777368005,False
110.0,scan,5,2697,75.06262176454217,896,24.937378235457835,5,42,True,24,1.4412337000012485,307.79935555991557,-1553591.1659547486,-1633263.3523984277,123,1023,4.560622914349277,0.4892778698554578,1410.0861547218647,4.492759769726548e-304,0.5223202654984639,0.13929319406016685,0.106024468504476,0.3932917231881564,0.26878742370105074,0.39789664614706416,0.3533252643454237,1.3847803121633606,False
110.0,scan,6,2697,75.06262176454217,896,24.937378235457835,5,42,True,28,2.4749644999992597,308.56131073375826,-1536365.0240364121,-1631972.8277478914,93,968,3.4482758620689653,0.49213679291887213,1401.23142566147,7.446892313229881e-301,0.5188522577708918,0.13593889591006353,0.1385743716725062,0.4894044285996345,0.45829590720182517,0.4578940595000757,0.46853146510051186,1.0503815209364782,False
