NLC,cluster,max_posterior,entropy,tot_entry,tot_exit,total_activity,Station,Fare Zone,easting,northing,lon,lat,catchment_area_m2,station_in_lnwc_extent,lnwc_1_share,lnwc_2_share,lnwc_3_share,lnwc_4_share,lnwc_5_share,lnwc_6_share,lnwc_7_share,covered_area_m2,lnwc_coverage_ratio,analysis_eligible,dominant_lnwc,lnwc_entropy_normalized,exclusion_reason,imd_score,imd_covered_area_m2,total_catchment_area_m2,imd_coverage_ratio,total_activity_metric,log_total_activity,direction_balance,midnight_share_common_window,night_tube_extension_share,common_window_persistence,weekend_common_ratio,volume_band,distance_to_centre_km
518,4,1.0,8.192734689079705e-21,2137.9462031406574,7839.893892635998,9977.840095776655,Becontree,5,547627.5438,184527.341,0.1273417848283317,51.54034470776378,3520103.097964504,True,0.0,0.0,0.0341466713844137,0.0969257468285822,0.6998214721978477,0.1691061095891563,0.0,3520103.0979645564,1.000000000000015,True,5.0,0.4583203536156162,,30.345193640030214,3520103.1024129717,3520103.0979645033,1.0000000012637325,9977.84009577666,9.208222139683038,-0.5714611213211181,0.036935153862339,0.0174814660784152,0.0531999838179498,0.6324132281232546,low,17.97867647338921
519,0,1.0,1.6400028225319947e-41,7690.740753327739,10364.728174600008,18055.468927927748,Belsize Park,2,527353.7983,185088.897399999,-0.1646209868164118,51.55032570077621,1781153.3140538707,True,0.1117327925972583,0.449346140040063,0.1386612180714515,0.0622538942342361,0.2380059550569908,0.0,0.0,1781153.314053867,0.999999999999998,True,2.0,0.7157536619718916,,16.76646817575451,1781153.3163620958,1781153.3140538707,1.000000001295916,18055.468927927737,9.801259288913778,-0.1480984754229345,0.0294420515839886,0.0386573994264136,0.0434058010603529,0.7395206590769943,medium,5.469246292790267
520,2,1.0,1.0986705057961764e-30,19323.6633898948,27501.424468900004,46825.08785879481,Bethnal Green LU,2,535043.5417,182718.410700001,-0.0546903019258305,51.527237667207054,2457105.6983050336,True,0.1827999096925064,0.5731390004302022,0.1190524347179238,0.1250086551593676,0.0,0.0,0.0,2457105.69830504,1.0000000000000024,True,2.0,0.5873724215540848,,30.44191786885871,2457105.701453594,2457105.6983050336,1.0000000012814103,46825.0878587948,10.754195759477977,-0.1746448635326848,0.0483344644242994,0.0892815538102861,0.0802443265109551,0.9377016492760234,high,5.438422760995828
521,3,1.0,7.817229215283331e-65,20667.335486833734,15065.569707903032,35732.90519473677,Blackfriars LU,1,531693.8776,180893.0855,-0.103629638137254,51.51162476747557,526642.6124917677,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,344568.41638327885,0.6542737108814282,True,1.0,-0.0,,9.594336437315798,344568.38116056565,526642.6124917677,0.6542736439998041,35732.90519473677,10.483855242406724,0.1567677116764582,0.0206139438274949,0.0013067617286917,0.0289865633325088,0.5376192094244548,high,1.6424073880411092
522,0,1.0,3.481363776390886e-35,10751.414276842386,29363.085213185223,40114.49949002761,Blackhorse Road,3,535760.6278,189370.2981,-0.041793873795219,51.586840594392974,3098655.989762854,True,0.0,0.0630906596792267,0.0102209595856918,0.538827295308576,0.2243137360143794,0.0,0.1635473494121259,3098655.9897628343,0.9999999999999936,True,4.0,0.6093691306415358,,22.1331720896164,3098655.993745898,3098655.989762854,1.0000000012854102,40114.49949002759,10.599518059563,-0.4639636832803973,0.0433954661120258,0.066153868739834,0.0681077367116161,0.8140081796458517,high,10.60671400212134
524,3,1.0,4.734204349288397e-65,114842.62331718982,38197.19576609632,153039.81908328616,Bond Street,1,528490.674,181117.635,-0.1496811425789451,51.51437958002913,569193.8607293953,True,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,569193.8607293689,0.9999999999999536,True,1.0,1.1410835440311978e-16,,12.860003789793911,569193.861463353,569193.8607293953,1.0000000012894688,153039.81908328613,11.938459956186104,0.5008201656941461,0.0214489649850881,0.0217945834456787,0.0305088873261799,0.7375944902654422,high,1.8016942042147488
525,2,1.0,5.592313458679589e-25,8937.246024840002,8913.374023476004,17850.620048316006,Borough,1,532439.9633,179751.461100001,-0.0933129512735988,51.5011913652754,1133270.5465824548,True,0.549737537551246,0.3044401451022376,0.0929640500134459,0.0528582673330705,0.0,0.0,0.0,1133270.5465824837,1.000000000000025,True,1.0,0.5484484805419646,,20.376944707403005,1133270.548035992,1133270.5465824548,1.000000001282604,17850.620048316003,9.789849542098736,0.0013373205692231,0.0401691602757868,0.003356876578052,0.0645172161712182,0.8829796394422516,medium,2.3898267326228035
526,0,1.0,3.750309869964949e-48,1261.5081704142667,3717.403205908999,4978.911376323265,Boston Manor,4,516333.5188,178693.009,-0.3255952087308763,51.495219674970095,3426357.834935192,True,0.0,0.00237091568613,0.0276750829405291,0.0422409025228627,0.4657676124474952,0.0714004869960445,0.3905449994069382,3426357.834935185,0.999999999999998,True,5.0,0.5955078916210924,,15.828927257837895,3426357.8394124247,3426357.834935192,1.0000000013067032,4978.911376323267,8.513167373941327,-0.4932594396384528,0.0437164419360081,0.0760490642305755,0.0684007006861509,0.8362006842500928,low,13.903087678772437
527,0,1.0,1.4919356858247115e-41,3910.695672480389,13699.885550848723,17610.58122332911,Bounds Green,3/4,529984.4864,191469.272600001,-0.124341977871115,51.60706378685743,3022251.190028256,True,0.0249595119921866,0.04525655634034,0.1482687370591183,0.5067772899049554,0.2729307118830163,0.0018071928203831,0.0,3022251.190028277,1.000000000000007,True,4.0,0.6297713912126134,,22.36456036245488,3022251.1939451145,3022251.190028256,1.000000001296007,17610.58122332911,9.776311988676133,-0.5558697781876945,0.0483217424095492,0.0704461110290519,0.0753847556148769,0.7561632338523945,medium,11.091280388616887
528,2,0.999999927468255,1.264898801940596e-06,6489.373613292136,12474.97526503754,18964.34887832968,Bow Road,2,537089.8973,182735.951300001,-0.0252032121690731,51.526902665586434,1856508.995331433,True,0.1457213552003172,0.6870149904724473,0.0613238663549304,0.0757553064935493,0.0301844814787556,0.0,0.0,1856508.995331428,0.9999999999999972,True,2.0,0.5194944956812552,,31.82234213881239,1856508.9977041956,1856508.995331433,1.0000000012780776,18964.34887832968,9.85036884985834,-0.3156238946112767,0.0479619389706149,0.0135152848333555,0.0802860169932815,0.8216225232848932,medium,7.34436700327013
