lsoa21cd,cluster,lnc_grp,total_activity,log_total_activity,direction_balance,post_midnight_share,deep_night_share,post_midnight_persistence,weekend_ratio,volume_band,tot_boardings,tot_alightings,imd_score,imd_decile,income_score,employment_score,population_2022,n_source_lsoa11,imd_decile_int,distance_to_centre_km
E01000017,1,5,1268.87044,7.146670158500645,-0.2459897954593378,0.1132413960246406,0.0890416912856761,0.1737420193883827,0.6823637426593248,high,478.37063000000006,790.49981,31.808,3,0.4,0.191,1724,1,3,19.476830722430932
E01000018,2,4,239.47937,5.482634306240754,-0.318624982185313,0.0656000974113135,0.0416696436106375,0.1063507636975467,0.8243564096463923,low,81.58763000000002,157.89174000000003,29.964,3,0.382,0.187,1757,1,3,19.78413586550135
E01000019,2,5,232.41289,5.452808945405474,-0.0631017066222102,0.1407925782429709,0.1228686584466119,0.2267483252352473,0.6825466306617132,low,108.87362000000002,123.53927,30.661,3,0.414,0.184,1646,1,3,18.06251311656905
E01000020,2,4,343.35764,5.841680768473204,-0.1475875125423159,0.0578450795502904,0.0523865436633359,0.0856658896810376,0.7978333261516573,low,146.34117,197.01647,30.021,3,0.333,0.161,2203,1,3,18.24459476603495
E01000021,1,5,567.4993,6.343000081879366,-0.1216868461335547,0.0498868104330701,0.038449774299281,0.0753739299826993,0.6809121822260241,medium,249.22105,318.27825000000007,37.877,2,0.458,0.189,1696,1,2,17.617999687174674
E01000024,1,5,1770.72874,7.479711038182785,-0.0622337896881936,0.1937046947123024,0.1619224184501574,0.3389269841993215,0.7938786045464784,high,830.26479,940.4639500000002,29.683,3,0.371,0.171,1506,1,3,17.83508358659168
E01000027,1,7,1813.19829,7.503398935616184,-0.252216700469092,0.0793942067968749,0.055171891872896,0.1250851221304679,0.7498000848723412,high,677.9397000000001,1135.25859,33.245,3,0.402,0.207,2093,1,3,20.76919447596808
E01000029,1,5,775.30886,6.654550456459993,-0.4438502095797021,0.1418129156940113,0.1023390213804599,0.2348125917890647,0.6663642097537261,medium,215.59393,559.71493,19.077,5,0.196,0.106,1938,1,5,19.847153710527262
E01000030,1,6,700.17215,6.552753434631389,-0.4347153625004936,0.1105417574806424,0.0763815156029842,0.1838720533425293,0.6954224494241239,medium,197.89828,502.2738700000001,34.554,2,0.419,0.204,2545,1,2,20.188025946282625
E01000031,1,5,326.12029,5.790327962580816,-0.1976459361053554,0.0777053767491743,0.057361349703203,0.1160921005668843,0.6139837837826759,low,130.83197,195.28832,21.003,5,0.246,0.119,1820,1,5,20.38485872181116
E01000032,1,4,597.81785,6.394957461720414,0.0432758406260368,0.0893533540358488,0.0460786341525265,0.1258540266574686,0.702130571049265,medium,311.8444599999999,285.97339,26.712,3,0.321,0.137,2073,1,3,19.544468558787
E01000034,1,6,935.89282,6.842568889356425,-0.2030345953503522,0.13211560913567,0.1027658701345737,0.2039847100120775,0.5433045497679931,medium,372.9371,562.9557200000003,28.583,3,0.337,0.187,1644,1,3,21.452211638347162
E01000035,1,5,1559.36796,7.352676944225077,-0.109745335539663,0.0764693151704874,0.0586127920699358,0.113170037640366,0.7352094295705613,high,694.1173,865.2506599999998,29.504,3,0.339,0.166,1862,1,3,20.565084363389555
E01000036,1,5,1377.68542,7.228885729942148,-0.0008640724382493,0.1067776488481673,0.0998842827268942,0.1661042031510294,0.6214403761033529,high,688.2474999999998,689.43792,25.385,4,0.304,0.146,1436,1,4,20.755228891801828
E01000038,1,5,276.38262,5.625397852709574,-0.142777574074665,0.0996569538272703,0.0729311416180945,0.1469343146647524,0.7075600283331321,low,118.46068999999996,157.92192999999995,17.612,5,0.227,0.126,1653,1,5,21.673169371168616
E01000039,2,7,28.14198,3.372179746296732,0.3407983375725518,0.0300401748562112,0.0150479816985158,0.0341925108859985,0.810265163366558,low,18.86636,9.275619999999998,17.12,6,0.221,0.126,1843,1,6,21.736697786952437
E01000040,1,5,917.44285,6.822679681706853,-0.2781823521759421,0.0728679612032509,0.0557642582314527,0.1134477682033751,0.8222119327469158,medium,331.11322000000007,586.32963,37.802,2,0.46,0.204,1842,1,2,15.889024144776881
E01000041,1,5,457.29978,6.127523511480051,-0.3572667364939471,0.0872633264769993,0.0609384942192624,0.1404178879697105,0.9215949737500636,medium,146.96089,310.33889000000005,26.175,4,0.368,0.14,1797,1,4,17.215210067401742
E01000042,2,5,333.32689,5.812119226924665,-0.3418556180690973,0.0519812547976552,0.0257610179604771,0.0833932067367012,0.808142765298247,low,109.68860999999998,223.6382800000001,39.355,2,0.51,0.217,1899,1,2,16.50423952630859
E01000043,2,6,232.72266,5.454135198761297,-0.0710885652475784,0.051056437735801,0.0242146596296209,0.0730083816543705,0.7356465513579638,low,108.08937,124.63329,27.454,3,0.301,0.131,1568,1,3,15.996168528862157
E01000045,1,5,1314.21196,7.181753117934535,-0.0601025880178414,0.0995240980762342,0.0797989846325854,0.1535091810620616,0.7299494053844902,high,617.61221,696.5997499999999,34.446,2,0.392,0.196,1688,1,2,16.75738181462156
E01000049,2,5,124.01941,4.82846900524761,0.4430452459014278,0.0973196050521446,0.0938051551769195,0.134411324587749,0.7632123555426991,low,89.48281,34.53660000000001,36.991,2,0.329,0.183,1707,1,2,14.97169539084246
E01000050,1,4,2528.45067,7.8357574316639855,-0.1071560435070698,0.0925635974539301,0.0702188546158189,0.1468758980395401,0.7407098875451809,high,1128.75595,1399.6947200000006,30.806,3,0.388,0.146,1861,1,3,15.043827404418236
E01000052,1,4,1207.38758,7.0970421714060725,-0.2668119213219006,0.1231901109998166,0.0865780398370505,0.2062223468574061,0.7099027015379029,high,442.62109,764.76649,34.895,2,0.411,0.169,2444,1,2,15.47580526122663
E01000053,1,3,654.09486,6.484780049576688,0.0034381557439543,0.0551576571019072,0.0398131549298522,0.0798563086940716,0.7432706993177981,medium,328.1718699999999,325.9229900000001,33.471,3,0.395,0.196,1659,1,3,18.931035839455102
E01000056,2,5,48.87568,3.909533509202298,0.1670536348547989,0.1971143930887509,0.1879351857610983,0.4346433403577537,0.6243346102069528,low,28.52027,20.35541,39.902,2,0.477,0.229,1658,1,2,18.497349585896732
E01000057,1,4,299.14556,5.704267556984743,-0.0070365075784511,0.0762992103242314,0.0682763936058419,0.1075934551023498,0.8081980080110224,low,148.52031,150.62524999999997,28.873,3,0.348,0.162,1610,1,3,17.93092093426009
E01000058,1,5,332.64933,5.810090531255288,-0.1770521227263556,0.097398212105222,0.072494659766788,0.1512074493147759,0.7573483303748828,low,136.87653000000003,195.7728,29.526,3,0.376,0.171,2164,1,3,18.539303190764496
E01000060,1,5,4685.79433,8.452504116012609,-0.0795632935942367,0.1519094180985959,0.117605180934179,0.2427153351401129,0.7474201959847567,high,2156.48855,2529.3057800000006,32.786,3,0.407,0.186,2180,1,3,20.416256678248438
E01000061,1,6,1594.3102,7.374823479068246,-0.0964642263469179,0.1675627490810759,0.1330208512747393,0.2711409303060925,0.7564434774041242,high,720.2581499999999,874.0520500000001,55.406,1,0.69,0.29,1960,1,1,20.642269791549364
E01000062,2,4,152.15299,5.031437356431334,-0.7190205726486216,0.0939645024392882,0.0243473361910272,0.1499056338677951,0.4991187046580408,low,21.37593,130.77705999999998,26.18,4,0.356,0.15,2208,1,4,19.945482210890127
E01000063,0,5,300.84599000000003,5.709916920410114,0.4988068812218505,0.4058822256530658,0.3183486008904423,0.9418806861530828,0.9082569567463452,low,225.45502,75.39097,25.377,4,0.326,0.147,1739,1,4,19.633612588241284
E01000064,1,3,846.65155,6.742469643327201,-0.1172176322124491,0.0953948882512528,0.0730122917745795,0.1458375958558593,0.7260532323201897,medium,373.70453,472.94702,31.351,3,0.385,0.178,2291,1,3,20.312939559134403
E01000065,1,5,509.96264,6.236296475984937,-0.2429044998276736,0.1551366390290865,0.1445480790514379,0.2420581389492873,0.5486787941202236,medium,193.04521,316.9174300000001,35.962,2,0.471,0.213,1967,1,2,19.42812086178714
E01000067,1,3,815.50215,6.7050295455975,0.2652968480831105,0.1530666228163837,0.1387917861406006,0.2421049593651476,0.8589178083684654,medium,515.9261500000001,299.5759999999999,24.431,4,0.31,0.133,2237,1,4,16.363983048363217
E01000068,1,5,356.51837,5.879186745429303,-0.0121024058311497,0.1203655228200443,0.0733462065362859,0.1930864791247572,0.9576064040777188,medium,176.10181999999998,180.41655,23.118,4,0.269,0.127,1760,1,4,15.390554627793128
E01000069,2,6,91.36139,4.525709034178158,-0.6402548166134514,0.0513842882644408,0.0241274787960209,0.0861949051340843,1.108105991159776,low,16.43341,74.92798,15.416,6,0.172,0.084,2169,1,6,16.210405427859946
E01000070,1,4,2044.36725,7.623332636705641,-0.0946738067732204,0.1536786113160441,0.0942158753521413,0.2542269206600666,0.810849907422788,high,925.4096099999998,1118.9576399999996,22.241,4,0.237,0.113,2066,1,4,15.777824155677656
E01000071,2,5,249.12929,5.521977944181101,0.1751141746520451,0.0960148443404627,0.0893542465440334,0.1343553768752093,0.7495261035990647,low,146.37768,102.75161,21.718,4,0.276,0.1,2618,1,4,16.155449987988433
E01000072,1,5,588.90614,6.379963439498682,-0.2401884279895604,0.0847067242328293,0.0731441516300033,0.128346329163167,0.7268789479142503,medium,223.72885,365.17729,36.794,2,0.457,0.198,2139,1,2,16.948383864022507
E01000073,2,5,178.48488,5.190090970397166,-0.0094392309309337,0.1409260549128867,0.105794171472676,0.2181527763358959,0.7219414371412939,low,88.40006,90.08482,30.53,3,0.415,0.187,1863,1,3,17.24752593200004
E01000074,2,6,248.53352,5.51959325486499,-0.0985411545291757,0.0944212273660309,0.0676780339328071,0.1414929717603619,0.6376794670463974,low,112.02137000000003,136.51215,29.284,3,0.39,0.154,1749,1,3,17.69700164252242
E01000075,1,5,2451.90586,7.805028666025112,0.0376730695525153,0.0904555732005143,0.0673804336027811,0.1387878406388785,0.7674974663034854,high,1272.13834,1179.7675199999996,26.014,4,0.305,0.15,2056,1,4,18.04062955925185
E01000076,2,4,84.12385,4.444107254833635,-0.1214396392937318,0.0476209778796381,0.0250554390936696,0.0729447894875131,1.1973327350300773,low,36.95394,47.16991000000001,29.935,3,0.367,0.179,2168,1,3,17.541670463385433
E01000077,1,6,1584.09702,7.368400895794509,0.1168769448224831,0.1810190199082629,0.1439093989331537,0.2969773753560419,0.778172306826739,high,884.62072,699.4763,33.764,2,0.406,0.19,1757,1,2,18.108487608023257
E01000078,1,4,944.23233,6.851430749128981,-0.1282194499737156,0.0628432517238633,0.0470557071478372,0.0906898291453732,0.7510705747384666,medium,411.58169000000015,532.65064,32.5,3,0.403,0.179,1938,1,3,18.637400874024344
E01000079,2,5,273.101,5.613496651605624,-0.1504570104100681,0.063322323975379,0.0471840088465439,0.0877511530240457,0.5987970650356732,low,116.00552000000002,157.09548,27.809,3,0.369,0.172,1767,1,3,18.83613231876258
E01000080,2,5,186.64173,5.234534453200317,-0.0370843647880889,0.1160874366091655,0.1112578628584293,0.1805234329376804,0.7912554506331826,low,89.86012,96.78161,27.365,3,0.345,0.162,1756,1,3,18.451848267073878
E01000081,1,5,339.43773,5.8302322307449135,0.4342055610612292,0.4011215252941975,0.3567397766889379,0.8424144832465937,0.8632294665802928,low,243.41173999999995,96.02599,24.864,4,0.332,0.147,1981,1,4,19.012958858042246
E01000082,1,4,1790.94398,7.491056331885521,-0.4753046491158256,0.1875998209614574,0.1290677500699938,0.3321340400469419,0.7472104579646566,high,469.84999,1321.0939899999994,29.663,3,0.395,0.162,1846,1,3,19.06712484658234
E01000083,1,4,2831.72774,7.948995392141371,-0.4520457182087711,0.1247854428265056,0.0728172228873952,0.2019327398292023,0.7727664000009636,high,775.8286700000001,2055.89907,33.329,3,0.424,0.188,1977,1,3,18.407388679355318
E01000084,1,3,815.72036,6.705296759648204,-0.1030140279936129,0.115846305466741,0.097543807782363,0.1850059858903314,0.7255566520569096,medium,365.84486,449.8755000000001,33.774,2,0.364,0.187,1418,1,2,19.17278529949767
E01000085,1,3,679.31234,6.522552016242803,0.0516100149159663,0.0713037687494385,0.0605386323469407,0.1033138145441658,0.785252299543826,medium,357.18582999999995,322.12650999999994,36.282,2,0.427,0.203,1607,1,2,19.49828759568744
E01000086,2,5,201.79726,5.312206760777629,0.4785148222527897,0.1434257333325536,0.1086782347788072,0.2258253184096635,0.7637656192717229,low,149.18012,52.61713999999999,33.161,3,0.437,0.175,1444,1,3,19.224225935298445
E01000087,1,5,4226.61094,8.349392322888491,-0.2472595218333486,0.1135641124328325,0.0871716595708239,0.1802828590804929,0.6774129982882845,high,1590.77057,2635.8403700000003,32.659,3,0.445,0.177,1650,1,3,19.360560427794127
E01000088,1,5,343.02986,5.840728455931876,-0.1340424999736174,0.1224134831877318,0.0978324744090791,0.1978020114516686,0.7535029617367727,low,148.52464,194.50522,27.226,3,0.337,0.143,2023,1,3,19.74884401717181
E01000090,1,6,920.70525,6.826225486979925,-0.2968903783268315,0.1818425386408951,0.1541906489617605,0.3228536072801382,0.6316898844709409,medium,323.67835999999994,597.02689,28.866,3,0.454,0.177,1675,1,3,19.54473355090098
E01000091,1,5,1943.58617,7.572804467347798,-0.579650353243664,0.152444951797532,0.0957517566612444,0.2636922625086773,0.7638890895747253,high,408.4928799999999,1535.0932899999996,39.772,2,0.499,0.246,2102,1,2,16.43761991556656
E01000093,1,4,1834.40727,7.515021681366498,-0.2028182923631784,0.1278990461044127,0.0955876717605899,0.2117845080096916,0.76788535834871,high,731.1779600000002,1103.2293100000002,42.301,2,0.471,0.226,1801,1,2,16.079919720117438
E01000094,1,6,1998.05626,7.600430478176399,-0.1461439329040714,0.2190740615081579,0.1426807321231285,0.3970374911012395,0.7456899499679416,high,853.02623,1145.03003,23.658,4,0.374,0.141,2609,1,4,16.889553107508945
E01000095,1,6,2410.4996300000003,7.788004086077541,0.0617413038142636,0.1397368436849749,0.1152744586814145,0.2270658374867057,0.6807607427348205,high,1279.66351,1130.8361200000002,33.176,3,0.525,0.182,2376,1,3,18.262561337986668
E01000096,1,5,689.84582,6.537916672966896,-0.0504495047893455,0.0753835400495722,0.065863093872193,0.1076924516987021,0.5913212941179411,medium,327.52172,362.32410000000016,33.845,2,0.417,0.186,1624,1,2,17.08327008094153
E01000097,1,5,549.50697,6.310839617299657,-0.2627331005464771,0.0949995411341188,0.0623962058206468,0.1405069925651451,0.7396316001480591,medium,202.56665,346.94032000000004,31.971,3,0.416,0.166,1922,1,3,18.76721225168499
E01000098,1,5,343.64013,5.842500771173152,-0.2293083464960859,0.0877265702349722,0.0628882604601505,0.1295671249267739,0.7124663752759133,low,132.42029,211.21983999999995,36.217,2,0.441,0.189,1930,1,2,18.58304183799808
E01000099,1,5,977.23704,6.885752012855563,-0.1388098633674384,0.1554577075793197,0.1108155703963083,0.2498951320357619,0.7133383692665045,medium,420.79344999999984,556.4435899999999,23.773,4,0.343,0.134,2744,1,4,19.048275381505366
E01000101,0,4,351.8652,5.866086114314115,0.7349556591558359,0.1809787952886503,0.1400138462115605,0.2811450826848607,0.835012045890712,medium,305.23526000000004,46.62993999999999,33.901,2,0.417,0.193,1691,1,2,19.622543071302196
E01000102,1,4,477.40434,6.170456274501627,-0.174652036049777,0.0948291546742118,0.0788849762027718,0.1475553278089424,0.6979933217121844,medium,197.01235000000003,280.3919900000001,33.452,3,0.463,0.208,1810,1,3,18.8370016556174
E01000103,2,6,74.24595,4.320762081582598,-0.1253405741323264,0.0581284231665161,0.0366091349090421,0.0912662060005024,0.6096473594930466,low,32.46995999999999,41.77598999999999,26.062,4,0.369,0.169,1759,1,4,20.392790984187755
E01000104,1,5,1155.84378,7.053450696469833,-0.2870361252452299,0.0624277876029232,0.0528570132548535,0.0947138386499061,0.813480453632919,medium,412.0374300000001,743.80635,34.071,2,0.442,0.209,1910,1,2,20.726705365650925
E01000105,1,5,3603.60842,8.1899684224601,0.0864727916247903,0.1088615865760464,0.0858478291600839,0.1719502729883428,0.6224142359916454,high,1957.61125,1645.99717,40.539,2,0.471,0.229,2257,1,2,19.752825196600643
E01000106,1,5,371.5396,5.920343340894075,-0.4575433143600306,0.0528261052119343,0.0342816216629398,0.0770026445421626,0.7597592112489695,medium,100.77207,270.76753,44.075,2,0.574,0.245,2267,1,2,20.18095551754761
E01000108,2,6,84.88645,4.453026074987748,0.4055197266465967,0.0511443227982793,0.0485542745632548,0.0685953272903371,0.9580625868063608,low,59.65478999999999,25.23166,27.991,3,0.353,0.156,1930,1,3,20.732699734728396
E01000110,1,6,449.95845,6.111375206655474,-0.2562836413006579,0.1746739504503137,0.0973337649287395,0.2957902661031614,0.7693919643454113,medium,167.32072999999997,282.63771999999994,18.236,5,0.24,0.101,1659,1,5,20.218925761750324
E01000111,1,5,1115.90621,7.018317829563556,-0.0403536691493096,0.1121367628198788,0.0956145767841904,0.1708192365110064,0.7293514502674967,medium,535.43765,580.46856,27.63,3,0.336,0.155,2176,1,3,19.986495178081974
E01000112,1,4,2367.12808,7.769855082379039,0.0515657690985609,0.1083878401712847,0.0767875306519113,0.1737708956014086,0.7368735626629572,high,1244.59543,1122.53265,25.208,4,0.293,0.134,2063,1,4,19.544610958096047
E01000113,1,4,1775.35668,7.482319736721134,0.1664488625463137,0.0919285470004821,0.073427250686324,0.1349116817470292,0.7964699345419332,high,1035.43139,739.92529,29.0,3,0.336,0.132,2021,1,3,19.307664748685365
E01000114,1,5,2171.59255,7.683676456922612,-0.5075631568177926,0.1676058982611632,0.1246686538872128,0.283067008022229,0.7043850492331514,high,534.68609,1636.9064600000004,27.162,3,0.375,0.139,2385,1,3,20.06799520531141
E01000115,2,4,55.05368,4.026309803027515,-0.0439941526161375,0.0044004324506554,0.0,0.0064743306393034,0.6500318352654527,low,26.31582,28.737860000000005,5.318,10,0.063,0.056,1376,1,10,14.38026128266562
E01000116,2,5,17.82671,2.935276606213945,-0.1693183991886332,0.0035884355554109,0.0,0.0047994105960662,0.7863506215742699,low,7.404159999999999,10.42255,9.499,8,0.132,0.075,1680,1,8,14.154013635300696
E01000117,1,5,309.74692,5.738978818837277,-0.3769908026849791,0.0856509888782752,0.0281124990685944,0.1314057252990889,0.6409985426016072,low,96.48759,213.25933,9.751,8,0.137,0.08,1779,1,8,14.137137854607795
E01000118,1,5,990.55567,6.899275093635292,-0.3034558673517057,0.0347939051219604,0.0136451291021331,0.0487472904047766,0.7280707102838653,medium,344.98287000000005,645.5727999999999,11.25,7,0.159,0.097,2019,1,7,13.840451012530064
E01000120,1,5,384.81483,5.955357539338859,0.0346359572472817,0.0218424274345144,0.0,0.0319831043712526,0.8125229716776099,medium,199.07163,185.7432,5.985,9,0.121,0.064,1468,1,9,13.935573356621076
E01000121,2,6,159.61935,5.07903727993355,-0.3450648683884503,0.0699182774519505,0.0359788459231289,0.1041357250169145,0.6624565497141185,low,52.27015999999999,107.34919,30.044,3,0.335,0.223,1410,1,3,13.409452724335447
E01000123,2,6,173.42607999999998,5.1615010415791,-0.4935752454302144,0.0309478251483283,0.0081678603356542,0.0432970472890983,0.5979630846122403,low,43.91362999999999,129.51245,15.388,6,0.223,0.103,1744,1,6,12.932845848206203
E01000124,1,5,494.18858,6.204938659715131,-0.2558949055439525,0.0903869733290882,0.0653738093259864,0.1389284242369181,0.7927144622829678,medium,183.86412,310.32446,23.855,4,0.313,0.161,1894,1,4,12.506322725901324
E01000126,1,2,689.69366,6.537696396959126,-0.2700429057155608,0.1289870346205589,0.0921542761463111,0.2164283814244798,0.7333572758608714,medium,251.72339,437.97027,35.216,2,0.445,0.21,2193,1,2,13.55481171990957
E01000127,1,5,407.94238,6.013574265922656,-0.2625112399452099,0.1473890748982736,0.1151734713122965,0.2301792244417269,0.7905718509047365,medium,150.42646000000002,257.51592000000005,30.453,3,0.407,0.173,1551,1,3,14.390164944608813
E01000128,2,4,175.85193,5.175312828795221,-0.3617041336993003,0.0863691402192742,0.0667594606439633,0.1308856591847802,0.7200059775127304,low,56.122780000000006,119.72915,28.639,3,0.394,0.135,2040,1,3,13.973591887790763
E01000129,1,3,6627.11856,8.799076266135414,0.0826670528133723,0.1080466666647352,0.0710398924868487,0.1751446285666976,0.7932912342920666,high,3587.4814600000013,3039.6371,43.653,2,0.55,0.199,1606,1,2,14.212746296532291
E01000130,1,4,1070.64712,6.976952108334936,-0.3234450955231636,0.1106571229556943,0.0630715935610978,0.1688153921573041,0.6339802816011122,medium,362.1757799999999,708.4713400000002,27.891,3,0.318,0.163,1921,1,3,13.975694420187924
E01000131,1,4,312.87422,5.748992332408951,-0.0411835145765604,0.1632977622764828,0.1273748281338104,0.2667875535143875,0.9181540304729257,low,149.99448,162.87973999999997,23.659,4,0.296,0.126,1931,1,4,13.576558425400107
E01000133,1,4,676.92957,6.519043403488546,-0.4713572048566294,0.0816929743518221,0.0370004666807508,0.1297025460782049,0.8125756433443533,medium,178.92696999999993,498.0025999999999,30.983,3,0.409,0.178,1617,1,3,14.163777575241916
E01000134,1,5,388.06631,5.963749791816262,-0.2128784382236118,0.1072453055767711,0.0847392550000024,0.1578644994315771,0.6725522862917251,medium,152.72768,235.33863,26.681,3,0.336,0.146,1784,1,3,14.764213969921533
E01000135,1,5,350.98716,5.863594697660058,-0.0439743151857749,0.1228075123887722,0.0897765035051424,0.1847888813184153,0.8224565404537301,medium,167.77637,183.21079000000003,11.517,7,0.147,0.082,1715,1,7,8.582129415712197
E01000136,1,6,597.3547599999999,6.394183822198044,0.0194411776345432,0.0750817989631488,0.0459042462472384,0.1091737457248641,0.8542836829330556,medium,304.48402,292.87074,9.546,8,0.073,0.048,1473,1,8,7.98742633379174
E01000137,2,5,165.44051,5.114637948277314,-0.332607473224061,0.0379571484638194,0.0200019934658083,0.0522289271563806,0.8800737616453792,low,55.20688,110.23363,30.731,3,0.456,0.197,1686,1,3,8.168439785447687
E01000138,1,5,765.5075,6.641844482999811,-0.4320306985888447,0.1543426680992674,0.092332994777974,0.2643015363631721,0.7075180996592861,medium,217.39238,548.1151200000002,30.386,3,0.392,0.193,1624,1,3,8.381324352195655
E01000139,1,5,3203.30394,8.072250166360732,-0.2456501770481386,0.0816438792255223,0.0306424403798535,0.1286908720535052,0.7362497496667768,high,1208.20588,1995.09806,17.015,6,0.21,0.092,1424,1,6,7.800791474732918
E01000140,1,3,2380.50006,7.77548584543512,-0.333805528238466,0.0912139989612098,0.0455140463218471,0.1438222185518461,0.7320184237288078,high,792.93799,1587.56207,16.978,6,0.239,0.116,1986,1,6,7.833245835206263
E01000141,1,2,9753.76776,9.185511445495496,-0.0655381505618297,0.0896167513424576,0.05220102451978,0.1442872694015817,0.8362756721739011,high,4557.26193,5196.50583,41.647,2,0.416,0.205,1790,1,2,8.508120816042991
E01000143,1,3,447.30126,6.105465461775334,-0.1995295072497671,0.0519177611974533,0.0342640215232123,0.0822801632955942,0.7555693029355988,medium,179.02572999999998,268.27553000000006,32.352,3,0.443,0.195,1684,1,3,8.024233989673192
E01000144,1,2,3912.18081,8.272105828656295,0.4737651453282396,0.1012884090088872,0.0336749415219385,0.1779202730569248,0.8212819380575583,high,2882.817860000001,1029.3629500000002,24.599,4,0.288,0.146,1677,1,4,8.967055239947676
E01000145,1,4,446.3471,6.103334803352721,-0.1357719138311865,0.1089563929058797,0.0433513290441452,0.1861084308329941,0.7756375228207275,medium,192.87285,253.47425,23.062,4,0.345,0.128,1607,1,4,9.124013342524181
E01000146,1,3,13524.38657,9.512323685191625,0.0958569206292659,0.0900580276743745,0.0407567542636427,0.1441963804834929,0.8291543137504128,high,7410.396309999999,6113.990259999999,26.44,4,0.249,0.152,1868,1,4,8.561151715919717
E01000147,2,5,49.08397,3.913700996812831,-0.2711934262856081,0.0874713271970462,0.0267944911546478,0.1227415005290236,0.5473195226930748,low,17.88636,31.19761,20.409,5,0.213,0.087,1995,1,5,12.523830567118955
E01000150,1,4,516.41225,6.248839945544326,-0.2660241502791616,0.2292953546318856,0.1515126529240931,0.4344256013019824,0.8085237556801862,medium,189.51706000000004,326.89519000000007,25.077,4,0.373,0.117,2196,1,4,11.859094171473036
E01000151,1,3,1199.74517,7.090697618050897,-0.2447580514118677,0.1206089123076028,0.0773702718886545,0.1890901166632764,0.7335358112078769,high,453.04894,746.6962300000001,50.246,1,0.569,0.304,1657,1,1,13.27709718493691
E01000152,2,4,191.53944,5.260301015859042,-0.3039888808278858,0.0414069812462644,0.0390950292012966,0.0591928144692203,0.9173989373250908,low,66.65679,124.88264999999996,19.977,5,0.349,0.117,2731,1,5,13.530405868513784
E01000153,2,3,15.4195,2.7984696528907365,-0.6291773403806867,0.4819870942637568,0.4813658030416031,1.0293586037731144,0.3282136753146722,low,2.85895,12.56055,34.894,2,0.439,0.209,1842,1,2,13.683610065349429
E01000154,1,2,1383.21973,7.232891888026739,-0.1525326203957487,0.0852548567970469,0.0526830180480436,0.1259006018537355,0.6033491321443709,high,586.1167999999999,797.1029299999997,30.426,3,0.417,0.179,1839,1,3,13.077052654163577
E01000156,1,5,2350.38875,7.762761390038424,-0.3918443831898021,0.0942970689423185,0.0435983324035226,0.1483934596121574,0.7145639806057428,high,714.7010599999998,1635.68769,11.691,7,0.163,0.076,1980,1,7,10.485549743892774
E01000158,2,5,362.30438,5.8952409953064215,-0.5745912870277748,0.0812177042960397,0.0343946435314969,0.137673513459291,0.6631196707579646,medium,77.06372,285.24065999999993,18.054,5,0.226,0.115,1494,1,5,12.420897070924868
