unit,raw_k5,ilr_k5,raw_k6,ilr_k6,Station,Fare Zone,lon,lat,best_matched_ilr_for_raw_k5,follows_k5_best_match
694,2,2,0,3,Russell Square,1,-0.1242697810208252,51.52305918332612,0,False
695,3,3,3,1,St. James's Park,1,-0.1336270216533475,51.49956127784573,3,True
696,0,0,2,2,St. John's Wood,2,-0.1741475741935914,51.53520496988703,4,False
697,3,2,3,3,St. Paul's,1,-0.097517753107933,51.51495287569836,3,False
698,0,0,2,2,Seven Sisters,3,-0.0725100279127818,51.58339794718637,4,False
700,2,0,0,3,Shepherd's Bush LU,2,-0.2188348749838903,51.50435277171325,0,True
702,3,3,1,1,Sloane Square,1,-0.1563353394945677,51.49233693461083,3,True
703,0,4,2,0,Snaresbrook,4,0.0213934263382834,51.58067707711797,4,True
704,0,0,2,2,South Ealing,3,-0.3075052577072797,51.50089966685759,4,False
705,0,1,2,4,Southfields,3,-0.2066534771013345,51.44507985784133,4,False
706,0,4,2,0,Southgate,4,-0.1277625393853033,51.63225854371172,4,True
707,4,1,1,4,South Harrow,5,-0.3520927569079474,51.564549549948175,1,True
708,3,2,4,3,South Kensington,1,-0.1731650469113846,51.49408858708188,3,False
709,4,1,1,5,South Kenton,4,-0.3083734923397721,51.570212909100526,1,True
710,4,1,1,4,South Ruislip,5,-0.3988661306887068,51.55686021118094,1,True
711,0,4,2,2,South Wimbledon,3/4,-0.1933065202931911,51.41498929257676,4,True
712,0,4,2,0,South Woodford,4,0.0273625184698253,51.591892453017074,4,True
713,0,3,2,4,Stamford Brook,2,-0.2460012251835393,51.4949181050598,4,False
714,0,4,2,0,Stanmore,5,-0.3032624771028668,51.61971092780402,4,True
715,2,3,0,1,Stepney Green,2,-0.0465909032388702,51.52186169216427,0,False
716,2,0,5,2,Stockwell,2,-0.1230421883655021,51.47182845729258,0,True
717,0,3,2,4,Stonebridge Park,3,-0.2764667949099679,51.54419264973252,4,False
718,1,2,4,3,Charing Cross LU,1,-0.1273836832203838,51.50737795073341,2,True
719,2,0,0,2,Stratford,2/3,-0.0038044932283004,51.54145647497037,0,True
720,4,1,1,4,Sudbury Hill,4,-0.3366239412564384,51.55696518658866,1,True
721,0,1,2,4,Sudbury Town,4,-0.3157464873310852,51.550805806993615,4,False
723,0,0,0,2,Swiss Cottage,2,-0.1748398347754522,51.54370542648981,4,False
724,3,3,3,1,Temple,1,-0.1142517165435635,51.51098440371512,3,True
725,4,1,1,5,Theydon Bois,6,0.1033276639997498,51.671832474283256,1,True
726,0,4,2,2,Tooting Bec,3,-0.159233625335043,51.43589927439103,4,True
727,0,4,2,2,Tooting Broadway,3,-0.1683898368141734,51.42767600459317,4,True
728,1,2,4,3,Tottenham Court Road,1,-0.1305038755407188,51.51645724635473,2,True
729,2,0,5,3,Tottenham Hale LU,3,-0.0601646506537094,51.588048703622064,0,True
730,0,4,2,0,Totteridge & Whetstone,4,-0.1792054604098072,51.63058779485697,4,True
731,2,3,0,1,Tower Hill,1,-0.0765262714194326,51.50994511580925,0,False
733,2,2,5,3,Tufnell Park,2,-0.1384656557230477,51.55684430975304,0,False
734,0,0,2,2,Turnham Green,2/3,-0.2545503301237331,51.4949578319235,4,False
735,0,4,2,2,Turnpike Lane,3,-0.1029721135418456,51.59025232853629,4,True
736,4,1,1,5,Upminster,6,0.2511155158113154,51.55908765486934,1,True
737,4,1,1,5,Upminster Bridge,6,0.2358266798019925,51.5584960541412,1,True
738,4,1,1,4,Upney,4,0.1015536636074823,51.53835457119145,1,True
739,0,3,2,4,Upton Park,3,0.0352101576549693,51.53538004104193,4,False
740,0,1,2,4,Uxbridge,6,-0.4776347848292753,51.54646222722115,4,False
741,2,2,0,3,Victoria LU,1,-0.1430892898009483,51.49640097859263,0,False
742,0,4,2,2,Walthamstow Central,3,-0.0215170203946605,51.58311960662003,4,True
743,0,4,2,0,Wanstead,4,0.0286206777652704,51.57560161289604,4,True
745,3,2,3,3,Warren Street,1,-0.1383417771400554,51.52452712399776,3,False
746,0,3,2,1,Warwick Avenue,2,-0.183606755586787,51.52319886210523,4,False
747,2,2,0,3,Waterloo LU,1,-0.1144266340815464,51.50342525720376,0,False
748,4,1,1,4,Watford,7,-0.4174120635262017,51.65748010048808,1,True
751,4,3,0,1,Wembley Central,4,-0.2968265595489338,51.55228164027704,1,False
752,2,0,5,2,Wembley Park,4,-0.2800500615096861,51.56376083873252,0,True
753,0,4,2,0,West Acton,3,-0.2809538703054756,51.517980197246935,4,True
754,0,3,2,4,Westbourne Park,2,-0.2011529326328899,51.52092006250626,4,False
755,2,3,0,1,West Brompton,2,-0.1955717597038599,51.487279564113926,0,False
756,0,4,2,0,West Finchley,4,-0.1883426849145049,51.60948689407505,4,True
757,0,0,2,2,West Ham,2/3,0.0042827258459676,51.5282792316888,4,False
758,0,0,2,2,West Hampstead LU,2,-0.1901696027556685,51.546801915703966,4,False
759,0,1,2,4,West Harrow,5,-0.3532902802999658,51.57956661616709,4,False
760,0,3,0,4,West Kensington,2,-0.2054570002997324,51.490790555082114,4,False
761,3,2,4,3,Westminster,1,-0.1256586526219809,51.5009642958388,3,False
762,4,1,1,5,West Ruislip,6,-0.4376470760460559,51.56962926058854,1,True
763,2,2,0,3,Whitechapel,2,-0.0607687139474135,51.51953209733413,0,False
764,3,0,0,2,White City,2,-0.2244621452540354,51.5122152625013,3,False
765,0,4,2,2,Willesden Green,2/3,-0.2227167285540804,51.54937241454188,4,True
766,0,3,2,4,Willesden Junction,2/3,-0.2445731603163596,51.53240375197415,4,False
767,4,3,1,1,Wimbledon,3,-0.2065150560922177,51.42143496760067,1,False
768,0,1,2,4,Wimbledon Park,3,-0.1990863401084273,51.43405524828911,4,False
769,0,4,2,0,Woodford,4,0.03401185348011,51.60686112070409,4,True
770,2,0,5,2,Wood Green,3,-0.1098590191239897,51.5974714659873,0,True
771,0,4,2,0,Woodside Park,4,-0.1855114363532535,51.61808637995582,4,True
773,3,3,0,1,Hammersmith (H&C),2,-0.2249293587788519,51.49378399419851,3,True
774,2,3,0,1,Edgware Road (Bak),1,-0.1702481178612425,51.52046920147198,0,False
775,2,3,0,4,Shepherd's Bush Market,2,-0.2262959221921962,51.50609054189476,0,False
776,0,0,2,2,Pimlico,1,-0.1337087125034068,51.489081972458365,4,False
777,0,0,2,3,Vauxhall LU,1/2,-0.1242521229828271,51.48569743810505,4,False
778,2,0,5,3,Brixton LU,2,-0.1148949328839154,51.46266709356466,0,True
779,2,0,5,2,Hatton Cross,5/6,-0.4234642103862575,51.46662784627763,0,True
780,1,2,4,3,Heathrow Terminals 123 LU,6,-0.4524258114844233,51.47130365988795,2,True
781,1,3,4,5,Heathrow Terminal 4 LU,6,-0.4457139637605832,51.45854050640025,2,False
783,1,2,4,3,Heathrow Terminal 5 LU,6,-0.4880396396312293,51.4725252187983,2,True
784,3,2,0,3,Southwark,1,-0.1053973366341109,51.50428757953954,3,False
787,0,0,2,2,Bermondsey,2,-0.064359176466293,51.49770238120657,4,False
788,0,0,2,2,Canada Water,2,-0.0499871649569907,51.49792096344705,4,False
789,1,2,4,3,North Greenwich,2/3,0.0042875767123523,51.50053431205634,2,True
831,0,3,2,1,Nine Elms,1,-0.1294852953806878,51.48013931574214,4,False
832,4,3,0,1,Battersea Power Station,1,-0.1434008238398742,51.47947593806482,1,False
852,3,0,3,3,Canary Wharf LU,2,-0.0177536397113479,51.50343011540573,3,False
884,0,0,2,2,Canning Town,2/3,0.0079466982897018,51.51412171801386,4,False
