MSOA11CD,hour,od_origin,od_destination
E02000029,0,43.0,21.0
E02000029,4,10.0,10.0
E02000029,5,32.0,39.0
E02000029,18,536.0,508.0
E02000029,19,445.0,407.0
E02000029,20,276.0,253.0
E02000029,21,217.0,151.0
E02000029,22,239.0,109.0
E02000029,23,131.0,58.0
E02000030,5,0.0,57.0
E02000030,18,230.0,119.0
E02000030,19,87.0,109.0
E02000030,20,51.0,78.0
E02000030,21,38.0,17.0
E02000030,23,48.0,10.0
E02000031,0,12.0,0.0
E02000031,1,0.0,15.0
E02000031,2,15.0,15.0
E02000031,5,35.0,12.0
E02000031,18,272.0,265.0
E02000031,19,215.0,182.0
E02000031,20,138.0,68.0
E02000031,21,82.0,149.0
E02000031,22,66.0,115.0
E02000031,23,20.0,30.0
E02000032,18,202.0,256.0
E02000032,19,113.0,193.0
E02000032,20,53.0,89.0
E02000032,21,45.0,49.0
E02000032,22,36.0,113.0
E02000032,23,0.0,19.0
E02000033,1,0.0,13.0
E02000033,4,10.0,0.0
E02000033,5,15.0,0.0
E02000033,18,283.0,482.0
E02000033,19,261.0,275.0
E02000033,20,138.0,215.0
E02000033,21,53.0,143.0
E02000033,22,60.0,63.0
E02000033,23,30.0,37.0
E02000034,0,0.0,12.0
E02000034,5,17.0,0.0
E02000034,18,302.0,513.0
E02000034,19,263.0,329.0
E02000034,20,78.0,163.0
E02000034,21,46.0,67.0
E02000034,22,56.0,35.0
E02000034,23,0.0,12.0
E02000035,0,0.0,52.0
E02000035,5,0.0,28.0
E02000035,18,154.0,164.0
E02000035,19,104.0,129.0
E02000035,20,41.0,60.0
E02000035,21,241.0,36.0
E02000035,22,38.0,23.0
E02000035,23,0.0,104.0
E02000036,0,0.0,46.0
E02000036,5,33.0,11.0
E02000036,18,263.0,477.0
E02000036,19,280.0,290.0
E02000036,20,324.0,343.0
E02000036,21,101.0,133.0
E02000036,22,106.0,116.0
E02000036,23,14.0,99.0
E02000037,5,159.0,49.0
E02000037,18,329.0,290.0
E02000037,19,108.0,191.0
E02000037,20,104.0,162.0
E02000037,21,54.0,49.0
E02000037,22,22.0,55.0
E02000037,23,11.0,20.0
E02000038,5,50.0,0.0
E02000038,18,328.0,410.0
E02000038,19,266.0,377.0
E02000038,20,155.0,160.0
E02000038,21,55.0,132.0
E02000038,22,41.0,39.0
E02000038,23,13.0,62.0
E02000039,0,10.0,36.0
E02000039,18,693.0,555.0
E02000039,19,435.0,362.0
E02000039,20,249.0,234.0
E02000039,21,146.0,182.0
E02000039,22,118.0,76.0
E02000039,23,44.0,66.0
E02000040,0,10.0,10.0
E02000040,5,0.0,13.0
E02000040,18,224.0,308.0
E02000040,19,185.0,162.0
E02000040,20,107.0,74.0
E02000040,21,20.0,68.0
E02000040,22,29.0,50.0
E02000040,23,0.0,13.0
E02000041,0,133.0,124.0
E02000041,1,68.0,68.0
E02000041,2,43.0,43.0
E02000041,3,59.0,58.0
E02000041,4,73.0,59.0
E02000041,5,32.0,241.0
E02000041,18,1374.0,925.0
E02000041,19,735.0,578.0
E02000041,20,606.0,574.0
E02000041,21,349.0,310.0
E02000041,22,290.0,159.0
E02000041,23,182.0,65.0
E02000042,0,67.0,15.0
E02000042,1,11.0,11.0
E02000042,3,10.0,10.0
E02000042,4,0.0,10.0
E02000042,5,213.0,134.0
E02000042,18,702.0,536.0
E02000042,19,607.0,484.0
E02000042,20,311.0,342.0
E02000042,21,280.0,401.0
E02000042,22,167.0,135.0
E02000042,23,186.0,60.0
E02000043,18,132.0,119.0
E02000043,19,46.0,58.0
E02000043,20,0.0,83.0
E02000043,21,79.0,52.0
E02000043,22,55.0,0.0
E02000043,23,14.0,0.0
E02000044,0,0.0,72.0
E02000044,5,53.0,0.0
E02000044,18,193.0,392.0
E02000044,19,175.0,242.0
E02000044,20,193.0,260.0
E02000044,21,78.0,102.0
E02000044,22,46.0,74.0
E02000044,23,0.0,17.0
E02000045,0,20.0,57.0
E02000045,5,56.0,52.0
E02000045,18,273.0,418.0
E02000045,19,217.0,290.0
E02000045,20,218.0,208.0
E02000045,21,114.0,125.0
E02000045,22,22.0,113.0
E02000045,23,24.0,91.0
E02000046,0,13.0,13.0
E02000046,1,33.0,18.0
E02000046,2,14.0,14.0
E02000046,5,40.0,45.0
E02000046,18,818.0,663.0
E02000046,19,532.0,484.0
E02000046,20,304.0,356.0
E02000046,21,293.0,201.0
E02000046,22,164.0,72.0
E02000046,23,74.0,37.0
E02000047,0,53.0,56.0
E02000047,1,15.0,46.0
E02000047,4,10.0,10.0
E02000047,5,532.0,178.0
E02000047,18,655.0,821.0
E02000047,19,557.0,506.0
E02000047,20,404.0,405.0
E02000047,21,255.0,238.0
E02000047,22,162.0,149.0
E02000047,23,86.0,181.0
E02000048,5,70.0,0.0
E02000048,18,245.0,276.0
E02000048,19,198.0,217.0
E02000048,20,149.0,176.0
E02000048,21,48.0,108.0
E02000048,22,43.0,111.0
E02000048,23,0.0,12.0
E02000049,0,0.0,17.0
E02000049,5,49.0,16.0
E02000049,18,259.0,467.0
E02000049,19,194.0,384.0
E02000049,20,209.0,364.0
E02000049,21,114.0,252.0
E02000049,22,72.0,211.0
E02000049,23,43.0,97.0
E02000050,0,22.0,34.0
E02000050,5,34.0,36.0
E02000050,18,234.0,466.0
E02000050,19,274.0,517.0
E02000050,20,165.0,294.0
E02000050,21,270.0,209.0
E02000050,22,99.0,112.0
E02000050,23,94.0,86.0
E02000051,0,11.0,11.0
E02000051,5,17.0,0.0
E02000051,18,562.0,617.0
E02000051,19,484.0,369.0
E02000051,20,282.0,215.0
E02000051,21,154.0,137.0
E02000051,22,75.0,71.0
E02000051,23,21.0,37.0
