MSOA11CD,od_origin_total,rail_entry_total,std_residual
E02000621,4215,9113.484753280363,0.9558999292222253
E02000622,1575,1979.3894716,0.30419193359962554
E02000625,1822,2420.4739458539343,0.3760872143605278
E02000628,7717,6611.2852800988,0.1104794763409741
E02000629,1231,2171.179871467433,0.6106247636735571
E02000634,1135,2527.18992058,0.8316318872470377
E02000636,508,1479.49255988,1.002881170038899
E02000662,885,1005.283274774,0.1369592107313766
E02000664,11559,2569.32707221713,-1.1772269064684562
E02000671,1184,515.328476634,-0.7771923244586774
E02000673,1689,765.6094988899171,-0.6959523662256627
E02000685,1776,789.832903477488,-0.7089864626487534
E02000689,966,446.11083211527057,-0.7421639011949966
E02000691,4891,4510.929663147001,0.13027135395291148
E02000693,2962,1266.898524292,-0.6881810486835669
E02000697,2749,1107.6262594860002,-0.755899959973118
E02000711,5562,1941.747516,-0.8157714367491795
E02000714,1328,2244.1419870647096,0.5771609398640387
E02000716,490,955.8603369739616,0.6023858166036307
E02000717,1304,316.4724781615422,-1.3426783169218368
E02000725,4818,1637.3843348538958,-0.8590616917745006
E02000726,20461,26425.191462892533,0.630354454200132
E02000730,1683,3339.2723878,0.7636437910071161
E02000731,3665,3062.2283894,-0.0011098339538626728
E02000733,812,477.76078120807455,-0.5230583043713092
E02000734,708,1107.0205407,0.4268080663829089
E02000746,3985,1914.7644959525492,-0.5386235765195383
E02000747,4708,5067.582516073915,0.2786760191953558
E02000748,702,560.5333991445884,-0.23834939774567399
E02000749,1242,5652.186065902724,1.5493854868496961
E02000750,1921,3211.934472206871,0.6097855374418869
E02000751,937,854.58534264,-0.07336860191892029
E02000756,2636,957.9577854771576,-0.8627913939531976
E02000757,1567,795.759542331321,-0.5923728966019376
E02000763,1026,992.9043839698396,-0.004203300823620414
E02000764,1266,364.5812901811983,-1.1772553310067613
E02000765,828,1082.8315958642002,0.26847109190532714
E02000768,245,388.3712047104564,0.31592034505814637
E02000772,1911,1097.5566325460002,-0.4476642202329026
E02000782,1307,2988.4905713192225,0.874414673318252
E02000785,2743,651.735663774713,-1.2781777124821403
E02000791,5691,3406.62579937234,-0.27972582495585263
E02000808,6891,31483.15510939085,1.7535810220926653
E02000810,1476,2664.9534122,0.6549948592601614
E02000813,4976,4789.077192389001,0.1744324704320038
E02000829,1981,748.9671803654601,-0.8567965082595186
E02000830,1146,1974.2774247712,0.5789971538224881
E02000831,3662,2303.1437323803,-0.28218785384080175
E02000865,602,746.1325635000001,0.17818708209313594
E02000871,1158,1660.9598346757075,0.3990005745436404
E02000872,1510,5476.48431022,1.347708133119001
E02000874,553,6939.225242580472,2.4577886555831707
E02000875,517,2623.930377444758,1.554292621821099
E02000876,1615,9283.86877626,1.8113034441094762
E02000877,1213,4026.20275875,1.2343798458310065
E02000881,400,2122.9173511551235,1.5681881822247152
E02000884,2257,6403.95764242,1.1518440378523607
E02000888,539,5560.118872776319,2.2609054258932666
E02000890,1430,6522.083551701652,1.5680742386379296
E02000891,2411,3555.295668287168,0.5120299263051404
E02000893,756,1004.150029718372,0.2732019440610961
E02000896,1294,392.3037297,-1.1240046328738236
E02000901,2081,493.16783854892407,-1.3125709171748505
E02000907,2123,438.8021209245965,-1.445340759522954
E02000908,2848,2310.5837557140003,-0.05961932024341764
E02000910,1539,522.9894317890053,-0.991358096242499
E02000911,7638,3457.40011430698,-0.5219082563455274
E02000917,742,594.75960003,-0.22810688273633312
E02000918,3849,2264.018955225914,-0.3425988315953491
E02000920,3628,2348.6564785,-0.25469135872948556
E02000924,3575,4331.713925512992,0.36369917481008873
E02000934,5499,8334.559548707997,0.6354200365179017
E02000936,895,1444.0401325728117,0.48526421781322554
E02000942,862,1030.5738565105205,0.18448243361752267
E02000949,792,3104.395096992715,1.348894642999993
E02000951,1132,1557.787028384,0.35538432802623504
E02000957,4302,3732.5333272,0.05486131404664774
E02000960,413,2152.501371292,1.5540266559917093
E02000966,538,1905.289301342,1.203040321304015
E02000967,2462,12935.424883629972,1.771635022945808
E02000968,887,776.307163357,-0.12050171419719036
E02000969,929,1252.46425662,0.3120091190543578
E02000970,7697,31730.27517738882,1.6647732192550684
E02000971,2132,11151.36312708501,1.7503566545159037
E02000972,32605,92813.11776137048,1.466787109029006
E02000973,868,854.186559534,-0.007132607756284524
E02000974,2620,25744.305974181163,2.398393541609384
E02000975,1242,931.318155542768,-0.2341323949882684
E02000976,1798,3279.812817798,0.6882053068674405
E02000977,41237,101946.17177037444,1.354646743992857
E02000978,7201,10162.92215314,0.5963174970029088
E02000979,9014,28462.015366970973,1.419348492930661
E02000982,7110,26006.84080496639,1.5371796503214887
E02000983,866,3046.397281776301,1.252359482716932
E02006791,363,1003.9662449441118,0.9121840208308749
E02006792,3709,1667.945939260177,-0.612472884653864
E02006794,1929,459.600269889,-1.3160070100555583
E02006796,2043,369.984625609,-1.5802180136981476
E02006798,3172,2869.963047429721,0.06081468020847792
E02006800,1723,2101.3832503395497,0.2849958312198821
E02006801,16345,34193.54619958992,1.0814260097538602
E02006802,4178,10843.384083502531,1.1355660099790565
E02006854,9491,48263.06903747535,1.8969194527692161
E02006918,738,535.6773873636974,-0.3267464003177265
E02006925,1239,448.6952089484087,-0.9535288046853369
E02006928,1623,3545.072622066313,0.8544784336430616
E02006929,11035,14084.1874796,0.5466292098011741
E02006931,2972,929.8412307766137,-0.9969290367591457
