MSOA11CD,od_destination_total,bus_alighting_total,std_residual
E02000292,1351,1174.77832,0.3627638785365756
E02000293,632,537.38216,0.28276186792928304
E02000294,1098,1060.50466,0.5010285550938952
E02000295,753,294.60222,-0.823145311495569
E02000296,3219,1617.72127,-0.37289899025470336
E02000297,587,701.0503,0.7672720927393655
E02000298,452,467.9273,0.5449673306874075
E02000299,931,1226.73483,0.9381466186934466
E02000300,461,192.74875,-0.7569058672674563
E02000301,1065,922.45173,0.3421386439529734
E02000302,532,155.17847,-1.264937255256858
E02000303,750,443.6148,-0.22894895565806192
E02000304,444,284.42673,-0.1464608137445482
E02000305,1585,546.15087,-0.9606057328889273
E02000306,2708,5684.23213,1.6771530859351818
E02000307,895,1178.99605,0.9352736625841612
E02000308,1017,1530.45482,1.1352226518909614
E02000309,2562,4166.98411,1.3058375781968887
E02000311,1141,1747.46476,1.1678325440269905
E02000312,1175,2694.68495,1.7517246048528532
E02000313,1266,1170.21333,0.44670027685570346
E02000314,4958,2507.92893,-0.3364071855772478
E02000315,2074,870.70154,-0.6595560987368708
E02000316,8879,5694.06408,0.04239317736915728
E02000317,1294,1251.84037,0.5137213055413083
E02000318,2700,2441.66748,0.46288468983726194
E02000319,2325,2172.74855,0.5008006211143562
E02000320,814,996.65811,0.8238606878277539
E02000321,1156,559.6806,-0.49044247540890346
E02000323,3235,5969.69856,1.502669730943341
E02000324,2231,963.6543,-0.6140125310200197
E02000326,1083,795.64016,0.1060110382618398
E02000327,2296,1269.77006,-0.25611595285748406
E02000328,924,1534.92001,1.2715375825262312
E02000329,1613,1062.02613,-0.026899582135021232
E02000331,1954,1119.5356,-0.2152450797751755
E02000332,1404,796.5121800000001,-0.25011124290676673
E02000333,1432,738.95032,-0.3853654018159966
E02000334,897,494.0234,-0.32058802484287485
E02000335,589,303.74109,-0.4409912002699411
E02000337,1709,707.5857,-0.6915423470486736
E02000339,1899,1129.47256,-0.1631586096063023
E02000340,2711,2597.82106,0.5466491677686683
E02000341,1435,440.29106,-1.1336935475614256
E02000342,671,230.15537,-1.0190419002113997
E02000343,908,490.74804,-0.3469522932521335
E02000344,1007,323.70363,-1.0881093609090855
E02000345,895,2812.21439,2.1882845128402963
E02000346,962,3758.32906,2.506949610801442
E02000347,385,477.56194,0.7950240519494228
E02000348,707,1343.27478,1.448019549701172
E02000350,796,1885.89171,1.7737411598197563
E02000351,808,1083.80612,0.954829537898314
E02000352,506,718.40193,1.0068826039146315
E02000353,1113,2261.30075,1.5736418211821064
E02000354,696,1376.06234,1.5043678061014676
E02000355,869,2063.62993,1.782709633610582
E02000356,419,630.55048,1.0786635443867485
E02000357,1377,910.18078,-0.03118642297674884
E02000358,1479,2170.5493,1.1228253485984556
E02000359,867,250.92656,-1.2478916070593082
E02000360,1987,883.76765,-0.5790310105182873
E02000361,3250,4287.99182,1.0191933378870062
E02000362,1279,1329.91651,0.6169760011067431
E02000363,1754,1101.52902,-0.08977884359337378
E02000364,892,524.88614,-0.2256640007001624
E02000365,2978,5523.595600000001,1.504794760770192
E02000366,1218,1335.44893,0.6902970974524665
E02000367,2309,2799.85767,0.8758787750841995
E02000368,1550,503.66758,-1.0463972454704977
E02000369,1126,1685.859,1.1343346035484125
E02000370,1141,1812.79919,1.2207405515219603
E02000371,6292,5139.46249,0.3695281560772017
E02000372,3067,2965.51499,0.5674032132757431
E02000373,942,33.335829999999994,-4.23641858877636
E02000374,789,444.96306,-0.2944003414211539
E02000375,8835,6165.50294,0.16394478130189863
E02000376,1726,1814.72794,0.6518871322710644
E02000377,1267,1419.99396,0.7244138781269029
E02000378,826,307.44003,-0.8892755394295332
E02000379,604,502.77126,0.24932415032744926
E02000380,228,111.21099,-0.5767263445228231
E02000381,719,331.69125,-0.5890450521154023
E02000382,1117,602.74455,-0.3364329700674189
E02000383,1549,1097.86067,0.07671324983785258
E02000384,6011,5620.96362,0.5616562581200263
E02000385,761,276.09543,-0.9309426230633995
E02000386,748,702.78602,0.43708391058288026
E02000387,768,963.61125,0.8553988864334346
E02000388,955,467.5248,-0.4862447919627601
E02000389,585,1241.80209,1.595640600292593
E02000390,540,585.6923,0.6232762748513659
E02000391,1034,1723.18384,1.2833359142200993
E02000392,962,1347.8577,1.0287158701123726
E02000393,258,46.01144,-2.0012001484334285
E02000394,1265,518.00021,-0.7260080473215367
E02000395,1203,1228.10217,0.5866132023560617
E02000396,726,673.8580900000001,0.417665098604156
E02000397,694,1203.1818,1.3148558479795889
E02000398,745,978.01874,0.9186561511155678
E02000400,964,916.97117,0.4708263136867168
E02000401,1050,501.31172,-0.5164729797430416
E02000402,1296,934.43636,0.09024538915510864
E02000403,865,4121.63279,2.7864079448555867
E02000404,826,906.13991,0.6665298086387935
E02000405,901,501.18272,-0.30600858404639275
E02000406,732,626.76062,0.3019961757800194
E02000407,1737,1496.32081,0.36506114305081416
E02000408,2174,3831.66718,1.4112503171772404
E02000409,1132,1541.29902,0.9977992446621228
E02000410,945,527.94437,-0.2968124634637478
