MSOA11CD,total_flow,linked_flow,shiftwork_linked_share,std_residual,linked_share_quartile,transport_storage_share,shiftwork_heavy
E02000194,2530,23.0,0.00909090909090909,-0.7207812981200425,Q2,0.034714395824609924,False
E02000195,1086,115.0,0.10589318600368323,-0.0618413360146208,Q3,0.048254693316958475,False
E02000196,1070,651.0,0.608411214953271,-0.5935757768128044,Q4_high,0.06325314027092446,True
E02000197,1576,780.0,0.4949238578680203,-0.4368897070036053,Q4_high,0.05451391179007623,False
E02000198,1237,238.0,0.19240097008892482,-0.6065396579676811,Q3,0.05869506487935643,False
E02000199,998,268.0,0.2685370741482966,-1.7385592346458951,Q3,0.05783688722960174,False
E02000200,2575,299.0,0.11611650485436893,-0.7906348383688819,Q3,0.051104497220957855,False
E02000201,1517,78.0,0.051417270929466054,0.3053576187259228,Q2,0.05927198148401592,False
E02000202,1039,742.0,0.714148219441771,-1.1656643399321618,Q4_high,0.07747680920434175,True
E02000203,4568,2283.0,0.49978108581436076,-0.8416316423057448,Q4_high,0.06324178822053547,True
E02000204,2028,1622.0,0.7998027613412229,0.0691367606471808,Q4_high,0.07304867088100607,True
E02000206,2219,832.0,0.3749436683190626,-1.1863888312996422,Q3,0.05763787508311385,False
E02000207,950,35.0,0.03684210526315789,-0.2622378647535567,Q2,0.05637790653223914,False
E02000208,2014,1541.0,0.7651439920556107,-0.196663292316512,Q4_high,0.07103840265910953,True
E02000209,1208,774.0,0.640728476821192,-1.089402686822072,Q4_high,0.0734074033333713,True
E02000210,855,118.0,0.13801169590643275,-1.2419615592103763,Q3,0.05600307034311637,False
E02000211,687,0.0,0.0,-2.0618154044658263,Q1_low,0.04928763953250307,False
E02000212,2805,1817.0,0.6477718360071302,-1.1228112928930294,Q4_high,0.06982224617467836,True
E02000213,9136,4169.0,0.45632661996497376,-0.1810343101081856,Q4_high,0.06096324142217579,True
E02000214,838,0.0,0.0,-1.9767242719265732,Q1_low,0.05340689982305388,False
E02000215,4108,305.0,0.07424537487828627,-1.1873708896451267,Q3,0.05202672434112881,False
E02000216,534,46.0,0.08614232209737828,-0.1402434342001507,Q3,0.03987226246853987,False
E02000217,4661,1602.0,0.3437030680111564,-1.46201829931668,Q3,0.05665099065087494,False
E02000218,684,39.0,0.05701754385964912,-0.4937530979901061,Q2,0.05597460415262405,False
E02000219,1139,26.0,0.0228270412642669,-0.2351751587410655,Q2,0.037366720375306466,False
E02000220,15403,2363.0,0.1534116730507044,-0.656284810521705,Q3,0.041296082558729935,False
E02000221,2691,470.0,0.17465626161278336,-1.100973941603183,Q3,0.059042004137123696,False
E02000222,964,67.0,0.06950207468879668,-0.6287416316260387,Q2,0.04838572744561918,False
E02000223,1002,637.0,0.6357285429141717,-1.4146174277138888,Q4_high,0.0853588131676365,True
E02000224,946,42.0,0.04439746300211417,0.0577502545977959,Q2,0.049702526928477736,False
E02000225,857,694.0,0.809801633605601,-0.7581837205155604,Q4_high,0.07190626999076027,True
E02000226,1670,75.0,0.04491017964071856,-1.2057982812927084,Q2,0.04456357223859183,False
E02000227,1612,301.0,0.18672456575682383,-0.4307302259726968,Q3,0.05834244872504257,False
E02000228,486,29.0,0.059670781893004114,-0.8716407834459577,Q2,0.031909810134570164,False
E02000229,1386,1177.0,0.8492063492063492,-1.219152899556672,Q4_high,0.07666078290724183,True
E02000230,2987,159.0,0.053230666220287916,-0.3584054037183066,Q2,0.038325437633210224,False
E02000231,471,13.0,0.027600849256900213,-0.6661297972909233,Q2,0.02693501952114675,False
E02000232,171,0.0,0.0,0.2185631901784041,Q1_low,0.042125872189522275,False
E02000233,534,0.0,0.0,-1.013913588422786,Q1_low,0.03786518519714063,False
E02000234,1754,42.0,0.02394526795895097,-0.5484652500597077,Q2,0.03223012019942711,False
E02000235,401,31.0,0.0773067331670823,-1.410148096165969,Q3,0.03823043150135046,False
E02000236,244,0.0,0.0,-0.7753602018395047,Q1_low,0.04122710397675968,False
E02000237,741,0.0,0.0,-0.98380209079035,Q1_low,0.044350707132498515,False
E02000238,1495,1386.0,0.9270903010033444,-0.9566002649949602,Q4_high,0.0815388241566233,True
E02000239,1245,1095.0,0.8795180722891566,-1.019474038795367,Q4_high,0.07047272215994721,True
E02000240,1295,1142.0,0.8818532818532818,-0.485906475883703,Q4_high,0.08870536249200808,True
E02000241,2347,2283.0,0.9727311461440137,0.5350135181073679,Q4_high,0.07993834908003858,True
E02000242,1216,1194.0,0.9819078947368421,-1.4070968973398756,Q4_high,0.06605899589669621,True
E02000243,3429,3329.0,0.9708369787109945,-0.4649491559160646,Q4_high,0.08073395045207976,True
E02000244,2224,1843.0,0.8286870503597122,-0.8822054945941755,Q4_high,0.07327411318282151,True
E02000245,890,842.0,0.946067415730337,0.3468129585201148,Q4_high,0.10657033217698351,True
E02000246,2394,2300.0,0.960735171261487,-0.4043131018825737,Q4_high,0.10992861168986262,True
E02000247,1584,1574.0,0.9936868686868687,-0.3304703377707598,Q4_high,0.10073427767793336,True
E02000248,1474,535.0,0.36295793758480327,0.6340248882107632,Q3,0.05702700073313948,False
E02000249,3641,3409.0,0.936281241417193,-0.1743590795104265,Q4_high,0.07913040441177992,True
E02000250,776,14.0,0.01804123711340206,-1.093876768470324,Q2,0.02953608169530881,False
E02000251,833,742.0,0.8907563025210085,-0.5595193014742252,Q4_high,0.10153741635451931,True
E02000252,4869,1436.0,0.294927089751489,-0.0042953086594572,Q3,0.04400534601010137,False
E02000253,1350,909.0,0.6733333333333333,-0.6104413934227642,Q4_high,0.07108267976989575,True
E02000254,866,829.0,0.9572748267898383,0.9057135916586418,Q4_high,0.11566268374113114,True
E02000255,798,123.0,0.15413533834586465,0.9377827509809964,Q3,0.05251082919117124,False
E02000256,923,118.0,0.12784398699891658,-0.2677489649485009,Q3,0.04428178061947473,False
E02000257,8850,2448.0,0.27661016949152545,0.4075040560212333,Q3,0.042665116266271355,False
E02000258,490,13.0,0.026530612244897958,0.187145616550246,Q2,0.038811942081019436,False
E02000259,879,426.0,0.48464163822525597,0.1284993903690313,Q4_high,0.04240055149109283,False
E02000260,5467,5171.0,0.945856959941467,-0.4756766338972703,Q4_high,0.11750660881367295,True
E02000261,1496,206.0,0.13770053475935828,0.1939914200300077,Q3,0.040763595591836864,False
E02000262,2723,10.0,0.003672420124862284,-0.4124739863441383,Q1_low,0.043518898586633374,False
E02000263,2056,1990.0,0.9678988326848249,0.3239387590850602,Q4_high,0.11873577729110034,True
E02000264,1018,0.0,0.0,0.371511971377927,Q1_low,0.029553000424318382,False
E02000265,2079,239.0,0.11495911495911496,0.2775329491289992,Q3,0.05325433334547624,False
E02000266,2444,2305.0,0.943126022913257,0.8445224940168059,Q4_high,0.10183759816895593,True
E02000267,1735,443.0,0.2553314121037464,-0.2702120474534697,Q3,0.048362388672047424,False
E02000268,1017,147.0,0.14454277286135694,-0.499464327636904,Q3,0.03866583152541039,False
E02000269,1652,293.0,0.17736077481840193,0.3517705872881947,Q3,0.03603251400010354,False
E02000270,1801,129.0,0.07162687395891172,0.91517857168685,Q2,0.045691341048924444,False
E02000271,384,0.0,0.0,-0.8590592295033476,Q1_low,0.027148989047551232,False
E02000272,611,12.0,0.019639934533551555,-0.8063153399589097,Q2,0.04292701448586266,False
E02000274,4307,4291.0,0.9962851172509868,-0.8527672755605669,Q4_high,0.13923058308861766,True
E02000275,1994,1984.0,0.9949849548645938,-0.6237628262392992,Q4_high,0.12472245429476055,True
E02000276,754,125.0,0.16578249336870027,-0.2167651052548579,Q3,0.04210390416780876,False
E02000277,504,448.0,0.8888888888888888,-0.0609932431380849,Q4_high,0.06965974604557515,True
E02000278,712,637.0,0.8946629213483146,0.5304093859394085,Q4_high,0.07159165449849399,True
E02000279,680,594.0,0.8735294117647059,-0.0590978837895912,Q4_high,0.06834687000629847,True
E02000280,677,76.0,0.11225997045790251,-0.202593710394952,Q3,0.03824191490045638,False
E02000281,1463,448.0,0.3062200956937799,-1.6901463937027932,Q3,0.058050507047307236,False
E02000282,1019,689.0,0.676153091265947,0.4625922420950908,Q4_high,0.07727982020011528,True
E02000283,768,385.0,0.5013020833333334,-1.192278905056689,Q4_high,0.05889915748576881,False
E02000284,2152,270.0,0.12546468401486988,-0.4641032096804772,Q3,0.03640266571022331,False
E02000285,335,25.0,0.07462686567164178,-1.1445795667137344,Q3,0.047349744410195245,False
E02000286,1017,86.0,0.08456243854473942,-1.0543815756744126,Q3,0.03561054957339139,False
E02000287,348,0.0,0.0,1.1293573666084764,Q1_low,0.028983457059793268,False
E02000288,3779,2712.0,0.7176501720031755,-0.5404028075815507,Q4_high,0.07666174720111356,True
E02000289,174,12.0,0.06896551724137931,0.1045306896700886,Q2,0.04396285845698973,False
E02000290,1595,1105.0,0.6927899686520376,-1.558355488675469,Q4_high,0.07040023198791419,True
E02000291,2579,294.0,0.113997673516867,0.0112210862985049,Q3,0.04362116650211192,False
E02000292,1327,504.0,0.37980406932931426,0.2406467027691948,Q3,0.05683328566234179,False
E02000293,367,0.0,0.0,0.5215895913917301,Q1_low,0.03561460427533627,False
E02000294,808,725.0,0.8972772277227723,0.1354298065940034,Q4_high,0.07598724927289666,True
E02000295,734,30.0,0.04087193460490463,-1.0579283657469791,Q2,0.033241492288732515,False
E02000296,3529,69.0,0.019552281099461603,0.0891038711146275,Q2,0.04281373549134621,False
E02000297,500,32.0,0.064,0.5114501752272241,Q2,0.038801611376409285,False
E02000298,478,0.0,0.0,0.0259795176192676,Q1_low,0.031200424094596904,False
E02000299,739,729.0,0.986468200270636,0.4761039566903709,Q4_high,0.06329049581292874,True
E02000300,300,245.0,0.8166666666666667,-0.2613001601604523,Q4_high,0.07067643617225682,True
E02000301,594,552.0,0.9292929292929293,0.4044434230623192,Q4_high,0.06860704172287645,True
E02000302,304,25.0,0.08223684210526316,-0.9697254230671588,Q3,0.04432726042113373,False
E02000303,628,577.0,0.9187898089171974,0.9823549308992257,Q4_high,0.07428476909828019,True
E02000304,322,0.0,0.0,-0.0710457022266034,Q1_low,0.021944793267529978,False
E02000305,1292,167.0,0.12925696594427244,-0.78304530087984,Q3,0.03049589131793064,False
E02000306,3426,2971.0,0.8671920607122008,0.7119686517338367,Q4_high,0.069394742111723,True
E02000307,356,272.0,0.7640449438202247,1.2321966665751023,Q4_high,0.06360314726378817,True
E02000308,1648,223.0,0.13531553398058252,0.629859018452951,Q3,0.04411574893115698,False
E02000309,3086,2047.0,0.6633182112767336,0.3829705868697159,Q4_high,0.07242578327969186,True
E02000311,856,192.0,0.22429906542056074,0.4381518835943508,Q3,0.05925886489875651,False
E02000312,1038,79.0,0.07610789980732177,0.8696215500169057,Q3,0.03663064707089151,False
E02000313,873,597.0,0.6838487972508591,-0.0873999689018974,Q4_high,0.07882577114931845,True
E02000314,3831,3007.0,0.7849125554685461,-1.036691635878556,Q4_high,0.0680374269926507,True
E02000315,1997,1737.0,0.8698047070605909,0.7880075963728573,Q4_high,0.0799222069268645,True
E02000316,12405,4400.0,0.354695687222894,-0.0999616058457914,Q3,0.043926672642319316,False
E02000317,988,35.0,0.0354251012145749,-0.0056356484347258,Q2,0.05228043459606858,False
E02000318,2578,1828.0,0.7090768037238169,-0.2518594117986075,Q4_high,0.061902976356100606,True
E02000319,2141,1276.0,0.5959831854273704,-0.4149028328874675,Q4_high,0.06529474270033728,True
E02000320,830,446.0,0.5373493975903615,-0.1027364351446539,Q4_high,0.06368515475609474,True
E02000321,889,313.0,0.35208098987626546,-0.4373783615129453,Q3,0.06366309601742325,True
E02000323,3870,974.0,0.25167958656330747,0.8502427694923871,Q3,0.05097000359743942,False
E02000324,1355,46.0,0.03394833948339483,-0.8854493332189024,Q2,0.040826591504692936,False
E02000326,928,0.0,0.0,-0.5598559543368493,Q1_low,0.03050203414915419,False
E02000327,1968,244.0,0.12398373983739837,-0.3938398887863,Q3,0.0472885931718504,False
E02000328,702,14.0,0.019943019943019943,0.8264693859558231,Q2,0.020409433109329564,False
E02000329,1232,115.0,0.09334415584415584,-0.863158858320101,Q3,0.049841305662495394,False
E02000331,1222,67.0,0.05482815057283143,-0.6056883516579314,Q2,0.045267391253033105,False
E02000332,667,0.0,0.0,-0.4333970397420905,Q1_low,0.04563830963046417,False
E02000333,986,0.0,0.0,-0.628378031818546,Q1_low,0.023301702543505016,False
E02000334,781,22.0,0.028169014084507043,-0.9344830122841952,Q2,0.042056986356956524,False
E02000335,642,39.0,0.06074766355140187,-1.2591796140115608,Q2,0.03518598607025244,False
E02000337,1080,144.0,0.13333333333333333,-0.7556386587684031,Q3,0.05369820713419133,False
E02000339,2424,26.0,0.010726072607260726,-0.8117002162582431,Q2,0.029131793754199338,False
E02000340,3159,22.0,0.006964229186451409,0.0382635949584073,Q1_low,0.041027055027925564,False
E02000341,1051,35.0,0.03330161750713606,-1.1680432443723183,Q2,0.05223403515485091,False
E02000342,375,0.0,0.0,-0.3083622000017683,Q1_low,0.04282797169462383,False
E02000343,814,0.0,0.0,-0.8848899594666658,Q1_low,0.045494394709878386,False
E02000344,1008,0.0,0.0,-0.9772522868877844,Q1_low,0.03877045040654887,False
E02000345,1121,53.0,0.04727921498661909,1.2765322433673287,Q2,0.02200372713406079,False
E02000346,1157,0.0,0.0,1.9534445928209137,Q1_low,0.033444119658443155,False
E02000347,259,0.0,0.0,0.7334625088451706,Q1_low,0.0230043265573752,False
E02000348,524,0.0,0.0,1.26636986504799,Q1_low,0.0352481368112117,False
E02000350,699,0.0,0.0,1.4331100874585778,Q1_low,0.024231846317540585,False
E02000351,578,10.0,0.01730103806228374,1.5901876464480325,Q2,0.02035496865783233,False
E02000352,588,26.0,0.04421768707482993,0.0621302109758443,Q2,0.024809106500175204,False
E02000353,1227,22.0,0.017929910350448247,1.1229573430530837,Q2,0.0189709881373889,False
E02000354,543,0.0,0.0,1.1822604760408044,Q1_low,0.03523575661766968,False
E02000355,797,12.0,0.015056461731493099,0.9309928268985964,Q2,0.024406595135917544,False
E02000356,337,0.0,0.0,0.6199845327392608,Q1_low,0.015646324111374933,False
