MSOA11CD,od_destination_total,rail_exit_total,std_residual
E02000266,2923,5888.219495380222,0.2915206180159309
E02000269,1614,3354.166307169507,0.08912147941554018
E02000270,2271,3225.0798047473604,-0.2585148367606028
E02000278,614,816.585126236104,-0.8756289746445401
E02000284,1832,1572.274326496845,-0.9900153479286437
E02000287,425,1027.40655648,-0.26218398083364397
E02000291,2308,1228.493862389668,-1.5065947500436803
E02000292,1351,745.1301476440001,-1.679076235300406
E02000296,3219,4731.397897791,-0.07226313062128126
E02000303,750,1653.101277162,-0.1483297581683292
E02000306,2708,2759.1783513,-0.6113400906990296
E02000308,1017,2302.261180504,0.010087310664060099
E02000315,2074,11878.785192246802,1.4880564509950676
E02000316,8879,15423.715845374198,0.5551474933933911
E02000345,895,448.701738824,-1.9682416083677972
E02000346,962,4806.595932750816,0.9998177775339182
E02000350,796,1487.6444283024,-0.3349543120133628
E02000353,1113,1345.5837477193802,-0.7550642742023207
E02000360,1987,1764.0470466923653,-0.9136237218949806
E02000361,3250,3136.071660145102,-0.6065471330776093
E02000362,1279,2026.38401857,-0.3526929356406891
E02000363,1754,2673.77141748,-0.27324090279485763
E02000365,2978,8437.98339183091,0.7354593964102857
E02000367,2309,1099.384615652,-1.6488904665251856
E02000371,6292,1674.763073588,-1.984206378592256
E02000372,3067,9094.527205183462,0.8056445029691379
E02000375,8835,11222.36255079957,0.15272346423318084
E02000376,1726,1298.095163444,-1.1830604606633979
E02000382,1117,1386.108335735052,-0.7202588562837113
E02000383,1549,639.8846989794,-1.9926808518745063
E02000384,6011,15393.06622637616,0.8925075120953783
E02000385,761,5731.99847028465,1.4290233237204133
E02000388,955,3531.50699282,0.6119387417839105
E02000392,962,3826.297608854829,0.7081106622729255
E02000394,1265,942.5341931449808,-1.3215315706522217
E02000395,1203,3173.4624148284083,0.27423359121048063
E02000400,964,3331.2334969467797,0.5291123798244312
E02000403,865,5718.9514776000005,1.3146168029640437
E02000407,1737,759.0069689396,-1.8743686593586972
E02000411,2248,7991.383097983,0.9108721285037784
E02000415,1401,6520.181326996,1.0624750177338513
E02000421,1962,9230.08458961309,1.2137169838222275
E02000426,620,3648.668431522,1.0296446503698642
E02000427,760,795.141148433834,-1.095257082836667
E02000433,1423,2346.03601472,-0.25831390201956256
E02000434,901,1749.8329872454,-0.23528532815970285
E02000438,948,476.1908286984377,-1.9424249469926504
E02000445,2196,3577.262169094248,-0.09672459321112169
E02000447,900,359.0799989372261,-2.2574046133503
E02000448,923,1899.0751951817808,-0.1516440723779162
E02000451,838,1185.7017179409002,-0.6696887092161151
E02000455,4101,5393.61376533,-0.11569972660849438
E02000456,223,1025.0683797590666,0.29506730442972395
E02000457,665,2534.116516648,0.5025417952610987
E02000459,1253,1427.174852099,-0.7829768013298201
E02000461,1302,1223.8003123633669,-1.0128907635394666
E02000470,1533,3198.4067892278804,0.07315499818681943
E02000475,981,3151.8827810084,0.44312138219872577
E02000476,6454,10730.7692259616,0.3690466929346502
E02000478,79,293.42319879222003,-0.4047180229212893
E02000482,646,3271.1730144041003,0.8542359232184056
E02000485,962,493.35648165133694,-1.9099794579650595
E02000486,647,1168.87426917436,-0.4628443816348932
E02000489,961,1981.562143944,-0.1324039060639531
E02000495,1658,2337.6947721098504,-0.39597820459403915
E02000500,1485,1885.1654501236,-0.5750966972550414
E02000501,382,1655.487061534,0.4403236299602592
E02000502,593,961.609851962128,-0.6364670952466465
E02000503,700,653.1896048868,-1.274897679100322
E02000504,695,577.747432949188,-1.425401719938934
E02000506,647,1041.159294316,-0.6107221288523754
E02000508,2555,2278.2278423,-0.8055917563958097
E02000515,1722,2848.652841035116,-0.17618846434487342
E02000523,2723,6813.2754072601,0.5398948659103517
E02000524,26390,11066.236810583,-0.8187282725572785
E02000526,1338,4924.896492039074,0.7436620517873512
E02000531,2754,852.8818093900001,-2.1268482924594885
E02000537,1259,1197.8129896260002,-1.0110806676686919
E02000540,3176,2690.2406412920004,-0.7825675153553736
E02000542,3498,2264.661356916,-1.0868936372809845
E02000543,4965,2409.70762419442,-1.312642184807106
E02000554,1059,416.688149874,-2.2091868587817927
E02000557,1906,5331.90040238637,0.537064314849764
E02000558,1553,14728.726979193118,2.015084497674863
E02000559,604,1743.781993768,0.10833146474377592
E02000564,1407,2931.47981792,0.03640540887258734
E02000566,1554,7955.16715192,1.226636808841889
E02000567,930,1765.9044913376,-0.25117350698432045
E02000568,1830,3229.949048859148,-0.06852791405137312
E02000575,4689,15876.4908588896,1.1484638863836814
E02000576,3182,5816.2802996272,0.2018369515262802
E02000579,1073,2163.732549096,-0.11592690770102546
E02000581,588,948.696342508,-0.6463773838699793
E02000582,755,4826.0591077126,1.215887752217733
E02000585,442,1304.6996987280002,0.009097954454679247
E02000586,872,3101.4814856122,0.5250383589555463
E02000589,877,9177.22800824,1.9075257670242487
E02000590,1702,6987.44017538,0.9815082616807664
E02000592,822,5582.227600206001,1.3280505580806425
E02000593,681,2323.950313290732,0.37115014182076994
E02000594,1070,4652.09455884,0.8654024437705872
E02000619,1019,3515.6392763,0.5497096971299724
E02000621,4762,14185.42623646506,0.9909444234927344
E02000622,1713,3529.7281097800005,0.10251750806933144
E02000625,1598,5887.489967883963,0.8173475220163195
E02000628,5817,15647.582758549146,0.9420685686564827
E02000629,1314,5060.593940307443,0.7941860053786967
E02000634,1042,6551.80327146,1.3264370792972027
E02000636,334,5637.600297098001,2.1239574916583996
E02000662,1086,3318.7130107788003,0.42055166244488107
E02000664,9438,4678.597643340195,-1.0238341195802287
E02000671,1174,2188.5936602242587,-0.1796439024562936
E02000673,1477,4931.935855769888,0.6594183877827979
E02000685,1807,4170.223428418,0.2692393410538867
E02000689,817,1413.6262252408,-0.42285881046051277
E02000691,3807,12987.9544199554,1.0731440592347945
E02000693,2151,4316.38417112,0.1615092881540455
E02000697,2385,2616.415776958,-0.5686352357510577
E02000711,3080,6459.3191058,0.36433919163545125
E02000714,1298,5021.08577831191,0.7948302851914807
E02000716,531,3103.4301110494425,0.9574644174389939
