K,cluster,day_type,direction,hour_bin,mean_share
3,1,Sunday,alightings,1200,0.03797459896044796
3,1,Sunday,alightings,1260,0.030164028515157978
3,1,Sunday,alightings,1320,0.023137058200001597
3,1,Sunday,alightings,1380,0.016370898588069192
3,1,Sunday,alightings,1440,0.011298699789834594
3,1,Sunday,alightings,1500,0.0018256478926196216
3,1,Sunday,alightings,1560,0.0005225039411554997
3,1,Sunday,alightings,1620,0.00042109664253734905
3,1,Sunday,alightings,1680,0.0006105719481435724
3,1,Sunday,alightings,1740,0.005961747474660695
3,2,Weekday,boardings,1080,0.10329595696038402
3,2,Weekday,boardings,1140,0.07258977612379415
3,2,Weekday,boardings,1200,0.04732369625733052
3,2,Weekday,boardings,1260,0.033420620449054424
3,2,Weekday,boardings,1320,0.025382160582921195
3,2,Weekday,boardings,1380,0.016781739117661218
3,2,Weekday,boardings,1440,0.0074221528238660696
3,2,Weekday,boardings,1500,0.004319563810211456
3,2,Weekday,boardings,1560,0.0036034143285017368
3,2,Weekday,boardings,1620,0.005783040995596059
3,2,Weekday,boardings,1680,0.013483471375788876
3,2,Weekday,boardings,1740,0.041080598019285375
3,2,Saturday,boardings,1080,0.08970612354458993
3,2,Saturday,boardings,1140,0.07101005491016707
3,2,Saturday,boardings,1200,0.050157878362278925
3,2,Saturday,boardings,1260,0.036760820401399864
3,2,Saturday,boardings,1320,0.029586359820594276
3,2,Saturday,boardings,1380,0.022171496997731625
3,2,Saturday,boardings,1440,0.006738420246122767
3,2,Saturday,boardings,1500,0.0034454755344686117
3,2,Saturday,boardings,1560,0.0033539301771613053
3,2,Saturday,boardings,1620,0.006204792886563768
3,2,Saturday,boardings,1680,0.011658827413821321
3,2,Saturday,boardings,1740,0.01692752191555199
3,2,Sunday,boardings,1080,0.05659483850946479
3,2,Sunday,boardings,1140,0.0503623531820924
3,2,Sunday,boardings,1200,0.03631886145727714
3,2,Sunday,boardings,1260,0.026232188677875183
3,2,Sunday,boardings,1320,0.020036560438117683
3,2,Sunday,boardings,1380,0.012555063327076687
3,2,Sunday,boardings,1440,0.0074221528238660696
3,2,Sunday,boardings,1500,0.004319563810211456
3,2,Sunday,boardings,1560,0.0036034143285017368
3,2,Sunday,boardings,1620,0.005783040995596059
3,2,Sunday,boardings,1680,0.013483471375788876
3,2,Sunday,boardings,1740,0.041080598019285375
3,2,Weekday,alightings,1080,0.10817984697018683
3,2,Weekday,alightings,1140,0.07834616234519619
3,2,Weekday,alightings,1200,0.05360931780319469
3,2,Weekday,alightings,1260,0.04073670952379763
3,2,Weekday,alightings,1320,0.03327693936652737
3,2,Weekday,alightings,1380,0.025422450078349375
3,2,Weekday,alightings,1440,0.013109368356204059
3,2,Weekday,alightings,1500,0.006136446148044773
3,2,Weekday,alightings,1560,0.003907636033443619
3,2,Weekday,alightings,1620,0.003999459609912901
3,2,Weekday,alightings,1680,0.005512524891712122
3,2,Weekday,alightings,1740,0.015800400456901606
3,2,Saturday,alightings,1080,0.0824437267202675
3,2,Saturday,alightings,1140,0.06722841484838103
3,2,Saturday,alightings,1200,0.05332009638326087
3,2,Saturday,alightings,1260,0.041343156468684986
3,2,Saturday,alightings,1320,0.036298746129265556
3,2,Saturday,alightings,1380,0.030688326632821714
3,2,Saturday,alightings,1440,0.01124013667937827
3,2,Saturday,alightings,1500,0.004883085600345458
3,2,Saturday,alightings,1560,0.00303870469705098
3,2,Saturday,alightings,1620,0.0035960457741026366
3,2,Saturday,alightings,1680,0.00523791252617378
3,2,Saturday,alightings,1740,0.008958957867632514
3,2,Sunday,alightings,1080,0.055597369755287264
3,2,Sunday,alightings,1140,0.047060419835815576
3,2,Sunday,alightings,1200,0.03885246689611843
3,2,Sunday,alightings,1260,0.030003942642316775
3,2,Sunday,alightings,1320,0.024641520194997338
3,2,Sunday,alightings,1380,0.019063873268409078
3,2,Sunday,alightings,1440,0.013109368356204059
3,2,Sunday,alightings,1500,0.006136446148044773
3,2,Sunday,alightings,1560,0.003907636033443619
3,2,Sunday,alightings,1620,0.003999459609912901
3,2,Sunday,alightings,1680,0.005512524891712122
3,2,Sunday,alightings,1740,0.015800400456901606
4,0,Weekday,boardings,1080,0.10633670913717783
4,0,Weekday,boardings,1140,0.07654015793796545
4,0,Weekday,boardings,1200,0.052067990141029585
4,0,Weekday,boardings,1260,0.03862062211512994
4,0,Weekday,boardings,1320,0.03135409119847169
4,0,Weekday,boardings,1380,0.02122265191156913
4,0,Weekday,boardings,1440,0.009739413508215505
4,0,Weekday,boardings,1500,0.004096541764614683
4,0,Weekday,boardings,1560,0.0030063312888156473
4,0,Weekday,boardings,1620,0.003865641555753721
4,0,Weekday,boardings,1680,0.0077710314920214
4,0,Weekday,boardings,1740,0.024470006695044982
4,0,Saturday,boardings,1080,0.0881153298608306
4,0,Saturday,boardings,1140,0.07327114859832241
4,0,Saturday,boardings,1200,0.05326625734341652
4,0,Saturday,boardings,1260,0.040676803100521394
