K,replicate,base_cluster,matched_jaccard
6,6,3,0.4416058394160584
6,6,4,0.09603340292275574
6,6,5,0.30787589498806683
6,7,0,0.39826839826839827
6,7,1,0.8083778966131907
6,7,2,0.6326848249027237
6,7,3,0.5758620689655173
6,7,4,0.11574074074074074
6,7,5,0.360333080999243
6,8,0,0.03686635944700461
6,8,1,0.856909239574816
6,8,2,0.7202859696157283
6,8,3,0.42105263157894735
6,8,4,0.28746928746928746
6,8,5,0.6006974716652136
6,9,0,0.2824675324675325
6,9,1,0.8429458740017747
6,9,2,0.596504005826657
6,9,3,0.5086505190311419
6,9,4,0.12468193384223919
6,9,5,0.25880551301684535
6,10,0,0.058091286307053944
6,10,1,0.7195571955719557
6,10,2,0.4977139124755062
6,10,3,0.3404255319148936
6,10,4,0.24579124579124578
6,10,5,0.003561887800534283
6,11,0,0.010714285714285714
6,11,1,0.8125
6,11,2,0.5638736263736264
6,11,3,0.4280701754385965
6,11,4,0.2982456140350877
6,11,5,0.13526119402985073
6,12,0,0.38974358974358975
6,12,1,0.7727272727272727
6,12,2,0.48909451421017847
6,12,3,0.49070631970260226
6,12,4,0.33271375464684017
6,12,5,0.03793103448275862
6,13,0,0.38873239436619716
6,13,1,0.6609938733832539
6,13,2,0.46091307066916826
6,13,3,0.27899686520376177
6,13,4,0.03056768558951965
6,13,5,0.005819592628516004
6,14,0,0.18134715025906736
6,14,1,0.7195385724585436
6,14,2,0.5507544581618655
6,14,3,0.37751004016064255
6,14,4,0.20812182741116753
6,14,5,0.001932367149758454
6,15,0,0.20152091254752852
6,15,1,0.8404163052905465
6,15,2,0.5448227936066713
6,15,3,0.4536741214057508
6,15,4,0.3198887343532684
6,15,5,0.02187784867821331
6,16,0,0.14642857142857144
6,16,1,0.6726105563480742
6,16,2,0.609178386380459
6,16,3,0.5205992509363296
6,16,4,0.042105263157894736
6,16,5,0.23715753424657535
6,17,0,0.5094339622641509
6,17,1,0.8735632183908046
6,17,2,0.7211120764552563
6,17,3,0.5396825396825397
6,17,4,0.1940700808625337
6,17,5,0.5504807692307693
6,18,0,0.3026315789473684
6,18,1,0.8587848932676518
6,18,2,0.12382934443288242
6,18,3,0.4141791044776119
6,18,4,0.37850467289719625
6,18,5,0.3683263347330534
6,19,0,0.2476489028213166
6,19,1,0.842506350550381
6,19,2,0.5348374253483743
6,19,3,0.39464882943143814
6,19,4,0.2514506769825919
6,19,5,0.11562782294489611
6,20,0,0.3741496598639456
6,20,1,0.8315441783649876
6,20,2,0.5678670360110804
6,20,3,0.4696969696969697
6,20,4,0.22933333333333333
6,20,5,0.20215410107705054
7,1,0,0.5137254901960784
7,1,1,0.018633540372670808
7,1,2,0.2231638418079096
7,1,3,0.36470588235294116
7,1,4,0.22141119221411193
7,1,5,0.7809036658141517
7,1,6,0.6450662739322534
7,2,0,0.4899598393574297
7,2,1,0.16129032258064516
7,2,2,0.2564102564102564
7,2,3,0.22033898305084745
7,2,4,0.016260162601626018
7,2,5,0.7299158377964805
7,2,6,0.5948753462603878
7,3,0,0.6049382716049383
7,3,1,0.4482758620689655
7,3,2,0.6352636127917026
7,3,3,0.23595505617977527
7,3,4,0.37730870712401055
7,3,5,0.7648494711147275
7,3,6,0.7092555331991952
7,4,0,0.6123348017621145
7,4,1,0.4268292682926829
7,4,2,0.679368029739777
7,4,3,0.28125
7,4,4,0.39705882352941174
7,4,5,0.8072390572390572
7,4,6,0.7833163784333672
7,5,0,0.5534351145038168
7,5,1,0.3490566037735849
7,5,2,0.2654575432811212
7,5,3,0.03524229074889868
7,5,4,0.14106583072100312
7,5,5,0.7213675213675214
7,5,6,0.6839584996009577
7,6,0,0.6157205240174672
7,6,1,0.34220532319391633
7,6,2,0.278
7,6,3,0.046620046620046623
7,6,4,0.18236472945891782
7,6,5,0.7221750212404418
7,6,6,0.7116316639741519
7,7,0,0.5762081784386617
7,7,1,0.43005181347150256
7,7,2,0.13594232749742532
7,7,3,0.0858085808580858
7,7,4,0.2526475037821483
7,7,5,0.7662671232876712
7,7,6,0.6819595645412131
7,8,0,0.532258064516129
7,8,1,0.3877551020408163
7,8,2,0.39022222222222225
7,8,3,0.2072072072072072
7,8,4,0.13064133016627077
7,8,5,0.8141361256544503
7,8,6,0.6916192026037429
7,9,0,0.3924050632911392
7,9,1,0.27520435967302453
7,9,2,0.16984732824427481
7,9,3,0.027472527472527472
7,9,4,0.19963031423290203
7,9,5,0.8143972246313964
7,9,6,0.5911680911680912
7,10,0,0.49407114624505927
7,10,1,0.4032258064516129
7,10,2,0.6689386562804285
7,10,3,0.1282051282051282
7,10,4,0.35903614457831323
7,10,5,0.7856517935258093
7,10,6,0.8013765978367748
7,11,0,0.5291666666666667
7,11,1,0.2996742671009772
7,11,2,0.3115942028985507
7,11,3,0.08411214953271028
7,11,4,0.2165991902834008
7,11,5,0.7528991971454059
7,11,6,0.6684574059861857
7,12,0,0.5884615384615385
7,12,1,0.3076923076923077
7,12,2,0.014127144298688193
7,12,3,0.14039408866995073
7,12,4,0.1585014409221902
7,12,5,0.4771505376344086
7,12,6,0.6029309141660851
7,13,0,0.47950819672131145
7,13,1,0.35051546391752575
7,13,2,0.0
7,13,3,0.24378109452736318
7,13,4,0.2687224669603524
7,13,5,0.747135217723453
7,13,6,0.5497076023391813
7,14,0,0.28634361233480177
7,14,1,0.3292307692307692
7,14,2,0.17618664521319388
7,14,3,0.2952029520295203
7,14,4,0.17553191489361702
7,14,5,0.7445454545454545
7,14,6,0.5812024879060125
7,15,0,0.5416666666666666
7,15,1,0.45493562231759654
7,15,2,0.056719022687609075
7,15,3,0.09722222222222222
7,15,4,0.3176229508196721
7,15,5,0.759825327510917
7,15,6,0.5088874259381172
7,16,0,0.5886792452830188
7,16,1,0.34497816593886466
7,16,2,0.2888283378746594
7,16,3,0.30569948186528495
7,16,4,0.2743589743589744
7,16,5,0.8322869955156951
7,16,6,0.6466275659824047
7,17,0,0.6008771929824561
7,17,1,0.3333333333333333
7,17,2,0.2752457551385165
7,17,3,0.09174311926605505
7,17,4,0.1360824742268041
7,17,5,0.7900172117039587
7,17,6,0.6868131868131868
7,18,0,0.5260663507109005
7,18,1,0.42391304347826086
7,18,2,0.46672914714151825
7,18,3,0.07246376811594203
7,18,4,0.16973415132924335
7,18,5,0.7873612297181896
7,18,6,0.7480519480519481
7,19,0,0.33183856502242154
7,19,1,0.30952380952380953
7,19,2,0.3129548762736536
7,19,3,0.13617021276595745
7,19,4,0.17210682492581603
7,19,5,0.6918402777777778
7,19,6,0.6363636363636364
7,20,0,0.48739495798319327
7,20,1,0.2884012539184953
7,20,2,0.09371980676328502
7,20,3,0.13625866050808313
7,20,4,0.26968973747016706
7,20,5,0.5973920130399348
7,20,6,0.5459423205902079
8,1,0,0.26688815060908083
8,1,1,0.2
8,1,2,0.35080645161290325
8,1,3,0.7116345467523197
8,1,4,0.7303877366997295
8,1,5,0.00975609756097561
8,1,6,0.34110787172011664
8,1,7,0.12224938875305623
8,2,0,0.24366041896361632
8,2,1,0.22594142259414227
8,2,2,0.5621621621621622
8,2,3,0.784167289021658
8,2,4,0.6994072819644369
8,2,5,0.2680851063829787
8,2,6,0.3611111111111111
8,2,7,0.030211480362537766
8,3,0,0.24063564131668558
8,3,1,0.19900497512437812
8,3,2,0.47794117647058826
8,3,3,0.7816527672479151
8,3,4,0.6462530217566479
8,3,5,0.2393617021276596
8,3,6,0.17551020408163265
8,3,7,0.024793388429752067
8,4,0,0.4148380355276907
8,4,1,0.22026431718061673
8,4,2,0.27111111111111114
8,4,3,0.7228300510576222
8,4,4,0.615838247683235
8,4,5,0.013100436681222707
8,4,6,0.39880952380952384
8,4,7,0.014134275618374558
8,5,0,0.0010940919037199124
8,5,1,0.16194331983805668
8,5,2,0.25980392156862747
8,5,3,0.723965763195435
8,5,4,0.5803981623277182
8,5,5,0.21
8,5,6,0.3169642857142857
8,5,7,0.024475524475524476
8,6,0,0.44433299899699097
8,6,1,0.17777777777777778
8,6,2,0.5238095238095238
8,6,3,0.7758064516129032
8,6,4,0.6899441340782123
8,6,5,0.20069204152249134
8,6,6,0.1974921630094044
8,6,7,0.12441314553990611
8,7,0,0.5537190082644629
8,7,1,0.14285714285714285
8,7,2,0.33725490196078434
8,7,3,0.8046744574290484
