run,seed,K,reference_cluster,matched_candidate_cluster,jaccard,recall,precision
15,10057,7,5,1,0.4444444444444444,0.5161290322580645,0.7619047619047619
15,10057,7,6,4,0.2641509433962264,0.2916666666666667,0.7368421052631579
16,10058,6,0,4,0.40476190476190477,0.42857142857142855,0.8793103448275862
16,10058,6,1,2,0.11627906976744186,0.3333333333333333,0.15151515151515152
16,10058,6,2,3,0.9285714285714286,0.9629629629629629,0.9629629629629629
16,10058,6,3,0,0.41304347826086957,0.59375,0.5757575757575758
16,10058,6,4,5,0.8333333333333334,0.8823529411764706,0.9375
16,10058,6,5,1,0.8522727272727273,0.9375,0.9036144578313253
16,10058,7,0,4,0.7777777777777778,0.8235294117647058,0.9333333333333333
16,10058,7,1,0,0.34375,0.3905325443786982,0.7415730337078652
16,10058,7,2,6,0.5,0.6774193548387096,0.65625
16,10058,7,3,3,0.19696969696969696,0.5131578947368421,0.2422360248447205
16,10058,7,4,2,0.4777777777777778,0.7166666666666667,0.589041095890411
16,10058,7,5,5,0.84375,0.8709677419354839,0.9642857142857143
16,10058,7,6,1,0.5471698113207547,0.6041666666666666,0.8529411764705882
17,10059,6,0,4,0.40476190476190477,0.42857142857142855,0.8793103448275862
17,10059,6,1,0,0.37037037037037035,0.6666666666666666,0.45454545454545453
17,10059,6,2,1,0.8666666666666667,0.9629629629629629,0.896551724137931
17,10059,6,3,5,0.1357142857142857,0.296875,0.2
17,10059,6,4,2,0.75,0.8823529411764706,0.8333333333333334
17,10059,6,5,3,0.8522727272727273,0.9375,0.9036144578313253
17,10059,7,0,0,0.55,0.6470588235294118,0.7857142857142857
17,10059,7,1,1,0.5421052631578948,0.6094674556213018,0.8306451612903226
17,10059,7,2,4,0.9117647058823529,1.0,0.9117647058823529
17,10059,7,3,3,0.31547619047619047,0.6973684210526315,0.36551724137931035
17,10059,7,4,5,0.6419753086419753,0.8666666666666667,0.7123287671232876
17,10059,7,5,2,0.3611111111111111,0.41935483870967744,0.7222222222222222
17,10059,7,6,6,0.44,0.4583333333333333,0.9166666666666666
18,10060,6,0,3,0.4896551724137931,0.5966386554621849,0.7319587628865979
18,10060,6,1,4,0.1271186440677966,0.3333333333333333,0.17045454545454544
18,10060,6,2,1,0.8620689655172413,0.9259259259259259,0.9259259259259259
18,10060,6,3,5,0.3956043956043956,0.5625,0.5714285714285714
18,10060,6,4,0,1.0,1.0,1.0
18,10060,6,5,2,0.7543859649122807,0.80625,0.9214285714285714
18,10060,7,0,1,0.75,0.8823529411764706,0.8333333333333334
18,10060,7,1,6,0.7684210526315789,0.863905325443787,0.874251497005988
18,10060,7,2,5,0.875,0.9032258064516129,0.9655172413793104
18,10060,7,3,4,0.5555555555555556,0.5921052631578947,0.9
18,10060,7,4,0,0.7887323943661971,0.9333333333333333,0.835820895522388
18,10060,7,5,2,0.71875,0.7419354838709677,0.9583333333333334
18,10060,7,6,3,0.6025641025641025,0.9791666666666666,0.6103896103896104
19,10061,6,0,3,0.3442622950819672,0.35294117647058826,0.9333333333333333
19,10061,6,1,5,0.4318181818181818,0.8444444444444444,0.4691358024691358
19,10061,6,2,0,0.39473684210526316,0.5555555555555556,0.5769230769230769
19,10061,6,3,4,0.14655172413793102,0.265625,0.2463768115942029
19,10061,6,4,1,0.7,0.8235294117647058,0.8235294117647058
19,10061,6,5,2,0.475,0.7125,0.5876288659793815
19,10061,7,0,3,0.55,0.6470588235294118,0.7857142857142857
19,10061,7,1,4,0.5701357466063348,0.7455621301775148,0.7078651685393258
19,10061,7,2,0,0.5576923076923077,0.9354838709677419,0.58
19,10061,7,3,6,0.32432432432432434,0.47368421052631576,0.5070422535211268
19,10061,7,4,1,0.05737704918032787,0.11666666666666667,0.10144927536231885
19,10061,7,5,2,0.2631578947368421,0.3225806451612903,0.5882352941176471
19,10061,7,6,5,0.5576923076923077,0.6041666666666666,0.8787878787878788
20,10062,6,0,3,0.6754966887417219,0.8571428571428571,0.7611940298507462
20,10062,6,1,0,0.0,0.0,0.0
20,10062,6,2,5,0.896551724137931,0.9629629629629629,0.9285714285714286
20,10062,6,3,4,0.5454545454545454,0.84375,0.6067415730337079
20,10062,6,4,1,0.75,0.8823529411764706,0.8333333333333334
20,10062,6,5,2,0.7857142857142857,0.825,0.9428571428571428
20,10062,7,0,5,0.55,0.6470588235294118,0.7857142857142857
20,10062,7,1,6,0.7860696517412935,0.9349112426035503,0.8315789473684211
20,10062,7,2,4,0.5,0.967741935483871,0.5084745762711864
20,10062,7,3,2,0.5555555555555556,0.6578947368421053,0.78125
20,10062,7,4,0,0.12345679012345678,0.16666666666666666,0.3225806451612903
20,10062,7,5,3,0.2894736842105263,0.3548387096774194,0.6111111111111112
20,10062,7,6,1,0.8245614035087719,0.9791666666666666,0.8392857142857143
