unit,k6,k7,Station,mode_label,lon,lat,best_matched_k7_for_k6,follows_best_match
764,1,2,White City,LU,-0.2244621452540354,51.5122152625013,2,True
765,5,1,Willesden Green,LU,-0.2227167285540804,51.54937241454188,1,True
766,5,3,Willesden Junction,"LO,LU",-0.2445731603163596,51.53240375197415,1,False
767,0,6,Wimbledon,LU,-0.2065150560922177,51.42143496760067,3,False
768,0,1,Wimbledon Park,LU,-0.1990863401084273,51.43405524828911,3,False
769,5,1,Woodford,LU,0.03401185348011,51.60686112070409,1,True
770,5,5,Wood Green,LU,-0.1098590191239897,51.5974714659873,1,False
771,0,1,Woodside Park,LU,-0.1855114363532535,51.61808637995582,3,False
773,3,4,Hammersmith (H&C),LU,-0.2249293587788519,51.49378399419851,4,True
774,5,4,Edgware Road (Bak),LU,-0.1702481178612425,51.52046920147198,1,False
775,3,4,Shepherd's Bush Market,LU,-0.2262959221921962,51.50609054189476,4,True
776,5,1,Pimlico,LU,-0.1337087125034068,51.489081972458365,1,True
