iteration,K,reference_cluster,matched_candidate_cluster,jaccard,recall,precision,reference_size,candidate_size
6,7,0,1,0.5454545454545454,0.7058823529411765,0.7058823529411765,17,17
6,7,1,2,0.7631578947368421,0.8579881656804734,0.8734939759036144,169,166
6,7,2,6,0.75,0.8709677419354839,0.84375,31,32
6,7,3,5,0.0,0.0,0.0,76,1
6,7,4,4,0.47572815533980584,0.8166666666666667,0.532608695652174,60,92
6,7,5,3,0.5897435897435898,0.7419354838709677,0.7419354838709677,31,31
6,7,6,0,0.5,0.9791666666666666,0.5053763440860215,48,93
7,6,0,3,0.2777777777777778,0.29411764705882354,0.8333333333333334,119,42
7,6,1,1,0.4725274725274725,0.9555555555555556,0.48314606741573035,45,89
7,6,2,5,0.4897959183673469,0.8888888888888888,0.5217391304347826,27,46
7,6,3,4,0.3157894736842105,0.375,0.6666666666666666,64,36
7,6,4,2,0.058823529411764705,0.058823529411764705,1.0,17,1
7,6,5,0,0.5815899581589958,0.86875,0.6376146788990825,160,218
7,7,0,4,0.44,0.6470588235294118,0.5789473684210527,17,19
7,7,1,3,0.743455497382199,0.8402366863905325,0.8658536585365854,169,164
7,7,2,6,0.2222222222222222,0.3225806451612903,0.4166666666666667,31,24
7,7,3,2,0.3904761904761905,0.5394736842105263,0.5857142857142857,76,70
