NLC,tot_entry,tot_exit,total_activity
585,494.9221961430001,1137.175840194,1632.0980363370002
586,3444.7602948,963.9054862650003,4408.665781065
587,21.95263311346982,291.220322848,313.1729559614698
588,3149.26359329,1198.5276754350004,4347.791268725
589,560.7174166512348,2064.506895905,2625.2243125562345
590,20436.432248299992,5281.700092034001,25718.132340333992
591,1442.6158593469063,1614.3938997692176,3057.009759116124
592,295.9859190324526,2346.879327045,2642.865246077453
593,10403.811706023684,8640.249688073449,19044.06139409713
594,1078.750855877,1667.9155046199996,2746.666360497
595,598.789219577662,1692.7343248762438,2291.5235444539057
596,793.578764828525,1192.6804679176,1986.259232746125
597,976.94533650028,3273.171742305281,4250.117078805561
598,1657.273313972964,4913.693356088,6570.966670060963
599,2109.8093217531864,1667.2004584468257,3777.009780200012
601,1186.4911316917999,2911.790742275,4098.2818739668
602,536.5003762614771,2363.452449729999,2899.952825991476
603,6143.107842794001,6905.924922173324,13049.032764967325
604,814.5039668967084,3210.132691475001,4024.6366583717095
605,4296.885770436,2769.1635096400005,7066.049280076
606,189.92418900280006,912.33718603,1102.2613750328
607,13647.139429500003,3962.7994089699996,17609.938838470003
608,820.5084011619998,1171.6152797175002,1992.1236808795002
609,1395.8271228249998,2601.0788436200005,3996.9059664450006
610,229.21571839103396,1056.46991706,1285.685635451034
611,448.30122559241863,2266.80307991,2715.104305502419
612,484.09539995903754,2587.4927877679997,3071.588187727037
613,411.67813261477613,2154.7660568000006,2566.4441894147767
614,1790.339988881072,595.1902959300002,2385.5302848110723
615,114.68371462703526,486.33550418849387,601.0192188155291
616,1401.5212934280878,3081.957711726499,4483.479005154587
617,362.7047872158831,1376.3148764716902,1739.0196636875733
618,1029.391716293,596.776125525,1626.167841818
619,3823.7737244416817,4361.52609763007,8185.299822071751
620,460.4260570713542,881.9628180618711,1342.3888751332252
621,588.3482583627327,1558.1774070818349,2146.5256654445675
622,1477.4886345710681,3241.808221353091,4719.296855924159
623,643.5373904599999,1655.2178712275,2298.7552616875
624,579.8538301261719,2447.718583706,3027.572413832172
625,32169.306497905378,25979.680722830428,58148.987220735806
626,7868.473922599997,2330.0156812499995,10198.489603849997
627,1641.8718900030003,1938.1966928540005,3580.068582857001
628,896.4461233945968,1127.96676942,2024.412892814597
629,912.4124853163412,1368.4250188331714,2280.837504149513
630,858.80358634,847.5733353180003,1706.3769216580004
631,20946.12498558,7786.133282059998,28732.258267639998
632,1836.84108233,6027.014077115,7863.855159445
633,1406.112849455245,4497.956136418126,5904.068985873371
