NLC,tot_entry,tot_exit,total_activity
626,20191.59975852095,6656.045972138866,26847.645730659817
627,4579.6261203468,3855.6133852327234,8435.239505579524
628,2070.4474578800005,2637.5639359099996,4708.0113937900005
629,2891.7615772220365,3896.4647243923005,6788.226301614337
630,1421.8247416545,1538.113359808553,2959.938101463053
631,67787.98435601739,30069.412357378,97857.3967133954
632,5364.032776670468,11602.202935448056,16966.235712118523
633,4098.387018583733,9157.45905171872,13255.846070302454
634,56975.750341232466,54886.880099585906,111862.63044081838
635,62504.88171076264,51971.08257826202,114475.96428902466
636,1209.8614038438889,3505.04519474388,4714.906598587769
637,2085.0142111700006,3150.843179705,5235.857390875
638,4118.505486481192,8848.092948049063,12966.598434530255
639,3054.880084600001,1715.7211134799995,4770.60119808
640,11590.956851696003,6414.1333180143965,18005.0901697104
641,5947.149359344429,9552.530732841778,15499.680092186209
642,8727.784155968002,13938.016518004995,22665.800673972997
643,613.2932311959152,1662.29384248,2275.5870736759152
645,16073.806032458351,9780.051503526123,25853.857535984476
646,299.11283662066563,665.853797032189,964.9666336528546
647,4591.16284068,12784.658244200005,17375.821084880004
648,4186.727286865157,3286.042975749912,7472.770262615069
649,1272.48350387951,2948.684984224892,4221.168488104402
650,1083.0981447791498,4503.278641369902,5586.376786149052
653,3471.258826967,7196.891151705081,10668.149978672081
654,253.02206460384673,592.3742851020003,845.396349705847
655,1312.812449395007,3399.4133600282553,4712.225809423262
656,546.5724406364797,1801.8844363399996,2348.456876976479
657,1542.9309225671198,5531.926647603999,7074.857570171119
659,603.0496359906873,1672.3462674712223,2275.3959034619097
660,1819.495227851827,2780.79646022668,4600.291688078507
661,967.8230903486137,2231.3984222699996,3199.2215126186134
662,585.8538280131052,1380.237624171,1966.0914521841053
663,12606.336774920395,10204.2692478343,22810.606022754695
664,1173.7136190489912,3486.059305702001,4659.772924750992
665,18567.382183578004,17805.027018737,36372.409202315
667,650.9351885926002,2288.5774628432,2939.5126514358003
668,4916.572621954601,7259.317540243402,12175.890162198004
669,70823.49713138332,34869.99517403009,105693.49230541341
670,43082.74033290594,52058.52318447826,95141.2635173842
671,1302.1547664212555,1968.5838913349487,3270.7386577562042
672,4279.582781550001,5440.11554957,9719.698331120002
673,769.650881132788,1980.3568476699998,2750.007728802788
674,62393.92811945446,31752.332684702,94146.26080415645
675,1019.0852697750003,2704.0782202424007,3723.163490017401
676,2049.6418323,5589.0707600000005,7638.7125923
677,1003.2216742335522,2880.1034693299994,3883.3251435635516
678,3190.3864177600003,4785.1421073,7975.528525060001
679,1173.0663206806462,3975.360010050001,5148.426330730647
680,3094.4733925428513,5881.4748029373095,8975.948195480161
681,5785.7400814700395,8195.267743909,13981.00782537904
