NLC,cluster,max_posterior,entropy,tot_entry,tot_exit,total_activity,Station,Fare Zone,easting,northing,lon,lat,catchment_area_m2,station_in_lnwc_extent,lnwc_1_share,lnwc_2_share,lnwc_3_share,lnwc_4_share,lnwc_5_share,lnwc_6_share,lnwc_7_share,covered_area_m2,lnwc_coverage_ratio,analysis_eligible,dominant_lnwc,lnwc_entropy_normalized,exclusion_reason
561,0,1.0,2.569702232019675e-28,2303.3179382436024,4984.9985703555,7288.316508599102,Ealing Common,3,518895.9685,180345.996200001,-0.2881437733169945,51.50954325566993,1271993.2185083863,True,0.0,0.022948250529752467,0.0,0.26682817298077177,0.3834517735392895,0.32677180295018626,0.0,1271993.2185083819,0.9999999999999966,True,5,0.6023839651394471,
562,2,1.0,6.396719084636541e-13,27622.40080070901,43334.3943087656,70956.79510947461,Earl's Court,1/2,525534.3012,178551.8071,-0.1931754026297784,51.49198454803539,637520.2152337426,True,0.09286640756889197,0.8352310943806358,0.07190249805047222,0.0,0.0,0.0,0.0,637520.2152337487,1.0000000000000095,True,2,0.2879710114837494,
563,0,1.0,1.995944694608074e-48,4494.830234434071,9275.1960687566,13770.026303190669,East Acton,2,521720.9991,181197.768999999,-0.2471625219934364,51.51659745054098,2911154.835861568,True,0.0,0.14398825357721523,0.1569509943668526,0.6955274705174842,0.0035332815384479443,0.0,0.0,2911154.8358615744,1.0000000000000022,True,4,0.43279518912334314,
564,4,1.0,5.069269687393374e-16,1721.8610796257235,5859.480321503004,7581.341401128728,Eastcote,5,511153.3473,187621.8123,-0.3973680168635398,51.576511969832765,3012308.850804296,True,0.0,0.0,0.0,0.0,0.6259008224803132,0.21852845030887463,0.15557072721081208,3012308.850804321,1.0000000000000084,True,5,0.47026026036166,
565,0,1.0,2.932842754351731e-31,5377.726258523599,16289.543558362002,21667.2698168856,East Finchley,3,527221.696,189183.6545,-0.1650441219039346,51.58715402026014,4069043.0726155285,True,0.0,0.01323842297305829,0.02514990523296875,0.05817529037176415,0.6524377781729455,0.13208454342323517,0.11891405982602823,4069043.0726155257,0.9999999999999993,True,5,0.5727658672123507,
566,4,0.9999997938735062,3.3793987003017467e-06,12101.66896228401,32374.14898746,44475.817949744014,East Ham,3/4,542463.3563,184275.4352,0.052826568311649,51.53940709913807,3488989.066784049,True,0.02202027402204697,0.09636865081321248,0.20831937743611253,0.6341827804259739,0.019417193410046774,0.019691723892607337,0.0,3488989.0667840387,0.9999999999999971,True,4,0.5544792746791675,
567,0,1.0,3.967772966841706e-25,6883.42049301447,17355.99079116461,24239.41128417908,East Putney,2/3,524381.7165,174869.93,-0.2110636822805433,51.459149587092405,2951421.222316108,True,0.07014778189211858,0.21205247140051406,0.34351360028498756,0.24655930606580906,0.09014798135516192,0.037578859001408914,0.0,2907531.452508307,0.9851292762022769,True,3,0.8056775571575304,
568,0,1.0,7.271593015142656e-15,3567.356815224,11364.078103059994,14931.434918283994,Edgware,5,519550.4974,191940.4673,-0.2747777712374005,51.61360827412279,3241701.377997777,True,0.0,0.11522099060803034,0.09730466634744311,0.22656588283696183,0.4453105361887164,0.004236733374906271,0.11136119064394198,3241701.377997795,1.0000000000000056,True,5,0.7399686638050303,
569,2,1.0,4.905914737972757e-13,11572.099730892143,10494.686433429484,22066.786164321627,Edgware Road (DIS),1,527220.0675,181696.8814,-0.1677731663889066,51.51987245129845,324389.5444046781,True,0.9608701428164041,0.03896803168436459,0.0001618254992313106,0.0,0.0,0.0,0.0,324389.54440469306,1.0000000000000462,True,1,0.08541939498494247,
570,2,1.0,2.295757605555078e-28,28050.42101402668,36529.689299999634,64580.11031402632,Elephant & Castle LU,1/2,531908.9646,179141.8869,-0.1011862761028003,51.49583746787788,1137091.3026101354,True,0.5144802307344302,0.3712285519037253,0.055789674775699266,0.05850154258614541,0.0,0.0,0.0,1137091.302610141,1.0000000000000049,True,1,0.5328476216307665,
