iteration,K,sample_unique_n,model_seed,ARI,converged,n_iter,convergence_warnings
26,6,171,235484255,0.8820704242931289,True,9,0
26,7,171,235484256,0.5305555077596946,True,9,0
26,8,171,235484257,0.5153026179051428,True,7,0
27,3,176,1448422061,0.991545926969134,True,7,0
27,4,176,1448422062,0.8919943294624814,True,22,0
27,5,176,1448422063,0.47768228864996737,True,11,0
27,6,176,1448422064,0.7395828702022222,True,11,0
27,7,176,1448422065,0.4623681574557365,True,8,0
27,8,176,1448422066,0.5565558294912233,True,6,0
28,3,169,329685301,0.4940359274122463,True,7,0
28,4,169,329685302,0.8248974645469671,True,6,0
28,5,169,329685303,0.6682650805091714,True,9,0
28,6,169,329685304,0.5793999712743951,True,11,0
28,7,169,329685305,0.5997010464076068,True,10,0
28,8,169,329685306,0.4718316885113098,True,6,0
29,3,174,204426661,0.8987029091260663,True,6,0
29,4,174,204426662,0.8584600802885135,True,7,0
29,5,174,204426663,0.5744538107016344,True,6,0
29,6,174,204426664,0.5047186006068582,True,10,0
29,7,174,204426665,0.5434196830588381,True,9,0
29,8,174,204426666,0.5102063653822783,True,6,0
30,3,166,255071932,0.8539171264831212,True,27,0
30,4,166,255071933,0.5251355510988989,True,6,0
30,5,166,255071934,0.5461062534548013,True,27,0
30,6,166,255071935,0.5607133334740522,True,5,0
30,7,166,255071936,0.4572477110592966,True,5,0
30,8,166,255071937,0.45358753011006947,True,11,0
31,3,175,1465224839,0.7335985823142561,True,2,0
31,4,175,1465224840,0.7515416602498318,True,13,0
31,5,175,1465224841,0.504029506547353,True,13,0
31,6,175,1465224842,0.6717137062682854,True,13,0
31,7,175,1465224843,0.6733005725899671,True,9,0
31,8,175,1465224844,0.46559725572728444,True,11,0
32,3,172,150992022,0.48894018282803564,True,6,0
32,4,172,150992023,0.556431154338724,True,5,0
32,5,172,150992024,0.5532930766759033,True,10,0
32,6,172,150992025,0.5944232402159985,True,6,0
32,7,172,150992026,0.5354964530970143,True,8,0
32,8,172,150992027,0.4811702781769643,True,10,0
33,3,176,1982445968,0.9832212990825231,True,11,0
33,4,176,1982445969,0.7440465531375525,True,11,0
33,5,176,1982445970,0.5154379394332995,True,11,0
33,6,176,1982445971,0.5966158389807784,True,13,0
33,7,176,1982445972,0.5311278670782781,True,10,0
33,8,176,1982445973,0.4755556566143361,True,8,0
34,3,161,1840734069,0.5177014723894903,True,5,0
34,4,161,1840734070,0.5326053354746525,True,7,0
34,5,161,1840734071,0.5659789016762636,True,6,0
34,6,161,1840734072,0.5281843113587624,True,9,0
34,7,161,1840734073,0.41233156708280466,True,6,0
34,8,161,1840734074,0.6563689244986933,True,12,0
35,3,176,976680780,0.8987029091260663,True,5,0
35,4,176,976680781,0.7965836202749792,True,13,0
35,5,176,976680782,0.5464970566860095,True,10,0
35,6,176,976680783,0.519825847487528,True,7,0
35,7,176,976680784,0.6933345243731183,True,8,0
35,8,176,976680785,0.4839820048213473,True,10,0
36,3,170,1461214579,0.991545926969134,True,8,0
36,4,170,1461214580,0.790528775226798,True,6,0
36,5,170,1461214581,0.49990536332574187,True,9,0
36,6,170,1461214582,0.7007139738556817,True,8,0
36,7,170,1461214583,0.6124579269625052,True,8,0
36,8,170,1461214584,0.5107101706608909,True,7,0
37,3,167,2077800885,0.974961384529603,True,6,0
37,4,167,2077800886,0.8103437126992947,True,5,0
37,5,167,2077800887,0.6648581985079307,True,5,0
37,6,167,2077800888,0.663929102603107,True,6,0
37,7,167,2077800889,0.6189620266415347,True,6,0
37,8,167,2077800890,0.4632189541293544,True,9,0
38,3,176,1920471584,0.8848600035238288,True,5,0
38,4,176,1920471585,0.6680305991520517,True,5,0
38,5,176,1920471586,0.5272827961719181,True,11,0
38,6,176,1920471587,0.7555262467341186,True,12,0
38,7,176,1920471588,0.4955700960648778,True,14,0
38,8,176,1920471589,0.4959849399774602,True,5,0
39,3,175,2036007668,0.9435569910708937,True,7,0
39,4,175,2036007669,0.8847668138310391,True,12,0
39,5,175,2036007670,0.3561751422871078,True,9,0
39,6,175,2036007671,0.5042747280836218,True,9,0
39,7,175,2036007672,0.5742876702520351,True,7,0
39,8,175,2036007673,0.6209505552416077,True,15,0
40,3,177,758935705,0.8781189170174396,True,5,0
40,4,177,758935706,0.7386810970032666,True,10,0
40,5,177,758935707,0.5595520458825154,True,5,0
40,6,177,758935708,0.5159092743690337,True,11,0
40,7,177,758935709,0.5641693610782048,True,9,0
40,8,177,758935710,0.4700120922872634,True,11,0
41,3,174,611241389,0.49529146913824573,True,4,0
41,4,174,611241390,0.7746967834259495,True,6,0
41,5,174,611241391,0.5535271119513095,True,5,0
41,6,174,611241392,0.5110518759908843,True,5,0
41,7,174,611241393,0.5857575602354047,True,9,0
41,8,174,611241394,0.49185584031154667,True,8,0
42,3,164,1171754856,0.8850325472735512,True,10,0
42,4,164,1171754857,0.6076548406510601,True,10,0
42,5,164,1171754858,0.43915875170526125,True,10,0
42,6,164,1171754859,0.5028810097505708,True,10,0
42,7,164,1171754860,0.5612126859215669,True,9,0
42,8,164,1171754861,0.6109134381375934,True,9,0
43,3,171,1017066454,0.4929119278893493,True,8,0
43,4,171,1017066455,0.9007701588587198,True,5,0
43,5,171,1017066456,0.5058709740025429,True,9,0
43,6,171,1017066457,0.7302531102254024,True,5,0
43,7,171,1017066458,0.5426490408159568,True,7,0
43,8,171,1017066459,0.594053226603491,True,11,0
44,3,172,334138917,0.8524096260758057,True,6,0
44,4,172,334138918,0.7282342158420052,True,8,0
44,5,172,334138919,0.4946278255237653,True,9,0
44,6,172,334138920,0.48387009324479185,True,7,0
44,7,172,334138921,0.4771704433648488,True,6,0
44,8,172,334138922,0.48303320191297194,True,11,0
45,3,173,117859386,0.8781189170174396,True,6,0
45,4,173,117859387,0.7072851623190383,True,6,0
45,5,173,117859388,0.5637268301289973,True,6,0
