K,cluster,n,silhouette_mean,silhouette_sd,silhouette_median,silhouette_q025,silhouette_q975,silhouette_min,silhouette_max,negative_silhouette_share
11,8,3,0.4382768584043002,0.03474941224945108,0.4556672000200062,0.39307089739089823,0.4687010290443519,0.38977635514726094,0.46938702004563326,0.0
11,9,26,0.05690027549340609,0.10119114413513192,0.0657387696109178,-0.1051054938100561,0.21756944600823053,-0.12044410552933922,0.23604456124860662,0.38461538461538464
11,10,22,-0.029721138637311163,0.1344273982609452,-0.014511776830956741,-0.2636632641716337,0.15993396427044837,-0.3231846917049934,0.16001592125171507,0.5909090909090909
12,0,29,0.02702052046200555,0.09051365311906426,0.0297904889266172,-0.11964999454789274,0.16307089958081403,-0.14045699832092579,0.16893189561392738,0.4482758620689655
12,1,30,0.2098838452385199,0.0858647797397655,0.22409550538764664,-0.027081782302355632,0.3153815372041451,-0.07171282234053475,0.3172078474373622,0.06666666666666667
12,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3,18,0.08524865367068714,0.07708867782964861,0.11444183990373077,-0.03470339000542504,0.21190604565958832,-0.042283008799822705,0.23986049646474733,0.2222222222222222
12,4,25,-0.09809947547915915,0.12879783137171766,-0.1152344698889305,-0.30395941440162855,0.10583916043738287,-0.34136560712958625,0.10889981666045506,0.76
12,5,19,-0.055824633814007034,0.11738248836218897,-0.015749948544158385,-0.3052182731211758,0.08719275137172056,-0.4035971095177545,0.09001176335029117,0.6842105263157895
12,6,47,0.08922850169309371,0.13128976301255185,0.1278334971388897,-0.17418048827830948,0.25027120160078203,-0.3360491356152858,0.2605500068954306,0.2127659574468085
12,7,33,-0.012063619819040776,0.13011041423773212,0.016675718610531846,-0.22123492910546322,0.17290892840432515,-0.22231647668468732,0.1785680807919135,0.48484848484848486
12,8,21,0.08473595371460098,0.11861909497345285,0.0864397894181796,-0.16920299238448538,0.2353745089101643,-0.18352323535335213,0.24691057226167182,0.23809523809523808
12,9,3,0.43643237504030813,0.034463584326789726,0.45383706705230675,0.3915806084919329,0.4664901533784846,0.388303952778229,0.4671561052903887,0.0
12,10,5,0.2414346589304614,0.14452671995849248,0.2945431842290705,-0.010846765015708582,0.3483509055272624,-0.04428314428263273,0.3520845561191704,0.2
12,11,39,-0.004590558087395984,0.16034590361458168,-0.03667094244765072,-0.31436398008584643,0.2202443968190638,-0.32716386856008467,0.2286409724738647,0.5384615384615384
