K,reference_cluster,replicates,jaccard_mean,jaccard_sd,jaccard_median,jaccard_q025,jaccard_q975,jaccard_min,jaccard_max,recall_mean,recall_sd,recall_median,recall_q025,recall_q975,recall_min,recall_max,precision_mean,precision_sd,precision_median,precision_q025,precision_q975,precision_min,precision_max,share_jaccard_below_0_50,share_jaccard_at_least_0_75
5,3,200,0.6244782830245478,0.1565885377390471,0.5901639344262295,0.41024590163934427,0.9375240384615384,0.36065573770491804,1.0,0.6667213114754098,0.17077616575695706,0.6065573770491803,0.4426229508196721,1.0,0.36065573770491804,1.0,0.9167246151211725,0.09246619346858881,0.9461872586872586,0.6529111644657862,1.0,0.5409836065573771,1.0,0.265,0.24
5,4,200,0.5583944856950633,0.17632397516702003,0.5760869565217391,0.0,0.7612818261633011,0.0,1.0,0.8846226415094339,0.26318676796317225,0.9811320754716981,0.0,1.0,0.0,1.0,0.5904000282505015,0.18130927112176376,0.6086517552034794,0.0,0.9340196078431374,0.0,1.0,0.185,0.035
6,0,200,0.17507510853146654,0.26834150600549295,0.0,0.0,0.8161090225563911,0.0,0.8787878787878788,0.26725806451612905,0.399054260482924,0.0,0.0,1.0,0.0,1.0,0.22708930838742716,0.3392167093777808,0.0,0.0,1.0,0.0,1.0,0.83,0.055
6,1,200,0.7064349773700189,0.13075925091119503,0.717948717948718,0.45536184210526315,0.916722972972973,0.3050847457627119,0.9714285714285714,0.843,0.13755881858837177,0.8571428571428571,0.5135714285714286,1.0,0.37142857142857144,1.0,0.8256947940375978,0.12822652705620538,0.8514705882352941,0.5467447916666667,1.0,0.39080459770114945,1.0,0.07,0.415
6,2,200,0.5672406151575277,0.15260899096525002,0.5819064656273959,0.18880952380952382,0.8114964228934819,0.0,0.9253731343283582,0.7993548387096774,0.2106098374768841,0.8306451612903226,0.22580645161290322,1.0,0.0,1.0,0.6632354730635884,0.12171972334351429,0.6421052631578947,0.4302755376344086,0.9255721393034826,0.0,1.0,0.22,0.085
6,3,200,0.7884330344311512,0.14986675228118923,0.796875,0.4234402852049911,0.9622641509433962,0.0,0.9807692307692307,0.8954901960784314,0.1670596290139838,0.9607843137254902,0.5083333333333333,1.0,0.0,1.0,0.8735054191411344,0.136573747805251,0.9090909090909091,0.6978310502283105,1.0,0.0,1.0,0.04,0.715
6,4,200,0.6248097938215583,0.1818608126922155,0.6514837819185646,0.25756493506493505,0.921875,0.0,0.9836065573770492,0.6886065573770491,0.1846974144647684,0.7213114754098361,0.29508196721311475,0.9836065573770492,0.0,1.0,0.8579571388417275,0.1297616023720744,0.8976819541375873,0.6049753289473684,1.0,0.0,1.0,0.275,0.285
6,5,200,0.5668028210913272,0.2314160145362424,0.5909090909090909,0.03333333333333333,0.90625,0.0,0.9354838709677419,0.7155000000000001,0.2397887380359822,0.8,0.03333333333333333,0.9666666666666667,0.0,1.0,0.7546611664101539,0.2504231113851305,0.8449519230769231,0.31839285714285726,1.0,0.0,1.0,0.395,0.295
7,0,200,0.5489784819882675,0.18145717096436528,0.5751712328767122,0.16208538083538085,0.8716577825159916,0.14285714285714285,0.96875,0.7179032258064515,0.23563290688146896,0.7580645161290323,0.225,1.0,0.16129032258064516,1.0,0.7028941332377971,0.14647085444883953,0.6666666666666666,0.423532196969697,1.0,0.32558139534883723,1.0,0.365,0.12
7,1,200,0.4929164967079149,0.16906893955997945,0.5109649122807018,0.0,0.7732007575757577,0.0,0.8297872340425532,0.7085897435897437,0.24903729828458152,0.7692307692307693,0.0,1.0,0.0,1.0,0.6129743485477838,0.17185111709447018,0.6153846153846154,0.0,0.9379261363636364,0.0,1.0,0.43,0.035
