NLC,tot_entry,tot_exit,total_activity,ASC,Station,Fare Zone,mode_label
569,11572.099730892143,10494.686433429484,22066.786164321627,569,Edgware Road (DIS),,LU
570,28050.42101402668,36529.689299999634,64580.110314026315,570,Elephant & Castle LU,,LU
571,1586.740774435708,7174.0045893407005,8760.745363776408,571,Elm Park,,LU
572,2191.1125431742994,9628.462191740005,11819.574734914306,572,Epping,,LU
573,9242.466406255695,19067.676898992566,28310.14330524826,573,Woolwich Arsenal,,DLR
574,98151.29695292066,85241.70799475886,183393.00494767952,574,Euston LU,,"LO,LU"
575,23486.555265275125,13728.20874296794,37214.764008243066,575,Euston Square,,LU
576,667.8264632048237,2839.8286131578457,3507.655076362669,576,Fairlop,,LU
577,84668.20696805742,43853.17846013321,128521.38542819064,577,Farringdon,,"EZL,LU"
578,5611.129866541431,15060.825009251002,20671.954875792435,578,Finchley Central,,LU
579,13859.011138565373,15732.067679270951,29591.078817836322,579,Finchley Road,,LU
580,35581.464859727,61264.00631854646,96845.47117827347,580,Finsbury Park LU,,LU
581,11468.831695478313,12767.817156793844,24236.648852272156,581,Fulham Broadway,,LU
582,4134.559102466431,15444.256561332026,19578.815663798458,582,Gants Hill,,LU
583,24407.797751130398,25217.295337503725,49625.09308863412,583,Gloucester Road,,LU
584,7577.159047743998,17054.375165318783,24631.53421306278,584,Golders Green,,LU
585,2762.5493261292822,5036.689329570003,7799.238655699285,585,Goldhawk Road,,LU
586,13135.597711445736,5103.015572910696,18238.613284356434,586,Goodge Street,,LU
587,160.55516606947992,1057.1905726379991,1217.7457387074792,587,Grange Hill,,LU
588,12106.120524522503,6108.148545019999,18214.2690695425,588,Great Portland Street,,LU
589,2718.8918200978724,8900.11856921,11619.010389307874,589,Greenford,,LU
590,85677.28858531867,29333.864758015003,115011.15334333367,590,Green Park,,LU
591,5433.968033144517,7010.244269512077,12444.212302656593,591,Gunnersbury,,"LO,LU"
592,1828.5436775482451,9656.557632479999,11485.101310028243,592,Hainault,,LU
593,48769.06403958738,43797.03940843131,92566.1034480187,593,Hammersmith (DIS),,LU
594,6678.2833328841325,7883.5061592810025,14561.789492165135,594,Hampstead,,LU
595,3068.4784663107216,8002.181227700959,11070.659694011681,595,Hanger Lane,,LU
596,3529.4243007190494,5329.739678704614,8859.163979423663,596,Harlesden,,"LO,LU"
597,5167.048888099488,14348.788484598319,19515.837372697806,597,Harrow & Wealdstone,,"LO,LU"
598,8755.96524312053,21729.128785416007,30485.094028536536,598,Harrow-on-the-Hill,,LU
599,10131.535420904918,7744.6440905743,17876.17951147922,599,Wood Lane,,LU
601,5702.0536197238025,13317.351760185009,19019.40537990881,601,Hendon Central,,LU
602,3261.1709368446545,10659.307203560002,13920.478140404655,602,High Barnet,,LU
603,34983.95479493609,37616.29122729858,72600.24602223467,603,Highbury & Islington,,"LO,LU"
604,5282.295213712017,13855.511879370013,19137.807093082032,604,Highgate,,LU
605,21121.76072831201,13871.593791580006,34993.35451989202,605,High Street Kensington,,LU
606,1094.3682070146006,3939.399160034002,5033.767367048602,606,Hillingdon,,LU
607,56482.01078501932,21626.501396616324,78108.51218163565,607,Holborn,,LU
608,4406.618131160289,5281.816892010216,9688.435023170505,608,Holland Park,,LU
609,6938.850824795222,12516.000417189996,19454.85124198522,609,Holloway Road,,LU
610,1185.4439385092048,4032.199325984999,5217.643264494204,610,Hornchurch,,LU
611,2722.2669551468357,10169.450272136,12891.717227282836,611,Hounslow Central,,LU
612,3091.1422846880737,12099.770273803993,15190.912558492068,612,Hounslow East,,LU
613,2598.978885594109,10418.408613122003,13017.387498716113,613,Hounslow West,,LU
614,9195.562922127241,3410.0484673161127,12605.611389443355,614,Hyde Park Corner,,LU
615,669.041866268491,2007.7841236816182,2676.825989950109,615,Ickenham,,LU
616,8310.500372500175,15789.110597473,24099.610969973175,616,Kennington,,LU
617,2140.7131600454486,5576.3787784773995,7717.091938522848,617,Kensal Green,,"LO,LU"
618,4157.6481541231005,3176.2041785699994,7333.8523326931,618,Kensington (Olympia),,"LO,LU"
619,16353.330916270634,19803.893132165587,36157.22404843622,619,Kentish Town,,LU
620,2174.729974153384,4120.85822071835,6295.588194871734,620,Kenton,,"LO,LU"
621,3711.125700539765,6607.8828711059095,10319.008571645674,621,Kew Gardens,,"LO,LU"
622,7999.522029542407,15731.579012960625,23731.101042503033,622,Kilburn,,LU
623,3831.573675300002,7792.906557049599,11624.4802323496,623,Kilburn Park,,LU
624,3352.9151847691983,10707.352160442,14060.2673452112,624,Kingsbury,,LU
625,165503.72199652885,147894.4407795046,313398.16277603345,625,King's Cross St. Pancras,,LU
626,41321.24294272093,12722.754548238869,54043.997490959795,626,Knightsbridge,,LU
627,9052.627566275532,8884.542339580723,17937.169905856255,627,Ladbroke Grove,,LU
628,4394.678497737194,5698.446763130001,10093.125260867197,628,Lambeth North,,LU
629,5595.048566227669,7681.0713155205385,13276.119881748207,629,Lancaster Gate,,LU
630,3592.7851276240917,3683.248772744552,7276.033900368644,630,Latimer Road,,LU
631,126260.87123717726,51449.700169598014,177710.57140677527,631,Leicester Square,,LU
632,10325.331992830475,26936.553376778054,37261.88536960853,632,Leyton,,LU
633,7850.679045055606,20541.00703686268,28391.686081918288,633,Leytonstone,,LU
634,227464.22750505782,150798.39848827588,378262.6259933337,634,Liverpool Street LU,,"EZL,LO,LU"
