unit,Station,mode_label,easting,northing,lon,lat,in_greater_london_extent
545,Chiswick Park,LU,520293.2801,178723.680199999,-0.2685715255005448,51.49466748590177,True
546,Chorleywood,LU,502580.7743,196094.9067,-0.5185530310182181,51.65429398451199,False
547,Clapham Common,LU,529504.8104,175338.249199999,-0.1371925356673191,51.46221051259463,True
548,Clapham North,LU,530038.9661,175743.4515,-0.1293589507032176,51.46572960060881,True
549,Clapham South,LU,528834.0334,174322.7074,-0.1472124126324337,51.45323695245536,True
550,Cockfosters,LU,528140.5216,196370.205600001,-0.1491631467827761,51.65152862765704,True
551,Colindale,LU,521318.6301,189961.520300001,-0.2499380568695295,51.59544539419721,True
552,Colliers Wood,LU,526787.9528,170368.2575,-0.1780579960869715,51.41815971696416,True
553,Covent Garden,LU,530250.6062,181025.0034,-0.1243670278686055,51.513144508444505,True
554,Croxley,LU,507909.4599,195402.8332,-0.4417680549234005,51.6470771785801,False
555,Dagenham East,LU,550293.9749,185030.270500001,0.1659760468145935,51.54416043622838,True
556,Dagenham Heathway,LU,549022.5413,184709.7413,0.1475191734684776,51.54161732780605,True
557,Debden,LU,544272.9229,196121.782099999,0.0837668965623632,51.6453918793904,False
558,Dollis Hill,LU,522189.8506,185144.020099999,-0.2390407657243789,51.55196194099086,True
559,West Silvertown,DLR,540490.0,180152.0,0.02275,51.50285,True
5595,Clapham Junction,LO,527223.0,175527.66666666666,-0.1699499999999999,51.46443333333334,True
560,Ealing Broadway,"EZL,LU",517989.3481,180932.526699999,-0.301005548648285,51.51500454109758,True
561,Ealing Common,LU,518895.9685,180345.996200001,-0.2881437733169945,51.50954325566993,True
562,Earl's Court,LU,525534.3012,178551.8071,-0.1931754026297784,51.49198454803539,True
563,East Acton,LU,521720.9991,181197.768999999,-0.2471625219934364,51.51659745054098,True
564,Eastcote,LU,511153.3473,187621.8123,-0.3973680168635398,51.576511969832765,True
565,East Finchley,LU,527221.696,189183.6545,-0.1650441219039346,51.58715402026014,True
566,East Ham,LU,542463.3563,184275.4352,0.052826568311649,51.53940709913807,True
567,East Putney,LU,524381.7165,174869.93,-0.2110636822805433,51.459149587092405,True
568,Edgware,LU,519550.4974,191940.4673,-0.2747777712374005,51.61360827412279,True
569,Edgware Road (DIS),LU,527220.0675,181696.8814,-0.1677731663889066,51.51987245129845,True
570,Elephant & Castle LU,LU,531908.9646,179141.8869,-0.1011862761028003,51.49583746787788,True
571,Elm Park,LU,552542.0054,185716.105799999,0.1986662037147443,51.54971988694184,True
572,Epping,LU,546209.4306,201538.4,0.1139996191841897,51.69356092525262,False
573,Woolwich Arsenal,DLR,543720.0,178850.66666666666,0.0687233333333333,51.49034666666666,True
574,Euston LU,"LO,LU",529498.32,182668.2502,-0.1345986091511734,51.52808458451346,True
575,Euston Square,LU,529416.5999,182393.381999999,-0.1358768735158491,51.525633154752434,True
576,Fairlop,LU,544935.5979,190594.5734,0.091053095971659,51.595558107334746,True
577,Farringdon,"EZL,LU",531559.9989,181873.9267,-0.1051919886781835,51.52047027577585,True
578,Finchley Central,LU,525278.0259,190668.344000001,-0.1925548488048729,51.60093175153773,True
579,Finchley Road,LU,526220.4473,184716.2096,-0.1810915387963695,51.54723083836693,True
580,Finsbury Park LU,LU,531329.8862,186775.332800001,-0.106679347654079,51.56457021452156,True
581,Fulham Broadway,LU,525454.6092,177301.7324,-0.1947664399933353,51.48076777565934,True
582,Gants Hill,LU,543273.6779,188430.207599999,0.0661941322556114,51.57653500920319,True
583,Gloucester Road,LU,526182.7589,178846.489499999,-0.183734689874311,51.49448863919927,True
584,Golders Green,LU,525255.0926,187480.2837,-0.1940222522452373,51.57228620318889,True
585,Goldhawk Road,LU,523183.913,179607.8456,-0.2266448641540456,51.50199179519617,True
586,Goodge Street,LU,529537.2731,181836.5931,-0.1343429023656584,51.520601842773736,True
587,Grange Hill,LU,544967.3103,192558.691299999,0.0923218422133414,51.61319815416051,False
588,Great Portland Street,LU,528837.973,182179.857899999,-0.1442909711973862,51.52384645620309,True
